ID;Perioden;TotaalInvoer_1;GecorrigeerdVoorWerkdagen_2;GecorrigeerdVoorSeizoen_3;Trendconjunctuurcomponent_4;TotaalUitvoer_5;GecorrigeerdVoorWerkdagen_6;GecorrigeerdVoorSeizoen_7;Trendconjunctuurcomponent_8
0;1996 januari;11455;11454;11548;11400;12581;12147;12568;12491
1;1996 februari;11146;11029;11391;11479;12413;13346;12542;12561
2;1996 maart;12158;12645;11657;11520;13672;13603;12807;12603
3;1996 april;11203;11595;11283;11535;12006;12614;12487;12637
4;1996 mei;11572;11899;11633;11558;12653;12324;12547;12682
5;1996 juni;11342;11953;11631;11617;12774;13578;12860;12748
6;1996 juli;11240;10922;11577;11725;12315;11687;12749;12834
7;1996 augustus;10379;10360;11795;11875;11543;11208;12966;12928
8;1996 september;11841;12062;12119;12050;13230;13891;13385;13027
9;1996 oktober;13104;12753;12403;12231;13765;13108;12949;13127
10;1996 november;12371;12479;12313;12400;13474;13680;13036;13238
11;1996 december;12118;12932;12626;12550;13326;13720;13944;13374
12;1996;139929;142082;141977;141939;153752;154906;154840;154250
13;1997 januari;12462;12452;12570;12674;13546;12968;13482;13536
14;1997 februari;12378;12378;12821;12777;13422;15089;14177;13709
15;1997 maart;13042;13975;12900;12879;14196;14631;13802;13882
16;1997 april;13227;13386;13068;12997;14176;14362;14220;14051
17;1997 mei;12620;13341;13039;13130;13720;13790;14049;14217
18;1997 juni;13290;13538;13187;13280;14504;15228;14460;14388
19;1997 juli;12986;12637;13413;13444;13886;13224;14419;14555
20;1997 augustus;11655;12122;13779;13610;12847;12783;14740;14694
21;1997 september;14072;13753;13795;13767;15465;15697;15086;14800
22;1997 oktober;14586;14162;13759;13905;15854;14917;14750;14883
23;1997 november;13647;14382;14098;14017;14847;15782;14985;14959
24;1997 december;13473;13864;13533;14089;14957;14693;14905;15030
25;1997;157438;159990;159961;160571;171421;173163;173074;172704
26;1998 januari;13640;14011;14155;14133;14497;14321;14966;15099
27;1998 februari;13669;13669;14206;14154;14692;16517;15522;15163
28;1998 maart;15302;15419;14260;14162;16550;16462;15559;15215
29;1998 april;14035;14210;13919;14172;14947;15286;15136;15241
30;1998 mei;13460;14406;14069;14197;14462;14640;14915;15235
31;1998 juni;14731;14815;14446;14239;15440;15944;15186;15219
32;1998 juli;13704;13306;14133;14279;15023;14135;15395;15207
33;1998 augustus;12228;12733;14451;14306;12940;13108;15080;15199
34;1998 september;14587;14345;14364;14304;15839;15772;15129;15173
35;1998 oktober;14595;14568;14133;14270;15782;15324;15156;15107
36;1998 november;14427;14697;14332;14218;15357;16123;15246;15011
37;1998 december;14067;14088;13756;14180;15196;14723;14924;14922
38;1998;168445;170267;170225;170614;180725;182356;182216;181791
39;1999 januari;13194;14122;14280;14173;13812;13982;14689;14872
40;1999 februari;13315;13315;13872;14214;13877;15600;14648;14879
41;1999 maart;15939;15488;14348;14320;17089;16217;15362;14948
42;1999 april;14226;14297;14043;14486;14870;15226;15079;15082
43;1999 mei;14004;15442;15079;14707;14489;15193;15480;15267
44;1999 juni;15203;14951;14594;14963;16150;16082;15359;15495
45;1999 juli;14416;14390;15292;15213;14834;14403;15669;15751
46;1999 augustus;13482;13585;15393;15419;14006;13931;15989;16026
47;1999 september;16003;15745;15743;15569;16993;17082;16364;16310
48;1999 oktober;15644;16270;15750;15685;16961;16876;16688;16584
49;1999 november;16625;16247;15773;15806;17777;18043;16998;16838
50;1999 december;16669;16185;15815;15991;17739;16691;16915;17084
51;1999;178719;180035;179982;180546;188599;189327;189240;189137
52;2000 januari;15266;15895;16097;16270;16161;16370;17280;17341
53;2000 februari;16659;16478;17196;16640;17720;18872;17705;17645
54;2000 maart;18370;17837;16549;17066;19831;18659;17716;18020
55;2000 april;16485;17877;17608;17486;17273;18680;18502;18456
56;2000 mei;18399;18398;17974;17846;19686;19007;19362;18914
57;2000 juni;17872;18484;18058;18148;18825;19611;18778;19354
58;2000 juli;16704;17393;18469;18416;18034;18268;19843;19757
59;2000 augustus;16877;16424;18574;18675;18596;17709;20280;20113
60;2000 september;18487;18647;18634;18915;20520;20834;19955;20405
61;2000 oktober;19774;19925;19258;19104;20977;20865;20611;20630
62;2000 november;20534;20202;19535;19203;22110;22225;20870;20795
63;2000 december;18834;20744;20290;19195;20247;20853;21135;20922
64;2000 januari-december;214261;218306;218242;216963;229980;231955;232037;232351
65;2001 januari;18803;18802;19066;19101;20403;19699;20873;21025
66;2001 februari;17901;17901;18703;18976;19933;22409;21012;21117
67;2001 maart;19722;19686;18297;18886;22095;21453;20410;21221
68;2001 januari-maart;56426;56389;56066;56964;62431;63561;62294;63363
