ID;Perioden;WWUitgekeerdeBedragen_1;WachtgeldfondsUitgekeerdeBedragen_2;WerkloosheidsfondsUitgekeerdeBedragen_3
0;1998 januari;247.6;45.2;197.2
1;1998 februari;253.1;62.7;184.3
2;1998 maart;251.3;63.7;183.2
3;1998 1e kwartaal;752.0;171.7;564.7
4;1998 april;286.8;54.2;228.7
5;1998 mei;342.4;47.0;290.3
6;1998 juni;189.2;34.9;152.2
7;1998 2e kwartaal;818.3;136.0;671.2
8;1998 juli;223.2;36.1;185.1
9;1998 augustus;200.2;33.7;163.4
10;1998 september;181.0;31.7;147.2
11;1998 3e kwartaal;604.4;101.4;495.7
12;1998 oktober;218.2;35.4;181.7
13;1998 november;172.4;30.5;139.5
14;1998 december;224.1;51.5;167.8
15;1998 4e kwartaal;614.7;117.4;489.0
16;1998;2789.4;526.6;2220.7
17;1999 januari;203.1;51.3;148.0
18;1999 februari;215.3;65.8;146.0
19;1999 maart;239.7;69.1;168.2
20;1999 1e kwartaal;658.1;186.2;462.2
21;1999 april;178.8;40.6;136.3
22;1999 mei;273.5;36.1;234.6
23;1999 juni;199.5;33.7;163.8
24;1999 2e kwartaal;651.8;110.4;534.8
25;1999 juli;149.8;23.5;125.3
26;1999 augustus;150.8;24.8;124.4
27;1999 september;187.1;32.3;153.8
28;1999 3e kwartaal;487.6;80.6;403.6
29;1999 oktober;145.7;25.4;119.3
30;1999 november;139.7;26.5;112.3
31;1999 december;191.0;42.2;146.7
32;1999 4e kwartaal;476.3;94.0;378.3
33;1999;2273.9;471.2;1778.9
34;2000 januari;153.3;39.1;110.7
35;2000 februari;176.2;56.5;116.3
36;2000 maart;207.0;63.4;141.3
37;2000 1e kwartaal;536.5;159.0;368.2
38;2000 april;149.7;41.6;106.7
39;2000 mei;243.4;42.4;199.1
40;2000 juni;162.7;37.8;124.3
41;2000 2e kwartaal;555.8;121.8;430.1
42;2000 juli;137.3;32.2;104.1
43;2000 augustus;168.7;39.2;127.8
44;2000 september;134.2;32.3;100.8
45;2000 3e kwartaal;440.2;103.7;332.6
46;2000 oktober;131.8;32.0;99.0
47;2000 november;164.9;39.9;124.2
48;2000 december;124.9;34.3;88.3
49;2000 4e kwartaal;421.6;106.1;311.5
50;2000;1954.2;490.6;1442.5
51;2001 januari;153.9;43.3;106.6
52;2001 februari;159.3;54.1;100.1
