ID;Perioden;TotaalVerkoopwaarden_1;Aardgas_2;Aardolie_3;Overige_4;BinnenlandseVerkoop_5;BuitenlandseVerkoop_6;Aardgas_7;Aardolie_8
0;1990 1e kwartaal;2415;2289;83;42;1547;868;23845;751
1;1990 2e kwartaal;1347;1241;62;45;881;466;12894;710
2;1990 3e kwartaal;1193;1062;83;47;736;457;11991;705
3;1990 4e kwartaal;2490;2341;105;45;1502;988;25862;694
4;1990;7446;6933;334;179;4667;2778;74592;2860
5;1991 1e kwartaal;3209;3094;70;44;2032;1178;28149;686
6;1991 2e kwartaal;1874;1745;74;55;1133;741;16124;660
7;1991 3e kwartaal;1170;1053;67;50;697;473;11280;650
8;1991 4e kwartaal;2793;2669;73;52;1677;1116;28142;650
9;1991;9046;8561;284;201;5538;3508;83695;2646
10;1992 1e kwartaal;2938;2821;64;53;1850;1088;29152;670
11;1992 2e kwartaal;1509;1393;63;53;888;622;16064;617
12;1992 3e kwartaal;1099;982;58;59;620;478;11448;605
13;1992 4e kwartaal;2482;2371;50;61;1491;991;27631;627
14;1992;8027;7567;235;226;4849;3179;84295;2518
15;1993 1e kwartaal;2679;2561;61;58;1702;977;29055;643
16;1993 2e kwartaal;1392;1271;61;60;813;579;15189;631
17;1993 3e kwartaal;1173;1065;51;57;699;474;12695;621
18;1993 4e kwartaal;2621;2486;57;79;1571;1051;29602;731
19;1993;7865;7382;230;254;4784;3081;86540;2626
20;1994 1e kwartaal;2678;2536;76;66;1739;939;28878;919
21;1994 2e kwartaal;1418;1288;82;48;898;520;15388;881
22;1994 3e kwartaal;1126;1014;74;39;692;435;12317;804
23;1994 4e kwartaal;2111;1983;81;48;1292;819;25569;851
24;1994;7334;6820;313;201;4621;2713;82152;3456
25;1995 januari;1061;1011;28;23;677;384;11229;298
26;1995 februari;782;737;24;21;511;272;8106;258
27;1995 maart;800;756;22;23;555;245;9270;274
28;1995 1e kwartaal;2644;2504;74;67;1743;901;28604;829
29;1995 april;613;563;22;27;402;211;6141;220
30;1995 mei;476;431;22;24;292;184;4777;231
31;1995 juni;442;393;24;26;269;174;4502;255
32;1995 2e kwartaal;1532;1386;68;78;962;569;15420;706
33;1995 juli;334;295;14;25;205;129;3235;179
34;1995 augustus;354;313;17;25;222;132;3440;207
35;1995 september;478;432;22;25;276;202;4742;253
36;1995 3e kwartaal;1166;1040;53;74;702;464;11418;640
37;1995 oktober;545;500;19;27;314;231;6158;221
38;1995 november;778;727;22;29;471;307;9152;256
39;1995 december;1165;1102;26;37;713;452;12339;275
40;1995 4e kwartaal;2489;2329;66;93;1498;991;27649;752
41;1995;7830;7259;260;311;4906;2925;83091;2927
42;1996 januari;1176;1126;24;26;777;399;12712;245
43;1996 februari;1089;1036;24;29;692;396;12055;239
44;1996 maart;1021;952;41;28;618;403;11333;357
45;1996 1e kwartaal;3285;3113;89;83;2087;1198;36100;841
46;1996 april;658;606;25;27;381;278;6990;216
47;1996 mei;587;530;25;33;349;238;5958;219
48;1996 juni;431;384;18;29;236;196;4389;171
49;1996 2e kwartaal;1677;1519;69;89;966;711;17337;606
50;1996 juli;434;380;23;32;245;189;4125;200
51;1996 augustus;413;364;18;31;233;180;3886;169
52;1996 september;514;459;25;30;302;212;4921;184
53;1996 3e kwartaal;1362;1203;65;93;781;581;12932;553
54;1996 oktober;690;636;26;28;399;291;6784;189
55;1996 november;923;863;26;34;560;362;8735;201
56;1996 december;1191;1122;31;38;758;433;11903;222
57;1996 4e kwartaal;2804;2620;84;100;1718;1086;27422;612
58;1996;9128;8456;307;365;5552;3576;93791;2612
59;1997 januari;1460;1394;39;28;935;525;12985;268
60;1997 februari;987;927;29;31;600;387;8758;217
61;1997 maart;858;807;22;28;517;340;7479;184
62;1997 1e kwartaal;3305;3128;90;87;2052;1252;29223;668
63;1997 april;807;751;25;30;467;340;7078;216
64;1997 mei;573;527;23;23;344;229;5006;196
65;1997 juni;452;406;20;27;250;202;4216;150
66;1997 2e kwartaal;1832;1684;68;80;1061;771;16300;562
67;1997 juli;455;402;25;28;263;192;4081;193
68;1997 augustus;421;374;21;26;247;173;3840;155
69;1997 september;482;431;23;28;280;202;4532;186
70;1997 3e kwartaal;1358;1207;69;82;790;568;12453;534
71;1997 oktober;749;690;34;25;471;277;6777;257
72;1997 november;970;910;31;29;584;386;9123;243
73;1997 december;1114;1052;33;28;687;427;10189;297
74;1997 4e kwartaal;2832;2651;98;83;1743;1090;26088;797
75;1997;9327;8671;325;331;5646;3682;84065;2560
76;1998 januari;1179;1112;29;39;749;431;10161;284
77;1998 februari;904;856;19;29;569;334;7945;204
78;1998 maart;902;815;22;65;578;324;7775;270
79;1998 1e kwartaal;2985;2783;69;134;1897;1089;25881;758
80;1998 april;700;623;20;57;455;245;5935;221
81;1998 mei;548;456;18;75;331;217;4587;206
82;1998 juni;430;353;15;61;254;176;3741;200
83;1998 2e kwartaal;1678;1431;54;193;1040;638;14264;627
84;1998 juli;414;357;15;42;237;177;3909;219
85;1998 augustus;433;347;13;73;260;173;3848;185
86;1998 september;538;453;15;70;339;199;4518;187
87;1998 3e kwartaal;1384;1157;43;185;835;550;12274;590
88;1998 oktober;666;613;13;39;416;249;7100;171
89;1998 november;943;868;17;58;608;334;10232;257
90;1998 december;987;897;15;75;603;384;10422;245
91;1998 4e kwartaal;2595;2378;44;172;1627;968;27754;673
92;1998;8643;7749;210;684;5399;3244;80173;2648
93;1999 januari;856;809;15;32;556;300;9544;235
94;1999 februari;821;762;15;44;550;271;9158;315
95;1999 maart;697;642;20;36;451;246;8122;270
96;1999 1e kwartaal;2375;2213;49;113;1556;818;26824;819
97;1999 april;527;479;20;29;338;190;6038;212
98;1999 mei;407;332;20;54;265;141;4184;203
99;1999 juni;378;307;21;50;218;160;4031;209
100;1999 2e kwartaal;1312;1118;61;133;821;491;14253;623
101;1999 juli;368;289;22;57;231;136;3680;175
102;1999 augustus;362;295;29;38;228;134;3635;225
103;1999 september;353;265;24;64;220;133;3670;166
104;1999 3e kwartaal;1082;849;75;159;679;403;10985;565
105;1999 oktober;573;517;24;33;370;203;5622;167
106;1999 november;773;711;33;29;487;286;8007;227
107;1999 december;1031;933;43;55;596;435;10046;275
108;1999 4e kwartaal;2378;2162;99;117;1453;924;23676;669
