ID;SBI93;Perioden;TotaalAantalBedrijven_1;ZonderWerknemers_2;Met1Tot5Werknemers_3;Met5Tot10Werknemers_4;Met10Tot20Werknemers_5;Met20Tot50Werknemers_6;Met50Tot100Werknemers_7;Met100EnMeerWerknemers_8;Met1WerkzamePersoon_9;Met2WerkzamePersonen_10;Met3Tot5WerkzamePersonen_11;Met5Tot10WerkzamePersonen_12;Met10Tot20WerkzamePersonen_13;Met20Tot50WerkzamePersonen_14;Met50Tot100WerkzamePersonen_15;Met100EnMeerWerkzamePersonen_16
0;Totaal SBI'93;1 januari 1993;596330.0;314160.0;191025.0;37385.0;22805.0;18050.0;6490.0;6415.0;;;;;;;;
1;Totaal SBI'93;1 januari 1994;599955.0;305890.0;200030.0;39070.0;23515.0;18540.0;6715.0;6200.0;;;;;;;;
2;Totaal SBI'93;1 januari 1995;596365.0;292815.0;207965.0;39760.0;24310.0;18400.0;6780.0;6340.0;;;;;;;;
3;Totaal SBI'93;1 januari 1996;616060.0;299825.0;218550.0;41495.0;25400.0;17980.0;6525.0;6285.0;;;;;;;;
4;Totaal SBI'93;1 januari 1997;631800.0;291075.0;235375.0;47395.0;27220.0;17820.0;6580.0;6335.0;;;;;;;;
5;Totaal SBI'93;1 januari 1998;660365.0;312915.0;237600.0;51600.0;26560.0;18425.0;6750.0;6520.0;;;;;;;;
6;Totaal SBI'93;1 januari 1999;671045.0;324640.0;237360.0;50025.0;26565.0;19035.0;6775.0;6645.0;297515.0;127145.0;113580.0;67670.0;32680.0;19035.0;6775.0;6645.0
7;Totaal SBI'93;1 januari 2000;679565.0;330735.0;237990.0;50440.0;27105.0;19555.0;6950.0;6795.0;303270.0;126515.0;114045.0;69230.0;33210.0;19555.0;6950.0;6795.0
8;Totaal SBI'93;1 januari 2001;688655.0;329000.0;244755.0;52585.0;28050.0;20290.0;7050.0;6925.0;303985.0;128375.0;116160.0;71275.0;34595.0;20290.0;7050.0;6925.0
9;Totaal SBI'93;1 januari 2002;693430.0;355835.0;230955.0;42760.0;28995.0;20500.0;6950.0;7430.0;332760.0;117350.0;113730.0;60725.0;33985.0;20500.0;6950.0;7430.0
