ID;SBI93;Perioden;AantalBedrijven_1;WerkzamePersonen_2;PercentageOpheffingen_3;GemiddeldWerkzamePersonen_4
0;Totaal oprichtingen;1993;15,1;27,8; 4,0; 1,8
1;Totaal oprichtingen;1994;15,0;22,9; 3,9; 1,5
2;Totaal oprichtingen;1995;14,3;23,2; 3,7; 1,6
3;Totaal oprichtingen;1996;13,0;22,9; 3,2; 1,7
4;C/D Delfstoffenwinning/industrie;1993; 1,1; 2,6; 2,7; 2,4
5;C/D Delfstoffenwinning/industrie;1994; 1,0; 1,8; 2,3; 1,8
6;C/D Delfstoffenwinning/industrie;1995; 1,4; 2,3; 3,3; 1,7
7;C/D Delfstoffenwinning/industrie;1996; 1,1; 1,9; 2,5; 1,7
8;F Bouwnijverheid;1993; 1,4; 3,0; 3,4; 2,1
9;F Bouwnijverheid;1994; 1,5; 2,3; 3,6; 1,6
10;F Bouwnijverheid;1995; 1,3; 2,2; 3,0; 1,7
11;F Bouwnijverheid;1996; 1,3; 2,4; 2,8; 1,8
12;50 Handel in en reparatie van auto's;1993; 0,6; 0,9; 3,1; 1,6
13;50 Handel in en reparatie van auto's;1994; 0,5; 0,8; 2,6; 1,5
14;50 Handel in en reparatie van auto's;1995; 0,4; 1,1; 2,1; 2,5
15;50 Handel in en reparatie van auto's;1996; 0,4; 0,8; 2,0; 2,0
16;51 Groothandel en handelsbemiddeling;1993; 2,4; 4,3; 5,0; 1,8
17;51 Groothandel en handelsbemiddeling;1994; 2,5; 3,8; 5,2; 1,5
18;51 Groothandel en handelsbemiddeling;1995; 2,1; 3,6; 4,4; 1,7
19;51 Groothandel en handelsbemiddeling;1996; 2,1; 4,5; 4,1; 2,1
20;52 Detailhandel (incl. Reparatie);1993; 3,4; 5,9; 3,9; 1,7
21;52 Detailhandel (incl. Reparatie);1994; 3,5; 5,5; 4,0; 1,6
22;52 Detailhandel (incl. Reparatie);1995; 3,1; 4,4; 3,6; 1,4
23;52 Detailhandel (incl. Reparatie);1996; 3,0; 5,9; 3,4; 2,0
24;H Horeca;1993; 1,2; 2,3; 3,2; 1,9
25;H Horeca;1994; 1,2; 1,9; 3,2; 1,6
26;H Horeca;1995; 1,2; 2,3; 3,3; 1,9
27;H Horeca;1996; 0,8; 1,3; 2,1; 1,6
28;I Vervoer, opslag en communicatie;1993; 0,8; 2,6; 3,7; 3,4
29;I Vervoer, opslag en communicatie;1994; 0,8; 1,6; 3,6; 2,0
30;I Vervoer, opslag en communicatie;1995; 0,9; 1,5; 4,1; 1,8
31;I Vervoer, opslag en communicatie;1996; 0,8; 1,6; 3,4; 2,0
32;74 Zakelijke dienstverlening;1993; 2,8; 4,1; 5,2; 1,5
33;74 Zakelijke dienstverlening;1994; 2,9; 3,8; 5,3; 1,3
34;74 Zakelijke dienstverlening;1995; 2,8; 4,3; 4,8; 1,5
35;74 Zakelijke dienstverlening;1996; 2,3; 2,8; 3,5; 1,2
36;71/72/90 Verhuur roerend goed en ICT;1993; 0,6; 1,0; 5,7; 1,6
37;71/72/90 Verhuur roerend goed en ICT;1994; 0,7; 0,9; 6,5; 1,3
38;71/72/90 Verhuur roerend goed en ICT;1995; 0,6; 0,7; 5,5; 1,1
39;71/72/90 Verhuur roerend goed en ICT;1996; 0,5; 0,7; 4,1; 1,4
40;93 Overige dienstverlening;1993; 0,7; 1,0; 4,2; 1,4
41;93 Overige dienstverlening;1994; 0,4; 0,5; 2,4; 1,1
42;93 Overige dienstverlening;1995; 0,5; 0,7; 2,7; 1,3
43;93 Overige dienstverlening;1996; 0,7; 0,9; 3,6; 1,3
