ID;Perioden;TotaalVakantiesNederlandBuitenland_1;TotaalKorteVakanties_2;TotaalLangeVakanties_3;TotaalVakanties_4;KorteVakanties_5;LangeVakanties_6;TotaalVakanties_7;KorteVakanties_8;LangeVakanties_9
0;Totaal aantal vakantiedagen 2000;274.6;35.7;238.6;111.0;28.1;82.6;163.6;7.6;156.0
1;Herfstperiode 2000;22.3;5.3;17.1;7.8;3.7;4.1;14.5;1.6;13.0
2;Kerstperiode 2000;10.1;1.8;8.2;2.9;1.2;1.7;7.2;0.6;6.5
3;Krokusperiode 2000;19.2;3.6;15.6;4.4;2.4;2.0;14.8;1.2;13.6
4;Paasperiode 2000;14.9;4.9;9.9;7.5;3.9;3.5;7.4;1.0;6.4
5;Voorseizoen 2000;52.3;11.0;41.2;25.2;9.5;15.6;27.1;1.5;25.6
6;Hoogseizoen 2000;127.5;5.8;121.7;52.1;4.6;47.5;75.4;1.2;74.2
7;Naseizoen 2000;28.3;3.3;24.9;11.1;2.8;8.2;17.2;0.5;16.7
8;1999 2 oktober - 8 oktober;3.2;0.6;2.6;1.0;0.5;0.5;2.2;0.1;2.1
9;1999 9 oktober - 15 oktober;3.4;0.6;2.8;0.9;0.4;0.5;2.5;0.2;2.3
10;1999 16 oktober - 22 oktober;5.3;1.0;4.3;1.9;0.6;1.3;3.4;0.4;3.0
11;1999 23 oktober - 29 oktober;3.3;0.8;2.6;1.2;0.6;0.6;2.1;0.2;2.0
12;1999 30 oktober - 5 november;1.7;0.5;1.2;0.6;0.4;0.2;1.1;0.1;1.0
13;1999 6 november - 12 november;1.3;0.4;0.9;0.5;0.3;0.2;0.8;0.1;0.7
14;1999 13 november - 19 november;1.5;0.5;1.0;0.6;0.3;0.3;0.9;0.2;0.7
15;1999 20 november - 26 november;1.6;0.5;1.0;0.7;0.3;0.3;0.9;0.2;0.7
16;1999 27 november - 3 december;1.0;0.4;0.5;0.4;0.3;0.1;0.6;0.1;0.4
17;1999 4 december - 10 december;0.9;0.3;0.6;0.3;0.2;0.1;0.6;0.1;0.5
18;1999 11 december - 17 december;1.0;0.3;0.7;0.4;0.2;0.2;0.6;0.1;0.5
19;1999 18 december - 24 december;1.2;0.3;0.9;0.4;0.2;0.2;0.8;0.1;0.7
20;1999 25 december - 31 december;2.6;0.4;2.2;0.9;0.2;0.7;1.7;0.2;1.5
21;2000 1 januari - 7 januari;2.0;0.2;1.8;0.5;0.1;0.4;1.5;0.1;1.4
22;2000 8 januari - 14 januari;1.1;0.1;1.0;0.2;0.1;0.1;0.9;0.0;0.9
23;2000 15 januari - 21 januari;1.4;0.3;1.1;0.3;0.2;0.1;1.1;0.1;1.0
24;2000 22 januari - 28 januari;1.7;0.4;1.3;0.4;0.3;0.1;1.3;0.1;1.2
25;2000 29 januari - 4 februari;1.5;0.3;1.3;0.2;0.2;0.0;1.3;0.1;1.3
26;2000 5 februari - 11 februari;2.0;0.4;1.6;0.5;0.3;0.2;1.5;0.1;1.4
27;2000 12 februari - 18 februari;2.1;0.5;1.6;0.6;0.4;0.2;1.5;0.1;1.4
28;2000 19 februari - 25 februari;2.5;0.6;2.0;0.7;0.4;0.4;1.8;0.2;1.6
29;2000 26 februari - 3 maart;4.3;0.6;3.8;0.9;0.3;0.6;3.4;0.3;3.2
30;2000 4 maart - 10 maart;2.9;0.5;2.4;0.7;0.3;0.4;2.2;0.2;2.0
31;2000 11 maart - 17 maart;2.1;0.5;1.7;0.4;0.3;0.2;1.7;0.2;1.5
32;2000 18 maart - 24 maart;1.8;0.5;1.3;0.4;0.4;0.1;1.4;0.1;1.2
33;2000 25 maart - 31 maart;1.4;0.5;0.9;0.7;0.4;0.3;0.7;0.1;0.6
34;2000 1 april - 7 april;1.8;0.7;1.1;0.9;0.5;0.3;0.9;0.2;0.8
35;2000 8 april - 14 april;2.2;0.9;1.3;1.1;0.7;0.4;1.1;0.2;0.9
36;2000 15 april - 21 april;2.5;1.0;1.6;1.4;0.8;0.6;1.1;0.2;1.0
37;2000 22 april - 28 april;5.1;1.4;3.7;2.9;1.1;1.8;2.2;0.3;1.9
38;2000 29 april - 5 mei;8.2;1.2;7.0;4.7;1.0;3.7;3.5;0.2;3.3
39;2000 6 mei - 12 mei;5.3;1.3;4.0;2.7;1.1;1.6;2.6;0.2;2.4
40;2000 13 mei - 19 mei;4.1;1.1;3.0;1.9;1.0;1.0;2.2;0.1;2.0
41;2000 20 mei - 26 mei;4.2;1.1;3.2;2.0;0.9;1.2;2.2;0.2;2.0
42;2000 27 mei - 2 juni;6.4;1.5;5.0;3.3;1.2;2.1;3.1;0.3;2.9
