ID;Zoogdieren;Perioden;Index_1;TrendGehelePeriode_2;TrendLaatste10Jaar_3
0;301;1994;;.                             ;.                             
1;301;1995;;.                             ;.                             
2;301;1996;;.                             ;.                             
3;301;1997;100.0;.                             ;.                             
4;301;1998;90.0;.                             ;.                             
5;301;1999;75.0;.                             ;.                             
6;301;2000;80.0;.                             ;.                             
7;301;2001;71.0;.                             ;.                             
8;301;2002;66.0;.                             ;.                             
9;301;2003;64.0;.                             ;.                             
10;301;2004;74.0;.                             ;.                             
11;301;2005;74.0;Matige afname                 ;Matige afname                 
12;311;1994;;.                             ;.                             
13;311;1995;;.                             ;.                             
14;311;1996;;.                             ;.                             
15;311;1997;100.0;.                             ;.                             
16;311;1998;72.0;.                             ;.                             
17;311;1999;63.0;.                             ;.                             
18;311;2000;52.0;.                             ;.                             
19;311;2001;53.0;.                             ;.                             
20;311;2002;54.0;.                             ;.                             
21;311;2003;44.0;.                             ;.                             
22;311;2004;56.0;.                             ;.                             
23;311;2005;54.0;Matige afname                 ;Matige afname                 
24;401;1994;;.                             ;.                             
25;401;1995;;.                             ;.                             
26;401;1996;156.0;.                             ;.                             
27;401;1997;100.0;.                             ;.                             
28;401;1998;81.0;.                             ;.                             
29;401;1999;88.0;.                             ;.                             
30;401;2000;95.0;.                             ;.                             
31;401;2001;98.0;.                             ;.                             
32;401;2002;105.0;.                             ;.                             
33;401;2003;100.0;.                             ;.                             
34;401;2004;102.0;.                             ;.                             
35;401;2005;122.0;Stabiel                       ;Stabiel                       
36;611;1994;93.0;.                             ;.                             
37;611;1995;70.0;.                             ;.                             
38;611;1996;87.0;.                             ;.                             
39;611;1997;100.0;.                             ;.                             
40;611;1998;74.0;.                             ;.                             
41;611;1999;77.0;.                             ;.                             
42;611;2000;83.0;.                             ;.                             
43;611;2001;87.0;.                             ;.                             
44;611;2002;104.0;.                             ;.                             
45;611;2003;89.0;.                             ;.                             
46;611;2004;95.0;.                             ;.                             
47;611;2005;123.0;Onzeker                       ;Onzeker                       
48;831;1994;92.0;.                             ;.                             
49;831;1995;81.0;.                             ;.                             
50;831;1996;107.0;.                             ;.                             
51;831;1997;100.0;.                             ;.                             
52;831;1998;94.0;.                             ;.                             
53;831;1999;94.0;.                             ;.                             
54;831;2000;99.0;.                             ;.                             
55;831;2001;98.0;.                             ;.                             
56;831;2002;99.0;.                             ;.                             
57;831;2003;124.0;.                             ;.                             
58;831;2004;111.0;.                             ;.                             
59;831;2005;106.0;Matige toename                ;Stabiel                       
