ID;SBI;Grootteklasse;TotalePersoneelskosten_1;LonenEnSalarissen_2;SocialeLasten_3;Pensioenlasten_4;KostenUitzendkrachten_5;OverigePersoneelskosten_6;OntvangenLoonsubsidiesED_7
0;6021 + 6023 Tram- en autobusbedrijven;Alle bedrijven;1065.5;75.2;9.7;5.5;5.4;6.3;2.1
1;6021 + 6023 Tram- en autobusbedrijven;0 tot 10 werknemers;12.1;73.1;12.1;1.8;8.9;4.9;0.9
2;6021 + 6023 Tram- en autobusbedrijven;10 en meer werknemers;;;;;;;
3;6021 + 6023 Tram- en autobusbedrijven;10 tot 100 werknemers;104.2;79.2;13.8;2.5;2.1;3.6;1.2
4;6021 + 6023 Tram- en autobusbedrijven;100 en meer werknemers;949.2;74.8;9.2;5.9;5.7;6.6;2.2
5;60211 Openbaar personenvervoer;Alle bedrijven;913.9;74.7;9.1;6.1;5.8;6.7;2.3
6;60211 Openbaar personenvervoer;0 tot 10 werknemers;;;;;;;
7;60211 Openbaar personenvervoer;10 en meer werknemers;;;;;;;
8;60211 Openbaar personenvervoer;10 tot 100 werknemers;;;;;;;
9;60211 Openbaar personenvervoer;100 en meer werknemers;;;;;;;
10;60212 Geregeld besloten personenvervoer;Alle bedrijven;24.7;78.5;13.3;2.1;4.9;2.5;1.3
11;60212 Geregeld besloten personenvervoer;0 tot 10 werknemers;;;;;;;
12;60212 Geregeld besloten personenvervoer;10 en meer werknemers;;;;;;;
13;60212 Geregeld besloten personenvervoer;10 tot 100 werknemers;;;;;;;
14;60212 Geregeld besloten personenvervoer;100 en meer werknemers;;;;;;;
15;6023 Ongeregeld besloten personenvervoer;Alle bedrijven;127.0;78.5;13.7;2.4;2.3;4.0;0.9
16;6023 Ongeregeld besloten personenvervoer;0 tot 10 werknemers;;;;;;;
17;6023 Ongeregeld besloten personenvervoer;10 en meer werknemers;;;;;;;
18;6023 Ongeregeld besloten personenvervoer;10 tot 100 werknemers;;;;;;;
19;6023 Ongeregeld besloten personenvervoer;100 en meer werknemers;;;;;;;
20;6022 Taxibedrijven;Alle bedrijven;405.5;82.4;12.4;1.6;3.9;3.2;3.4
21;6022 Taxibedrijven;0 tot 10 werknemers;48.3;82.1;12.5;2.0;2.9;3.8;3.4
22;6022 Taxibedrijven;10 en meer werknemers;357.3;82.4;12.4;1.5;4.0;3.1;3.4
23;6022 Taxibedrijven;10 tot 100 werknemers;;;;;;;
24;6022 Taxibedrijven;100 en meer werknemers;;;;;;;
25;6024 Goederenwegvervoerbedrijven, totaal;Alle bedrijven;3956.0;73.6;12.1;2.6;4.9;7.9;1.1
26;6024 Goederenwegvervoerbedrijven, totaal;0 tot 10 werknemers;589.5;74.1;12.7;3.3;3.5;7.8;1.3
27;6024 Goederenwegvervoerbedrijven, totaal;10 en meer werknemers;;;;;;;
28;6024 Goederenwegvervoerbedrijven, totaal;10 tot 100 werknemers;2318.6;74.4;12.3;2.6;3.5;8.2;0.9
29;6024 Goederenwegvervoerbedrijven, totaal;100 en meer werknemers;1047.9;71.7;11.2;2.2;8.9;7.2;1.3
30;60241 Verhuisbedrijven;Alle bedrijven;130.3;70.5;11.1;2.9;9.8;6.3;0.6
31;60241 Verhuisbedrijven;0 tot 10 werknemers;;;;;;;
32;60241 Verhuisbedrijven;10 en meer werknemers;;;;;;;
33;60241 Verhuisbedrijven;10 tot 100 werknemers;;;;;;;
34;60241 Verhuisbedrijven;100 en meer werknemers;;;;;;;
35;60242 Overig goederenwegvervoerbedrijven;Alle bedrijven;3825.7;73.7;12.1;2.6;4.8;7.9;1.1
36;60242 Overig goederenwegvervoerbedrijven;0 tot 10 werknemers;;;;;;;
37;60242 Overig goederenwegvervoerbedrijven;10 en meer werknemers;;;;;;;
38;60242 Overig goederenwegvervoerbedrijven;10 tot 100 werknemers;;;;;;;
39;60242 Overig goederenwegvervoerbedrijven;100 en meer werknemers;;;;;;;
40;64122 Koeriersdiensten;Alle bedrijven;374.0;71.8;10.4;2.6;11.7;4.1;0.5
