ID;Perioden;TotaalAfgedaneEchtscheidingsprocedures_1;Echtscheiding_2;ScheidingVanTafelEnBed_3;OntbindingHuwelijkNaScheidingTEnB_4;OntbindingGeregistreerdPartnerschap_5;ManOudstePartner_6;VrouwJongstePartner_7;GemeenschappelijkVerzoek_8;Driekwart_9;Helft_10;NietToegekend_11;OnbekendGeenVerweer_12;Driekwart_13;Helft_14;NietToegekend_15;OnbekendGeenVerweer_16;k_1Jaar_17;k_1Jaar_18;k_2Jaren_19;k_3Jaren_20;k_4Jaren_21;k_59Jaren_22;k_1014Jaren_23;k_1519Jaren_24;k_2024Jaren_25;k_2529Jaren_26;k_3039Jaren_27;k_39Jaren_28;Geen_29;Een_30;Twee_31;Drie_32;VierOfMeer_33;GebruikEchtelijkeWoning_34;ToevertrouwingKindEren_35;AlimentatieKindEren_36;AlimentatiePartner_37;OverigeVoorzieningen_38;GebruikEchtelijkeWoning_39;ToevertrouwingKindEren_40;AlimentatieKindEren_41;AlimentatiePartner_42;OverigeVoorzieningen_43;ManOudstePartner_44;VrouwJongstePartner_45;KindEren_46;ManOudstePartner_47;VrouwJongstePartner_48;OnbekendGeenVerzoek_49;TotaalMetMinderjarigeKinderen_50;HandhavingOuderlijkGezag_51;ManOudstePartner_52;VrouwJongstePartner_53;BeidePartners_54;NogNietBesloten_55;ManOudstePartner_56;VrouwJongstePartner_57;BeidePartners_58;OnbekendGeenRegeling_59;ManOudstePartner_60;VrouwJongstePartner_61;CoOuderschapOverig_62;k_2Weken_63;k_24Weken_64;k_58Weken_65;k_913Weken_66;k_1426Weken_67;k_2739Weken_68;k_4052Weken_69;k_52Weken_70
0;1993;37090;98.0;1.1;0.9;;22.5;62.3;15.2;31.6;6.8;26.1;35.5;63.9;4.0;17.9;14.1;2.2;7.0;7.8;9.8;7.3;21.8;13.0;11.0;9.3;6.4;3.8;0.7;51.6;21.2;21.0;4.8;1.4;3.7;1.6;0.6;0.5;1.7;14.1;12.0;8.6;7.0;4.3;0.3;15.4;20.3;13.3;28.2;58.5;17952;16;5;76;3;;9.1;0.7;0.8;89.5;;;;0.7;4.1;10.8;20.0;43.7;13.2;3.0;4.5
1;1994;37845;96.4;2.7;0.9;;19.2;60.1;20.7;23.7;5.2;31.4;39.7;57.3;3.6;24.8;14.2;1.8;6.2;7.2;8.6;8.5;23.8;14.3;10.4;9.5;5.1;3.7;0.8;48.2;21.6;22.7;5.9;1.7;3.3;1.7;1.2;0.7;1.7;14.3;12.1;9.1;7.6;4.9;0.3;17.7;23.6;12.6;30.2;57.2;19642;16;5;76;3;;9.4;0.6;0.1;89.9;;;;2.7;5.7;15.1;23.7;34.6;11.2;4.0;3.1
2;1995;37234;97.8;1.5;0.7;;20.2;55.5;24.2;20.1;7.5;36.8;35.6;51.7;5.3;27.6;15.3;1.2;6.4;7.3;8.7;9.1;22.3;12.9;10.7;10.9;5.8;3.6;1.1;49.2;21.1;21.6;6.6;1.6;3.4;2.0;1.3;1.4;2.1;14.1;12.8;8.9;9.3;5.6;0.2;18.4;23.1;12.8;29.0;58.2;18952;17;5;71;7;;9.3;0.4;0.5;89.8;;;;2.7;6.4;16.3;21.8;33.4;12.3;4.4;2.8
3;1996;36734;97.9;1.2;0.8;;18.1;51.0;30.9;20.0;6.4;38.9;34.7;51.0;4.0;29.4;15.6;1.7;4.0;6.2;7.8;10.3;25.0;13.6;10.6;9.9;6.5;3.7;0.8;48.1;21.7;23.1;5.6;1.5;2.7;1.5;0.7;0.6;1.8;10.8;9.7;7.2;6.2;3.2;0.2;19.0;27.0;15.4;32.1;52.5;19065;27;4;66;4;;12.9;0.6;0.7;85.8;;;;1.1;8.4;27.4;18.6;29.7;9.5;2.9;2.4
4;1997;35337;98.0;1.3;0.7;;15.4;43.7;40.9;17.5;6.0;52.3;24.2;44.0;3.8;39.5;12.7;1.2;4.9;5.4;7.2;7.9;25.6;14.2;11.9;9.3;6.6;4.7;1.1;48.6;21.4;21.2;7.3;1.4;1.9;1.4;0.4;0.5;1.0;8.9;8.1;5.8;6.2;3.1;0.2;19.5;26.4;13.6;28.0;58.4;18128;34;3;59;4;;13.9;0.8;0.7;84.6;;;;3.8;13.5;26.0;18.4;25.7;8.0;2.3;2.3
5;1999;35079;98.4;1.1;0.5;;14.1;37.6;48.4;15.1;10.0;47.5;27.4;37.7;7.8;39.7;14.8;1.1;4.5;6.5;6.0;5.4;26.2;15.3;12.4;9.3;7.2;4.8;1.2;44.8;22.0;23.9;7.6;1.7;2.0;1.0;0.7;0.5;1.4;8.2;7.5;6.4;6.0;3.5;0.2;19.7;32.5;14.6;22.2;63.2;19364;74;1;16;9;;17.2;0.9;1.1;80.7;;;;2.5;11.5;31.9;16.4;24.6;7.2;2.8;3.0
6;2001;36897;98.8;0.6;0.4;0.2;12.0;33.6;54.3;11.5;9.7;49.3;29.6;30.2;8.7;40.4;20.7;1.2;5.0;4.5;6.8;5.9;22.9;18.4;13.0;9.4;6.5;5.4;0.8;41.9;21.9;27.2;7.6;1.4;2.2;0.7;1.1;0.5;2.2;5.2;4.9;4.1;3.1;0.9;0.5;17.9;34.5;16.8;22.3;61.0;21630;93;0;5;2;;30.9;1.9;2.5;64.6;;;;3.9;26.7;26.7;13.7;12.7;6.6;5.1;4.7
7;2003;31886;98.6;0.8;0.3;0.2;13.9;33.9;52.1;13.3;12.7;43.7;30.2;32.7;10.8;37.9;18.6;1.3;3.8;4.5;5.1;5.9;21.5;19.9;15.6;9.9;5.4;6.0;1.1;38.7;22.5;29.3;8.0;1.5;1.0;1.0;1.1;0.4;3.4;3.8;5.3;4.1;2.4;1.0;0.8;19.3;36.2;15.8;24.4;59.8;19546;92;0;3;0;4.0;42.0;3.4;4.5;50.2;;;;3.8;19.2;27.9;14.3;20.1;8.1;3.4;3.3
8;2005;32607;98.5;0.8;0.2;0.5;12.4;33.8;53.9;15.4;13.7;38.7;32.1;34.9;11.7;34.0;19.4;1.4;3.1;4.4;5.2;5.4;24.0;18.0;13.7;10.7;6.6;6.5;1.1;38.6;23.3;29.1;7.5;1.5;2.2;1.1;1.2;0.6;4.2;6.8;7.1;3.3;2.6;1.0;0.6;19.7;34.3;16.6;24.6;58.8;20020;87;1;4;5;4.0;43.6;2.3;9.8;44.4;;;;3.6;21.3;29.4;13.2;18.2;8.0;3.8;2.5
9;2007;32641;98.7;0.7;0.3;0.4;10.9;29.1;60.1;15.8;6.0;41.9;36.2;36.5;4.4;33.7;25.4;1.6;3.1;4.3;4.5;5.1;24.3;16.8;14.9;10.5;6.7;6.9;1.3;39.9;23.5;28.6;6.6;1.4;3.5;1.0;0.9;0.3;5.1;6.8;7.6;4.8;3.2;1.6;1.1;19.7;35.4;18.5;22.2;59.3;19626;93;0;1;1;4.0;42.0;1.8;10.5;45.7;;;;6.3;17.6;34.4;12.4;14.3;7.5;4.0;3.6
