ID;Pensioenfondsen;BronOpbrengsten;Perioden;GemiddeldBelegdBedrag_1;TotaleNettoOpbrengsten_2;DirecteNettoOpbrengsten_3;TotaalRendement_4;DirectRendement_5
0;Totaal pensioenfondsen;Alle beleggingen;1997;317831;48634;16515;15.3;5.2
1;Totaal pensioenfondsen;Alle beleggingen;1998;363838;51683;17294;14.2;4.8
2;Totaal pensioenfondsen;Alle beleggingen;1999;404881;62746;18669;15.5;4.6
3;Totaal pensioenfondsen;Alle beleggingen;2000;459616;11450;18447;2.5;4.0
4;Totaal pensioenfondsen;Alle beleggingen;2001;472482;-12115;13580;-2.6;3.0
5;Totaal pensioenfondsen;Alle beleggingen;2002;447138;-34372;15576;-7.7;3.5
6;Totaal pensioenfondsen;Alle beleggingen;2003;448165;46100;15522;10.3;3.5
7;Totaal pensioenfondsen;Alle beleggingen;2004;513644;47855;13438;9.3;2.6
8;Totaal pensioenfondsen;Alle beleggingen;2005;560928;77917;18331;13.9;3.3
9;Totaal pensioenfondsen;Alle beleggingen;2006*;530883;43348;15687;8.2;3.0
10;Totaal pensioenfondsen;Onroerende zaken;1997;17712;2079;1236;11.7;7.0
11;Totaal pensioenfondsen;Onroerende zaken;1998;19577;1794;1396;9.2;7.1
12;Totaal pensioenfondsen;Onroerende zaken;1999;21122;4028;1382;19.1;6.5
13;Totaal pensioenfondsen;Onroerende zaken;2000;22850;3171;1615;13.9;7.1
14;Totaal pensioenfondsen;Onroerende zaken;2001;24056;3148;1527;13.1;6.3
15;Totaal pensioenfondsen;Onroerende zaken;2002;21738;1782;925;8.2;4.3
16;Totaal pensioenfondsen;Onroerende zaken;2003;20881;2464;814;11.8;3.9
17;Totaal pensioenfondsen;Onroerende zaken;2004;21805;5312;970;24.4;4.4
18;Totaal pensioenfondsen;Onroerende zaken;2005;19434;957;1174;4.9;6.0
19;Totaal pensioenfondsen;Onroerende zaken;2006*;17889;1407;1145;7.9;6.4
20;Totaal pensioenfondsen;Hypothecaire leningen;1997;11903;888;855;7.5;7.2
21;Totaal pensioenfondsen;Hypothecaire leningen;1998;12647;930;887;7.4;7.0
22;Totaal pensioenfondsen;Hypothecaire leningen;1999;13136;1032;882;7.9;6.7
23;Totaal pensioenfondsen;Hypothecaire leningen;2000;15156;508;1010;3.4;6.7
24;Totaal pensioenfondsen;Hypothecaire leningen;2001;13128;729;887;5.6;6.8
25;Totaal pensioenfondsen;Hypothecaire leningen;2002;14804;1382;705;9.3;4.8
26;Totaal pensioenfondsen;Hypothecaire leningen;2003;14961;809;528;5.4;3.5
27;Totaal pensioenfondsen;Hypothecaire leningen;2004;14173;919;594;6.5;4.2
