ID;Telpunten;TypeSchip;Perioden;TotaalBeideVaarrichtingen_1;k_21Tot250Ton_2;k_250Tot400Ton_3;k_400Tot650Ton_4;k_650Tot1000Ton_5;k_1000Tot1500Ton_6;k_1500Tot2000Ton_7;k_2000Tot3000Ton_8;k_3000TonEnMeer_9;OnbekendLaadvermogen_10;TotaalVaarrichting1_11;k_21Tot250Ton_12;k_250Tot400Ton_13;k_400Tot650Ton_14;k_650Tot1000Ton_15;k_1000Tot1500Ton_16;k_1500Tot2000Ton_17;k_2000Tot3000Ton_18;k_3000TonEnMeer_19;OnbekendLaadvermogen_20;TotaalVaarrichting2_21;k_21Tot250Ton_22;k_250Tot400Ton_23;k_400Tot650Ton_24;k_650Tot1000Ton_25;k_1000Tot1500Ton_26;k_1500Tot2000Ton_27;k_2000Tot3000Ton_28;k_3000TonEnMeer_29;OnbekendLaadvermogen_30;Vaarrichting_31;Telpuntnaam_32;Vaarwegnaam_33;Provincie_34;Telpuntnummer_35;Vaarwegnummer_36;TypeTelpunt_37
0;1;Totaal vrachtvervoerende schepen;1998;12126.0;957.0;728.0;1707.0;3019.0;4145.0;922.0;486.0;81.0;81.0;6317.0;482.0;387.0;944.0;1629.0;2097.0;454.0;241.0;44.0;39.0;5809.0;475.0;341.0;763.0;1390.0;2048.0;468.0;245.0;37.0;42.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
1;1;Totaal vrachtvervoerende schepen;1999;11781.0;888.0;754.0;1489.0;2902.0;4233.0;886.0;454.0;96.0;79.0;6241.0;446.0;399.0;866.0;1611.0;2167.0;438.0;226.0;52.0;36.0;5540.0;442.0;355.0;623.0;1291.0;2066.0;448.0;228.0;44.0;43.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
2;1;Totaal vrachtvervoerende schepen;2000;11789.0;993.0;724.0;1334.0;2603.0;4488.0;1002.0;471.0;91.0;83.0;6132.0;506.0;375.0;770.0;1391.0;2274.0;488.0;236.0;49.0;43.0;5657.0;487.0;349.0;564.0;1212.0;2214.0;514.0;235.0;42.0;40.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
3;1;Totaal vrachtvervoerende schepen;2001;11345.0;959.0;601.0;1045.0;2183.0;4852.0;989.0;546.0;86.0;84.0;5911.0;481.0;311.0;603.0;1195.0;2470.0;492.0;273.0;48.0;38.0;5434.0;478.0;290.0;442.0;988.0;2382.0;497.0;273.0;38.0;46.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
4;1;Totaal vrachtvervoerende schepen;2002;9901.0;988.0;398.0;978.0;2021.0;3973.0;870.0;484.0;106.0;83.0;5193.0;508.0;208.0;565.0;1110.0;2045.0;420.0;239.0;55.0;43.0;4708.0;480.0;190.0;413.0;911.0;1928.0;450.0;245.0;51.0;40.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
5;1;Totaal niet-vrachtvervoerende schepen;1998;1887.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;926.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;961.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
6;1;Totaal niet-vrachtvervoerende schepen;1999;1473.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;726.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;747.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
7;1;Totaal niet-vrachtvervoerende schepen;2000;1625.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;803.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;822.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
8;1;Totaal niet-vrachtvervoerende schepen;2001;1490.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;745.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;745.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
9;1;Totaal niet-vrachtvervoerende schepen;2002;1286.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;646.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;640.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
10;1;Totaal recreatievaart;1998;8314.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4214.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
11;1;Totaal recreatievaart;1999;6761.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3392.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3369.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
12;1;Totaal recreatievaart;2000;7956.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3896.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4060.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
13;1;Totaal recreatievaart;2001;7431.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3614.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3817.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
14;1;Totaal recreatievaart;2002;8459.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4320.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4139.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
15;1;Onbekend (niet te bepalen, bv mist);1998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;            Zero;                                  Zero;                                        Zero;            Zero;Zero;Zero;       Zero
16;1;Onbekend (niet te bepalen, bv mist);1999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;            Zero;                                  Zero;                                        Zero;            Zero;Zero;Zero;       Zero
17;1;Onbekend (niet te bepalen, bv mist);2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;            Zero;                                  Zero;                                        Zero;            Zero;Zero;Zero;       Zero
18;1;Onbekend (niet te bepalen, bv mist);2001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;            Zero;                                  Zero;                                        Zero;            Zero;Zero;Zero;       Zero
19;1;Onbekend (niet te bepalen, bv mist);2002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;            Zero;                                  Zero;                                        Zero;            Zero;Zero;Zero;       Zero
