ID;Persoonskenmerken;NormActief_1;SemiActief_2;Inactief_3;Conditietraining_4;Dansen_5;Fietsen_6;Gymnastiek_7;Hardlopen_8;Tennis_9;Tuinieren_10;Veldvoetbal_11;Wandelen_12;Zwemmen_13;Sporten_14;LopenVanEnNaarHetWerk_15;FietsenVanEnNaarHetWerk_16;Tuinieren_17;KlussenOfDoeHetZelven_18;LichtHuishoudelijkWerk_19;InspannendHuishoudelijkWerk_20;ZwaarHuishoudelijkWerk_21;StaandOfLopendWerk_22;Handwerk_23;ZwaarHandwerk_24;Minstens1Blessure_25;Kneuzing_26;GescheurdeOfVerrekteSpierOfPees_27;VerrekteBanden_28;Botbreuk_29;ArmVingerEDUitDeKom_30;GevolgenVanLangdurigeOverbelasting_31;AndereSoortBlessure_32;Hoofd_33;Borst_34;Schouder_35;Ruggewervel_36;RugNietNaderOpgegeven_37;Bovenarm_38;Onderarm_39;Pols_40;Hand_41;VingerS_42;ArmNietNaderOpgegeven_43;Lies_44;Bovenbeen_45;Onderbeen_46;Knie_47;Knieschijf_48;Enkel_49;Hiel_50;Voet_51;Tenen_52;BeenNietNaderOpgegeven_53;OverigeLichaamsdelen_54
0;Totaal;20;45;35;8;4;31;5;9;7;15;4;26;11;3;2;2;1;2;7;6;1;7;4;2;14;20;27;16;4;1;25;16;1;0;7;0;8;0;0;3;2;5;4;2;2;2;20;0;17;0;4;1;5;13
1;Mannen;22;44;34;8;2;31;2;12;8;15;7;23;8;3;1;2;2;3;3;2;1;7;6;3;17;20;28;18;3;1;25;16;1;0;6;0;9;0;0;2;2;4;4;2;2;2;20;0;18;0;4;1;5;14
2;Vrouwen;18;46;36;9;5;30;7;6;6;14;1;29;14;3;2;2;1;1;11;9;2;6;2;0;10;21;26;12;5;1;26;16;1;0;9;0;7;1;0;4;2;5;6;1;2;2;19;0;16;1;4;1;5;12
3;16-17 jarigen;29;49;22;13;10;27;23;10;8;2;11;12;6;5;2;4;0;1;2;1;0;4;2;1;30;40;18;19;9;3;10;17;3;0;2;0;4;0;0;2;2;11;2;4;3;1;22;0;24;0;5;5;3;7
4;18-24 jarigen;18;48;34;14;6;20;3;11;7;3;8;11;9;4;2;2;0;1;4;3;1;10;5;3;22;25;26;21;3;2;24;16;1;0;7;0;6;0;0;3;2;6;2;1;4;1;18;0;26;1;4;0;3;13
5;25-34 jarigen;13;57;30;12;3;27;2;12;8;12;6;23;11;3;2;2;1;2;7;9;2;10;6;3;16;22;29;18;3;0;22;16;1;0;4;0;9;0;0;4;2;4;2;3;2;1;22;0;21;0;5;0;5;11
6;35-44 jarigen;19;50;30;10;3;32;3;12;9;16;4;27;12;3;2;2;1;2;8;8;2;9;5;2;13;15;28;15;3;1;35;11;1;1;9;0;9;0;0;2;2;5;6;2;1;3;17;0;10;1;6;1;6;16
7;45-54 jarigen;23;47;31;6;3;37;5;8;11;21;2;33;14;3;1;2;2;2;8;5;2;7;4;2;13;11;30;11;3;1;29;21;1;0;11;0;11;1;0;2;4;2;8;1;1;4;16;0;9;1;2;0;6;17
8;55-64 jarigen;22;41;37;3;4;40;6;5;6;23;0;38;14;3;1;1;2;2;8;5;1;3;2;1;8;17;27;12;4;2;28;18;0;0;2;1;9;0;0;3;4;3;7;3;0;0;28;0;10;0;3;0;2;18
9;65-74 jarigen;31;24;45;2;3;34;8;2;3;17;0;31;11;3;1;1;2;2;8;4;1;0;0;0;3;15;18;8;13;0;27;19;0;0;23;0;4;0;0;11;0;0;0;0;0;0;17;0;16;0;0;0;0;11
