ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalHandel_26;TotaalVerleendeDiensten_27;TotaalDranken_28;Gedistilleerd_29;BierAlcoholhoudend_30;BierAlcoholvrijArm_31;ZwakAlcoholischeDranken_32;KoffieEnThee_33;OverigeNietAlcoholischeDranken_34;Keuken_35;IJsEnSorbets_36;Logies_37;VerhuurZalenEnBanen_38;OverigeHorecaActiviteiten_39;OverigeDienstverlening_40;OntvangstenVoorUitleenEnSubsidie_41;TotaalPersoneelskosten_42;BrutoLonenEnSalarissen_43;SocialeLasten_44;Pensioenpremies_45;KostenUitzendkrachten_46;KostenIngeleendPersoneel_47;OverigePersoneelskosten_48;TotaalOverigeBedrijfslasten_49;TotaalHuisvestingskosten_50;BetaaldeHurenPachtenEDVanLeasing_51;OnroerendeZaakbelastingMilieuheffing_52;Energiekosten_53;ReparatieEnOnderhoudskosten_54;Verzekeringen_55;OverigeHuisvestingskosten_56;TotaalInventarisEnMachinekosten_57;BetaaldeHurenEnKostenVanOperLease_58;Onderhoudskosten_59;OverigeInventarisEnMachinekosten_60;TotaalAutokosten_61;BetaaldeHurenEnKostenVanOperLease_62;Brandstof_63;OverigeAutokosten_64;TotaalVerkoopkosten_65;ReclameEnAdvertentiekosten_66;ReisVerblijfsEnRepresentatiekosten_67;OverigeVerkoopkosten_68;TotaalAndereKosten_69;AccountantsEnAdviesdiensten_70;KantoorbenodigdhDrukwerkVakliteratuur_71;OverigeVerzekeringen_72;OverigeKostprijsverhogendeBelastingen_73;Communicatiekosten_74;Beheerskosten_75;OverigeAutomatiseringskosten_76;NogNietEerderGenoemdeBedrijfskosten_77;TotaalAantalWerkzamePersonen_78;WerknemersOpDeLoonlijst_79;WerknemersNietOpLoonlijst_80;OverigPersoneel_81;AantalVte_82;TotaalInvesteringen_83;TotaalMaterieleVasteActiva_84;Bedrijfsruimten_85;Vervoermiddelen_86;Computers_87;OverigeMachinesApparatenED_88;OverigeMaterieleVasteActiva_89;TotaalImmaterieleVasteActiva_90
0;Totaal SBI 551;1996;26.5;1908;1885;1874;11;23;1700;19.6;37.0;9.8;33.6;571;260;51;11;88;160;208;-86;122;82.4;6.0;6.4;4.8;1885;0.6;99.4;15.5;2.1;3.5;0.2;3.2;3.6;3.0;31.8;0.1;43.6;2.5;5.0;0.8;1.1;629;80.3;8.2;2.2;4.6;1.5;4.4;571;260;39.8;5.1;20.8;14.8;3.2;16.2;51;14.1;42.9;43.1;11;32.2;19.3;48.5;88;33.0;9.4;57.6;160;13.1;8.5;5.4;2.2;9.7;17.5;1.4;42.2;462;86.8;8.2;5.0;304;91;98.9;35.9;4.3;3.2;21.1;34.3;1.1
1;Totaal SBI 551;1997;26.3;2076;2056;2045;11;20;1841;19.7;37.0;9.6;33.7;620;287;52;11;96;173;235;-55;180;82.3;6.7;8.7;4.7;2056;0.5;99.5;15.3;2.0;3.3;0.2;3.2;3.6;3.0;31.6;0.1;44.2;2.7;4.7;0.9;1.2;681;79.3;8.2;2.1;5.1;1.4;5.1;620;287;41.2;5.2;20.5;14.3;3.0;15.7;52;14.2;44.4;41.4;11;30.5;20.9;48.6;96;31.3;9.6;59.1;173;13.8;8.1;5.0;1.7;9.1;17.2;1.3;43.9;481;87.2;6.5;6.3;310;98;98.0;28.6;2.4;3.5;16.9;46.7;2.0
2;Totaal SBI 551;1998;25.3;2293;2270;2258;12;23;2002;19.0;37.7;8.8;34.5;690;326;57;12;107;188;290;-90;200;83.3;8.9;8.7;6.0;2270;0.5;99.5;14.5;1.8;3.1;0.2;3.0;3.4;3.0;30.6;0.1;45.9;3.0;4.4;0.9;1.2;755;74.7;11.4;2.1;6.4;1.3;5.2;690;326;;;;;;;57;;;;12;;;;107;;;;188;;;;;;;;;496;86.3;6.2;7.5;314;137;99.7;35.0;4.1;2.7;21.2;36.7;0.3
3;Totaal SBI 551;1999;25.4;2490;2466;2455;11;24;2157;18.7;37.5;9.2;34.6;747;349;57;13;116;211;333;-50;283;83.7;10.1;11.4;8.1;2466;0.5;99.5;13.9;1.6;3.0;0.2;2.9;3.4;2.8;29.7;0.1;47.3;3.4;4.2;0.8;1.2;810;74.4;11.4;2.2;6.9;1.0;5.2;747;349;;;;;;;57;;;;13;;;;116;;;;211;;;;;;;;;507;87.2;5.8;7.0;318;201;99.6;37.9;4.3;3.7;16.7;37.0;0.4
4;Tot 500 000 euro;1996;20.2;310;303;303;1;7;256;24.7;22.8;12.4;40.1;103;51;7;3;11;30;53;-18;35;79.1;11.1;11.4;4.1;303;0.2;99.8;20.5;3.3;8.0;0.3;1.9;3.1;3.8;29.7;0.3;45.3;0.5;3.3;0.1;1.1;58;81.5;10.0;2.2;4.0;0.8;2.6;103;51;36.1;4.2;23.8;19.4;4.9;11.5;7;10.2;51.9;37.9;3;35.0;21.8;43.2;11;52.1;10.0;37.9;30;23.6;7.8;9.1;4.0;9.7;3.7;1.3;40.9;108;64.7;31.7;3.5;64;13;94.3;34.1;9.0;0.9;19.9;30.5;5.7
5;Tot 500 000 euro;1997;19.3;294;289;289;1;5;241;25.3;24.1;12.4;38.2;92;47;6;3;9;27;53;-18;35;78.9;11.9;11.9;2.5;289;0.2;99.8;20.2;3.2;7.4;0.4;2.1;3.3;3.9;30.7;0.4;44.5;0.9;2.9;0.1;1.5;58;83.7;9.5;1.4;3.0;0.9;3.0;92;47;36.7;5.3;26.7;16.9;5.7;8.8;6;10.8;54.9;34.2;3;33.0;23.1;43.9;9;51.4;8.3;40.3;27;26.5;9.1;7.4;3.7;10.5;2.6;0.9;39.4;98;68.2;28.5;3.3;57;7;99.8;20.1;10.0;3.2;39.2;27.2;0.2
6;Tot 500 000 euro;1998;17.9;287;282;282;1;5;232;25.5;24.8;11.7;38.1;88;43;7;3;9;25;55;-15;40;79.1;13.7;13.9;5.7;282;0.2;99.8;20.0;3.0;7.5;0.3;2.0;3.3;3.8;31.2;0.3;44.5;0.9;2.9;0.1;1.5;57;79.8;13.2;1.4;3.5;0.7;2.9;88;43;;;;;;;7;;;;3;;;;9;;;;25;;;;;;;;;92;66.2;30.0;3.9;53;16;99.9;37.0;10.8;1.7;20.6;29.7;0.1
7;Tot 500 000 euro;1999;17.5;286;282;281;1;4;230;25.6;24.3;12.0;38.0;87;42;8;3;10;24;56;-15;41;79.1;14.2;14.2;7.3;282;0.2;99.8;19.9;3.1;7.5;0.3;2.0;3.2;3.8;30.0;0.3;46.3;0.5;2.7;0.1;1.5;56;78.4;13.4;2.1;3.4;0.6;3.6;87;42;;;;;;;8;;;;3;;;;10;;;;24;;;;;;;;;86;67.1;30.2;2.7;53;21;99.2;16.3;14.9;2.6;17.6;47.8;0.8
8;500 000 tot 1 500 000 euro;1996;4.0;343;340;340;1;3;312;23.0;36.7;9.1;31.2;97;43;11;2;15;27;31;-14;17;78.9;4.8;5.0;3.9;340;0.2;99.8;20.0;3.0;4.8;0.3;4.3;3.7;3.9;36.6;0.2;38.1;1.1;3.4;0.3;1.6;115;81.9;8.8;1.9;3.0;2.6;3.5;97;43;37.8;5.2;24.9;14.0;5.4;12.8;11;13.6;40.9;46.0;2;22.3;24.2;53.5;15;38.5;10.4;51.1;27;20.5;10.2;7.0;3.1;10.7;10.4;1.0;37.2;94;90.1;3.5;6.3;59;13;99.0;30.4;10.7;2.2;31.5;24.2;1.0
9;500 000 tot 1 500 000 euro;1997;4.6;422;418;418;0;4;387;22.3;36.5;9.1;32.1;124;56;11;3;17;37;35;-15;20;79.4;4.6;4.9;3.4;418;0.1;99.9;19.0;2.8;4.4;0.3;4.3;3.5;3.7;35.2;0.2;40.8;1.4;3.0;0.3;1.3;141;80.7;8.9;2.1;3.7;1.5;4.4;124;56;39.1;4.9;23.4;15.6;4.2;12.9;11;10.3;53.5;36.2;3;21.6;25.8;52.6;17;37.7;9.5;52.8;37;22.5;8.7;6.2;1.4;9.6;8.9;0.6;42.2;109;90.5;3.1;6.4;67;14;97.4;12.6;4.5;2.9;40.5;36.9;2.6
