ID;KenmerkenVanPersonen;Perioden;Koopkrachtverandering_1;AandeelInDeBevolking_2;k_1977100_3;k_1980100_4;k_1985100_5;k_1990100_6;k_1995100_7;Sinds1977_8;Sinds1980_9;Sinds1985_10;Sinds1990_11;Sinds1995_12;Sinds1977_13;Sinds1980_14;Sinds1985_15;Sinds1990_16;Sinds1995_17
0;0;1978;2.7;100;102.7;100.4;112.6;102.0;101.2;2.7;;;;;2.7;;;;
1;0;1979;0.9;100;103.6;101.3;113.6;103.0;102.1;3.6;;;;;1.8;;;;
2;0;1980;-1.3;100;102.3;100.0;112.2;101.7;100.8;2.3;;;;;0.8;;;;
3;0;1981;-3.8;100;98.5;96.2;107.9;97.8;97.0;-1.5;-3.8;;;;-0.4;-3.8;;;
4;0;1982;-2.1;100;96.5;94.3;105.7;95.8;95.0;-3.5;-5.7;;;;-0.7;-2.9;;;
5;0;1983;-3.3;100;93.3;91.2;102.3;92.7;91.9;-6.7;-8.8;;;;-1.1;-3.0;;;
6;0;1984;-2.4;100;91.0;89.0;99.8;90.5;89.7;-9.0;-11.0;;;;-1.3;-2.9;;;
7;0;1985;0.2;100;91.2;89.1;100.0;90.6;89.9;-8.8;-10.9;;;;-1.1;-2.3;;;
8;0;1986;3.0;100;93.9;91.8;103.0;93.3;92.5;-6.1;-8.2;3.0;;;-0.7;-1.4;3.0;;
9;0;1987;1.8;100;95.6;93.5;104.8;95.0;94.2;-4.4;-6.5;4.8;;;-0.4;-1.0;2.4;;
10;0;1988;0.9;100;96.5;94.3;105.8;95.9;95.1;-3.5;-5.7;5.8;;;-0.3;-0.7;1.9;;
11;0;1989;1.4;100;97.8;95.6;107.2;97.2;96.4;-2.2;-4.4;7.2;;;-0.2;-0.5;1.8;;
12;0;1990;2.9;100;100.7;98.4;110.3;100.0;99.2;0.7;-1.6;10.3;;;0.0;-0.2;2.0;;
13;0;1991;0.0;100;100.7;98.4;110.3;100.0;99.2;0.7;-1.6;10.3;0.0;;0.0;-0.2;1.7;0.0;
14;0;1992;-0.2;100;100.4;98.1;110.1;99.8;99.0;0.4;-1.9;10.1;-0.2;;0.0;-0.2;1.4;-0.1;
15;0;1993;0.5;100;100.9;98.6;110.6;100.2;99.4;0.9;-1.4;10.6;0.2;;0.1;-0.1;1.3;0.1;
16;0;1994;-0.4;100;100.5;98.2;110.2;99.9;99.0;0.5;-1.8;10.2;-0.1;;0.0;-0.1;1.1;0.0;
17;0;1995;1.0;100;101.5;99.2;111.2;100.8;100.0;1.5;-0.8;11.2;0.8;;0.1;-0.1;1.1;0.2;
18;0;1996;0.9;100;102.4;100.0;112.2;101.7;100.9;2.4;0.0;12.2;1.7;0.9;0.1;0.0;1.1;0.3;0.9
19;0;1997;1.0;100;103.4;101.0;113.3;102.7;101.9;3.4;1.0;13.3;2.7;1.9;0.2;0.1;1.0;0.4;0.9
20;0;1998;1.4;100;104.9;102.5;115.0;104.2;103.3;4.9;2.5;15.0;4.2;3.3;0.2;0.1;1.1;0.5;1.1
21;0;1999;0.6;100;105.5;103.1;115.6;104.8;103.9;5.5;3.1;15.6;4.8;3.9;0.2;0.2;1.0;0.5;1.0
22;0;2000;0.9;100;106.4;103.9;116.6;105.7;104.8;6.4;3.9;16.6;5.7;4.8;0.3;0.2;1.0;0.6;0.9
23;0;2001;4.4;100;111.0;108.5;121.7;110.3;109.4;11.0;8.5;21.7;10.3;9.4;0.4;0.4;1.2;0.9;1.5
24;0;2002;0.6;100;111.6;109.1;122.4;110.9;110.0;11.6;9.1;22.4;10.9;10.0;0.4;0.4;1.2;0.9;1.4
25;102;1978;3.7;10;103.7;99.6;111.4;108.2;109.3;3.7;;;;;3.7;;;;
26;102;1979;1.2;10;104.9;100.8;112.8;109.5;110.6;4.9;;;;;2.4;;;;
27;102;1980;-0.8;10;104.1;100.0;111.9;108.7;109.8;4.1;;;;;1.4;;;;
28;102;1981;-3.0;10;101.0;97.0;108.5;105.4;106.4;1.0;-3.0;;;;0.2;-3.0;;;
29;102;1982;-1.9;10;99.1;95.1;106.5;103.4;104.4;-0.9;-4.9;;;;-0.2;-2.5;;;
30;102;1983;-2.6;10;96.5;92.7;103.7;100.7;101.7;-3.5;-7.3;;;;-0.6;-2.5;;;
31;102;1984;-2.6;10;94.0;90.3;101.0;98.1;99.1;-6.0;-9.7;;;;-0.9;-2.5;;;
32;102;1985;-1.0;10;93.1;89.4;100.0;97.1;98.1;-6.9;-10.6;;;;-0.9;-2.2;;;
33;102;1986;0.1;10;93.1;89.4;100.1;97.2;98.2;-6.9;-10.6;0.1;;;-0.8;-1.8;0.1;;
34;102;1987;1.3;10;94.3;90.6;101.3;98.4;99.4;-5.7;-9.4;1.3;;;-0.6;-1.4;0.7;;
35;102;1988;-0.6;10;93.8;90.0;100.7;97.9;98.8;-6.2;-10.0;0.7;;;-0.6;-1.3;0.2;;
36;102;1989;0.6;10;94.3;90.5;101.3;98.4;99.4;-5.7;-9.5;1.3;;;-0.5;-1.1;0.3;;
37;102;1990;1.6;10;95.8;92.0;102.9;100.0;101.0;-4.2;-8.0;2.9;;;-0.3;-0.8;0.6;;
38;102;1991;-0.1;10;95.7;91.9;102.8;99.9;100.9;-4.3;-8.1;2.8;-0.1;;-0.3;-0.8;0.5;-0.1;
39;102;1992;0.7;10;96.3;92.5;103.5;100.5;101.5;-3.7;-7.5;3.5;0.5;;-0.2;-0.6;0.5;0.3;
40;102;1993;0.2;10;96.5;92.7;103.7;100.7;101.7;-3.5;-7.3;3.7;0.7;;-0.2;-0.6;0.5;0.2;
41;102;1994;-1.6;10;95.0;91.2;102.1;99.1;100.1;-5.0;-8.8;2.1;-0.9;;-0.3;-0.7;0.2;-0.2;
42;102;1995;-0.1;10;94.9;91.1;101.9;99.0;100.0;-5.1;-8.9;1.9;-1.0;;-0.3;-0.6;0.2;-0.2;
43;102;1996;0.2;10;95.0;91.2;102.1;99.2;100.2;-5.0;-8.8;2.1;-0.8;0.2;-0.3;-0.6;0.2;-0.1;0.2
44;102;1997;1.3;10;96.2;92.4;103.4;100.5;101.4;-3.8;-7.6;3.4;0.5;1.4;-0.2;-0.5;0.3;0.1;0.7
45;102;1998;1.5;10;97.7;93.8;105.0;102.0;103.0;-2.3;-6.2;5.0;2.0;3.0;-0.1;-0.4;0.4;0.2;1.0
46;102;1999;0.5;10;98.2;94.3;105.5;102.5;103.5;-1.8;-5.7;5.5;2.5;3.5;-0.1;-0.3;0.4;0.3;0.9
47;102;2000;1.1;10;99.3;95.3;106.7;103.6;104.6;-0.7;-4.7;6.7;3.6;4.6;0.0;-0.2;0.4;0.4;0.9
48;102;2001;3.7;10;103.0;98.9;110.6;107.5;108.5;3.0;-1.1;10.6;7.5;8.5;0.1;-0.1;0.6;0.7;1.4
49;102;2002;0.8;10;103.8;99.7;111.5;108.3;109.4;3.8;-0.3;11.5;8.3;9.4;0.1;0.0;0.6;0.7;1.3
50;101;1978;3.5;25;103.5;99.4;110.0;103.4;103.0;3.5;;;;;3.5;;;;
51;101;1979;1.4;25;105.0;100.8;111.6;104.9;104.5;5.0;;;;;2.4;;;;
52;101;1980;-0.8;25;104.1;100.0;110.6;104.0;103.6;4.1;;;;;1.3;;;;
53;101;1981;-3.2;25;100.8;96.8;107.1;100.7;100.3;0.8;-3.2;;;;0.2;-3.2;;;
54;101;1982;-1.9;25;98.9;95.0;105.1;98.8;98.4;-1.1;-5.0;;;;-0.2;-2.5;;;
55;101;1983;-2.8;25;96.1;92.4;102.2;96.1;95.7;-3.9;-7.6;;;;-0.7;-2.6;;;
56;101;1984;-2.1;25;94.1;90.4;100.0;94.1;93.7;-5.9;-9.6;;;;-0.9;-2.5;;;
57;101;1985;0.0;25;94.1;90.4;100.0;94.0;93.7;-5.9;-9.6;;;;-0.8;-2.0;;;
58;101;1986;1.9;25;95.9;92.1;101.9;95.8;95.4;-4.1;-7.9;1.9;;;-0.5;-1.4;1.9;;
59;101;1987;1.5;25;97.3;93.5;103.5;97.3;96.9;-2.7;-6.5;3.5;;;-0.3;-1.0;1.7;;
60;101;1988;0.2;25;97.6;93.7;103.7;97.5;97.1;-2.4;-6.3;3.7;;;-0.2;-0.8;1.2;;
61;101;1989;1.0;25;98.5;94.7;104.7;98.5;98.1;-1.5;-5.3;4.7;;;-0.1;-0.6;1.2;;
62;101;1990;1.5;25;100.0;96.1;106.3;100.0;99.6;0.0;-3.9;6.3;;;0.0;-0.4;1.2;;
63;101;1991;0.1;25;100.1;96.2;106.4;100.1;99.7;0.1;-3.8;6.4;0.0;;0.0;-0.4;1.0;0.1;
64;101;1992;0.7;25;100.8;96.9;107.2;100.8;100.4;0.8;-3.1;7.2;0.8;;0.1;-0.3;1.0;0.4;
65;101;1993;0.2;25;101.1;97.1;107.4;101.0;100.6;1.1;-2.9;7.4;1.0;;0.1;-0.2;0.9;0.3;
66;101;1994;-1.1;25;100.0;96.0;106.2;99.9;99.5;0.0;-4.0;6.2;-0.1;;0.0;-0.3;0.7;0.0;
67;101;1995;0.5;25;100.4;96.5;106.8;100.4;100.0;0.4;-3.5;6.8;0.4;;0.0;-0.2;0.7;0.1;
68;101;1996;0.5;25;101.0;97.0;107.3;100.9;100.5;1.0;-3.0;7.3;0.9;0.5;0.1;-0.2;0.6;0.2;0.5
69;101;1997;1.3;25;102.3;98.3;108.7;102.3;101.9;2.3;-1.7;8.7;2.3;1.9;0.1;-0.1;0.7;0.3;0.9
70;101;1998;1.9;25;104.3;100.2;110.8;104.2;103.8;4.3;0.2;10.8;4.2;3.8;0.2;0.0;0.8;0.5;1.3
71;101;1999;0.6;25;104.9;100.8;111.5;104.8;104.4;4.9;0.8;11.5;4.8;4.4;0.2;0.0;0.8;0.5;1.1
72;101;2000;1.0;25;105.9;101.8;112.6;105.9;105.4;5.9;1.8;12.6;5.9;5.4;0.3;0.1;0.8;0.6;1.1
73;101;2001;3.8;25;109.9;105.6;116.8;109.8;109.4;9.9;5.6;16.8;9.8;9.4;0.4;0.3;1.0;0.9;1.5
74;101;2002;1.0;25;110.9;106.6;117.9;110.9;110.5;10.9;6.6;17.9;10.9;10.5;0.4;0.3;1.0;0.9;1.4
75;104;1978;2.7;25;102.7;100.4;112.2;100.6;99.6;2.7;;;;;2.7;;;;
76;104;1979;1.0;25;103.7;101.3;113.3;101.6;100.6;3.7;;;;;1.8;;;;
77;104;1980;-1.3;25;102.3;100.0;111.8;100.3;99.3;2.3;;;;;0.8;;;;
78;104;1981;-4.0;25;98.2;96.0;107.3;96.3;95.3;-1.8;-4.0;;;;-0.4;-4.0;;;
79;104;1982;-1.9;25;96.4;94.2;105.3;94.4;93.5;-3.6;-5.8;;;;-0.7;-3.0;;;
