ID;Perioden;TotaalUitgaven_1;TotaalGewoneUitgaven_2;EuropeseGemeenschap_3;ProvinciesEnProvinciefonds_4;GemeentenEnGemeentefonds_5;Defensie_6;Onderwijs_7;Renten_8;BuitengewoneUitgaven_9;TotaalInkomsten_10;TotaalGewoneInkomsten_11;Belastingopbrengsten_12;TotaalBuitengewoneInkomsten_13;Belastingopbrengsten_14;TotaalOpBasisRekeningenstelsel_15;NietEerderGenoemdeUitgavenInkomsten_16;TotaalAlleUitgavenInkomsten_17;Kapitaalmarkt_18;GeldmarktEnEigenLiquiditeiten_19;ExclusiefSchadeverplichtingen_20;InclusiefSchadeverplichtingen_21;Binnenland_22;Buitenland_23;Binnenland_24;Buitenland_25;TotaalUitgaven_26;Inkomensoverdrachten_27;TotaalInkomsten_28;Heffingen_29;TotaalUitgaven_30;GewoneUitgaven_31;BuitengewoneUitgaven_32;TotaalInkomsten_33;TotaalGewoneInkomsten_34;DoorDeProvincieZelfGeindeBelasting_35;DoorHetRijkGeindeBelastingen_36;UitkeringUitHetProvincieFonds_37;BuitengewoneInkomsten_38;SaldoVanUitgavenEnInkomsten_39;Kapitaalmarkt_40;GeldmarktEnEigenLiquiditeiten_41;TotaalSchuldOp31December_42;Gevestigd_43;NettoVlottend_44;TotaalUitgaven_45;TotaalGewoneUitgaven_46;Werkgemeenschappen_47;BuitengewoneUitgaven_48;TotaalInkomsten_49;TotaalGewoneInkomsten_50;Werkgemeenschappen_51;BuitengewoneInkomsten_52;Kapitaalmarkt_53;GeldmarktEnEigenLiquiditeiten_54;TotaalSchuldOp31December_55;Gevestigd_56;NettoVlottend_57;TotaalUitgaven_58;GewoneUitgaven_59;BuitengewoneUitgaven_60;TotaalInkomsten_61;TotaalGewoneInkomsten_62;DoorDeGemeenteGeindeBelastingen_63;DoorHetRijkGeindeBelastingen_64;UitkeringUitGemeentefonds_65;BuitengewoneInkomsten_66;SaldoVanUitgavenEnInkomsten_67;Kapitaalmarkt_68;GeldmarktEnEigenLiquiditeiten_69;TotaalSchuldOp31December_70;Gevestigd_71;NettoVlottend_72;TotaalUitgaven_73;GewoneUitgaven_74;Buitengewoon_75;TotaalInkomsten_76;GewoneInkomsten_77;OmslagVerontreinigingsheffing_78;BuitengewoneInkomsten_79;SaldoVanUitgavenEnInkomsten_80;Kapitaalmarkt_81;GeldmarktEnEigenLiquiditeiten_82;TotaalSchuldOp31December_83;Gevestigd_84;Vlottend_85;BelastinguitkeringAanDeProvincies_86;AandeelInDeGeindeRijksbelasting_87;SaldoVanUitgavenEnInkomsten_88;TotaalUitgaven_89;GewoneUitgaven_90;BuitengewoneUitgaven_91;TotaalInkomsten_92;TotaalGewoneInkomsten_93;AandeelInDeGeindeRijksbelasting_94;UitkeringLagerOnderwijs_95;BuitengewoneInkomsten_96;SaldoVanUitgavenEnInkomsten_97;GeaccumuleerdeSaldi_98;TotaleOpbrengstVanAlleBelastingen_99;BelastingenOpInkomenEnVermogen_100;KostprijsverhogendeBelastingen_101;BuitengewoneHeffingen_102;HetRijkDeRijksfondsenEnEG_103;ProvinciesEnProvinciefonds_104;GemeentenEnGemeentefondsen_105;Waterschappen_106;TotaleSchuldOverheid_107;Gemeenten_108;HetRijk_109;Provincies_110;Waterschappen_111;GecorrigeerdVoorOnderlVerhoudingen_112;TotaalKapitaaluitgaven_113;Investeringen_114;Kapitaalinkomsten_115;TotaalKapitaaluitgaven_116;Investeringen_117;Kapitaalinkomsten_118;TotaalKapitaaluitgaven_119;Investeringen_120;Kapitaalinkomsten_121
0;1899;68;;;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1900;70;66.0;;;;19.0;5.0;16.0;2.0;70.0;70.0;54.0;0.0;;2.0;;2.0;;-1.0;0.0;;519.0;;;;;;;;2.0;;;2.0;;0.0;1.0;;;0.0;;0.0;;7.0;;;;;;;;;;;;;;;39.0;39.0;;34.0;34.0;8.0;4.0;6.0;;-5.0;;;116.0;116.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.0;26.0;41.0;;54.0;1.0;11.0;;642.0;116.0;519.0;7.0;;;;;;;;;;;
2;1901;69;;;;;18.0;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1902;74;;;;;18.0;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1903;74;;;;;19.0;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1904;79;;;;;21.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1905;79;75.0;;;;20.0;7.0;17.0;2.0;80.0;79.0;60.0;1.0;;2.0;-18.0;-16.0;17.0;-2.0;525.0;525.0;520.0;;5.0;;;;;;4.0;;;3.0;;0.0;2.0;;;-1.0;;1.0;;8.0;;;;;;;;;;;;;;;50.0;50.0;;41.0;41.0;10.0;5.0;7.0;;-10.0;;;151.0;151.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;76.0;30.0;46.0;;60.0;2.0;15.0;;684.0;151.0;525.0;8.0;;;;;;;;;;;
7;1906;81;;;;;20.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1907;83;;;;;20.0;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1908;88;;;;;21.0;;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1909;89;;;;;21.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
