ID;TypeVoertuig;Perioden;Prijsindex_1;Kwartaalmutatie_2;Jaarmutatie_3;Prijsindex_4;Kwartaalmutatie_5;Jaarmutatie_6;Wegingsfactoren_7
0;Autolease, alle voertuigen;2001 3e kwartaal;86.0;;;;;;100.0
1;Autolease, alle voertuigen;2001 4e kwartaal;85.5;-0.5;;;;;100.0
2;Autolease, alle voertuigen;2001 jaargemiddelde;;;;;;;
3;Autolease, alle voertuigen;2002 1e kwartaal;87.1;1.8;;;;;100.0
4;Autolease, alle voertuigen;2002 2e kwartaal;87.9;1.0;;;;;100.0
5;Autolease, alle voertuigen;2002 3e kwartaal;87.7;-0.2;2.1;;;;100.0
6;Autolease, alle voertuigen;2002 4e kwartaal;87.7;-0.1;2.5;;;;100.0
7;Autolease, alle voertuigen;2002 jaargemiddelde;87.6;;;;;;100.0
8;Autolease, alle voertuigen;2003 1e kwartaal;88.9;1.4;2.1;;;;100.0
9;Autolease, alle voertuigen;2003 2e kwartaal;88.8;-0.1;0.9;;;;100.0
10;Autolease, alle voertuigen;2003 3e kwartaal;89.7;1.1;2.3;;;;100.0
11;Autolease, alle voertuigen;2003 4e kwartaal;90.9;1.3;3.7;;;;100.0
12;Autolease, alle voertuigen;2003 jaargemiddelde;89.6;;2.2;;;;100.0
13;Autolease, alle voertuigen;2004 1e kwartaal;92.1;1.3;3.6;;;;100.0
14;Autolease, alle voertuigen;2004 2e kwartaal;92.8;0.8;4.6;;;;100.0
15;Autolease, alle voertuigen;2004 3e kwartaal;92.8;0.0;3.4;;;;100.0
16;Autolease, alle voertuigen;2004 4e kwartaal;92.9;0.1;2.2;;;;100.0
17;Autolease, alle voertuigen;2004 jaargemiddelde;92.7;;3.5;;;;100.0
18;Autolease, alle voertuigen;2005 1e kwartaal;95.5;2.8;3.7;;;;100.0
19;Autolease, alle voertuigen;2005 2e kwartaal;96.4;1.0;3.9;;;;100.0
20;Autolease, alle voertuigen;2005 3e kwartaal;97.0;0.6;4.5;;;;100.0
21;Autolease, alle voertuigen;2005 4e kwartaal;98.0;1.0;5.4;;;;100.0
22;Autolease, alle voertuigen;2005 jaargemiddelde;96.7;;4.4;;;;100.0
23;Autolease, alle voertuigen;2006 1e kwartaal;99.1;1.2;3.8;;;;100.0
24;Autolease, alle voertuigen;2006 2e kwartaal;100.0;0.9;3.7;;;;100.0
25;Autolease, alle voertuigen;2006 3e kwartaal;100.2;0.2;3.3;;;;100.0
26;Autolease, alle voertuigen;2006 4e kwartaal;100.7;0.5;2.8;;;;100.0
27;Autolease, alle voertuigen;2006 jaargemiddelde;100.0;;3.4;;;;100.0
28;Autolease, alle voertuigen;2007 1e kwartaal;101.8;1.1;2.7;;;;100.0
29;Autolease, alle voertuigen;2007 2e kwartaal;102.2;0.5;2.2;;;;100.0
30;Autolease, alle voertuigen;2007 3e kwartaal;102.5;0.3;2.3;;;;100.0
31;Autolease, alle voertuigen;2007 4e kwartaal;102.5;-0.1;1.8;;;;100.0
32;Autolease, alle voertuigen;2007 jaargemiddelde;102.3;;2.3;;;;100.0
33;Autolease, alle voertuigen;2008 1e kwartaal;101.2;-1.2;-0.6;;;;100.0
34;Autolease, alle voertuigen;2008 2e kwartaal;102.3;1.0;0.0;;;;100.0
35;Autolease, alle voertuigen;2008 3e kwartaal;103.5;1.2;1.0;;;;100.0
36;Autolease, alle voertuigen;2008 4e kwartaal;103.1;-0.4;0.6;;;;100.0
37;Autolease, alle voertuigen;2008 jaargemiddelde;102.5;;0.3;;;;100.0
38;Autolease, alle voertuigen;2009 1e kwartaal;104.1;1.0;2.9;;;;100.0
39;Autolease, alle voertuigen;2009 2e kwartaal;104.6;0.5;2.3;;;;100.0
40;Autolease, alle voertuigen;2009 3e kwartaal;105.3;0.6;1.7;;;;100.0
41;Autolease, alle voertuigen;2009 4e kwartaal;105.3;0.0;2.1;;;;100.0
42;Autolease, alle voertuigen;2009 jaargemiddelde;104.8;;2.2;;;;100.0
43;Autolease, alle voertuigen;2010 1e kwartaal;106.3;1.0;2.1;;;;100.0
44;Autolease, alle voertuigen;2010 2e kwartaal;105.7;-0.6;1.0;;;;100.0
45;Autolease, alle voertuigen;2010 3e kwartaal;105.2;-0.5;-0.1;;;;100.0
46;Autolease, alle voertuigen;2010 4e kwartaal;105.6;0.4;0.3;;;;100.0
47;Autolease, alle voertuigen;2010 jaargemiddelde;105.7;;0.8;;;;100.0
48;Autolease, alle voertuigen;2011 1e kwartaal;107.3;1.6;0.9;;;;100.0
49;Autolease, alle voertuigen;2011 2e kwartaal;107.7;0.4;1.8;;;;100.0
50;Autolease, alle voertuigen;2011 3e kwartaal;106.9;-0.7;1.6;;;;100.0
51;Autolease, alle voertuigen;2011 4e kwartaal;107.0;0.0;1.3;;;;100.0
52;Autolease, alle voertuigen;2011 jaargemiddelde;107.2;;1.4;;;;100.0
53;Autolease, alle voertuigen;2012 1e kwartaal;106.9;-0.1;-0.4;;;;100.0
54;Personenauto's;2001 3e kwartaal;83.3;;;82.1;;;72.0
55;Personenauto's;2001 4e kwartaal;82.9;-0.5;;81.0;-1.3;;72.0
56;Personenauto's;2001 jaargemiddelde;;;;;;;
57;Personenauto's;2002 1e kwartaal;84.7;2.1;;82.4;1.8;;72.0
58;Personenauto's;2002 2e kwartaal;85.7;1.3;;84.0;1.8;;72.0
59;Personenauto's;2002 3e kwartaal;85.5;-0.3;2.7;83.5;-0.5;1.7;72.0
60;Personenauto's;2002 4e kwartaal;85.4;-0.1;3.1;83.4;-0.1;2.9;72.0
61;Personenauto's;2002 jaargemiddelde;85.3;;;83.3;;;72.0
