ID;Relatieduur;Perioden;BestaandeHuwelijken_1;BestaandeGeregistreerdePartnerschappen_2
0;Totaal;1998;3519406;
1;Totaal;1999;3521302;4202.0
2;Totaal;2000;3524659;7265.0
3;Totaal;2001;3526004;9849.0
4;Totaal;2002;3516742;10684.0
5;Totaal;2003;3507764;13790.0
6;Totaal;2004;3495257;17857.0
7;Totaal;2005;3475084;22550.0
8;Totaal;2006;3451061;27615.0
9;Totaal;2007;3427907;32689.0
10;Totaal;2008;3407775;38114.0
11;Totaal;2009;3393857;43894.0
12;Totaal;2010;3383184;50441.0
13;Totaal;2011;3371049;57515.0
14;Totaal;2012;3356744;64691.0
15;Totaal;2013;3337416;70717.0
16;Totaal;2014;3313176;76809.0
17;Totaal;2015;3289599;83513.0
18;Totaal;2016;3267652;92440.0
19;Totaal;2017;3250938;104097.0
20;Totaal;2018;3234568;117108.0
21;Totaal;2019;3217582;132028.0
22;Totaal;2020;3203882;148606.0
23;Totaal;2021;3167182;167814.0
24;Totaal;2022;3140422;188799.0
25;Totaal;2023;3145477;205539.0
26;Totaal;2024;3140503;220664.0
27;Minder dan 1 jaar;1998;82266;
28;Minder dan 1 jaar;1999;84295;4202.0
29;Minder dan 1 jaar;2000;85384;3159.0
30;Minder dan 1 jaar;2001;83517;2822.0
31;Minder dan 1 jaar;2002;76691;2412.0
32;Minder dan 1 jaar;2003;80071;4184.0
33;Minder dan 1 jaar;2004;76464;5597.0
34;Minder dan 1 jaar;2005;70896;6497.0
35;Minder dan 1 jaar;2006;68719;7109.0
36;Minder dan 1 jaar;2007;67938;7351.0
37;Minder dan 1 jaar;2008;69044;7716.0
38;Minder dan 1 jaar;2009;72233;8247.0
39;Minder dan 1 jaar;2010;71031;8873.0
40;Minder dan 1 jaar;2011;69872;9410.0
41;Minder dan 1 jaar;2012;66674;9769.0
42;Minder dan 1 jaar;2013;65610;9032.0
43;Minder dan 1 jaar;2014;59501;9226.0
44;Minder dan 1 jaar;2015;60553;10166.0
45;Minder dan 1 jaar;2016;59919;12572.0
46;Minder dan 1 jaar;2017;60669;15479.0
47;Minder dan 1 jaar;2018;59819;17627.0
48;Minder dan 1 jaar;2019;59648;19526.0
49;Minder dan 1 jaar;2020;58329;21533.0
50;Minder dan 1 jaar;2021;46168;23834.0
51;Minder dan 1 jaar;2022;52536;25846.0
52;Minder dan 1 jaar;2023;65769;23749.0
53;Minder dan 1 jaar;2024;62061;22634.0
54;1 jaar;1998;84142;
55;1 jaar;1999;85762;
56;1 jaar;2000;87412;4106.0
57;1 jaar;2001;88915;3073.0
58;1 jaar;2002;87550;2410.0
59;1 jaar;2003;80692;1966.0
60;1 jaar;2004;83660;3325.0
61;1 jaar;2005;79153;4608.0
62;1 jaar;2006;72897;5513.0
63;1 jaar;2007;70018;6115.0
64;1 jaar;2008;69124;6553.0
65;1 jaar;2009;70768;7011.0
66;1 jaar;2010;74441;7625.0
67;1 jaar;2011;72848;8493.0
68;1 jaar;2012;71816;9008.0
69;1 jaar;2013;67939;9356.0
70;1 jaar;2014;67373;8689.0
71;1 jaar;2015;61193;8865.0
72;1 jaar;2016;62225;9759.0
73;1 jaar;2017;61829;12144.0
74;1 jaar;2018;62580;14895.0
75;1 jaar;2019;62084;16983.0
76;1 jaar;2020;62832;18896.0
77;1 jaar;2021;60467;20973.0
78;1 jaar;2022;48070;23281.0
79;1 jaar;2023;56566;24972.0
80;1 jaar;2024;69568;23014.0
81;2 jaar;1998;81846;
82;2 jaar;1999;83712;
83;2 jaar;2000;85384;
84;2 jaar;2001;86872;3954.0
85;2 jaar;2002;88097;2557.0
86;2 jaar;2003;87023;2252.0
87;2 jaar;2004;80286;1806.0
88;2 jaar;2005;82712;3025.0
89;2 jaar;2006;78150;4225.0
90;2 jaar;2007;72048;5066.0
91;2 jaar;2008;69231;5650.0
92;2 jaar;2009;68727;6050.0
93;2 jaar;2010;70641;6571.0
94;2 jaar;2011;74035;7151.0
95;2 jaar;2012;72507;8056.0
96;2 jaar;2013;71146;8531.0
97;2 jaar;2014;67490;8882.0
98;2 jaar;2015;66915;8271.0
99;2 jaar;2016;61102;8408.0
100;2 jaar;2017;62608;9315.0
101;2 jaar;2018;62231;11601.0
102;2 jaar;2019;63039;14227.0
103;2 jaar;2020;62695;16220.0
104;2 jaar;2021;62933;18279.0
105;2 jaar;2022;61209;20334.0
106;2 jaar;2023;49177;22311.0
107;2 jaar;2024;57772;23963.0
108;3 jaar;1998;84209;
109;3 jaar;1999;80748;
110;3 jaar;2000;82392;
111;3 jaar;2001;83967;
112;3 jaar;2002;85152;3305.0
113;3 jaar;2003;86252;2323.0
114;3 jaar;2004;85372;2109.0
115;3 jaar;2005;78635;1688.0
116;3 jaar;2006;80836;2798.0
117;3 jaar;2007;76407;3926.0
118;3 jaar;2008;70649;4732.0
119;3 jaar;2009;68074;5270.0
120;3 jaar;2010;67883;5728.0
121;3 jaar;2011;69582;6215.0
122;3 jaar;2012;73116;6773.0
123;3 jaar;2013;71266;7628.0
124;3 jaar;2014;70024;8125.0
125;3 jaar;2015;66400;8418.0
126;3 jaar;2016;66101;7863.0
127;3 jaar;2017;60815;8034.0
128;3 jaar;2018;62472;8930.0
129;3 jaar;2019;62127;11134.0
130;3 jaar;2020;62972;13621.0
131;3 jaar;2021;62197;15625.0
132;3 jaar;2022;62667;17720.0
133;3 jaar;2023;61955;19463.0
134;3 jaar;2024;49399;21386.0
135;4 jaar;1998;86330;
136;4 jaar;1999;82270;
137;4 jaar;2000;79153;
138;4 jaar;2001;80630;
139;4 jaar;2002;82002;
140;4 jaar;2003;82871;3065.0
141;4 jaar;2004;83991;2187.0
142;4 jaar;2005;83080;2004.0
143;4 jaar;2006;76554;1579.0
144;4 jaar;2007;78633;2604.0
145;4 jaar;2008;74442;3689.0
146;4 jaar;2009;69118;4460.0
147;4 jaar;2010;66821;5007.0
148;4 jaar;2011;66627;5448.0
149;4 jaar;2012;68436;5905.0
150;4 jaar;2013;71587;6428.0
151;4 jaar;2014;69759;7250.0
152;4 jaar;2015;68580;7733.0
153;4 jaar;2016;65250;8029.0
154;4 jaar;2017;65327;7458.0
155;4 jaar;2018;60199;7655.0
156;4 jaar;2019;61997;8538.0
157;4 jaar;2020;61808;10710.0
158;4 jaar;2021;62076;13190.0
159;4 jaar;2022;61797;15145.0
160;4 jaar;2023;62929;17019.0
161;4 jaar;2024;61845;18645.0
162;5 jaar;1998;89161;
163;5 jaar;1999;84048;
164;5 jaar;2000;80476;
165;5 jaar;2001;77609;
166;5 jaar;2002;78687;
167;5 jaar;2003;79887;
168;5 jaar;2004;80562;2833.0
169;5 jaar;2005;81694;2062.0
170;5 jaar;2006;80616;1890.0
171;5 jaar;2007;74383;1499.0
172;5 jaar;2008;76400;2448.0
173;5 jaar;2009;72526;3464.0
174;5 jaar;2010;67717;4248.0
175;5 jaar;2011;65426;4759.0
176;5 jaar;2012;65236;5191.0
177;5 jaar;2013;66979;5592.0
178;5 jaar;2014;69894;6052.0
179;5 jaar;2015;68303;6887.0
180;5 jaar;2016;67284;7381.0
181;5 jaar;2017;64291;7670.0
182;5 jaar;2018;64337;7089.0
183;5 jaar;2019;59462;7262.0
184;5 jaar;2020;61456;8176.0
185;5 jaar;2021;60860;10379.0
186;5 jaar;2022;61362;12775.0
187;5 jaar;2023;62011;14553.0
188;5 jaar;2024;62557;16352.0
189;6 jaar;1998;87014;
190;6 jaar;1999;87079;
191;6 jaar;2000;82061;
192;6 jaar;2001;78797;
193;6 jaar;2002;75823;
194;6 jaar;2003;76794;
195;6 jaar;2004;77898;
196;6 jaar;2005;78392;2666.0
197;6 jaar;2006;79316;1969.0
198;6 jaar;2007;78268;1791.0
199;6 jaar;2008;72246;1431.0
200;6 jaar;2009;74303;2325.0
201;6 jaar;2010;70814;3329.0
202;6 jaar;2011;66216;4077.0
203;6 jaar;2012;63985;4536.0
204;6 jaar;2013;63781;4941.0
205;6 jaar;2014;65536;5343.0
206;6 jaar;2015;68288;5773.0
207;6 jaar;2016;66845;6576.0
208;6 jaar;2017;66148;7024.0
209;6 jaar;2018;63221;7355.0
210;6 jaar;2019;63380;6797.0
211;6 jaar;2020;58774;6954.0
212;6 jaar;2021;60427;7900.0
213;6 jaar;2022;60096;10063.0
214;6 jaar;2023;61413;12252.0
215;6 jaar;2024;61555;13970.0
216;7 jaar;1998;87085;
217;7 jaar;1999;85126;
218;7 jaar;2000;85220;
219;7 jaar;2001;80276;
220;7 jaar;2002;76862;
221;7 jaar;2003;74073;
222;7 jaar;2004;74858;
223;7 jaar;2005;75884;
224;7 jaar;2006;76229;2532.0
225;7 jaar;2007;77155;1899.0
226;7 jaar;2008;76195;1706.0
227;7 jaar;2009;70314;1374.0
228;7 jaar;2010;72551;2219.0
229;7 jaar;2011;69074;3189.0
230;7 jaar;2012;64708;3901.0
231;7 jaar;2013;62491;4348.0
232;7 jaar;2014;62256;4724.0
233;7 jaar;2015;63977;5128.0
234;7 jaar;2016;66876;5508.0
235;7 jaar;2017;65601;6288.0
236;7 jaar;2018;65073;6735.0
237;7 jaar;2019;62190;7077.0
238;7 jaar;2020;62553;6551.0
239;7 jaar;2021;57713;6728.0
240;7 jaar;2022;59647;7672.0
241;7 jaar;2023;60025;9691.0
242;7 jaar;2024;60862;11798.0
243;8 jaar;1998;81989;
244;8 jaar;1999;85348;
245;8 jaar;2000;83364;
246;8 jaar;2001;83483;
247;8 jaar;2002;78444;
248;8 jaar;2003;74964;
249;8 jaar;2004;72321;
250;8 jaar;2005;72924;
251;8 jaar;2006;73883;
252;8 jaar;2007;74175;2438.0
253;8 jaar;2008;75116;1836.0
254;8 jaar;2009;74253;1638.0
255;8 jaar;2010;68630;1320.0
256;8 jaar;2011;70882;2149.0
257;8 jaar;2012;67505;3052.0
258;8 jaar;2013;63141;3751.0
259;8 jaar;2014;61070;4177.0
260;8 jaar;2015;60927;4533.0
261;8 jaar;2016;62731;4935.0
262;8 jaar;2017;65702;5291.0
263;8 jaar;2018;64458;5993.0
264;8 jaar;2019;63875;6466.0
265;8 jaar;2020;61323;6799.0
266;8 jaar;2021;61401;6334.0
267;8 jaar;2022;56857;6510.0
268;8 jaar;2023;59636;7370.0
269;8 jaar;2024;59591;9352.0
270;9 jaar;1998;79036;
271;9 jaar;1999;80455;
272;9 jaar;2000;83638;
273;9 jaar;2001;81668;
274;9 jaar;2002;81606;
275;9 jaar;2003;76458;
276;9 jaar;2004;73147;
277;9 jaar;2005;70484;
278;9 jaar;2006;71058;
279;9 jaar;2007;71997;
280;9 jaar;2008;72353;2353.0
281;9 jaar;2009;73256;1778.0
282;9 jaar;2010;72595;1588.0
283;9 jaar;2011;67109;1275.0
284;9 jaar;2012;69135;2087.0
285;9 jaar;2013;65977;2930.0
286;9 jaar;2014;61645;3621.0
287;9 jaar;2015;59648;3954.0
288;9 jaar;2016;59655;4352.0
289;9 jaar;2017;61704;4746.0
290;9 jaar;2018;64543;5069.0
291;9 jaar;2019;63311;5779.0
292;9 jaar;2020;62933;6223.0
293;9 jaar;2021;60206;6573.0
294;9 jaar;2022;60449;6134.0
295;9 jaar;2023;56563;6277.0
296;9 jaar;2024;59220;7111.0
297;10 jaar;1998;77049;
298;10 jaar;1999;77597;
299;10 jaar;2000;79013;
300;10 jaar;2001;82075;
301;10 jaar;2002;79928;
302;10 jaar;2003;79775;
303;10 jaar;2004;74663;
304;10 jaar;2005;71386;
305;10 jaar;2006;68771;
306;10 jaar;2007;69328;
307;10 jaar;2008;70260;
308;10 jaar;2009;70646;2277.0
309;10 jaar;2010;71706;1723.0
310;10 jaar;2011;71046;1539.0
311;10 jaar;2012;65548;1221.0
312;10 jaar;2013;67520;2014.0
313;10 jaar;2014;64461;2822.0
314;10 jaar;2015;60199;3460.0
315;10 jaar;2016;58459;3793.0
316;10 jaar;2017;58583;4180.0
317;10 jaar;2018;60656;4514.0
318;10 jaar;2019;63428;4883.0
319;10 jaar;2020;62182;5573.0
320;10 jaar;2021;61680;6016.0
321;10 jaar;2022;59100;6367.0
322;10 jaar;2023;60125;5860.0
323;10 jaar;2024;56055;6046.0
324;11 jaar;1998;75252;
325;11 jaar;1999;75750;
326;11 jaar;2000;76268;
327;11 jaar;2001;77494;
328;11 jaar;2002;80420;
329;11 jaar;2003;78165;
330;11 jaar;2004;77879;
331;11 jaar;2005;72904;
332;11 jaar;2006;69583;
333;11 jaar;2007;67153;
334;11 jaar;2008;67792;
335;11 jaar;2009;68674;
336;11 jaar;2010;69222;2210.0
337;11 jaar;2011;70267;1672.0
338;11 jaar;2012;69547;1479.0
339;11 jaar;2013;63988;1177.0
340;11 jaar;2014;65944;1944.0
341;11 jaar;2015;62980;2702.0
342;11 jaar;2016;58939;3339.0
343;11 jaar;2017;57474;3664.0
344;11 jaar;2018;57572;3980.0
345;11 jaar;2019;59588;4353.0
346;11 jaar;2020;62479;4709.0
347;11 jaar;2021;61013;5410.0
348;11 jaar;2022;60731;5848.0
349;11 jaar;2023;58702;6172.0
350;11 jaar;2024;59497;5667.0
351;12 jaar;1998;70201;
352;12 jaar;1999;73969;
353;12 jaar;2000;74506;
354;12 jaar;2001;74969;
355;12 jaar;2002;75988;
356;12 jaar;2003;78755;
357;12 jaar;2004;76388;
358;12 jaar;2005;76100;
359;12 jaar;2006;71120;
360;12 jaar;2007;67954;
361;12 jaar;2008;65665;
362;12 jaar;2009;66246;
363;12 jaar;2010;67446;
364;12 jaar;2011;67867;2138.0
365;12 jaar;2012;68781;1638.0
366;12 jaar;2013;68055;1432.0
367;12 jaar;2014;62593;1128.0
368;12 jaar;2015;64436;1872.0
369;12 jaar;2016;61720;2587.0
370;12 jaar;2017;57926;3220.0
371;12 jaar;2018;56521;3466.0
372;12 jaar;2019;56650;3835.0
373;12 jaar;2020;58655;4184.0
374;12 jaar;2021;61405;4577.0
375;12 jaar;2022;60115;5261.0
376;12 jaar;2023;60290;5663.0
377;12 jaar;2024;58069;5947.0
378;12,5 jaar;1998;68670;
379;12,5 jaar;1999;71562;
380;12,5 jaar;2000;73645;
381;12,5 jaar;2001;74160;
382;12,5 jaar;2002;74766;
383;12,5 jaar;2003;76604;
384;12,5 jaar;2004;76725;
385;12,5 jaar;2005;75380;
386;12,5 jaar;2006;72723;
387;12,5 jaar;2007;68728;
388;12,5 jaar;2008;66077;
389;12,5 jaar;2009;65281;
390;12,5 jaar;2010;66165;
391;12,5 jaar;2011;66999;1069.0
392;12,5 jaar;2012;67689;1857.0
393;12,5 jaar;2013;67683;1499.0
394;12,5 jaar;2014;64593;1255.0
395;12,5 jaar;2015;62872;1469.0
396;12,5 jaar;2016;62451;2197.0
397;12,5 jaar;2017;59298;2861.0
398;12,5 jaar;2018;56729;3256.0
399;12,5 jaar;2019;56107;3603.0
400;12,5 jaar;2020;57215;3953.0
401;12,5 jaar;2021;59511;4312.0
402;12,5 jaar;2022;60261;4866.0
403;12,5 jaar;2023;59991;5390.0
404;12,5 jaar;2024;58804;5709.0
405;13 jaar;1998;67139;
406;13 jaar;1999;69153;
407;13 jaar;2000;72783;
408;13 jaar;2001;73350;
409;13 jaar;2002;73544;
410;13 jaar;2003;74452;
411;13 jaar;2004;77062;
412;13 jaar;2005;74660;
413;13 jaar;2006;74326;
414;13 jaar;2007;69502;
415;13 jaar;2008;66487;
416;13 jaar;2009;64315;
417;13 jaar;2010;64884;
418;13 jaar;2011;66129;
419;13 jaar;2012;66596;2075.0
420;13 jaar;2013;67309;1565.0
421;13 jaar;2014;66591;1381.0
422;13 jaar;2015;61308;1065.0
423;13 jaar;2016;63181;1806.0
424;13 jaar;2017;60669;2501.0
425;13 jaar;2018;56936;3046.0
426;13 jaar;2019;55564;3370.0
427;13 jaar;2020;55774;3721.0
428;13 jaar;2021;57616;4045.0
429;13 jaar;2022;60406;4470.0
430;13 jaar;2023;59692;5115.0
431;13 jaar;2024;59537;5470.0
432;14 jaar;1998;64434;
433;14 jaar;1999;66168;
434;14 jaar;2000;68012;
435;14 jaar;2001;71615;
436;14 jaar;2002;72038;
437;14 jaar;2003;72009;
438;14 jaar;2004;72920;
439;14 jaar;2005;75317;
440;14 jaar;2006;72958;
441;14 jaar;2007;72617;
442;14 jaar;2008;68055;
443;14 jaar;2009;65014;
444;14 jaar;2010;63102;
445;14 jaar;2011;63635;
446;14 jaar;2012;64852;
447;14 jaar;2013;65278;1992.0
448;14 jaar;2014;65885;1513.0
449;14 jaar;2015;65225;1341.0
450;14 jaar;2016;60119;1019.0
451;14 jaar;2017;62062;1738.0
452;14 jaar;2018;59576;2371.0
453;14 jaar;2019;55973;2954.0
454;14 jaar;2020;54603;3285.0
455;14 jaar;2021;54839;3627.0
456;14 jaar;2022;56797;3941.0
457;14 jaar;2023;60005;4349.0
458;14 jaar;2024;59046;4962.0
459;15 jaar;1998;67967;
460;15 jaar;1999;63601;
461;15 jaar;2000;65182;
462;15 jaar;2001;66984;
463;15 jaar;2002;70256;
464;15 jaar;2003;70701;
465;15 jaar;2004;70572;
466;15 jaar;2005;71323;
467;15 jaar;2006;73565;
468;15 jaar;2007;71341;
469;15 jaar;2008;71046;
470;15 jaar;2009;66645;
471;15 jaar;2010;63810;
472;15 jaar;2011;61978;
473;15 jaar;2012;62445;
474;15 jaar;2013;63547;
475;15 jaar;2014;64018;1930.0
476;15 jaar;2015;64519;1462.0
477;15 jaar;2016;63969;1293.0
478;15 jaar;2017;59043;982.0
479;15 jaar;2018;60905;1628.0
480;15 jaar;2019;58515;2313.0
481;15 jaar;2020;55058;2880.0
482;15 jaar;2021;53678;3195.0
483;15 jaar;2022;54068;3540.0
484;15 jaar;2023;56489;3814.0
485;15 jaar;2024;59419;4208.0
486;16 jaar;1998;68732;
487;16 jaar;1999;67026;
488;16 jaar;2000;62683;
489;16 jaar;2001;64178;
490;16 jaar;2002;65794;
491;16 jaar;2003;68842;
492;16 jaar;2004;69269;
493;16 jaar;2005;69075;
494;16 jaar;2006;69734;
495;16 jaar;2007;71956;
496;16 jaar;2008;69731;
497;16 jaar;2009;69602;
498;16 jaar;2010;65408;
499;16 jaar;2011;62623;
500;16 jaar;2012;60883;
501;16 jaar;2013;61215;
502;16 jaar;2014;62306;
503;16 jaar;2015;62665;1881.0
504;16 jaar;2016;63362;1411.0
505;16 jaar;2017;62806;1240.0
506;16 jaar;2018;58071;931.0
507;16 jaar;2019;59830;1567.0
508;16 jaar;2020;57578;2228.0
509;16 jaar;2021;54164;2808.0
510;16 jaar;2022;52929;3103.0
511;16 jaar;2023;53777;3444.0
512;16 jaar;2024;55946;3707.0
513;17 jaar;1998;71827;
514;17 jaar;1999;67860;
515;17 jaar;2000;66069;
516;17 jaar;2001;61820;
517;17 jaar;2002;63082;
518;17 jaar;2003;64507;
519;17 jaar;2004;67534;
520;17 jaar;2005;67754;
521;17 jaar;2006;67561;
522;17 jaar;2007;68244;
523;17 jaar;2008;70431;
524;17 jaar;2009;68242;
525;17 jaar;2010;68315;
526;17 jaar;2011;64112;
527;17 jaar;2012;61430;
528;17 jaar;2013;59661;
529;17 jaar;2014;60069;
530;17 jaar;2015;61021;
531;17 jaar;2016;61513;1807.0
532;17 jaar;2017;62180;1368.0
533;17 jaar;2018;61686;1191.0
534;17 jaar;2019;57107;900.0
535;17 jaar;2020;58940;1530.0
536;17 jaar;2021;56594;2166.0
537;17 jaar;2022;53387;2723.0
538;17 jaar;2023;52574;3026.0
539;17 jaar;2024;53147;3351.0
540;18 jaar;1998;66720;
541;18 jaar;1999;70820;
542;18 jaar;2000;66937;
543;18 jaar;2001;65154;
544;18 jaar;2002;60800;
545;18 jaar;2003;61890;
546;18 jaar;2004;63204;
547;18 jaar;2005;66184;
548;18 jaar;2006;66374;
549;18 jaar;2007;66218;
550;18 jaar;2008;66958;
551;18 jaar;2009;69002;
552;18 jaar;2010;66980;
553;18 jaar;2011;67112;
554;18 jaar;2012;62936;
555;18 jaar;2013;60238;
556;18 jaar;2014;58488;
557;18 jaar;2015;58801;
558;18 jaar;2016;59882;
559;18 jaar;2017;60378;1753.0
560;18 jaar;2018;61087;1325.0
561;18 jaar;2019;60569;1140.0
562;18 jaar;2020;56240;866.0
563;18 jaar;2021;57902;1501.0
564;18 jaar;2022;55719;2102.0
565;18 jaar;2023;52907;2629.0
566;18 jaar;2024;52016;2959.0
567;19 jaar;1998;68865;
568;19 jaar;1999;65816;
569;19 jaar;2000;69829;
570;19 jaar;2001;65948;
571;19 jaar;2002;64003;
572;19 jaar;2003;59690;
573;19 jaar;2004;60670;
574;19 jaar;2005;61917;
575;19 jaar;2006;64836;
576;19 jaar;2007;65018;
577;19 jaar;2008;64909;
578;19 jaar;2009;65686;
579;19 jaar;2010;67720;
580;19 jaar;2011;65684;
581;19 jaar;2012;65857;
582;19 jaar;2013;61737;
583;19 jaar;2014;59115;
584;19 jaar;2015;57311;
585;19 jaar;2016;57686;
586;19 jaar;2017;58861;
587;19 jaar;2018;59321;1705.0
588;19 jaar;2019;59952;1271.0
589;19 jaar;2020;59526;1103.0
590;19 jaar;2021;55198;839.0
591;19 jaar;2022;57080;1462.0
592;19 jaar;2023;55245;2049.0
593;19 jaar;2024;52266;2570.0
594;20 jaar;1998;71067;
595;20 jaar;1999;67859;
596;20 jaar;2000;64871;
597;20 jaar;2001;68859;
598;20 jaar;2002;64927;
599;20 jaar;2003;62850;
600;20 jaar;2004;58583;
601;20 jaar;2005;59409;
602;20 jaar;2006;60629;
603;20 jaar;2007;63562;
604;20 jaar;2008;63739;
605;20 jaar;2009;63671;
606;20 jaar;2010;64494;
607;20 jaar;2011;66555;
