ID;PeriodeBeginOngehuwdSamenwonen;LeeftijdBijOngehuwdSamenwonen;TotaalAantalVrouwenRespondenten_1;GehuwdBinnen1JaarSamenwonen_2;GehuwdBinnen2JaarSamenwonen_3;GehuwdBinnen3JaarSamenwonen_4;GehuwdBinnen4JaarSamenwonen_5;GehuwdBinnen8JaarSamenwonen_6;GehuwdBinnen13JaarSamenwonen_7;GehuwdBinnen18JaarSamenwonen_8
0;1970-1974;15-19 jaar;56.0;13.0;23.0;38.0;41.0;63.0;63.0;66.0
1;1970-1974;20-24 jaar;98.0;27.0;47.0;58.0;63.0;70.0;74.0;76.0
2;1970-1974;25-29 jaar;;;;;;;;
3;1975-1979;15-19 jaar;80.0;13.0;21.0;33.0;43.0;54.0;58.0;59.0
4;1975-1979;20-24 jaar;156.0;24.0;41.0;55.0;58.0;67.0;69.0;71.0
5;1975-1979;25-29 jaar;;;;;;;;
6;1980-1984;15-19 jaar;141.0;10.0;17.0;31.0;34.0;50.0;55.0;
7;1980-1984;20-24 jaar;272.0;11.0;25.0;37.0;43.0;63.0;69.0;
8;1980-1984;25-29 jaar;;;;;;;;
9;1985-1989;15-19 jaar;122.0;2.0;13.0;20.0;25.0;48.0;;
10;1985-1989;20-24 jaar;284.0;11.0;25.0;39.0;48.0;65.0;;
11;1985-1989;25-29 jaar;101.0;17.0;26.0;32.0;38.0;51.0;;
12;1990-1994;15-19 jaar;84.0;4.0;8.0;17.0;;;;
13;1990-1994;20-24 jaar;345.0;6.0;14.0;27.0;;;;
14;1990-1994;25-29 jaar;134.0;11.0;25.0;38.0;;;;
