ID;PrognoseInterval;Perioden;Levendgeborenen_1;Overledenen_2;Immigratie_3;EmigratieInclusiefCorrecties_4;MigratiesaldoInclusiefCorrecties_5
0;1;2006;184354;135849;100358;131656;-31298
1;1;2007;181630;137446;105610;129901;-24291
2;1;2008;179634;139288;111055;128302;-17247
3;1;2009;178205;141129;116160;126773;-10613
4;1;2010;176979;143032;120113;125297;-5184
5;1;2011;175914;144920;122744;123825;-1081
6;1;2012;175288;146752;123970;122345;1625
7;1;2013;175080;148615;124214;120908;3306
8;1;2014;175285;150521;123905;119547;4359
9;1;2015;175792;152486;123583;118330;5253
10;1;2016;176539;154536;123267;117364;5903
11;1;2017;177413;156437;122942;116533;6409
12;1;2018;178515;158450;122629;115707;6922
13;1;2019;179626;160571;122323;114875;7448
14;1;2020;180697;162771;122026;114046;7981
15;1;2021;181686;165071;121725;113215;8510
16;1;2022;182525;167481;121426;112374;9052
17;1;2023;183227;169990;121149;111520;9629
18;1;2024;183838;172604;120861;110666;10195
19;1;2025;184293;175331;120602;109793;10809
20;1;2026;184613;178142;120348;108917;11431
21;1;2027;184836;181052;120085;108033;12052
22;1;2028;184893;184035;119844;107144;12700
23;1;2029;184881;187062;119610;106235;13375
24;1;2030;184640;190111;119409;105330;14079
25;1;2031;184277;193152;119173;104414;14759
26;1;2032;183718;196171;118967;103506;15461
27;1;2033;182958;199155;118765;102603;16163
28;1;2034;182075;202037;118575;101715;16860
29;1;2035;181101;204763;118385;100846;17539
30;1;2036;180022;207333;118198;99994;18204
31;1;2037;178991;209655;118053;99157;18896
32;1;2038;177980;211714;117893;98368;19525
33;1;2039;177106;213488;117732;97599;20133
34;1;2040;176371;215012;117585;96887;20698
35;1;2041;175792;216260;117456;96215;21241
36;1;2042;175427;217271;117326;95584;21742
37;1;2043;175242;218063;117221;95015;22206
38;1;2044;175218;218655;117104;94495;22609
39;1;2045;175411;219075;116995;94033;22963
40;1;2046;175697;219297;116905;93628;23277
41;1;2047;176151;219374;116816;93277;23539
42;1;2048;176682;219334;116739;92986;23753
43;1;2049;177300;219167;116679;92776;23903
44;1;2050;177924;218858;116603;92616;23987
45;2;2006;175685;122993;81694;105624;-76384
46;2;2007;170089;120476;79929;97552;-83945
47;2;2008;165474;118473;80767;95925;-78677
48;2;2009;161433;117380;82669;94055;-81406
49;2;2010;157785;116112;84135;91387;-73608
50;2;2011;154653;118601;84890;88520;-81534
51;2;2012;151834;119731;84684;86152;-78078
52;2;2013;150473;117501;83749;85765;-69488
53;2;2014;149713;117789;82496;82955;-65627
54;2;2015;147758;118502;81400;80745;-64747
55;2;2016;146338;121228;80409;80060;-64904
56;2;2017;147155;120627;79629;78463;-64263
57;2;2018;146465;123611;78932;75792;-62655
58;2;2019;145137;123268;78292;75633;-63429
59;2;2020;145801;124378;77747;74916;-58583
60;2;2021;146683;125645;77225;74064;-61388
61;2;2022;145589;127537;76769;73118;-54812
62;2;2023;144573;130281;76276;72695;-56660
63;2;2024;142051;131735;75872;71737;-53611
64;2;2025;143100;133681;75449;68937;-52076
65;2;2026;142928;135366;75129;68003;-56563
66;2;2027;141505;139644;74822;68119;-51710
67;2;2028;140076;142938;74530;68838;-52974
68;2;2029;139672;141493;74218;68169;-55507
69;2;2030;137455;145788;73983;66502;-48087
70;2;2031;134731;147508;73714;64804;-49197
71;2;2032;133932;147192;73477;65574;-45570
72;2;2033;132509;150443;73237;63757;-48991
73;2;2034;130961;150505;73012;63783;-45053
74;2;2035;129008;155223;72826;62560;-44816
75;2;2036;127217;154354;72620;62927;-46633
76;2;2037;125549;156342;72438;62324;-43050
77;2;2038;122241;155559;72280;62989;-45560
78;2;2039;120648;160622;72106;62251;-41995
79;2;2040;117756;162558;71949;61269;-40666
80;2;2041;117401;164113;71818;60252;-41201
81;2;2042;114415;161447;71674;57830;-32499
82;2;2043;112005;164737;71551;57513;-35705
83;2;2044;112961;165025;71431;58628;-31180
84;2;2045;111081;167874;71321;57549;-30285
85;2;2046;108206;169502;71215;56742;-27290
86;2;2047;107053;167062;71126;54976;-28031
87;2;2048;108379;165578;71046;55933;-27551
88;2;2049;105202;166120;70985;54547;-19820
89;2;2050;105510;165573;70890;54953;-22192
90;3;2006;192774;149922;127511;172158;6154
91;3;2007;193231;157740;142627;184673;22660
92;3;2008;193957;162669;154921;186803;34508
93;3;2009;193512;170693;165474;190914;45187
94;3;2010;195034;173479;173877;196663;52598
95;3;2011;195629;177569;180201;201691;58366
96;3;2012;195312;182198;184564;197100;60726
97;3;2013;197343;183502;187444;191488;63554
98;3;2014;200329;186585;189441;191539;68978
99;3;2015;202660;192385;191114;193288;70169
100;3;2016;204772;197777;192633;188495;68258
101;3;2017;208165;199834;193863;188743;67927
102;3;2018;211728;202057;194929;190041;67368
103;3;2019;213278;204192;195838;182086;70942
104;3;2020;215871;207106;196635;185742;68149
105;3;2021;218190;211535;197277;189353;75044
106;3;2022;218628;214605;197822;191986;68328
107;3;2023;221655;218557;198365;187375;69406
108;3;2024;223300;218852;198756;185405;70548
