ID;Perioden;Indexcijfers_1;MutatiesTenOpzichteVan1JaarTerug_2;Indexcijfers_3;MutatiesTenOpzichteVan1JaarTerug_4
0;1990 januari;;;99.0;
1;1990 februari;;;99.0;
2;1990 maart;;;99.0;
3;1990 april;;;99.0;
4;1990 mei;;;99.0;
5;1990 juni;;;99.0;
6;1990 juli;;;101.0;
7;1990 augustus;;;101.0;
8;1990 september;;;101.0;
9;1990 oktober;;;101.0;
10;1990 november;;;101.0;
11;1990 december;;;101.0;
12;1991 januari;;;104.0;4.5
13;1991 februari;;;104.0;4.7
14;1991 maart;;;104.0;4.7
15;1991 april;;;104.0;4.4
16;1991 mei;;;104.0;4.4
17;1991 juni;;;104.0;4.5
18;1991 juli;;;104.0;3.2
19;1991 augustus;;;104.0;3.4
20;1991 september;;;104.0;3.5
21;1991 oktober;;;105.0;3.6
22;1991 november;;;104.0;3.6
23;1991 december;;;104.0;3.6
24;1992 januari;;;106.0;2.0
25;1992 februari;;;106.0;2.1
26;1992 maart;;;106.0;2.2
27;1992 april;;;106.0;2.6
28;1992 mei;;;107.0;2.5
29;1992 juni;;;107.0;2.6
30;1992 juli;;;107.0;2.6
31;1992 augustus;;;107.0;2.6
32;1992 september;;;107.0;2.5
33;1992 oktober;;;106.0;1.3
34;1992 november;;;106.0;1.3
35;1992 december;;;106.0;1.3
36;1993 januari;;;106.0;0.5
37;1993 februari;;;106.0;0.5
38;1993 maart;;;107.0;0.9
39;1993 april;;;108.0;1.1
40;1993 mei;;;108.0;1.2
41;1993 juni;;;107.0;0.7
42;1993 juli;;;108.0;1.1
43;1993 augustus;;;108.0;0.9
44;1993 september;;;108.0;0.9
45;1993 oktober;;;108.0;1.7
46;1993 november;;;108.0;2.0
47;1993 december;;;108.0;2.0
48;1994 januari;;;109.0;2.9
49;1994 februari;;;110.0;3.3
50;1994 maart;;;110.0;2.9
51;1994 april;;;110.0;2.1
52;1994 mei;;;110.0;2.1
53;1994 juni;;;110.0;2.7
54;1994 juli;;;110.0;1.7
55;1994 augustus;;;110.0;1.9
56;1994 september;;;110.0;2.6
57;1994 oktober;;;111.0;2.8
58;1994 november;;;110.0;1.8
59;1994 december;;;110.0;2.1
60;1995 januari;;;112.0;2.7
61;1995 februari;;;113.0;2.5
62;1995 maart;;;113.0;2.4
63;1995 april;;;113.0;2.4
64;1995 mei;;;113.0;2.8
65;1995 juni;;;113.0;2.7
66;1995 juli;;;114.0;3.7
67;1995 augustus;;;114.0;3.5
68;1995 september;;;114.0;2.8
69;1995 oktober;;;114.0;2.6
70;1995 november;;;114.0;3.3
71;1995 december;;;114.0;3.5
72;1996 januari;101.0;;115.0;2.6
73;1996 februari;101.0;;115.0;2.1
74;1996 maart;101.0;;115.0;2.0
75;1996 april;101.0;;115.0;2.0
76;1996 mei;101.0;;115.0;1.5
77;1996 juni;101.0;;115.0;1.5
78;1996 juli;101.0;;115.0;1.5
79;1996 augustus;101.0;;115.0;1.7
80;1996 september;101.0;;115.0;1.7
81;1996 oktober;101.0;;115.0;1.4
82;1996 november;101.0;;115.0;1.4
83;1996 december;101.0;;115.0;0.9
84;1997 januari;102.0;0.9;116.0;0.9
85;1997 februari;102.0;1.0;116.0;1.0
86;1997 maart;102.0;1.1;116.0;1.1
87;1997 april;102.0;1.3;116.0;1.3
88;1997 mei;102.0;1.4;116.0;1.4
89;1997 juni;103.0;1.8;117.0;1.8
90;1997 juli;103.0;1.6;117.0;1.6
91;1997 augustus;103.0;1.4;117.0;1.4
92;1997 september;104.0;1.9;118.0;1.9
93;1997 oktober;104.0;2.3;118.0;2.3
94;1997 november;104.0;2.3;118.0;2.3
95;1997 december;104.0;2.5;118.0;2.5
96;1998 januari;105.0;2.8;119.0;2.8
97;1998 februari;105.0;2.8;119.0;2.8
98;1998 maart;105.0;2.7;119.0;2.7
99;1998 april;106.0;2.9;120.0;2.9
100;1998 mei;106.0;2.9;120.0;2.9
101;1998 juni;106.0;2.5;120.0;2.5
102;1998 juli;106.0;2.4;120.0;2.4
103;1998 augustus;106.0;2.6;120.0;2.6
104;1998 september;106.0;2.2;120.0;2.2
105;1998 oktober;106.0;2.0;120.0;2.0
106;1998 november;106.0;1.9;120.0;1.9
107;1998 december;106.0;1.6;120.0;1.6
108;1999 januari;107.0;1.2;121.0;1.2
109;1999 februari;107.0;1.2;121.0;1.2
110;1999 maart;107.0;1.4;121.0;1.4
