ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;TotaalNettoOmzet_25;VerleendeDiensten_26;Handelsgoederen_27;PersonenautoS_28;VrachtautoSAanhangwagensEnOpleggers_29;OverigeOmzetVerhuurEnLease_30;OntvangstenVoorUitleenEnSubsidie_31;TotaalPersoneelskosten_32;BrutoLonenEnSalarissen_33;SocialeLasten_34;Pensioenpremies_35;KostenUitzendkrachten_36;KostenIngeleendPersoneel_37;OverigePersoneelskosten_38;TotaalOverigeBedrijfslasten_39;TotaalHuisvestingskosten_40;BetaaldeHurenPachtenEDVanLeasing_41;OnroerendeZaakbelastingMilieuheffing_42;Energiekosten_43;ReparatieEnOnderhoudskosten_44;Verzekeringen_45;OverigeHuisvestingskosten_46;TotaalInventarisEnMachinekosten_47;BetaaldeHurenEnKostenVanOperLease_48;Onderhoudskosten_49;OverigeInventarisEnMachinekosten_50;TotaalAutokosten_51;BetaaldeHurenEnKostenVanOperLease_52;Brandstof_53;OverigeAutokosten_54;TotaalVerkoopkosten_55;ReclameEnAdvertentiekosten_56;ReisVerblijfsEnRepresentatiekosten_57;OverigeVerkoopkosten_58;TotaalAndereKosten_59;AccountantsEnAdviesdiensten_60;KantoorbenodigdhDrukwerkVakliteratuur_61;OverigeVerzekeringen_62;OverigeKostprijsverhogendeBelastingen_63;Communicatiekosten_64;Beheerskosten_65;OverigeAutomatiseringskosten_66;NogNietEerderGenoemdeBedrijfskosten_67;TotaalAantalWerkzamePersonen_68;WerknemersOpDeLoonlijst_69;WerknemersNietOpLoonlijst_70;OverigPersoneel_71;AantalVte_72;TotaalInvesteringen_73;TotaalMaterieleVasteActiva_74;Bedrijfsruimten_75;Vervoermiddelen_76;Computers_77;OverigeMachinesApparatenED_78;OverigeMaterieleVasteActiva_79;TotaalImmaterieleVasteActiva_80
0;Totaal SBI 71101;1996;3.3;360.0;352.0;317.0;36.0;8.0;323.0;46.1;13.6;27.5;12.8;41.0;9.0;1.0;3.0;12.0;16.0;37.0;-15.0;22.0;57.8;5.7;6.2;124.7;352.0;317.0;36.0;89.3;7.6;0.7;0.4;44.0;80.2;7.6;3.7;3.7;2.0;3.3;41.0;9.0;75.2;2.1;7.9;6.5;1.8;6.4;1.0;23.1;39.7;37.3;3.0;39.5;18.1;42.4;12.0;49.9;6.7;43.4;16.0;10.5;9.2;1.6;3.3;23.0;21.5;8.5;22.3;24.0;83.9;10.6;5.4;19.0;449.0;99.6;0.7;97.3;0.1;0.2;1.3;0.4
1;Totaal SBI 71101;1997;3.7;358.0;349.0;319.0;30.0;9.0;319.0;45.8;15.5;25.8;12.9;41.0;10.0;1.0;2.0;13.0;15.0;39.0;-13.0;26.0;58.1;6.4;7.3;119.2;349.0;319.0;30.0;86.5;9.0;0.8;0.1;49.0;74.7;7.1;3.8;7.3;0.9;6.3;41.0;10.0;72.3;3.3;8.9;7.9;1.5;6.1;1.0;19.9;63.5;16.6;2.0;4.3;27.3;68.4;13.0;45.2;6.6;48.2;15.0;12.3;8.1;2.4;3.6;26.5;16.5;10.7;19.7;23.0;84.0;11.0;5.1;20.0;426.0;100.0;0.6;98.5;0.1;0.3;0.6;0.0
2;Totaal SBI 71101;1998;2.9;441.0;433.0;409.0;24.0;8.0;390.0;43.3;16.1;27.5;13.1;51.0;11.0;1.0;2.0;16.0;21.0;50.0;-15.0;35.0;60.9;7.3;7.9;91.6;433.0;409.0;24.0;85.3;8.2;1.1;0.3;63.0;70.6;10.4;5.3;9.3;0.3;4.4;51.0;11.0;;;;;;;1.0;;;;2.0;;;;16.0;;;;21.0;;;;;;;;;26.0;88.0;6.9;5.1;22.0;403.0;99.9;0.1;97.9;0.2;0.3;1.4;0.1
3;Totaal SBI 71101;1999;2.3;486.0;477.0;452.0;25.0;9.0;447.0;42.7;15.6;31.1;10.7;48.0;11.0;1.0;1.0;15.0;19.0;40.0;-11.0;29.0;60.0;5.1;5.9;117.0;477.0;452.0;25.0;75.2;20.5;0.9;0.8;70.0;68.0;10.2;3.1;12.5;1.5;5.4;48.0;11.0;;;;;;;1.0;;;;1.0;;;;15.0;;;;19.0;;;;;;;;;29.0;81.6;7.7;10.7;26.0;569.0;100.0;0.7;98.1;0.6;0.2;0.3;0.0
4;Tot 100 000 euro;1996;1.4;6.0;6.0;6.0;0.0;0.0;6.0;47.4;7.8;22.1;22.8;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;54.6;3.6;3.4;40.8;6.0;6.0;0.0;87.1;5.6;2.6;0.0;0.0;78.8;5.6;0.0;2.9;6.6;6.1;1.0;0.0;74.2;0.4;14.0;5.6;0.0;5.8;0.0;54.6;16.4;29.1;0.0;8.0;33.0;59.1;0.0;75.0;4.8;20.2;1.0;28.1;4.5;2.7;0.4;10.1;7.5;0.6;46.1;2.0;21.7;77.1;1.3;2.0;2.0;99.8;2.6;90.6;1.4;1.4;3.8;0.2
5;Tot 100 000 euro;1997;1.2;4.0;4.0;4.0;0.0;0.0;4.0;45.6;2.8;26.9;24.7;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.6;7.5;6.7;30.4;4.0;4.0;0.0;71.3;19.1;0.0;0.0;0.0;86.1;13.9;0.0;0.0;0.0;0.0;1.0;0.0;69.0;2.4;11.0;4.8;0.0;12.7;0.0;0.0;50.0;50.0;0.0;0.0;6.1;93.9;0.0;79.1;14.5;6.4;0.0;39.5;4.3;14.7;0.0;22.5;1.3;0.0;17.7;1.0;20.2;79.8;0.0;1.0;1.0;100.0;0.0;92.5;0.0;6.6;0.9;0.0
6;Tot 100 000 euro;1998;1.1;5.0;5.0;5.0;0.0;0.0;4.0;52.7;1.8;27.9;17.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.7;7.4;7.4;42.7;5.0;5.0;0.0;83.9;2.7;5.3;0.0;0.0;87.9;12.1;0.0;0.0;0.0;0.0;1.0;0.0;;;;;;;0.0;;;;0.0;;;;0.0;;;;0.0;;;;;;;;;1.0;14.8;85.2;0.0;1.0;2.0;100.0;0.0;98.4;1.6;0.0;0.0;0.0
7;Tot 100 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;100 000 tot 250 000 euro;1996;0.5;9.0;9.0;9.0;0.0;0.0;8.0;43.1;7.0;32.6;17.4;1.0;0.0;0.0;0.0;0.0;1.0;1.0;-1.0;0.0;61.6;6.1;4.7;47.3;9.0;9.0;0.0;84.9;7.5;1.8;0.2;1.0;57.0;6.4;0.7;3.1;15.2;17.8;1.0;0.0;72.6;1.8;14.5;3.4;7.3;0.3;0.0;0.0;37.2;62.8;0.0;6.2;36.2;57.7;0.0;63.5;12.2;24.4;1.0;26.8;5.6;1.3;0.0;9.7;20.5;2.2;33.9;1.0;54.0;44.0;2.0;1.0;4.0;99.8;2.0;95.0;0.6;1.2;1.1;0.2
9;100 000 tot 250 000 euro;1997;1.4;27.0;27.0;26.0;0.0;0.0;22.0;67.0;6.4;17.3;9.3;2.0;0.0;0.0;0.0;0.0;1.0;4.0;-1.0;3.0;43.6;10.6;11.0;30.4;27.0;26.0;0.0;90.5;4.8;0.3;0.9;1.0;33.9;6.3;0.3;1.5;4.9;54.0;2.0;0.0;78.0;0.5;12.9;4.5;4.0;0.0;0.0;0.0;90.0;10.0;0.0;0.0;22.0;78.0;0.0;51.0;3.6;45.3;1.0;29.7;5.6;1.1;2.3;4.4;13.7;0.2;43.0;2.0;43.6;56.4;0.0;2.0;8.0;100.0;0.0;99.5;0.0;0.2;0.3;0.0
