ID;Vakantiekenmerken;Perioden;TotaalAantalVakanties_1;GemiddeldeVakantieduur_2;Noordzeebadplaatsen_3;Watersportgebieden_4;VeluweEnVeluwerand_5;TwenteSallandEnVechtstreek_6;GroningseFrieseEnDrentseZandgronden_7;WestEnMiddenBrabant_8;OBrabantNMLimburgRijkVNijmegen_9;ZuidLimburg_10;OverigNederland_11;Friesland_12;Drenthe_13;Overijssel_14;Gelderland_15;NoordHolland_16;ZuidHolland_17;Zeeland_18;NoordBrabant_19;Limburg_20;OverigeProvincies_21;TotaalSeizoenrecreatieveLogiesvormen_22;CaravanVouwwagen_23;OverigeSeizoenrecreatieveLogiesvormen_24;TotaalToeristischeLogiesvormen_25;WoningVanAndereParticulier_26;Hotel_27;ZomerhuisjeVakantiebungalow_28;TentBungalowtent_29;CaravanVouwwagenCamper_30;JeugdherbergAndereGroepsaccommodatie_31;OverigeToeristischeLogiesvormen_32;Auto_33;TreinAutoslaaptrein_34;OverigeVervoermiddelen_35;TotaleUitgavenVoorVakanties_36;TotaalGemUitgavenPerVakantieganger_37;MetEigenVervoer_38;MetOverigVervoer_39
0;Totaal vakantiekenmerken;2000;9163.0;3.1;1251.0;1569.0;852.0;471.0;812.0;1319.0;803.0;397.0;1347.0;703.0;581.0;700.0;1483.0;731.0;895.0;852.0;1455.0;997.0;764.0;4380.0;2838.0;1542.0;4783.0;90.0;1588.0;1718.0;403.0;378.0;282.0;322.0;8471.0;377.0;315.0;616.0;67.0;64.0;118.0
1;Totaal vakantiekenmerken;2001;9668.0;3.1;1397.0;1995.0;808.0;600.0;915.0;988.0;820.0;433.0;1269.0;743.0;808.0;965.0;1682.0;790.0;849.0;1014.0;1327.0;1023.0;469.0;4816.0;2992.0;1825.0;4852.0;144.0;1613.0;1481.0;466.0;392.0;448.0;310.0;8803.0;488.0;376.0;647.0;67.0;65.0;95.0
2;Totaal vakantiekenmerken;2002;9510.0;3.2;1208.0;1404.0;1016.0;674.0;801.0;1023.0;823.0;570.0;1991.0;648.0;709.0;761.0;1448.0;1077.0;998.0;712.0;1209.0;1171.0;776.0;3070.0;1918.0;1153.0;6440.0;466.0;2059.0;2016.0;430.0;555.0;464.0;449.0;8492.0;474.0;545.0;956.0;101.0;97.0;143.0
3;Totaal vakantiekenmerken;2003;9062.0;3.2;1175.0;1305.0;1002.0;731.0;803.0;924.0;701.0;499.0;1921.0;673.0;726.0;793.0;1479.0;896.0;891.0;719.0;1027.0;995.0;862.0;2525.0;1553.0;972.0;6537.0;535.0;2044.0;1867.0;582.0;644.0;425.0;440.0;8018.0;488.0;556.0;850.0;94.0;91.0;126.0
4;Waddeneilanden (TR);2000;341.0;;;;;;;;;;341.0;;;;;;;;;;;0.0;0.0;0.0;341.0;;68.0;113.0;;;;;;;;;;;
5;Waddeneilanden (TR);2001;443.0;;;;;;;;;;443.0;;;;;;;;;;;150.0;0.0;150.0;292.0;;79.0;69.0;45.0;;;;;;;;;;
6;Waddeneilanden (TR);2002;369.0;3.3;;;;;;;;;369.0;;;;;;;;;;;27.0;4.0;23.0;342.0;8.0;116.0;110.0;19.0;7.0;25.0;56.0;;;;;153.0;;
7;Waddeneilanden (TR);2003;444.0;3.5;;;;;;;;;;;;;;;;;;;;43.0;;43.0;401.0;51.0;87.0;109.0;32.0;36.0;29.0;57.0;;;;58.0;130.0;;
8;Noordzeebadplaatsen (TR);2000;1251.0;3.1;1251.0;;;;;;;;;;;;;;;;;;;630.0;282.0;348.0;621.0;;220.0;232.0;;;;;;;;;67.0;;
9;Noordzeebadplaatsen (TR);2001;1397.0;3.1;1397.0;;;;;;;;;;;;;;;;;;;668.0;291.0;376.0;729.0;;256.0;221.0;90.0;;;;;;;;66.0;;
