ID;TypeInrichting;Geslacht;Perioden;TotaalPersoneelInrichtingen_1;Management_2;Staf_3;Administratie_4;SocialeDienstverlening_5;EducatieVormingEnSport_6;Arbeid_7;ExecutieveDienst_8;Beveiliging_9;HuishoudelijkeEnTechnischeDienst_10
0;Totaal penitentiaire inrichtingen;Totaal geslacht;1994;9446.0;226.0;385.0;773.0;325.0;511.0;632.0;4709.0;1226.0;659.0
1;Totaal penitentiaire inrichtingen;Totaal geslacht;1995;10416.0;245.0;423.0;875.0;374.0;536.0;790.0;5020.0;1465.0;688.0
2;Totaal penitentiaire inrichtingen;Totaal geslacht;1996;11057.0;266.0;489.0;976.0;425.0;566.0;918.0;5005.0;1706.0;706.0
3;Totaal penitentiaire inrichtingen;Totaal geslacht;1997;11662.0;287.0;518.0;893.0;439.0;512.0;895.0;5507.0;1856.0;755.0
4;Totaal penitentiaire inrichtingen;Totaal geslacht;1998;12120.0;280.0;526.0;1007.0;459.0;558.0;1087.0;5416.0;1982.0;805.0
5;Totaal penitentiaire inrichtingen;Totaal geslacht;1999;12022.0;276.0;350.0;1022.0;482.0;579.0;1077.0;5408.0;1972.0;856.0
6;Totaal penitentiaire inrichtingen;Totaal geslacht;2000;11835.0;264.0;527.0;1041.0;478.0;581.0;1041.0;5037.0;2085.0;781.0
7;Totaal penitentiaire inrichtingen;Totaal geslacht;2001;12082.0;230.0;574.0;1086.0;494.0;577.0;1097.0;5014.0;2160.0;850.0
8;Totaal penitentiaire inrichtingen;Totaal geslacht;2002;12145.0;231.0;720.0;1086.0;494.0;577.0;1097.0;5014.0;2160.0;766.0
9;Totaal penitentiaire inrichtingen;Totaal geslacht;2003;13162.0;233.0;711.0;1128.0;587.0;591.0;1108.0;5448.0;2439.0;917.0
10;Totaal penitentiaire inrichtingen;Totaal geslacht;2004;13069.0;371.0;764.0;1102.0;647.0;568.0;1039.0;5326.0;2398.0;854.0
11;Totaal penitentiaire inrichtingen;Totaal geslacht;2005;11869.0;194.0;934.0;497.0;770.0;532.0;903.0;4894.0;2531.0;614.0
12;Totaal penitentiaire inrichtingen;Totaal geslacht;2006;11987.0;162.0;610.0;688.0;876.0;452.0;831.0;4756.0;3063.0;549.0
13;Totaal penitentiaire inrichtingen;Totaal geslacht;2007;11310.0;177.0;583.0;523.0;860.0;412.0;1012.0;4508.0;2732.0;503.0
14;Totaal penitentiaire inrichtingen;Totaal geslacht;2008;11550.0;174.0;558.0;686.0;939.0;425.0;773.0;4456.0;2990.0;549.0
15;Totaal penitentiaire inrichtingen;Totaal geslacht;2009;11024.0;133.0;629.0;544.0;961.0;401.0;737.0;4268.0;2837.0;514.0
16;Totaal penitentiaire inrichtingen;Totaal geslacht;2010;10783.0;137.0;591.0;694.0;936.0;376.0;709.0;4127.0;2713.0;500.0
17;Totaal penitentiaire inrichtingen;Totaal geslacht;2011;11387.0;142.0;567.0;634.0;1004.0;386.0;765.0;4468.0;2880.0;541.0
18;Totaal penitentiaire inrichtingen;Totaal geslacht;2012;11121.0;142.0;591.0;698.0;935.0;379.0;770.0;4163.0;2933.0;510.0
