ID;Geslacht;Leeftijd;Perioden;TotaalNietNatuurlijkeDood_1;Per100000MannenVrouwen_2;TotaalZelfdoding_3;Per100000MannenVrouwen_4;Ongehuwd_5;Gehuwd_6;Verweduwd_7;Gescheiden_8;OphangenVerwurgen_9;MedicijnenEnOfAlcohol_10;VoorTreinOfMetro_11;Verdrinken_12;SpringenVanHoogte_13;OverigeWijzeVanZelfdoding_14;OnbekendeWijzeVanZelfdoding_15;PsychischeStoornissen_16;FysiekeStoornissen_17;HuiselijkeOmstandigheden_18;OverigMotiefVanZelfdoding_19;OnbekendMotiefVanZelfdoding_20;TotaalMoordEnDoodslag_21;Per100000MannenVrouwen_22;OphangenVerwurgenVerstikken_23;DoodslaanSchoppen_24;Vuurwapen_25;Steekwapen_26;Slagwapen_27;OverigeWijzeVanMoordEnDoodslag_28;OnbekendeWijzeVanMoordEnDoodslag_29;OvervalBeroving_30;HuiselijkeOmstandigheden_31;RuzieGeenHuiselijkeOmstandigheden_32;CriminelenOnderling_33;GeenMotief_34;OverigMotiefVanMoordEnDoodslag_35;OnbekendMotiefVanMoordEnDoodslag_36;WoningVanHetSlachtoffer_37;WoningVanAnderen_38;Horecagelegenheid_39;OpenbareWeg_40;OverigePleeglocatieVanMoord_41;OnbekendePleeglocatieVanMoord_42;TotaalWegverkeersdoden_43;Per100000MannenVrouwen_44;Voetganger_45;Fiets_46;BromSnorfiets_47;Motorfiets_48;Personenauto_49;BestelautoVrachtauto_50;OverigeDeelname_51;OnbekendeDeelname_52;Groningen_53;Friesland_54;Drenthe_55;Overijssel_56;Flevoland_57;Gelderland_58;Utrecht_59;NoordHolland_60;ZuidHolland_61;Zeeland_62;NoordBrabant_63;Limburg_64;ProvincieOnbekend_65;Buitenland_66;Onbekend_67;TotaalBedrijfsongeval_68;Per100000MannenVrouwen_69;LandbouwEnVisserij_70;IndustrieEnDelfstoffenwinning_71;Bouwnijverheid_72;VervoerOpslagCommunicatie_73;OverigeBedrijfstakVanBedrijfsongeval_74;OnbekendeBedrijfstakVanBedrijfsong_75;MachineGereedschap_76;HijskraanTakelLiftED_77;DeelVanGebouwenLaddersSteigers_78;SchuivendeOfVallendeGoederenLading_79;OverigBelangrijksteVoorwerp_80;OnbekendBelangrijksteVoorwerp_81;TotaalPriveOngeval_82;Per100000MannenVrouwen_83;Spelen_84;HuishoudelijkWerk_85;DoeHetZelven_86;Slapen_87;Sporten_88;VanNaarInToiletBadkamer_89;OverigeActiviteitVanPriveOngeval_90;OnbekendeActiviteitVanPriveOngeval_91;Vallen_92;Object_93;Verbranden_94;Verdrinken_95;Verstikken_96;OverigeOorzaakVanPriveOngeval_97;OnbekendeOorzaakVanPriveOngeval_98;InEnOmHetHuis_99;VerpleegOfZiekenhuis_100;OpenbareWeg_101;RecreatieOfNatuurgebied_102;OverigeLocatieVanPriveOngeval_103;OnbekendeLocatieVanPriveOngeval_104;TotaalOverigeEnOnbekendeGevallen_105;Per100000MannenVrouwen_106
0;Totaal mannen en vrouwen;Totaal alle leeftijden;1996;5309;34.2;1577;10.2;598;539.0;168.0;272.0;681;252;160;131;154;179;20;638;145;147;203;444;211;1.4;20;11;71;76;6;6;21;6;13;16;7;9;11;149;65;28;13;33;8;64;1198;7.7;127;230;100;93;588;26;9;25;48;68;45;110;23;155;84;149;158;35;221;84;2;1;15;77;0.5;18;19;21;12;6;1;12;3;11;17;24;10;1999;12.9;28;79;22;51;12;0;165;1642;1586;34;85;70;106;85;33;946;58;36;69;56;834;247;1.6
1;Totaal mannen en vrouwen;Totaal alle leeftijden;1997;5148;33.0;1570;10.1;614;512.0;167.0;277.0;680;253;167;132;131;195;12;679;118;157;162;454;208;1.3;30;9;63;52;15;12;27;6;10;20;9;6;13;144;46;15;10;47;12;78;1151;7.4;123;252;92;93;548;30;10;3;47;53;58;99;28;173;72;131;153;42;202;85;0;8;0;92;0.6;17;23;35;9;6;2;16;1;14;18;24;19;1972;12.6;46;93;19;73;13;0;223;1505;1516;34;72;90;104;102;54;601;62;46;88;55;1120;155;1.0
2;Totaal mannen en vrouwen;Totaal alle leeftijden;1998;4914;31.3;1519;9.7;589;465.0;174.0;291.0;669;241;176;133;106;181;13;659;120;173;178;389;176;1.1;22;7;58;49;15;6;19;3;4;19;6;9;2;133;44;15;8;35;16;58;1044;6.6;121;195;83;78;539;17;4;7;39;45;47;83;21;127;61;136;178;35;177;91;2;2;0;82;0.5;15;20;20;9;15;3;10;1;18;26;21;6;1902;12.1;33;52;22;63;10;39;213;1470;1516;19;76;81;113;71;26;537;126;44;69;46;1080;191;1.2
3;Totaal mannen en vrouwen;Totaal alle leeftijden;1999;5189;32.8;1517;9.6;607;487.0;151.0;272.0;648;260;164;121;134;185;5;721;92;154;155;395;203;1.3;17;19;75;64;10;4;14;10;12;44;14;15;10;98;59;28;8;50;15;43;1105;7.0;113;217;106;80;542;37;1;9;32;77;41;102;26;167;73;143;158;35;179;65;4;3;0;69;0.4;14;9;27;12;4;3;10;1;18;13;26;1;2130;13.5;37;58;17;64;13;55;246;1640;1717;30;67;87;98;93;38;571;122;44;70;52;1271;165;1.0
4;Totaal mannen en vrouwen;Totaal alle leeftijden;2000;5169;32.5;1500;9.4;582;512.0;147.0;259.0;647;229;178;146;131;157;12;647;105;136;151;461;180;1.1;23;4;66;57;7;4;19;5;9;27;10;8;7;114;49;32;20;31;10;38;1085;6.8;101;222;108;89;500;53;5;7;33;63;44;78;34;160;53;154;150;32;206;77;1;0;0;95;0.6;19;16;27;23;9;1;14;0;10;11;47;13;2180;13.7;36;83;16;90;5;78;262;1610;1643;43;68;105;132;121;68;651;161;40;107;54;1167;129;0.8
5;Totaal mannen en vrouwen;Totaal alle leeftijden;2001;5444;33.9;1473;9.2;569;496.0;135.0;273.0;608;236;189;117;137;179;7;651;111;134;143;434;202;1.3;11;7;69;68;17;12;18;5;13;26;22;15;9;112;80;31;11;50;14;16;996;6.2;109;212;80;79;455;51;3;7;40;45;52;77;17;116;53;139;142;32;190;92;1;0;0;89;0.6;15;16;32;12;10;4;12;3;29;14;29;2;2539;15.8;35;69;20;81;8;87;389;1850;2052;25;73;84;125;122;58;728;216;52;95;55;1393;145;0.9
6;Totaal mannen en vrouwen;Totaal alle leeftijden;2002;5318;32.9;1567;9.7;629;530.0;141.0;267.0;698;246;168;116;154;177;8;722;112;170;178;385;195;1.2;13;17;63;61;9;13;19;8;16;27;15;5;15;109;62;43;10;52;15;13;1001;6.2;99;182;99;98;474;43;3;3;53;46;49;66;21;133;51;130;159;27;190;73;0;3;0;73;0.5;15;11;29;7;9;2;10;11;19;7;24;2;2320;14.4;37;62;18;91;14;72;400;1626;1806;19;62;115;94;126;98;707;248;50;105;59;1151;162;1.0
7;Totaal mannen en vrouwen;Totaal alle leeftijden;2003;5404;33.3;1500;9.2;563;491.0;146.0;300.0;686;228;163;97;155;161;10;699;105;137;133;426;202;1.2;15;14;56;72;10;15;20;23;8;65;21;3;15;67;58;40;17;52;31;4;1033;6.4;95;211;98;92;468;58;2;9;52;64;47;84;34;140;56;128;147;24;181;73;0;3;0;85;0.5;12;23;24;8;14;4;13;20;24;12;14;2;2358;14.5;27;72;19;128;10;123;480;1499;1925;26;55;87;108;122;35;729;356;52;98;51;1072;226;1.4
8;Totaal mannen en vrouwen;Totaal alle leeftijden;2004;5226;32.1;1514;9.3;595;483.0;131.0;305.0;683;256;163;118;133;152;9;704;131;173;182;324;191;1.2;21;12;53;71;8;9;17;22;12;32;23;5;28;69;76;23;14;57;13;8;836;5.1;73;175;84;88;392;20;1;3;40;42;34;72;21;125;41;100;117;22;162;56;0;4;0;72;0.4;14;11;24;7;15;1;16;9;21;11;13;2;2333;14.3;33;51;24;122;10;131;610;1352;1813;19;48;94;126;162;71;784;372;57;102;88;930;280;1.7
9;Totaal mannen en vrouwen;Totaal alle leeftijden;2005;5343;32.7;1572;9.6;641;499.0;128.0;304.0;713;260;177;118;126;174;4;668;132;184;179;409;174;1.1;22;6;54;48;14;7;23;14;14;19;15;4;19;89;88;14;15;42;12;3;760;4.7;80;177;75;74;325;22;1;6;20;48;31;66;19;110;48;107;91;20;149;49;0;2;0;63;0.4;13;16;16;9;8;1;12;15;4;10;21;1;2456;15.1;31;89;34;123;8;175;701;1295;1954;24;72;93;143;132;38;821;432;64;100;77;962;318;1.9
