ID;Leeftijd;Migratieachtergrond;RegioS;Perioden;MannenEnVrouwen_1;Mannen_2;Vrouwen_3;MannenEnVrouwen_4;Mannen_5;Vrouwen_6;MannenEnVrouwen_7;Mannen_8;Vrouwen_9
0;Totaal;Totaal;Nederland;1996;15493889.0;7662289.0;7831600.0;1284106.0;638232.0;645874.0;1214608.0;613786.0;600822.0
1;Totaal;Totaal;Nederland;1997;15567107.0;7696803.0;7870304.0;1310705.0;648537.0;662168.0;1243584.0;628553.0;615031.0
2;Totaal;Totaal;Nederland;1998;15654192.0;7740074.0;7914118.0;1345719.0;664788.0;680931.0;1274681.0;644093.0;630588.0
3;Totaal;Totaal;Nederland;1999;15760225.0;7793271.0;7966954.0;1390141.0;685764.0;704377.0;1309093.0;661486.0;647607.0
4;Totaal;Totaal;Nederland;2000;15863950.0;7846317.0;8017633.0;1431122.0;705295.0;725827.0;1344180.0;679165.0;665015.0
5;Totaal;Totaal;Nederland;2001;15987075.0;7909855.0;8077220.0;1488960.0;734277.0;754683.0;1381264.0;697771.0;683493.0
6;Totaal;Totaal;Nederland;2002;16105285.0;7971967.0;8133318.0;1547079.0;763856.0;783223.0;1417870.0;716449.0;701421.0
7;Totaal;Totaal;Nederland;2003;16192572.0;8015471.0;8177101.0;1585927.0;780880.0;805047.0;1452831.0;733905.0;718926.0
8;Totaal;Totaal;Nederland;2004;16258032.0;8045914.0;8212118.0;1602730.0;785050.0;817680.0;1485422.0;750286.0;735136.0
9;Totaal;Totaal;Nederland;2005;16305526.0;8065979.0;8239547.0;1606664.0;781740.0;824924.0;1516053.0;765439.0;750614.0
10;Totaal;Totaal;Nederland;2006;16334210.0;8077407.0;8256803.0;1604259.0;775859.0;828400.0;1543356.0;779122.0;764234.0
11;Totaal;Totaal;Nederland;2007;16357992.0;8088514.0;8269478.0;1601194.0;770945.0;830249.0;1569212.0;792237.0;776975.0
12;Totaal;Totaal;Nederland;2008;16405399.0;8112073.0;8293326.0;1619314.0;778721.0;840593.0;1596102.0;805567.0;790535.0
13;Totaal;Totaal;Nederland;2009;16485787.0;8156396.0;8329391.0;1661505.0;800363.0;861142.0;1626201.0;820859.0;805342.0
14;Totaal;Totaal;Nederland;2010;16574989.0;8203476.0;8371513.0;1699751.0;818390.0;881361.0;1659852.0;838165.0;821687.0
15;Totaal;Totaal;Nederland;2011;16655799.0;8243482.0;8412317.0;1735217.0;832688.0;902529.0;1691802.0;854388.0;837414.0
16;Totaal;Totaal;Nederland;2012;16730348.0;8282871.0;8447477.0;1772204.0;849200.0;923004.0;1721989.0;870140.0;851849.0
17;Totaal;Totaal;Nederland;2013;16779575.0;8307339.0;8472236.0;1793189.0;856153.0;937036.0;1749892.0;884036.0;865856.0
18;Totaal;Totaal;Nederland;2014;16829289.0;8334385.0;8494904.0;1818497.0;866848.0;951649.0;1776247.0;897908.0;878339.0
19;Totaal;Totaal;Nederland;2015;16900726.0;8372858.0;8527868.0;1860977.0;887552.0;973425.0;1804344.0;912354.0;891990.0
20;Totaal;Totaal;Nederland;2016;16979120.0;8417135.0;8561985.0;1920877.0;918539.0;1002338.0;1831414.0;926520.0;904894.0
21;Totaal;Totaal;Nederland;2017;17081507.0;8475102.0;8606405.0;2001175.0;961366.0;1039809.0;1861578.0;941905.0;919673.0
22;Totaal;Totaal;Nederland;2018;17181084.0;8527041.0;8654043.0;2079329.0;998369.0;1080960.0;1892530.0;957726.0;934804.0
23;Totaal;Totaal;Nederland;2019;17282163.0;8581086.0;8701077.0;2161684.0;1039072.0;1122612.0;1924454.0;973999.0;950455.0
24;Totaal;Totaal;Nederland;2020;17407585.0;8648031.0;8759554.0;2262256.0;1090098.0;1172158.0;1958449.0;991477.0;966972.0
25;Totaal;Totaal;Noord-Nederland (LD);1996;1627457.0;808568.0;818889.0;60283.0;30188.0;30095.0;68480.0;35011.0;33469.0
26;Totaal;Totaal;Noord-Nederland (LD);1997;1633986.0;811812.0;822174.0;63223.0;31697.0;31526.0;70003.0;35808.0;34195.0
27;Totaal;Totaal;Noord-Nederland (LD);1998;1640804.0;815272.0;825532.0;66139.0;33265.0;32874.0;71472.0;36537.0;34935.0
28;Totaal;Totaal;Noord-Nederland (LD);1999;1648303.0;819144.0;829159.0;68956.0;34907.0;34049.0;73142.0;37402.0;35740.0
29;Totaal;Totaal;Noord-Nederland (LD);2000;1656952.0;823067.0;833885.0;70991.0;35699.0;35292.0;74833.0;38205.0;36628.0
30;Totaal;Totaal;Noord-Nederland (LD);2001;1671534.0;830369.0;841165.0;77327.0;38978.0;38349.0;76712.0;39122.0;37590.0
31;Totaal;Totaal;Noord-Nederland (LD);2002;1685463.0;837806.0;847657.0;83045.0;42211.0;40834.0;78731.0;40167.0;38564.0
32;Totaal;Totaal;Noord-Nederland (LD);2003;1694038.0;842186.0;851852.0;85347.0;43172.0;42175.0;80554.0;41088.0;39466.0
33;Totaal;Totaal;Noord-Nederland (LD);2004;1698865.0;844625.0;854240.0;84557.0;42547.0;42010.0;82010.0;41799.0;40211.0
34;Totaal;Totaal;Noord-Nederland (LD);2005;1701418.0;845931.0;855487.0;82889.0;41217.0;41672.0;83270.0;42408.0;40862.0
35;Totaal;Totaal;Noord-Nederland (LD);2006;1700753.0;845240.0;855513.0;79920.0;39034.0;40886.0;84316.0;43016.0;41300.0
36;Totaal;Totaal;Noord-Nederland (LD);2007;1702020.0;845590.0;856430.0;78851.0;38104.0;40747.0;85535.0;43595.0;41940.0
37;Totaal;Totaal;Noord-Nederland (LD);2008;1704783.0;846989.0;857794.0;79142.0;38175.0;40967.0;86759.0;44196.0;42563.0
38;Totaal;Totaal;Noord-Nederland (LD);2009;1708821.0;849067.0;859754.0;80699.0;38728.0;41971.0;87882.0;44688.0;43194.0
39;Totaal;Totaal;Noord-Nederland (LD);2010;1713954.0;852184.0;861770.0;83006.0;39867.0;43139.0;89410.0;45540.0;43870.0
40;Totaal;Totaal;Noord-Nederland (LD);2011;1717729.0;854447.0;863282.0;85573.0;41059.0;44514.0;90571.0;46089.0;44482.0
41;Totaal;Totaal;Noord-Nederland (LD);2012;1718896.0;855383.0;863513.0;86915.0;41566.0;45349.0;91856.0;46794.0;45062.0
42;Totaal;Totaal;Noord-Nederland (LD);2013;1718485.0;855474.0;863011.0;87865.0;41899.0;45966.0;92957.0;47345.0;45612.0
43;Totaal;Totaal;Noord-Nederland (LD);2014;1718033.0;855292.0;862741.0;89853.0;42696.0;47157.0;93928.0;47812.0;46116.0
44;Totaal;Totaal;Noord-Nederland (LD);2015;1718775.0;856500.0;862275.0;92012.0;44185.0;47827.0;94984.0;48392.0;46592.0
45;Totaal;Totaal;Noord-Nederland (LD);2016;1718390.0;856917.0;861473.0;95247.0;46005.0;49242.0;96066.0;48990.0;47076.0
46;Totaal;Totaal;Noord-Nederland (LD);2017;1722247.0;859337.0;862910.0;101897.0;49338.0;52559.0;97293.0;49641.0;47652.0
47;Totaal;Totaal;Noord-Nederland (LD);2018;1722312.0;859645.0;862667.0;104899.0;50557.0;54342.0;98706.0;50416.0;48290.0
48;Totaal;Totaal;Noord-Nederland (LD);2019;1723829.0;860658.0;863171.0;108407.0;52176.0;56231.0;100121.0;51094.0;49027.0
49;Totaal;Totaal;Noord-Nederland (LD);2020;1729505.0;863870.0;865635.0;113676.0;54781.0;58895.0;101806.0;52029.0;49777.0
50;Totaal;Totaal;Oost-Nederland (LD);1996;3203108.0;1588558.0;1614550.0;181202.0;88648.0;92554.0;212774.0;107810.0;104964.0
51;Totaal;Totaal;Oost-Nederland (LD);1997;3225525.0;1599554.0;1625971.0;186861.0;91171.0;95690.0;217343.0;110155.0;107188.0
52;Totaal;Totaal;Oost-Nederland (LD);1998;3252469.0;1612855.0;1639614.0;193860.0;94636.0;99224.0;223094.0;113102.0;109992.0
53;Totaal;Totaal;Oost-Nederland (LD);1999;3283690.0;1628597.0;1655093.0;201811.0;98573.0;103238.0;229004.0;115987.0;113017.0
54;Totaal;Totaal;Oost-Nederland (LD);2000;3313989.0;1644286.0;1669703.0;209767.0;102678.0;107089.0;234945.0;119116.0;115829.0
55;Totaal;Totaal;Oost-Nederland (LD);2001;3349530.0;1662265.0;1687265.0;221221.0;108556.0;112665.0;241623.0;122439.0;119184.0
56;Totaal;Totaal;Oost-Nederland (LD);2002;3384986.0;1680830.0;1704156.0;234689.0;115654.0;119035.0;248527.0;125921.0;122606.0
57;Totaal;Totaal;Oost-Nederland (LD);2003;3412779.0;1694856.0;1717923.0;244542.0;120484.0;124058.0;255029.0;129138.0;125891.0
58;Totaal;Totaal;Oost-Nederland (LD);2004;3432345.0;1704230.0;1728115.0;247970.0;121591.0;126379.0;260761.0;132014.0;128747.0
59;Totaal;Totaal;Oost-Nederland (LD);2005;3447301.0;1710537.0;1736764.0;247928.0;120520.0;127408.0;266351.0;134730.0;131621.0
60;Totaal;Totaal;Oost-Nederland (LD);2006;3459889.0;1716210.0;1743679.0;248030.0;119783.0;128247.0;271182.0;137149.0;134033.0
61;Totaal;Totaal;Oost-Nederland (LD);2007;3469857.0;1720994.0;1748863.0;246625.0;118271.0;128354.0;275729.0;139562.0;136167.0
62;Totaal;Totaal;Oost-Nederland (LD);2008;3482551.0;1727265.0;1755286.0;248483.0;118793.0;129690.0;279921.0;141778.0;138143.0
63;Totaal;Totaal;Oost-Nederland (LD);2009;3499946.0;1736972.0;1762974.0;253926.0;121620.0;132306.0;284371.0;144065.0;140306.0
64;Totaal;Totaal;Oost-Nederland (LD);2010;3517162.0;1746064.0;1771098.0;259002.0;124130.0;134872.0;288890.0;146446.0;142444.0
65;Totaal;Totaal;Oost-Nederland (LD);2011;3531103.0;1752350.0;1778753.0;261732.0;124493.0;137239.0;293374.0;148802.0;144572.0
66;Totaal;Totaal;Oost-Nederland (LD);2012;3543938.0;1759215.0;1784723.0;265087.0;125741.0;139346.0;297441.0;150984.0;146457.0
67;Totaal;Totaal;Oost-Nederland (LD);2013;3553582.0;1764184.0;1789398.0;267036.0;126332.0;140704.0;301133.0;152817.0;148316.0
68;Totaal;Totaal;Oost-Nederland (LD);2014;3559282.0;1768014.0;1791268.0;268576.0;126996.0;141580.0;304194.0;154593.0;149601.0
69;Totaal;Totaal;Oost-Nederland (LD);2015;3569021.0;1773765.0;1795256.0;272604.0;129079.0;143525.0;307512.0;156357.0;151155.0
70;Totaal;Totaal;Oost-Nederland (LD);2016;3583699.0;1782445.0;1801254.0;281747.0;134143.0;147604.0;310975.0;158204.0;152771.0
71;Totaal;Totaal;Oost-Nederland (LD);2017;3603406.0;1794283.0;1809123.0;293791.0;140945.0;152846.0;315233.0;160525.0;154708.0
72;Totaal;Totaal;Oost-Nederland (LD);2018;3623274.0;1804460.0;1818814.0;304722.0;145891.0;158831.0;320159.0;162850.0;157309.0
73;Totaal;Totaal;Oost-Nederland (LD);2019;3644949.0;1816378.0;1828571.0;316125.0;151770.0;164355.0;325639.0;165688.0;159951.0
74;Totaal;Totaal;Oost-Nederland (LD);2020;3671379.0;1830858.0;1840521.0;330868.0;159683.0;171185.0;331545.0;168791.0;162754.0
75;Totaal;Totaal;West-Nederland (LD);1996;7239231.0;3556780.0;3682451.0;821309.0;410258.0;411051.0;652973.0;330049.0;322924.0
76;Totaal;Totaal;West-Nederland (LD);1997;7267303.0;3569520.0;3697783.0;832971.0;413305.0;419666.0;672289.0;339828.0;332461.0
77;Totaal;Totaal;West-Nederland (LD);1998;7303722.0;3588202.0;3715520.0;852382.0;421814.0;430568.0;692012.0;349673.0;342339.0
78;Totaal;Totaal;West-Nederland (LD);1999;7351221.0;3611818.0;3739403.0;877920.0;433135.0;444785.0;714204.0;360871.0;353333.0
79;Totaal;Totaal;West-Nederland (LD);2000;7395813.0;3635544.0;3760269.0;901280.0;444078.0;457202.0;736883.0;372304.0;364579.0
80;Totaal;Totaal;West-Nederland (LD);2001;7448216.0;3663398.0;3784818.0;933121.0;459730.0;473391.0;760636.0;384161.0;376475.0
81;Totaal;Totaal;West-Nederland (LD);2002;7500417.0;3690956.0;3809461.0;964399.0;475005.0;489394.0;783968.0;396034.0;387934.0
82;Totaal;Totaal;West-Nederland (LD);2003;7543668.0;3712956.0;3830712.0;987702.0;485196.0;502506.0;807074.0;407597.0;399477.0
83;Totaal;Totaal;West-Nederland (LD);2004;7580493.0;3730066.0;3850427.0;1001605.0;489624.0;511981.0;829236.0;418789.0;410447.0
84;Totaal;Totaal;West-Nederland (LD);2005;7608753.0;3742675.0;3866078.0;1008551.0;490281.0;518270.0;850282.0;429318.0;420964.0
85;Totaal;Totaal;West-Nederland (LD);2006;7625684.0;3749644.0;3876040.0;1008512.0;487703.0;520809.0;869356.0;438695.0;430661.0
86;Totaal;Totaal;West-Nederland (LD);2007;7639268.0;3756269.0;3882999.0;1007994.0;485695.0;522299.0;887319.0;447584.0;439735.0
87;Totaal;Totaal;West-Nederland (LD);2008;7669533.0;3771391.0;3898142.0;1021180.0;491546.0;529634.0;906674.0;457108.0;449566.0
88;Totaal;Totaal;West-Nederland (LD);2009;7719856.0;3798931.0;3920925.0;1048876.0;505620.0;543256.0;928511.0;468125.0;460386.0
89;Totaal;Totaal;West-Nederland (LD);2010;7777014.0;3828726.0;3948288.0;1073529.0;517250.0;556279.0;952454.0;480299.0;472155.0
90;Totaal;Totaal;West-Nederland (LD);2011;7830125.0;3854874.0;3975251.0;1096305.0;526708.0;569597.0;975602.0;491868.0;483734.0
91;Totaal;Totaal;West-Nederland (LD);2012;7880753.0;3881417.0;3999336.0;1120942.0;538088.0;582854.0;997479.0;503137.0;494342.0
92;Totaal;Totaal;West-Nederland (LD);2013;7914606.0;3897182.0;4017424.0;1132833.0;541240.0;591593.0;1017708.0;513116.0;504592.0
93;Totaal;Totaal;West-Nederland (LD);2014;7952694.0;3916923.0;4035771.0;1147405.0;547146.0;600259.0;1037456.0;523347.0;514109.0
94;Totaal;Totaal;West-Nederland (LD);2015;8006238.0;3944087.0;4062151.0;1174489.0;559299.0;615190.0;1058828.0;534297.0;524531.0
95;Totaal;Totaal;West-Nederland (LD);2016;8062022.0;3974255.0;4087767.0;1210077.0;577227.0;632850.0;1079277.0;544740.0;534537.0
96;Totaal;Totaal;West-Nederland (LD);2017;8125777.0;4008915.0;4116862.0;1255418.0;600797.0;654621.0;1100740.0;555501.0;545239.0
97;Totaal;Totaal;West-Nederland (LD);2018;8190014.0;4041899.0;4148115.0;1303943.0;623938.0;680005.0;1121856.0;566217.0;555639.0
98;Totaal;Totaal;West-Nederland (LD);2019;8252442.0;4074368.0;4178074.0;1355214.0;648793.0;706421.0;1143397.0;577056.0;566341.0
99;Totaal;Totaal;West-Nederland (LD);2020;8326545.0;4113290.0;4213255.0;1417072.0;679705.0;737367.0;1165870.0;588372.0;577498.0
100;Totaal;Totaal;Zuid-Nederland (LD);1996;3424093.0;1708383.0;1715710.0;221312.0;109138.0;112174.0;280381.0;140916.0;139465.0
101;Totaal;Totaal;Zuid-Nederland (LD);1997;3440293.0;1715917.0;1724376.0;227650.0;112364.0;115286.0;283949.0;142762.0;141187.0
102;Totaal;Totaal;Zuid-Nederland (LD);1998;3457197.0;1723745.0;1733452.0;233338.0;115073.0;118265.0;288103.0;144781.0;143322.0
103;Totaal;Totaal;Zuid-Nederland (LD);1999;3477011.0;1733712.0;1743299.0;241454.0;119149.0;122305.0;292743.0;147226.0;145517.0
104;Totaal;Totaal;Zuid-Nederland (LD);2000;3497196.0;1743420.0;1753776.0;249084.0;122840.0;126244.0;297519.0;149540.0;147979.0
105;Totaal;Totaal;Zuid-Nederland (LD);2001;3517795.0;1753823.0;1763972.0;257291.0;127013.0;130278.0;302293.0;152049.0;150244.0
106;Totaal;Totaal;Zuid-Nederland (LD);2002;3534419.0;1762375.0;1772044.0;264946.0;130986.0;133960.0;306644.0;154327.0;152317.0
107;Totaal;Totaal;Zuid-Nederland (LD);2003;3542087.0;1765473.0;1776614.0;268336.0;132028.0;136308.0;310174.0;156082.0;154092.0
108;Totaal;Totaal;Zuid-Nederland (LD);2004;3546329.0;1766993.0;1779336.0;268598.0;131288.0;137310.0;313415.0;157684.0;155731.0
109;Totaal;Totaal;Zuid-Nederland (LD);2005;3548054.0;1766836.0;1781218.0;267296.0;129722.0;137574.0;316150.0;158983.0;157167.0
110;Totaal;Totaal;Zuid-Nederland (LD);2006;3547884.0;1766313.0;1781571.0;267797.0;129339.0;138458.0;318502.0;160262.0;158240.0
111;Totaal;Totaal;Zuid-Nederland (LD);2007;3546847.0;1765661.0;1781186.0;267724.0;128875.0;138849.0;320629.0;161496.0;159133.0
112;Totaal;Totaal;Zuid-Nederland (LD);2008;3548532.0;1766428.0;1782104.0;270509.0;130207.0;140302.0;322748.0;162485.0;160263.0
113;Totaal;Totaal;Zuid-Nederland (LD);2009;3557164.0;1771426.0;1785738.0;278004.0;134395.0;143609.0;325437.0;163981.0;161456.0
114;Totaal;Totaal;Zuid-Nederland (LD);2010;3566859.0;1776502.0;1790357.0;284214.0;137143.0;147071.0;329098.0;165880.0;163218.0
115;Totaal;Totaal;Zuid-Nederland (LD);2011;3576842.0;1781811.0;1795031.0;291607.0;140428.0;151179.0;332255.0;167629.0;164626.0
116;Totaal;Totaal;Zuid-Nederland (LD);2012;3586761.0;1786856.0;1799905.0;299260.0;143805.0;155455.0;335213.0;169225.0;165988.0
117;Totaal;Totaal;Zuid-Nederland (LD);2013;3592902.0;1790499.0;1802403.0;305455.0;146682.0;158773.0;338094.0;170758.0;167336.0
118;Totaal;Totaal;Zuid-Nederland (LD);2014;3599280.0;1794156.0;1805124.0;312663.0;150010.0;162653.0;340669.0;172156.0;168513.0
119;Totaal;Totaal;Zuid-Nederland (LD);2015;3606692.0;1798506.0;1808186.0;321872.0;154989.0;166883.0;343020.0;173308.0;169712.0
120;Totaal;Totaal;Zuid-Nederland (LD);2016;3615009.0;1803518.0;1811491.0;333806.0;161164.0;172642.0;345096.0;174586.0;170510.0
121;Totaal;Totaal;Zuid-Nederland (LD);2017;3630077.0;1812567.0;1817510.0;350069.0;170286.0;179783.0;348312.0;176238.0;172074.0
122;Totaal;Totaal;Zuid-Nederland (LD);2018;3645484.0;1821037.0;1824447.0;365765.0;177983.0;187782.0;351809.0;178243.0;173566.0
123;Totaal;Totaal;Zuid-Nederland (LD);2019;3660943.0;1829682.0;1831261.0;381938.0;186333.0;195605.0;355297.0;180161.0;175136.0
124;Totaal;Totaal;Zuid-Nederland (LD);2020;3680156.0;1840013.0;1840143.0;400640.0;195929.0;204711.0;359228.0;182285.0;176943.0
125;Totaal;Totaal;Groningen (PV);1996;558113.0;276247.0;281866.0;26961.0;13499.0;13462.0;28278.0;14505.0;13773.0
126;Totaal;Totaal;Groningen (PV);1997;558124.0;276380.0;281744.0;27667.0;13891.0;13776.0;28734.0;14736.0;13998.0
127;Totaal;Totaal;Groningen (PV);1998;558017.0;276235.0;281782.0;28494.0;14338.0;14156.0;29260.0;15011.0;14249.0
128;Totaal;Totaal;Groningen (PV);1999;559988.0;277261.0;282727.0;29827.0;15061.0;14766.0;29927.0;15326.0;14601.0
129;Totaal;Totaal;Groningen (PV);2000;562646.0;278691.0;283955.0;30877.0;15569.0;15308.0;30608.0;15661.0;14947.0
130;Totaal;Totaal;Groningen (PV);2001;566489.0;280618.0;285871.0;33018.0;16550.0;16468.0;31339.0;16083.0;15256.0
131;Totaal;Totaal;Groningen (PV);2002;570480.0;282889.0;287591.0;35567.0;18031.0;17536.0;32177.0;16494.0;15683.0
132;Totaal;Totaal;Groningen (PV);2003;572997.0;284313.0;288684.0;36900.0;18641.0;18259.0;33040.0;16929.0;16111.0
133;Totaal;Totaal;Groningen (PV);2004;574384.0;285230.0;289154.0;36694.0;18522.0;18172.0;33730.0;17275.0;16455.0
134;Totaal;Totaal;Groningen (PV);2005;575072.0;285544.0;289528.0;36604.0;18249.0;18355.0;34269.0;17521.0;16748.0
135;Totaal;Totaal;Groningen (PV);2006;574042.0;285089.0;288953.0;35961.0;17732.0;18229.0;34694.0;17756.0;16938.0
136;Totaal;Totaal;Groningen (PV);2007;573614.0;284791.0;288823.0;35498.0;17389.0;18109.0;34959.0;17824.0;17135.0
137;Totaal;Totaal;Groningen (PV);2008;573459.0;284678.0;288781.0;35418.0;17324.0;18094.0;35444.0;18107.0;17337.0
138;Totaal;Totaal;Groningen (PV);2009;574092.0;284981.0;289111.0;36228.0;17567.0;18661.0;35962.0;18333.0;17629.0
139;Totaal;Totaal;Groningen (PV);2010;576668.0;286495.0;290173.0;37528.0;18174.0;19354.0;36681.0;18743.0;17938.0
140;Totaal;Totaal;Groningen (PV);2011;579036.0;287924.0;291112.0;39486.0;19115.0;20371.0;37198.0;19003.0;18195.0
141;Totaal;Totaal;Groningen (PV);2012;580875.0;288754.0;292121.0;40672.0;19630.0;21042.0;37832.0;19324.0;18508.0
142;Totaal;Totaal;Groningen (PV);2013;581705.0;289275.0;292430.0;41569.0;20067.0;21502.0;38369.0;19622.0;18747.0
143;Totaal;Totaal;Groningen (PV);2014;582728.0;289820.0;292908.0;42931.0;20686.0;22245.0;38897.0;19855.0;19042.0
144;Totaal;Totaal;Groningen (PV);2015;583942.0;290840.0;293102.0;44389.0;21608.0;22781.0;39396.0;20106.0;19290.0
145;Totaal;Totaal;Groningen (PV);2016;583721.0;291058.0;292663.0;45806.0;22465.0;23341.0;39778.0;20339.0;19439.0
146;Totaal;Totaal;Groningen (PV);2017;583581.0;291291.0;292290.0;47382.0;23233.0;24149.0;40289.0;20614.0;19675.0
147;Totaal;Totaal;Groningen (PV);2018;582944.0;290938.0;292006.0;49073.0;23802.0;25271.0;40799.0;20923.0;19876.0
148;Totaal;Totaal;Groningen (PV);2019;583990.0;291436.0;292554.0;52086.0;25217.0;26869.0;41233.0;21154.0;20079.0
149;Totaal;Totaal;Groningen (PV);2020;585866.0;292444.0;293422.0;54845.0;26560.0;28285.0;41903.0;21526.0;20377.0
150;Totaal;Totaal;Friesland (PV);1996;612028.0;305055.0;306973.0;18695.0;9432.0;9263.0;21418.0;10951.0;10467.0
151;Totaal;Totaal;Friesland (PV);1997;615045.0;306651.0;308394.0;19982.0;10102.0;9880.0;22017.0;11223.0;10794.0
152;Totaal;Totaal;Friesland (PV);1998;618115.0;308335.0;309780.0;20959.0;10637.0;10322.0;22570.0;11512.0;11058.0
153;Totaal;Totaal;Friesland (PV);1999;621222.0;310038.0;311184.0;21954.0;11226.0;10728.0;23177.0;11860.0;11317.0
154;Totaal;Totaal;Friesland (PV);2000;624500.0;311504.0;312996.0;22723.0;11515.0;11208.0;23807.0;12161.0;11646.0
155;Totaal;Totaal;Friesland (PV);2001;630539.0;314591.0;315948.0;25222.0;12927.0;12295.0;24484.0;12431.0;12053.0
156;Totaal;Totaal;Friesland (PV);2002;636184.0;317582.0;318602.0;27196.0;13987.0;13209.0;25225.0;12849.0;12376.0
157;Totaal;Totaal;Friesland (PV);2003;639787.0;319483.0;320304.0;27860.0;14278.0;13582.0;25906.0;13196.0;12710.0
158;Totaal;Totaal;Friesland (PV);2004;642066.0;320656.0;321410.0;27725.0;14096.0;13629.0;26383.0;13439.0;12944.0
159;Totaal;Totaal;Friesland (PV);2005;642977.0;321235.0;321742.0;27102.0;13638.0;13464.0;26816.0;13677.0;13139.0
160;Totaal;Totaal;Friesland (PV);2006;642230.0;320611.0;321619.0;25352.0;12422.0;12930.0;27081.0;13836.0;13245.0
161;Totaal;Totaal;Friesland (PV);2007;642209.0;320383.0;321826.0;24663.0;11821.0;12842.0;27568.0;14112.0;13456.0
162;Totaal;Totaal;Friesland (PV);2008;643189.0;321102.0;322087.0;24819.0;11908.0;12911.0;28021.0;14320.0;13701.0
163;Totaal;Totaal;Friesland (PV);2009;644811.0;322015.0;322796.0;25281.0;12123.0;13158.0;28311.0;14444.0;13867.0
164;Totaal;Totaal;Friesland (PV);2010;646305.0;322911.0;323394.0;25858.0;12402.0;13456.0;28760.0;14668.0;14092.0
165;Totaal;Totaal;Friesland (PV);2011;647282.0;323439.0;323843.0;26214.0;12414.0;13800.0;29167.0;14868.0;14299.0
166;Totaal;Totaal;Friesland (PV);2012;647214.0;323495.0;323719.0;26415.0;12465.0;13950.0;29604.0;15090.0;14514.0
167;Totaal;Totaal;Friesland (PV);2013;646862.0;323442.0;323420.0;26571.0;12514.0;14057.0;29895.0;15250.0;14645.0
168;Totaal;Totaal;Friesland (PV);2014;646317.0;323242.0;323075.0;26919.0;12613.0;14306.0;30216.0;15410.0;14806.0
169;Totaal;Totaal;Friesland (PV);2015;646257.0;323398.0;322859.0;27281.0;12921.0;14360.0;30588.0;15616.0;14972.0
170;Totaal;Totaal;Friesland (PV);2016;646040.0;323376.0;322664.0;28069.0;13296.0;14773.0;31014.0;15848.0;15166.0
