ID;RegioSEnBedrijfskenmerken;Perioden;UitgesprokenFaillissementen_1;k_0000bLandbouwBosbouwVisserijAB_2;CTMENijverheidGeenBouwnijverheid_3;FBouwnijverheid_4;GReparatieVanConsumentenartikelen_5;HHoreca_6;IVervoerOpslagEnCommunicatie_7;JFinancieleInstellingen_8;KVHEnHandelInOnroerendGoed_9;k_8000bOnderwijsZorgRecreatie_10;Onbekend_11
0;Nederland;1993;5512.0;149.0;790.0;702.0;1626.0;335.0;333.0;348.0;915.0;245.0;69.0
1;Nederland;1994;5333.0;134.0;718.0;688.0;1625.0;340.0;320.0;294.0;907.0;275.0;32.0
2;Nederland;1995;4783.0;118.0;531.0;580.0;1523.0;383.0;274.0;227.0;857.0;239.0;51.0
3;Nederland;1996;4534.0;84.0;536.0;618.0;1460.0;338.0;289.0;175.0;769.0;228.0;37.0
4;Nederland;1997;4409.0;92.0;525.0;560.0;1370.0;332.0;317.0;218.0;719.0;236.0;40.0
5;Nederland;1998;4015.0;69.0;475.0;559.0;1206.0;296.0;268.0;183.0;690.0;256.0;13.0
6;Nederland;1999;3238.0;60.0;393.0;467.0;963.0;179.0;227.0;151.0;626.0;158.0;14.0
7;Nederland;2000;3579.0;57.0;428.0;531.0;964.0;195.0;254.0;204.0;724.0;196.0;26.0
8;Nederland;2001;4330.0;61.0;507.0;645.0;1069.0;192.0;298.0;242.0;1063.0;223.0;30.0
9;Nederland;2002;4963.0;71.0;604.0;607.0;1120.0;173.0;315.0;463.0;1346.0;244.0;20.0
10;Nederland;2003;6386.0;122.0;804.0;887.0;1346.0;271.0;404.0;643.0;1611.0;261.0;37.0
11;Nederland;2004;6648.0;189.0;741.0;855.0;1562.0;332.0;372.0;742.0;1497.0;324.0;34.0
12;Nederland;2005;6780.0;139.0;657.0;897.0;1595.0;420.0;469.0;744.0;1456.0;337.0;66.0
13;Nederland;2006;5941.0;141.0;505.0;766.0;1421.0;540.0;396.0;569.0;1251.0;307.0;45.0
14;Nederland;2007;4602.0;83.0;463.0;615.0;1163.0;298.0;240.0;445.0;1001.0;284.0;10.0
15;Nederland;2008;4635.0;88.0;426.0;628.0;1211.0;233.0;276.0;448.0;1029.0;289.0;7.0
16;Nederland;2009;8040.0;143.0;915.0;997.0;1934.0;311.0;476.0;826.0;1965.0;473.0;0.0
17;Nederland;2010;7210.0;140.0;880.0;1123.0;1628.0;345.0;418.0;588.0;1616.0;467.0;5.0
18;Nederland;2011;7134.0;143.0;777.0;1090.0;1588.0;425.0;380.0;607.0;1667.0;450.0;7.0
19;Noord-Nederland (LD);1993;463.0;18.0;76.0;62.0;130.0;45.0;25.0;22.0;58.0;22.0;5.0
20;Noord-Nederland (LD);1994;448.0;17.0;62.0;49.0;142.0;52.0;21.0;13.0;53.0;34.0;5.0
21;Noord-Nederland (LD);1995;435.0;15.0;52.0;65.0;129.0;51.0;23.0;18.0;46.0;34.0;2.0
