ID;SIC1993AndSizeOfEnterprises;Periods;Vacancies_1;NewVacancies_2;FilledVacancies_3;Vacancies_4;NewVacancies_5;FilledVacancies_6
0;A-O Total SIC'93;1994 1st quarter;;;;43.2;108.0;98.0
1;A-O Total SIC'93;1994 2nd quarter;;;;41.6;115.0;117.0
2;A-O Total SIC'93;1994 3rd quarter;;;;39.4;117.0;119.0
3;A-O Total SIC'93;1994 4th quarter;;;;42.8;98.0;95.0
4;A-O Total SIC'93;1994 yearly average/yearly total;;;;40.6;438.0;428.0
5;A-O Total SIC'93;1995 1st quarter;;;;56.0;131.0;118.0
6;A-O Total SIC'93;1995 2nd quarter;;;;55.0;134.0;135.0
7;A-O Total SIC'93;1995 3rd quarter;;;;55.3;141.0;141.0
8;A-O Total SIC'93;1995 4th quarter;;;;61.7;120.0;114.0
9;A-O Total SIC'93;1995 yearly average/yearly total;;;;54.6;526.0;508.0
10;A-O Total SIC'93;1996 1st quarter;;;;72.6;145.0;134.0
11;A-O Total SIC'93;1996 2nd quarter;;;;71.2;152.0;153.0
12;A-O Total SIC'93;1996 3rd quarter;;;;61.1;141.0;151.0
13;A-O Total SIC'93;1996 4th quarter;;;;70.4;133.0;123.0
14;A-O Total SIC'93;1996 yearly average/yearly total;;;;67.7;571.0;561.0
15;A-O Total SIC'93;1997 1st quarter;;;;80.1;138.0;129.0
16;A-O Total SIC'93;1997 2nd quarter;;;;90.0;176.0;166.0
17;A-O Total SIC'93;1997 3rd quarter;;;;82.1;165.0;173.0
18;A-O Total SIC'93;1997 4th quarter;;;;105.8;177.0;153.0
19;A-O Total SIC'93;1997 yearly average/yearly total;;;;85.1;656.0;621.0
20;A-O Total SIC'93;1998 1st quarter;;;;122.3;204.0;188.0
21;A-O Total SIC'93;1998 2nd quarter;;;;138.7;214.0;197.0
22;A-O Total SIC'93;1998 3rd quarter;;;;117.5;189.0;211.0
23;A-O Total SIC'93;1998 4th quarter;;;;124.4;183.0;176.0
24;A-O Total SIC'93;1998 yearly average/yearly total;;;;123.4;790.0;772.0
25;A-O Total SIC'93;1999 1st quarter;;;;145.5;225.0;204.0
26;A-O Total SIC'93;1999 2nd quarter;;;;181.6;250.0;214.0
27;A-O Total SIC'93;1999 3rd quarter;;;;157.4;197.0;221.0
28;A-O Total SIC'93;1999 4th quarter;;;;168.1;210.0;200.0
29;A-O Total SIC'93;1999 yearly average/yearly total;;;;157.7;882.0;839.0
30;A-O Total SIC'93;2000 1st quarter;;;;200.8;267.0;234.0
31;A-O Total SIC'93;2000 2nd quarter;;;;201.6;233.0;232.0
32;A-O Total SIC'93;2000 3rd quarter;;;;169.4;208.0;240.0
33;A-O Total SIC'93;2000 4th quarter;;;;188.8;237.0;217.0
34;A-O Total SIC'93;2000 yearly average/yearly total;;;;187.6;945.0;924.0
35;A-O Total SIC'93;2001 1st quarter;;;;200.6;252.0;241.0
36;A-O Total SIC'93;2001 2nd quarter;;;;201.7;252.0;251.0
37;A-O Total SIC'93;2001 3rd quarter;;;;156.1;189.0;234.0
38;A-O Total SIC'93;2001 4th quarter;;;;147.8;176.0;185.0
39;A-O Total SIC'93;2001 yearly average/yearly total;;;;181.7;870.0;911.0
40;A-O Total SIC'93;2002 1st quarter;;;;162.8;196.0;181.0
41;A-O Total SIC'93;2002 2nd quarter;;;;146.0;182.0;199.0
42;A-O Total SIC'93;2002 3rd quarter;;;;103.3;141.0;184.0
43;A-O Total SIC'93;2002 4th quarter;;;;107.9;149.0;144.0
44;A-O Total SIC'93;2002 yearly average/yearly total;;;;135.0;668.0;708.0
45;A-O Total SIC'93;2003 1st quarter;;;;113.1;165.0;160.0
46;A-O Total SIC'93;2003 2nd quarter;;;;114.0;162.0;161.0
47;A-O Total SIC'93;2003 3rd quarter;;;;72.5;128.0;169.0
48;A-O Total SIC'93;2003 4th quarter;;;;85.4;142.0;129.0
49;A-O Total SIC'93;2003 yearly average/yearly total;;;;99.1;597.0;620.0
50;A-O Total SIC'93;2004 1st quarter;;;;112.0;169.0;143.0
51;A-O Total SIC'93;2004 2nd quarter;;;;123.6;189.0;178.0
52;A-O Total SIC'93;2004 3rd quarter;;;;100.8;158.0;181.0
53;A-O Total SIC'93;2004 4th quarter;;;;110.2;165.0;156.0
54;A-O Total SIC'93;2004 yearly average/yearly total;;;;108.6;682.0;657.0
55;A-O Total SIC'93;2005 1st quarter;;;;144.9;207.0;172.0
56;A-O Total SIC'93;2005 2nd quarter;;;;141.7;197.0;201.0
57;A-O Total SIC'93;2005 3rd quarter;;;;142.5;214.0;213.0
58;A-O Total SIC'93;2005 4th quarter;;;;145.0;199.0;197.0
59;A-O Total SIC'93;2005 yearly average/yearly total;;;;139.2;818.0;783.0
60;A-O Total SIC'93;2006 1st quarter;;;;173.4;240.0;211.0
61;A-O Total SIC'93;2006 2nd quarter;;;;197.1;269.0;245.0
62;A-O Total SIC'93;2006 3rd quarter;;;;188.2;250.0;259.0
63;A-O Total SIC'93;2006 4th quarter;208.3;242.0;243.0;194.2;230.0;224.0
64;A-O Total SIC'93;2006 yearly average/yearly total;;;;182.1;989.0;939.0
65;A-O Total SIC'93;2007 1st quarter;225.0;276.0;259.0;;;
66;A-O Total SIC'93;2007 2nd quarter;235.6;284.0;274.0;;;
67;A-O Total SIC'93;2007 3rd quarter;224.0;254.0;265.0;;;
68;A-O Total SIC'93;2007 4th quarter;226.3;247.0;244.0;;;
69;A-O Total SIC'93;2007 yearly average/yearly total;225.5;1061.0;1042.0;;;
70;A-O Total SIC'93;2008 1st quarter;234.1;259.0;251.0;;;
71;A-O Total SIC'93;2008 2nd quarter;237.8;268.0;264.0;;;
72;A-O Total SIC'93;2008 3rd quarter;215.4;245.0;267.0;;;
73;A-O Total SIC'93;2008 4rd quarter;166.0;190.0;240.0;;;
74;A-O Total SIC'93;2008 yearly average/yearly total;220.9;961.0;1022.0;;;
75;A-O Total SIC'93;2009 1st quarter;134.2;173.0;205.0;;;
76;A-O Total SIC'93;2009 2nd quarter;116.9;168.0;186.0;;;
77;A-O Total SIC'93;2009 3rd quarter;106.7;167.0;177.0;;;
78;A-O Total SIC'93;2009 4rd quarter;101.5;158.0;163.0;;;
79;A-O Total SIC'93;2009 yearly average/yearly total;122.9;667.0;732.0;;;
80;A, B Agriculture/fishing;1994 1st quarter;;;;1.3;5.0;4.0
81;A, B Agriculture/fishing;1994 2nd quarter;;;;0.5;6.0;7.0
82;A, B Agriculture/fishing;1994 3rd quarter;;;;0.7;3.0;3.0
83;A, B Agriculture/fishing;1994 4th quarter;;;;0.6;2.0;3.0
84;A, B Agriculture/fishing;1994 yearly average/yearly total;;;;0.8;17.0;16.0
85;A, B Agriculture/fishing;1995 1st quarter;;;;1.5;5.0;5.0
86;A, B Agriculture/fishing;1995 2nd quarter;;;;1.2;7.0;8.0
87;A, B Agriculture/fishing;1995 3rd quarter;;;;1.4;11.0;11.0
88;A, B Agriculture/fishing;1995 4th quarter;;;;1.7;6.0;6.0
89;A, B Agriculture/fishing;1995 yearly average/yearly total;;;;1.3;29.0;30.0
90;A, B Agriculture/fishing;1996 1st quarter;;;;1.9;5.0;5.0
91;A, B Agriculture/fishing;1996 2nd quarter;;;;1.3;5.0;6.0
92;A, B Agriculture/fishing;1996 3rd quarter;;;;0.8;6.0;7.0
93;A, B Agriculture/fishing;1996 4th quarter;;;;0.7;4.0;4.0
94;A, B Agriculture/fishing;1996 yearly average/yearly total;;;;1.3;20.0;22.0
95;A, B Agriculture/fishing;1997 1st quarter;;;;0.9;3.0;3.0
96;A, B Agriculture/fishing;1997 2nd quarter;;;;2.0;7.0;6.0
97;A, B Agriculture/fishing;1997 3rd quarter;;;;1.8;3.0;4.0
98;A, B Agriculture/fishing;1997 4th quarter;;;;1.5;3.0;3.0
99;A, B Agriculture/fishing;1997 yearly average/yearly total;;;;1.5;17.0;16.0
100;A, B Agriculture/fishing;1998 1st quarter;;;;2.4;8.0;7.0
101;A, B Agriculture/fishing;1998 2nd quarter;;;;1.8;5.0;5.0
102;A, B Agriculture/fishing;1998 3rd quarter;;;;2.0;7.0;7.0
103;A, B Agriculture/fishing;1998 4th quarter;;;;2.1;4.0;4.0
104;A, B Agriculture/fishing;1998 yearly average/yearly total;;;;2.0;24.0;23.0
105;A, B Agriculture/fishing;1999 1st quarter;;;;2.6;7.0;6.0
106;A, B Agriculture/fishing;1999 2nd quarter;;;;3.2;8.0;7.0
107;A, B Agriculture/fishing;1999 3rd quarter;;;;2.3;5.0;6.0
108;A, B Agriculture/fishing;1999 4th quarter;;;;2.5;4.0;4.0
109;A, B Agriculture/fishing;1999 yearly average/yearly total;;;;2.6;23.0;23.0
110;A, B Agriculture/fishing;2000 1st quarter;;;;3.4;7.0;6.0
111;A, B Agriculture/fishing;2000 2nd quarter;;;;4.1;6.0;5.0
112;A, B Agriculture/fishing;2000 3rd quarter;;;;2.8;8.0;9.0
113;A, B Agriculture/fishing;2000 4th quarter;;;;3.8;6.0;5.0
114;A, B Agriculture/fishing;2000 yearly average/yearly total;;;;3.4;26.0;25.0
115;A, B Agriculture/fishing;2001 1st quarter;;;;4.4;6.0;6.0
116;A, B Agriculture/fishing;2001 2nd quarter;;;;3.4;4.0;5.0
117;A, B Agriculture/fishing;2001 3rd quarter;;;;2.7;4.0;5.0
118;A, B Agriculture/fishing;2001 4th quarter;;;;2.6;3.0;3.0
119;A, B Agriculture/fishing;2001 yearly average/yearly total;;;;3.4;18.0;19.0
120;A, B Agriculture/fishing;2002 1st quarter;;;;4.6;6.0;4.0
121;A, B Agriculture/fishing;2002 2nd quarter;;;;4.0;4.0;5.0
122;A, B Agriculture/fishing;2002 3rd quarter;;;;1.2;2.0;5.0
123;A, B Agriculture/fishing;2002 4th quarter;;;;1.9;3.0;3.0
124;A, B Agriculture/fishing;2002 yearly average/yearly total;;;;3.0;16.0;17.0
125;A, B Agriculture/fishing;2003 1st quarter;;;;2.9;5.0;4.0
126;A, B Agriculture/fishing;2003 2nd quarter;;;;2.8;4.0;4.0
127;A, B Agriculture/fishing;2003 3rd quarter;;;;1.1;4.0;5.0
128;A, B Agriculture/fishing;2003 4th quarter;;;;1.4;4.0;4.0
129;A, B Agriculture/fishing;2003 yearly average/yearly total;;;;2.1;17.0;17.0
130;A, B Agriculture/fishing;2004 1st quarter;;;;3.9;7.0;5.0
131;A, B Agriculture/fishing;2004 2nd quarter;;;;4.1;9.0;8.0
132;A, B Agriculture/fishing;2004 3rd quarter;;;;2.5;8.0;9.0
133;A, B Agriculture/fishing;2004 4th quarter;;;;2.5;5.0;5.0
134;A, B Agriculture/fishing;2004 yearly average/yearly total;;;;3.1;29.0;28.0
135;A, B Agriculture/fishing;2005 1st quarter;;;;5.0;9.0;7.0
136;A, B Agriculture/fishing;2005 2nd quarter;;;;4.3;8.0;8.0
137;A, B Agriculture/fishing;2005 3rd quarter;;;;3.9;11.0;12.0
138;A, B Agriculture/fishing;2005 4th quarter;;;;3.1;6.0;7.0
139;A, B Agriculture/fishing;2005 yearly average/yearly total;;;;4.0;34.0;33.0
140;A, B Agriculture/fishing;2006 1st quarter;;;;3.9;7.0;6.0
141;A, B Agriculture/fishing;2006 2nd quarter;;;;5.1;10.0;9.0
142;A, B Agriculture/fishing;2006 3rd quarter;;;;3.5;11.0;13.0
143;A, B Agriculture/fishing;2006 4th quarter;4.5;9.0;10.0;4.0;8.0;7.0
144;A, B Agriculture/fishing;2006 yearly average/yearly total;;;;4.0;36.0;35.0
145;A, B Agriculture/fishing;2007 1st quarter;5.2;9.0;8.0;;;
146;A, B Agriculture/fishing;2007 2nd quarter;6.3;13.0;12.0;;;
147;A, B Agriculture/fishing;2007 3rd quarter;4.9;8.0;9.0;;;
148;A, B Agriculture/fishing;2007 4th quarter;3.8;5.0;6.0;;;
149;A, B Agriculture/fishing;2007 yearly average/yearly total;5.1;34.0;35.0;;;
150;A, B Agriculture/fishing;2008 1st quarter;4.4;7.0;6.0;;;
151;A, B Agriculture/fishing;2008 2nd quarter;4.6;8.0;8.0;;;
152;A, B Agriculture/fishing;2008 3rd quarter;3.7;7.0;7.0;;;
153;A, B Agriculture/fishing;2008 4rd quarter;2.4;4.0;6.0;;;
154;A, B Agriculture/fishing;2008 yearly average/yearly total;4.0;26.0;27.0;;;
155;A, B Agriculture/fishing;2009 1st quarter;2.2;4.0;4.0;;;
156;A, B Agriculture/fishing;2009 2nd quarter;2.4;4.0;4.0;;;
157;A, B Agriculture/fishing;2009 3rd quarter;2.2;4.0;4.0;;;
158;A, B Agriculture/fishing;2009 4rd quarter;1.7;3.0;3.0;;;
159;A, B Agriculture/fishing;2009 yearly average/yearly total;2.2;15.0;16.0;;;
160;C-F Manufacturing and construction;1994 1st quarter;;;;11.0;24.0;22.0
161;C-F Manufacturing and construction;1994 2nd quarter;;;;11.0;27.0;27.0
162;C-F Manufacturing and construction;1994 3rd quarter;;;;10.2;24.0;25.0
163;C-F Manufacturing and construction;1994 4th quarter;;;;11.5;21.0;19.0
164;C-F Manufacturing and construction;1994 yearly average/yearly total;;;;10.6;96.0;93.0
165;C-F Manufacturing and construction;1995 1st quarter;;;;14.7;35.0;31.0
166;C-F Manufacturing and construction;1995 2nd quarter;;;;15.5;36.0;35.0
167;C-F Manufacturing and construction;1995 3rd quarter;;;;15.3;29.0;30.0
168;C-F Manufacturing and construction;1995 4th quarter;;;;15.0;23.0;24.0
169;C-F Manufacturing and construction;1995 yearly average/yearly total;;;;14.7;123.0;120.0
170;C-F Manufacturing and construction;1996 1st quarter;;;;18.5;38.0;35.0
171;C-F Manufacturing and construction;1996 2nd quarter;;;;19.1;37.0;36.0
172;C-F Manufacturing and construction;1996 3rd quarter;;;;16.0;30.0;33.0
173;C-F Manufacturing and construction;1996 4th quarter;;;;16.9;27.0;26.0
174;C-F Manufacturing and construction;1996 yearly average/yearly total;;;;17.4;132.0;130.0
175;C-F Manufacturing and construction;1997 1st quarter;;;;20.6;30.0;27.0
176;C-F Manufacturing and construction;1997 2nd quarter;;;;24.9;44.0;40.0
177;C-F Manufacturing and construction;1997 3rd quarter;;;;21.6;33.0;37.0
178;C-F Manufacturing and construction;1997 4th quarter;;;;25.4;32.0;29.0
179;C-F Manufacturing and construction;1997 yearly average/yearly total;;;;22.1;141.0;132.0
180;C-F Manufacturing and construction;1998 1st quarter;;;;27.1;40.0;38.0
181;C-F Manufacturing and construction;1998 2nd quarter;;;;32.1;46.0;41.0
182;C-F Manufacturing and construction;1998 3rd quarter;;;;26.8;32.0;37.0
183;C-F Manufacturing and construction;1998 4th quarter;;;;28.8;34.0;32.0
184;C-F Manufacturing and construction;1998 yearly average/yearly total;;;;28.2;152.0;148.0
185;C-F Manufacturing and construction;1999 1st quarter;;;;33.3;47.0;43.0
186;C-F Manufacturing and construction;1999 2nd quarter;;;;43.2;52.0;42.0
187;C-F Manufacturing and construction;1999 3rd quarter;;;;38.6;39.0;43.0
188;C-F Manufacturing and construction;1999 4th quarter;;;;40.3;39.0;37.0
189;C-F Manufacturing and construction;1999 yearly average/yearly total;;;;37.4;177.0;165.0
190;C-F Manufacturing and construction;2000 1st quarter;;;;50.9;59.0;48.0
191;C-F Manufacturing and construction;2000 2nd quarter;;;;54.2;53.0;49.0
192;C-F Manufacturing and construction;2000 3rd quarter;;;;42.7;38.0;49.0
193;C-F Manufacturing and construction;2000 4th quarter;;;;43.8;42.0;41.0
194;C-F Manufacturing and construction;2000 yearly average/yearly total;;;;47.5;191.0;188.0
195;C-F Manufacturing and construction;2001 1st quarter;;;;45.2;49.0;48.0
196;C-F Manufacturing and construction;2001 2nd quarter;;;;45.5;42.0;42.0
197;C-F Manufacturing and construction;2001 3rd quarter;;;;35.0;33.0;43.0
198;C-F Manufacturing and construction;2001 4th quarter;;;;33.8;30.0;31.0
199;C-F Manufacturing and construction;2001 yearly average/yearly total;;;;41.1;154.0;164.0
200;C-F Manufacturing and construction;2002 1st quarter;;;;35.1;35.0;33.0
