ID;EconomischeActiviteit;Geslacht;DienstverbandArbeidsrelatie;Perioden;GemiddeldAantalBanen_1;Arbeidsjaren_2;OvereengekomenArbeidsduur_3;Overuren_4;BetaaldeArbeidsduur_5;OvereengekomenArbeidsuren_6;Overuren_7;BetaaldeArbeidsuren_8;TotaalLoonkosten_9;LonenEnSalarissen_10;SocialeLasten_11;LoonkostenPerArbeidsjaar_12
0;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2001, 1e kwartaal;7415.0;5782.4;335.0;5.0;340.0;2487.0;37.0;2524.0;53.5;42.8;10.8;9.3
1;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2001, 2e kwartaal;7581.0;5873.0;323.0;5.0;328.0;2447.0;36.0;2483.0;64.5;51.9;12.6;11.0
2;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2001, 3e kwartaal;7658.0;5911.4;337.0;5.0;342.0;2582.0;38.0;2620.0;53.0;42.8;10.2;9.0
3;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2001, 4e kwartaal;7581.0;5866.9;333.0;5.0;338.0;2523.0;36.0;2559.0;56.3;45.1;11.3;9.6
4;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2001;7559.0;5858.4;1328.0;20.0;1348.0;10039.0;148.0;10187.0;227.4;182.6;44.8;38.8
5;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2002, 1e kwartaal;7510.0;5812.6;328.0;4.0;332.0;2464.0;32.0;2496.0;56.3;44.5;11.9;9.7
6;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2002, 2e kwartaal;7639.0;5871.1;321.0;4.0;325.0;2450.0;31.0;2481.0;68.3;54.1;14.1;11.6
7;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2002, 3e kwartaal;7684.0;5886.0;340.0;4.0;344.0;2614.0;33.0;2647.0;55.2;44.1;11.1;9.4
8;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2002, 4e kwartaal;7595.0;5831.8;331.0;4.0;335.0;2511.0;29.0;2541.0;59.1;46.9;12.2;10.1
9;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2002;7607.0;5850.4;1320.0;16.0;1336.0;10040.0;126.0;10165.0;238.8;189.5;49.3;40.8
10;To_taal  e_co_no_mi_sche ac_ti_vi_tei_ten;To_taal man_nen en vrou_wen;To_taal dienst_ver_band/ar_beids_re_la_tie;2003, 1e kwartaal;7502.0;5766.3;327.0;4.0;332.0;2456.0;32.0;2487.0;57.6;45.4;12.3;10.0
