ID;Periods;TotalMarriages_1;MarriagesRelative_2;BetweenManAndWoman_3;BetweenMen_4;BetweenWomen_5;TotalMen_6;NeverMarried_7;Partnership_8;Widowed_9;Divorced_10;TotalWomen_11;NeverMarried_12;Partnership_13;Widowed_14;Divorced_15;TotalMen_16;NeverMarried_17;Partnership_18;Widowed_19;Divorced_20;TotalWomen_21;NeverMarried_22;Partnership_23;Widowed_24;Divorced_25;TotalMen_26;NeverMarried_27;Partnership_28;Widowed_29;Divorced_30;TotalWomen_31;NeverMarried_32;Partnership_33;Widowed_34;Divorced_35;TotalMarriages_36;OneMarriage_37;TwoOrMoreMarriages_38;TotalMarriages_39;OneMarriage_40;TwoOrMoreMarriages_41;TotalPartnershipRegistrations_42;PartnershipRegistrationsRelative_43;BetweenManAndWoman_44;BetweenMen_45;BetweenWomen_46;TotalNewPartnershipRegistrations_47;BetweenManAndWoman_48;BetweenMen_49;BetweenWomen_50;TotalMarriagesChangedIntoAPartne_51;BetweenManAndWoman_52;BetweenMen_53;BetweenWomen_54
0;1950;83110;8.2;83110;;;82389;72941;;4053;5395;82572;74620;;2976;4976;55.1;58.0;;29.2;182.8;52.5;63.3;;10.0;108.5;30.0;28.0;;52.1;39.4;26.9;25.6;;44.5;36.3;1.14;0.96;0.18;1.09;0.96;0.13;;;;;;;;;;;;;
1;1951;90225;8.8;90225;;;89386;80215;;3975;5196;89697;81951;;2881;4865;60.5;64.1;;28.5;173.0;57.5;69.9;;9.5;103.7;29.6;27.8;;52.5;39.6;26.6;25.4;;44.8;36.0;1.22;1.05;0.17;1.17;1.05;0.12;;;;;;;;;;;;;
2;1952;87402;8.4;87402;;;86439;78007;;3680;4752;86867;79938;;2587;4342;59.2;62.9;;26.3;155.8;56.2;68.8;;8.4;90.8;29.5;27.7;;53.6;40.0;26.5;25.3;;46.3;36.8;1.18;1.02;0.16;1.14;1.03;0.11;;;;;;;;;;;;;
3;1953;85739;8.2;85739;;;84796;76723;;3665;4408;85405;78831;;2444;4130;58.5;62.2;;26.1;142.7;55.4;68.3;;7.9;85.0;29.4;27.6;;53.3;40.7;26.4;25.2;;47.1;36.8;1.16;1.01;0.15;1.12;1.02;0.1;;;;;;;;;;;;;
4;1954;88103;8.3;88103;;;87287;79266;;3637;4384;87775;81349;;2441;3985;60.5;64.4;;25.8;140.7;57.2;70.8;;7.7;81.0;29.3;27.5;;53.9;40.5;26.4;25.2;;47.6;37.4;1.19;1.04;0.15;1.15;1.05;0.1;;;;;;;;;;;;;
5;1955;89037;8.3;89037;;;88216;80219;;3599;4398;88687;82410;;2456;3821;61.1;65.2;;25.5;139.7;57.8;71.9;;7.6;76.1;29.2;27.4;;54.4;40.7;26.3;25.1;;48.3;37.5;1.19;1.05;0.15;1.17;1.07;0.1;;;;;;;;;;;;;
6;1956;92272;8.5;92272;;;91436;83406;;3594;4436;91900;85435;;2456;4009;63.5;67.9;;25.5;139.2;59.9;75.0;;7.5;78.4;29.1;27.3;;54.6;40.9;26.2;25.0;;48.3;37.3;1.23;1.08;0.15;1.21;1.11;0.1;;;;;;;;;;;;;
7;1957;93592;8.5;93592;;;92725;84686;;3777;4262;93234;86793;;2418;4023;64.5;68.8;;26.8;132.2;60.8;76.6;;7.2;77.5;29.0;27.2;;55.6;41.2;26.1;24.8;;50.1;37.6;1.26;1.1;0.16;1.23;1.13;0.1;;;;;;;;;;;;;
8;1958;91508;8.2;91508;;;90649;83215;;3462;3972;91166;85202;;2231;3733;62.8;67.2;;24.6;121.1;59.2;75.1;;6.5;70.6;28.7;27.0;;55.4;40.9;25.8;24.6;;49.7;37.6;1.21;1.07;0.14;1.2;1.1;0.09;;;;;;;;;;;;;
9;1959;88007;7.8;88007;;;87153;79694;;3363;4096;87730;81969;;1910;3851;59.6;63.6;;23.8;122.4;56.2;71.7;;5.5;71.3;28.5;26.8;;55.2;41.1;25.6;24.4;;49.5;38.2;1.18;1.04;0.14;1.15;1.06;0.09;;;;;;;;;;;;;
