ID;Periods;TotalEnvironmentalInvestments_1;Water_2;Air_3;TotalOtherEnvironmentalInvestments_4;Soil_5;Waste_6;Noise_7;Landscape_8;ShareInTotalInvestment_9;NetEnvironmentalCosts_10
0;1985;265;70;148;47;11;15;19;1;3.2;669
1;1990;557;274;211;73;18;37;11;6;5.9;1185
2;1991;367;112;188;66;19;31;10;6;4.0;1374
3;1992;373;95;179;98;45;37;13;3;4.2;1409
4;1993;456;105;236;115;44;37;24;10;5.2;1354
5;1994;720;114;483;122;55;33;26;8;8.0;1525
6;1995;418;106;153;159;67;31;25;35;4.6;1545
7;1996;567;85;230;252;80;39;53;79;5.3;1572
8;1997;771;100;435;236;81;72;54;30;6.7;1675
9;1998;479;65;277;137;54;51;27;5;4.7;1768
10;1999;472;94;222;156;54;63;27;13;4.9;1873
11;2000;407;69;245;94;35;37;16;5;4.5;1939
12;2001;401;80;208;112;54;23;33;2;4.6;1999
13;2002;418;88;227;103;35;38;25;5;4.1;2077
14;2003;288;60;167;62;27;20;14;1;3.0;2051
15;2004;377;67;202;109;44;25;24;16;4.4;1983
16;2005;334;92;195;46;26;10;10;0;3.8;1859
17;2006;542;102;386;54;28;14;11;2;5.3;1769
18;2007;436;77;271;88;45;20;19;4;4.2;1712
19;2008;764;51;628;84;39;31;12;3;7.1;1648
20;2009;490;41;396;53;34;8;10;1;4.7;1430
21;2010;564;58;416;89;49;21;10;9;5.3;1352
22;2011;491;41;364;86;45;20;15;6;3.8;1339
23;2012;620;65;450;105;45;35;20;5;;1305
