ID;Age;Sex;Periods;TotalUnemploymentBenefits_1;Duration0Till6Months_2;Duration6Till12Months_3;DurationMoreThan12Months_4
0;0;Total men and women;1998;287040;920;4180;281950
1;0;Total men and women;1999;222990;64690;29040;129260
2;0;Total men and women;2000;189350;18200;12160;158990
3;0;Total men and women;2001;166010;53120;26570;86330
4;0;Total men and women;2002;204000;78940;39940;85120
5;0;Total men and women;2003;286630;115170;62350;109100
6;0;Total men and women;2004;323400;114690;65170;143530
7;0;Total men and women;2005;305140;97550;58770;148830
8;0;Total men and women;2006;249140;76610;44760;123950
9;0;Total men and women;2007;191970;65590;31950;94440
10;0;Total men and women;2008;170830;71910;27940;70970
11;0;Total men and women;2009;269860;144780;65750;59330
12;0;Men;1998;161790;560;2680;158550
13;0;Men;1999;123770;36690;14240;72840
14;0;Men;2000;107500;9840;6270;91400
15;0;Men;2001;94060;30000;13800;50260
16;0;Men;2002;119950;46730;22910;50310
17;0;Men;2003;168420;66630;36330;65460
18;0;Men;2004;184590;63540;35420;85640
19;0;Men;2005;167530;50840;29820;86870
20;0;Men;2006;134050;39480;21640;70910
21;0;Men;2007;100550;32870;15180;52500
22;0;Men;2008;91320;39090;13800;38430
23;0;Men;2009;157110;85590;38700;32810
24;0;Women;1998;125140;360;1500;123280
25;0;Women;1999;99130;27940;14790;56400
26;0;Women;2000;81840;8360;5890;67590
27;0;Women;2001;71940;23120;12760;36060
28;0;Women;2002;84040;32210;17030;34800
29;0;Women;2003;118190;48540;26020;43630
30;0;Women;2004;138790;51150;29750;57890
31;0;Women;2005;137600;46700;28950;61950
32;0;Women;2006;115060;37120;23120;53040
33;0;Women;2007;91030;32390;16720;41920
34;0;Women;2008;79500;32810;14150;32550
35;0;Women;2009;112750;59180;27050;26520
36;1;Total men and women;1998;16870;40;350;16470
37;1;Total men and women;1999;10030;6870;1570;1590
38;1;Total men and women;2000;7550;450;160;6930
39;1;Total men and women;2001;6820;5240;1030;550
40;1;Total men and women;2002;10730;8240;1710;780
41;1;Total men and women;2003;18310;13670;3250;1400
42;1;Total men and women;2004;17770;13290;2830;1650
43;1;Total men and women;2005;12770;9840;2270;660
44;1;Total men and women;2006;7310;5820;1130;140
45;1;Total men and women;2007;4260;4020;230;10
46;1;Total men and women;2008;5510;5220;280;10
47;1;Total men and women;2009;12570;12230;340;0
48;1;Men;1998;8840;20;220;8600
49;1;Men;1999;4780;3470;610;700
50;1;Men;2000;3670;220;50;3400
51;1;Men;2001;3200;2600;410;190
52;1;Men;2002;5660;4510;800;350
53;1;Men;2003;9590;7270;1650;670
54;1;Men;2004;8950;6850;1310;790
55;1;Men;2005;6110;4810;980;320
56;1;Men;2006;3280;2660;440;70
57;1;Men;2007;1940;1830;100;10
58;1;Men;2008;2960;2830;130;0
59;1;Men;2009;7410;7220;190;0
60;1;Women;1998;8030;20;130;7870
61;1;Women;1999;5250;3400;970;890
62;1;Women;2000;3880;230;110;3540
63;1;Women;2001;3630;2650;620;360
64;1;Women;2002;5070;3720;920;440
65;1;Women;2003;8720;6400;1600;720
66;1;Women;2004;8820;6430;1530;860
67;1;Women;2005;6660;5030;1290;340
68;1;Women;2006;4030;3160;690;70
69;1;Women;2007;2290;2150;130;10
70;1;Women;2008;2550;2400;150;10
71;1;Women;2009;5160;5010;150;0
72;2;Total men and women;1998;63840;250;1230;62360
73;2;Total men and women;1999;44900;20550;8520;15840
74;2;Total men and women;2000;35180;3980;2300;28900
75;2;Total men and women;2001;29970;15530;6290;8150
76;2;Total men and women;2002;43210;23400;10130;9690
77;2;Total men and women;2003;65830;34190;16380;15260
