ID;SBI;Grootteklasse;WerkzamePersonen_1;FullTimeWerknemers_2;Werknemers_3;PartTimeWerknemers_4;EigenarenGezinsledenFirmanten_5;Uitzendkrachten_6;OverigIngeleendPersoneel_7;UitgeleendPersoneel_8
0;6021 + 6023 Tram- en autobusbedrijven;Alle bedrijven;331.0;283.0;96.3;19.8;0.6;3.0;0.6;0.5
1;6021 + 6023 Tram- en autobusbedrijven;0 tot 10 werknemers;9.0;5.0;80.2;39.3;17.0;1.9;3.1;2.2
2;6021 + 6023 Tram- en autobusbedrijven;10 en meer werknemers;;;;;;;;
3;6021 + 6023 Tram- en autobusbedrijven;10 tot 100 werknemers;52.0;38.0;99.6;37.9;0.5;0.1;0.6;0.9
4;6021 + 6023 Tram- en autobusbedrijven;100 en meer werknemers;270.0;241.0;96.3;15.6;0.0;3.6;0.5;0.4
5;60211 Openbaar personenvervoer;Alle bedrijven;255.0;229.0;96.2;14.5;0.0;3.8;0.4;0.4
6;60211 Openbaar personenvervoer;0 tot 10 werknemers;;;;;;;;
7;60211 Openbaar personenvervoer;10 en meer werknemers;;;;;;;;
8;60211 Openbaar personenvervoer;10 tot 100 werknemers;;;;;;;;
9;60211 Openbaar personenvervoer;100 en meer werknemers;;;;;;;;
10;60212 Geregeld besloten personenvervoer;Alle bedrijven;12.0;9.0;95.4;42.2;2.4;1.1;3.4;2.3
11;60212 Geregeld besloten personenvervoer;0 tot 10 werknemers;;;;;;;;
12;60212 Geregeld besloten personenvervoer;10 en meer werknemers;;;;;;;;
13;60212 Geregeld besloten personenvervoer;10 tot 100 werknemers;;;;;;;;
14;60212 Geregeld besloten personenvervoer;100 en meer werknemers;;;;;;;;
15;6023 Ongeregeld besloten personenvervoer;Alle bedrijven;64.0;45.0;97.2;36.4;2.4;0.2;0.9;0.7
16;6023 Ongeregeld besloten personenvervoer;0 tot 10 werknemers;;;;;;;;
17;6023 Ongeregeld besloten personenvervoer;10 en meer werknemers;;;;;;;;
18;6023 Ongeregeld besloten personenvervoer;10 tot 100 werknemers;;;;;;;;
19;6023 Ongeregeld besloten personenvervoer;100 en meer werknemers;;;;;;;;
20;6022 Taxibedrijven;Alle bedrijven;369.0;190.0;87.1;52.1;10.3;2.3;0.4;0.1
21;6022 Taxibedrijven;0 tot 10 werknemers;85.0;27.0;57.8;36.1;41.4;0.9;0.1;0.2
22;6022 Taxibedrijven;10 en meer werknemers;284.0;163.0;95.9;56.9;0.9;2.7;0.5;0.0
23;6022 Taxibedrijven;10 tot 100 werknemers;;;;;;;;
24;6022 Taxibedrijven;100 en meer werknemers;;;;;;;;
25;6024 Goederenwegvervoerbedrijven, totaal;Alle bedrijven;1264.0;982.0;87.5;11.2;8.3;3.6;1.0;0.4
26;6024 Goederenwegvervoerbedrijven, totaal;0 tot 10 werknemers;292.0;155.0;62.7;7.9;34.4;1.4;1.6;0.1
27;6024 Goederenwegvervoerbedrijven, totaal;10 en meer werknemers;;;;;;;;
28;6024 Goederenwegvervoerbedrijven, totaal;10 tot 100 werknemers;635.0;576.0;96.9;7.0;0.7;2.0;0.9;0.4
29;6024 Goederenwegvervoerbedrijven, totaal;100 en meer werknemers;338.0;251.0;91.5;21.9;0.0;8.5;0.6;0.6
30;60241 Verhuisbedrijven;Alle bedrijven;47.0;36.0;87.0;11.2;6.8;4.7;1.8;0.3
31;60241 Verhuisbedrijven;0 tot 10 werknemers;;;;;;;;
32;60241 Verhuisbedrijven;10 en meer werknemers;;;;;;;;
33;60241 Verhuisbedrijven;10 tot 100 werknemers;;;;;;;;
34;60241 Verhuisbedrijven;100 en meer werknemers;;;;;;;;
35;60242 Overig goederenwegvervoerbedrijven;Alle bedrijven;1217.0;946.0;87.6;11.2;8.4;3.5;0.9;0.4
36;60242 Overig goederenwegvervoerbedrijven;0 tot 10 werknemers;;;;;;;;
37;60242 Overig goederenwegvervoerbedrijven;10 en meer werknemers;;;;;;;;
38;60242 Overig goederenwegvervoerbedrijven;10 tot 100 werknemers;;;;;;;;
39;60242 Overig goederenwegvervoerbedrijven;100 en meer werknemers;;;;;;;;
40;64122 Koeriersdiensten;Alle bedrijven;153.0;99.0;80.1;21.1;16.4;1.8;1.5;0.2
41;64122 Koeriersdiensten;0 tot 10 werknemers;64.0;24.0;56.6;22.9;38.3;1.1;3.5;0.5
42;64122 Koeriersdiensten;10 en meer werknemers;89.0;75.0;96.9;19.9;0.7;2.3;0.1;0.0
43;64122 Koeriersdiensten;10 tot 100 werknemers;;;;;;;;
44;64122 Koeriersdiensten;100 en meer werknemers;;;;;;;;
45;6321 Dienstverlening t.b.v. wegvervoer;Alle bedrijven;63.0;50.0;87.5;12.0;8.1;1.7;2.6;0.0
46;6321 Dienstverlening t.b.v. wegvervoer;0 tot 10 werknemers;;;;;;;;
47;6321 Dienstverlening t.b.v. wegvervoer;10 en meer werknemers;;;;;;;;
48;6321 Dienstverlening t.b.v. wegvervoer;10 tot 100 werknemers;;;;;;;;
49;6321 Dienstverlening t.b.v. wegvervoer;100 en meer werknemers;;;;;;;;
50;6110 Zeevaartbedrijven;Alle bedrijven;106.0;76.0;73.7;3.4;2.7;1.6;23.2;1.3
51;6110 Zeevaartbedrijven;0 tot 10 werknemers;33.0;11.0;37.9;3.5;8.5;2.1;51.8;0.3
52;6110 Zeevaartbedrijven;10 en meer werknemers;;;;;;;;
53;6110 Zeevaartbedrijven;10 tot 100 werknemers;21.0;15.0;70.3;4.2;0.3;2.0;31.6;4.2
54;6110 Zeevaartbedrijven;100 en meer werknemers;53.0;50.0;97.3;3.0;0.0;1.2;2.3;0.8
55;6120 Binnenvaartbedrijven, totaal;Alle bedrijven;135.0;61.0;51.6;8.3;44.6;2.6;1.4;0.3
56;6120 Binnenvaartbedrijven, totaal;0 tot 10 werknemers;91.0;23.0;30.9;6.9;65.8;1.6;2.0;0.4
57;6120 Binnenvaartbedrijven, totaal;10 en meer werknemers;44.0;38.0;94.4;11.2;0.7;4.7;0.3;0.0
58;6120 Binnenvaartbedrijven, totaal;10 tot 100 werknemers;;;;;;;;
59;6120 Binnenvaartbedrijven, totaal;100 en meer werknemers;;;;;;;;
60;61201 Vrachtvaart;Alle bedrijven;70.0;17.0;25.6;2.7;72.0;1.2;1.4;0.3
61;61201 Vrachtvaart;0 tot 10 werknemers;;;;;;;;
62;61201 Vrachtvaart;10 en meer werknemers;;;;;;;;
