ID;Toepassingsgroepen;SectorenEnGewassen;Perioden;BedrijvenMetGebruik_1;OppervlakteMetGebruik_2;GebruikPerJaar_3;GebruikPerHectare_4;GebruikInJanuari_5;GebruikInFebruari_6;GebruikInMaart_7;GebruikInApril_8;GebruikInMei_9;GebruikInJuni_10;GebruikInJuli_11;GebruikInAugustus_12;GebruikInSeptember_13;GebruikInOktober_14;GebruikInNovember_15;GebruikInDecember_16
0;Totaal gewasbeschermingsmiddelen;Totaal gewassen/teeltsectoren;1995;;782099.0;5935851.0;7.6;;;;;;;;;;;;
1;Totaal gewasbeschermingsmiddelen;Totaal gewassen/teeltsectoren;1998;;823198.0;5993154.0;7.3;;;;;;;;;;;;
2;Totaal gewasbeschermingsmiddelen;Totaal gewassen/teeltsectoren;2000;;804256.0;5321980.0;6.6;;;;;;;;;;;;
3;Totaal gewasbeschermingsmiddelen;Totaal gewassen/teeltsectoren;2004;;816727.0;5454348.0;6.6;;;;;;;;;;;;
4;Totaal gewasbeschermingsmiddelen;Totaal gewassen/teeltsectoren;2008;;763926.0;5546097.0;6.8;;;;;;;;;;;;
5;Totaal gewasbeschermingsmiddelen;Teeltsector akkerbouw;1995;;709142.0;4105466.0;5.8;1.0;0.0;0.0;11.7;16.6;22.0;27.2;15.5;5.1;0.8;0.0;0.0
6;Totaal gewasbeschermingsmiddelen;Teeltsector akkerbouw;1998;;736096.0;4240241.0;5.8;2.3;0.0;0.0;9.2;21.8;28.1;22.5;11.4;4.6;0.3;0.0;0.0
7;Totaal gewasbeschermingsmiddelen;Teeltsector akkerbouw;2000;;719441.0;3709646.0;5.2;1.4;0.0;0.0;11.2;19.7;29.0;24.6;11.2;2.6;0.3;0.0;0.0
8;Totaal gewasbeschermingsmiddelen;Teeltsector akkerbouw;2004;;726473.0;3606167.0;4.9;2.1;0.0;0.0;13.8;19.4;29.5;20.8;9.7;2.4;2.3;0.0;0.0
9;Totaal gewasbeschermingsmiddelen;Teeltsector akkerbouw;2008;;677608.0;3812580.0;5.3;1.9;0.0;0.0;10.4;24.4;27.7;21.7;9.6;2.4;1.9;0.0;0.0
10;Totaal gewasbeschermingsmiddelen;Teeltsector groenten open grond;1995;;37210.0;164378.0;4.4;0.6;0.0;0.0;4.5;18.6;16.1;19.2;19.9;14.1;7.0;0.0;0.0
11;Totaal gewasbeschermingsmiddelen;Teeltsector groenten open grond;1998;;34165.0;181632.0;5.3;1.3;0.0;0.0;5.1;14.0;14.5;21.4;24.4;14.8;4.6;0.0;0.0
12;Totaal gewasbeschermingsmiddelen;Teeltsector groenten open grond;2000;;28186.0;158098.0;5.6;0.7;0.0;0.0;4.0;17.7;20.9;17.2;21.2;13.3;5.2;0.0;0.0
13;Totaal gewasbeschermingsmiddelen;Teeltsector groenten open grond;2004;;31778.0;150388.0;4.7;1.0;0.0;0.0;5.2;16.4;19.1;20.1;17.8;12.6;7.9;0.0;0.0
14;Totaal gewasbeschermingsmiddelen;Teeltsector groenten open grond;2008;;27100.0;99868.0;3.2;1.1;0.0;0.0;5.8;21.9;19.0;19.7;19.8;10.1;2.5;0.0;0.0
15;Totaal gewasbeschermingsmiddelen;Teeltsector pit- en steenvruchten;1995;;21183.0;629172.0;29.7;9.7;0.0;0.0;20.7;24.3;12.8;8.6;7.7;5.2;4.9;5.4;0.8
16;Totaal gewasbeschermingsmiddelen;Teeltsector pit- en steenvruchten;1998;;18150.0;505769.0;27.9;11.7;0.0;0.0;17.9;17.9;15.6;11.4;9.7;5.7;3.5;5.7;1.0
17;Totaal gewasbeschermingsmiddelen;Teeltsector pit- en steenvruchten;2000;;18858.0;336153.0;17.8;7.2;0.0;0.0;12.8;19.3;15.9;11.9;15.1;7.9;4.4;4.2;1.4
18;Totaal gewasbeschermingsmiddelen;Teeltsector pit- en steenvruchten;2004;;16710.0;489655.0;29.3;15.9;0.0;0.0;13.0;17.0;14.4;13.4;12.1;4.5;9.6;0.0;0.0
19;Totaal gewasbeschermingsmiddelen;Teeltsector pit- en steenvruchten;2008;;16689.0;470625.0;28.1;10.1;0.0;0.0;15.6;18.6;18.6;13.3;7.4;4.8;11.6;0.0;0.0
20;Totaal gewasbeschermingsmiddelen;Teeltsector boomkwekerijgewassen;1995;;8510.0;58966.0;6.9;1.6;2.7;3.2;5.8;14.6;17.7;19.4;17.4;10.0;5.7;0.9;1.0
21;Totaal gewasbeschermingsmiddelen;Teeltsector boomkwekerijgewassen;1998;;10082.0;39406.0;3.9;3.0;3.0;3.1;8.6;11.0;17.5;16.2;13.0;10.0;9.8;2.1;2.7
22;Totaal gewasbeschermingsmiddelen;Teeltsector boomkwekerijgewassen;2000;;11973.0;77167.0;6.4;3.1;1.5;4.0;9.6;23.8;15.3;15.7;11.2;7.7;4.6;2.7;0.7
23;Totaal gewasbeschermingsmiddelen;Teeltsector boomkwekerijgewassen;2004;;13834.0;110037.0;7.9;0.7;2.0;17.7;7.8;11.0;21.2;12.4;9.2;11.8;4.5;0.8;0.6
24;Totaal gewasbeschermingsmiddelen;Teeltsector boomkwekerijgewassen;2008;;14004.0;102102.0;6.9;5.9;0.0;0.0;10.6;15.3;15.2;19.2;15.9;13.2;4.6;0.0;0.0
25;Totaal gewasbeschermingsmiddelen;Teeltsector bloembollen en -knollen;1995;;16279.0;787427.0;48.4;7.2;0.0;0.0;6.9;16.1;13.7;13.4;13.3;12.0;12.4;3.9;1.1
26;Totaal gewasbeschermingsmiddelen;Teeltsector bloembollen en -knollen;1998;;17318.0;832151.0;48.1;10.4;0.0;0.0;12.8;18.1;14.4;11.9;11.5;10.7;7.2;1.9;1.2
27;Totaal gewasbeschermingsmiddelen;Teeltsector bloembollen en -knollen;2000;;18422.0;860840.0;46.7;10.3;0.0;0.0;9.7;17.7;12.5;10.7;11.6;9.5;11.8;4.6;1.5
28;Totaal gewasbeschermingsmiddelen;Teeltsector bloembollen en -knollen;2004;;20399.0;933108.0;45.7;9.1;0.0;0.0;12.3;17.8;17.1;14.2;12.8;9.8;6.9;0.0;0.0
29;Totaal gewasbeschermingsmiddelen;Teeltsector bloembollen en -knollen;2008;;21265.0;892685.0;41.9;8.5;0.0;0.0;10.3;27.6;12.0;15.1;10.2;7.9;8.4;0.0;0.0
30;Totaal gewasbeschermingsmiddelen;Teeltsector groenten onder glas;1995;;3025.0;52255.0;17.3;3.3;2.5;4.1;6.2;9.0;10.4;16.5;18.1;15.3;7.2;3.5;3.8
31;Totaal gewasbeschermingsmiddelen;Teeltsector groenten onder glas;1998;;3027.0;72445.0;23.9;2.6;7.5;8.6;8.9;11.0;13.0;17.9;13.9;8.3;5.6;1.8;0.9
32;Totaal gewasbeschermingsmiddelen;Teeltsector groenten onder glas;2000;;2951.0;54720.0;18.5;5.9;5.3;9.1;9.3;10.4;8.1;8.1;6.3;4.7;5.6;18.9;8.4
33;Totaal gewasbeschermingsmiddelen;Teeltsector groenten onder glas;2004;;3252.0;40449.0;12.3;3.4;3.6;5.3;7.3;9.0;12.9;15.4;15.6;12.6;7.5;4.4;2.9
34;Totaal gewasbeschermingsmiddelen;Teeltsector groenten onder glas;2008;;3601.0;45157.0;12.3;2.4;5.2;6.6;8.8;11.6;13.0;12.8;15.7;10.8;7.3;4.0;1.7
35;Totaal gewasbeschermingsmiddelen;Teeltsector bloemen onder glas;1995;;2920.0;133682.0;45.8;4.9;5.6;8.8;9.4;8.5;9.0;9.6;11.5;11.0;9.5;6.7;5.6
36;Totaal gewasbeschermingsmiddelen;Teeltsector bloemen onder glas;1998;;4144.0;119089.0;28.7;5.5;6.2;7.3;8.2;8.4;9.9;12.5;11.6;10.4;8.3;6.3;5.4
37;Totaal gewasbeschermingsmiddelen;Teeltsector bloemen onder glas;2000;;4330.0;123025.0;28.4;7.8;7.2;7.3;7.7;8.2;9.6;11.7;11.1;10.1;7.8;6.6;4.8
38;Totaal gewasbeschermingsmiddelen;Teeltsector bloemen onder glas;2004;;4207.0;122823.0;28.9;6.5;7.6;8.7;9.7;9.2;12.2;7.7;7.8;8.8;8.1;6.9;6.7
39;Totaal gewasbeschermingsmiddelen;Teeltsector bloemen onder glas;2008;;3643.0;122753.0;32.6;6.8;6.6;7.5;9.0;8.0;16.7;8.9;8.6;8.1;8.1;6.8;5.1
40;Totaal gewasbeschermingsmiddelen;Teeltsector champignons;1995;704.0;109.0;4505.0;41.3;8.1;7.8;8.1;7.6;8.3;7.3;8.6;9.5;9.8;8.7;9.0;7.1
41;Totaal gewasbeschermingsmiddelen;Teeltsector champignons;1998;591.0;98.0;2421.0;24.7;7.1;7.3;5.6;6.3;5.9;8.5;7.9;11.4;11.6;10.8;10.6;7.1
42;Totaal gewasbeschermingsmiddelen;Teeltsector champignons;2000;517.0;95.0;2330.0;24.5;7.6;5.2;4.7;5.5;6.3;7.4;9.7;11.8;11.4;10.9;12.5;7.0
43;Totaal gewasbeschermingsmiddelen;Teeltsector champignons;2004;263.0;73.0;1721.0;20.2;5.1;5.2;7.6;9.5;6.9;9.2;8.4;9.8;11.4;11.6;9.1;6.0
44;Totaal gewasbeschermingsmiddelen;Teeltsector champignons;2008;70.0;23.0;328.0;4.3;7.0;4.4;5.4;5.6;9.4;9.3;14.9;10.2;11.8;12.2;5.7;4.1
45;Totaal gewasbeschermingsmiddelen;Bruine bonen;1995;716.0;2221.0;5213.0;2.3;0.7;0.0;0.0;7.5;47.8;27.8;16.2;0.0;0.0;0.0;0.0;0.0
46;Totaal gewasbeschermingsmiddelen;Bruine bonen;1998;589.0;1956.0;4973.0;2.5;0.0;0.0;0.0;12.5;39.2;23.7;21.3;3.2;0.0;0.0;0.0;0.0
47;Totaal gewasbeschermingsmiddelen;Bruine bonen;2000;309.0;1126.0;4506.0;4.0;0.0;0.0;0.0;2.1;28.6;19.7;31.1;15.5;3.0;0.0;0.0;0.0
48;Totaal gewasbeschermingsmiddelen;Bruine bonen;2004;496.0;2223.0;4512.0;2.0;0.6;0.0;0.0;15.5;36.2;21.8;22.9;0.8;2.2;0.0;0.0;0.0
49;Totaal gewasbeschermingsmiddelen;Bruine bonen;2008;205.0;901.0;1912.0;2.1;0.0;0.0;0.0;4.7;49.2;14.4;19.6;12.1;0.0;0.0;0.0;0.0
50;Totaal gewasbeschermingsmiddelen;Cichorei;1995;;;;;;;;;;;;;;;;
51;Totaal gewasbeschermingsmiddelen;Cichorei;1998;918.0;4196.0;13716.0;3.3;6.6;0.0;0.0;35.2;45.9;10.1;1.6;0.6;0.0;0.0;0.0;0.0
52;Totaal gewasbeschermingsmiddelen;Cichorei;2000;913.0;4756.0;14199.0;3.0;6.1;0.0;0.0;62.5;26.6;2.2;0.6;0.0;2.0;0.0;0.0;0.0
