ID;Persoonskenmerken;Perioden;LidSportvereniging_1;k_5UurOfMeerPerWeek_2;k_14UurPerWeek_3;k_5UurOfMeerPerWeek_4;k_14UurPerWeek_5;Minst1xPerMndVerenigingsactiviteit_6;LidHobbyvereniging_7;k_5UurOfMeerPerWeek_8;k_14UurPerWeek_9;k_5UurOfMeerPerWeek_10;k_14UurPerWeek_11;LidTekenAcademie_12;k_5UurOfMeerPerWeek_13;k_14UurPerWeek_14;k_5UurOfMeerPerWeek_15;k_14UurPerWeek_16;LidMuziekschool_17;LidMuziekOfZangvereniging_18;BespeeltMuziekinstrument_19;IsInBezitVanCJP_20;Minimaal1KeerPerMaand_21;k_311KeerPerJaar_22;Minstens1KeerPerMaand_23;VakerDan3xPerJaarNietMaandelijks_24;Minstens1KeerPerMaand_25;VakerDan3xPerJaarNietMaandelijks_26;Minstens1KeerPerMaand_27;VakerDan3xPerJaarNietMaandelijks_28;Minstens1KeerPerMaand_29;VakerDan3xPerJaarNietMaandelijks_30;Minstens1KeerPerMaand_31;VakerDan3xPerJaarNietMaandelijks_32;Minstens1KeerPerMaand_33;VakerDan3xPerJaarNietMaandelijks_34;Minstens1KeerPerMaand_35;VakerDan3xPerJaarNietMaandelijks_36;Minstens1KeerPerMaand_37;VakerDan3xPerJaarNietMaandelijks_38;Minstens1KeerPerMaand_39;VakerDan3xPerJaarNietMaandelijks_40;Minstens1KeerPerMaand_41;VakerDan3xPerJaarNietMaandelijks_42;RegelmatigWandelen_43;k_5UurOfMeerPerWeek_44;k_14UrenPerWeek_45;RegelmatigFietsen_46;k_5UurOfMeerPerWeek_47;k_14UurPerWeek_48;Minstens1KeerPerWeek_49;k_13KeerPerMaand_50;Minstens1KeerPerMaand_51;VakerDan3xPerJaarNietMaandelijks_52;Minstens1KeerPerMaand_53;VakerDan3xPerJaarNietMaandelijks_54;Minstens1KeerPerMaand_55;VakerDan3xPerJaarNietMaandelijks_56;MeerDanEenVakantie_57;EenVakantie_58;BuitengewoonTevreden_59;ZeerTevreden_60;Tevreden_61;TamelijkTevreden_62;NietZoTevreden_63;Verveling_64
0;Totaal persoonskenmerken;1997;26.0;13.0;40.0;8.0;21.0;48.0;9.0;8.0;26.0;4.0;9.0;6.0;5.0;12.0;3.0;6.0;18.0;7.0;19.0;12.0;3.0;13.0;3.0;16.0;2.0;8.0;0.0;2.0;0.0;2.0;1.0;7.0;10.0;18.0;50.0;24.0;2.0;6.0;0.0;5.0;1.0;5.0;57.0;23.0;59.0;50.0;26.0;59.0;12.0;14.0;29.0;38.0;14.0;7.0;40.0;18.0;35.0;36.0;8.0;27.0;48.0;12.0;5.0;8.0
1;Totaal persoonskenmerken;1998;26.0;12.0;41.0;8.0;19.0;48.0;8.0;8.0;26.0;4.0;9.0;7.0;5.0;13.0;4.0;6.0;17.0;;;;3.0;14.0;5.0;16.0;;;;;;;1.0;8.0;10.0;20.0;50.0;22.0;3.0;6.0;1.0;5.0;1.0;5.0;57.0;23.0;59.0;49.0;24.0;59.0;13.0;14.0;32.0;37.0;14.0;7.0;39.0;18.0;36.0;36.0;8.0;27.0;49.0;13.0;4.0;
2;Totaal persoonskenmerken;1999;27.0;13.0;41.0;7.0;20.0;48.0;8.0;8.0;25.0;3.0;8.0;5.0;5.0;12.0;3.0;6.0;15.0;;;;3.0;14.0;4.0;16.0;;;;;;;1.0;8.0;10.0;19.0;48.0;23.0;3.0;7.0;1.0;6.0;2.0;5.0;58.0;22.0;62.0;49.0;23.0;62.0;13.0;14.0;34.0;37.0;15.0;7.0;40.0;19.0;39.0;35.0;8.0;30.0;45.0;12.0;5.0;
3;Totaal persoonskenmerken;2000;28.0;13.0;41.0;8.0;20.0;48.0;9.0;8.0;26.0;3.0;9.0;7.0;5.0;11.0;3.0;6.0;17.0;;;;3.0;14.0;5.0;16.0;;;;;;;2.0;9.0;10.0;20.0;50.0;22.0;3.0;7.0;0.0;6.0;2.0;5.0;59.0;22.0;62.0;49.0;23.0;62.0;13.0;15.0;35.0;39.0;14.0;7.0;40.0;19.0;40.0;35.0;7.0;29.0;48.0;11.0;4.0;
4;Totaal persoonskenmerken;2001;28.0;13.0;42.0;8.0;19.0;48.0;8.0;8.0;25.0;3.0;8.0;6.0;5.0;11.0;3.0;6.0;17.0;7.0;19.0;17.0;1.0;13.0;4.0;14.0;1.0;8.0;0.0;2.0;0.0;3.0;2.0;7.0;11.0;17.0;47.0;21.0;3.0;6.0;1.0;5.0;2.0;5.0;58.0;22.0;62.0;48.0;23.0;62.0;13.0;16.0;35.0;34.0;14.0;6.0;42.0;15.0;41.0;35.0;9.0;29.0;47.0;11.0;4.0;8.0
5;Totaal persoonskenmerken;2002;27.0;13.0;42.0;7.0;19.0;47.0;8.0;7.0;25.0;3.0;9.0;7.0;5.0;12.0;3.0;6.0;17.0;;;;1.0;14.0;4.0;13.0;;;;;;;2.0;7.0;11.0;18.0;48.0;19.0;3.0;6.0;1.0;4.0;1.0;4.0;57.0;21.0;61.0;49.0;22.0;62.0;12.0;16.0;35.0;34.0;14.0;6.0;44.0;16.0;42.0;34.0;8.0;28.0;48.0;12.0;4.0;
6;Totaal persoonskenmerken;2003;29.0;14.0;42.0;7.0;18.0;48.0;8.0;7.0;25.0;2.0;8.0;6.0;4.0;11.0;3.0;7.0;17.0;8.0;20.0;14.0;1.0;14.0;4.0;13.0;2.0;7.0;0.0;1.0;0.0;2.0;1.0;7.0;11.0;20.0;48.0;19.0;3.0;6.0;1.0;4.0;2.0;4.0;58.0;22.0;61.0;50.0;24.0;60.0;11.0;16.0;31.0;35.0;12.0;7.0;45.0;16.0;42.0;34.0;6.0;29.0;49.0;11.0;4.0;8.0
7;Totaal persoonskenmerken;2004;30.0;15.0;42.0;7.0;19.0;47.0;8.0;6.0;26.0;3.0;8.0;7.0;4.0;12.0;3.0;6.0;16.0;;;;1.0;13.0;3.0;13.0;;;;;;;1.0;7.0;11.0;19.0;48.0;20.0;3.0;6.0;1.0;4.0;1.0;4.0;59.0;21.0;62.0;50.0;23.0;62.0;11.0;16.0;32.0;34.0;12.0;7.0;48.0;16.0;42.0;34.0;7.0;29.0;48.0;11.0;5.0;
8;Totaal persoonskenmerken;2005;;16.0;42.0;6.0;19.0;48.0;;6.0;26.0;3.0;8.0;6.0;4.0;12.0;2.0;6.0;15.0;;;;1.0;14.0;4.0;13.0;;;;;;;1.0;7.0;11.0;18.0;48.0;18.0;3.0;6.0;1.0;3.0;1.0;3.0;59.0;23.0;62.0;50.0;22.0;64.0;10.0;15.0;32.0;32.0;12.0;7.0;49.0;16.0;41.0;34.0;6.0;29.0;48.0;11.0;5.0;
9;Totaal persoonskenmerken;2006;;17.0;42.0;7.0;20.0;47.0;;6.0;26.0;3.0;8.0;5.0;4.0;11.0;3.0;6.0;17.0;;;;1.0;14.0;5.0;14.0;;;;;;;2.0;8.0;11.0;19.0;46.0;20.0;3.0;6.0;1.0;3.0;1.0;3.0;60.0;24.0;62.0;50.0;25.0;61.0;11.0;16.0;33.0;34.0;12.0;6.0;48.0;18.0;44.0;32.0;4.0;30.0;52.0;10.0;4.0;
