ID;Geslacht;Leeftijd;Persoonskenmerken;Perioden;TotaalBevolking15Tot65Jaar_1;TotaalWerkzamePersonen_2;WerkzamePersonen12UurPerWeek_3;WerkzamePersonen12uurPerWeek_4;Beroepsbevolking_5;WerkzameBeroepsbevolking_6;WerklozeBeroepsbevolking_7;NietBeroepsbevolking_8;BrutoArbeidsparticipatie_9;NettoArbeidsparticipatie_10;Werkloosheidspercentage_11;TotaalWerknemers_12;WerknemersVasteArbeidsrelatie_13;WerknemersFlexibeleArbeidsrelatie_14;Zelfstandigen_15;Parttime_16;Fulltime_17;TotaalGeregistreerdeWerklozen_18;KorterDanEenJaarIngeschreven_19;LangerDanEenJaarIngeschreven_20;GeregistreerdWerkloosheidspercentage_21;ElementaireBeroepen_22;LagereBeroepen_23;MiddelbareBeroepen_24;HogereBeroepen_25;WetenschappelijkeBeroepen_26;BeroepsniveauOnbekend_27
0;Mannen en vrouwen;Totaal leeftijd;1;1996;10534.0;6954.0;769.0;6185.0;6686.0;6185.0;501.0;3848.0;63.5;58.7;7.5;5456.0;4911.0;545.0;728.0;1741.0;4443.0;440.0;219.0;221.0;6.6;432.0;1587.0;2459.0;1179.0;478.0;50.0
1;Mannen en vrouwen;Totaal leeftijd;1;1997;10566.0;7171.0;787.0;6384.0;6832.0;6384.0;448.0;3734.0;64.7;60.4;6.6;5628.0;5055.0;573.0;755.0;1844.0;4540.0;375.0;180.0;195.0;5.5;451.0;1600.0;2537.0;1200.0;520.0;75.0
2;Mannen en vrouwen;Totaal leeftijd;1;1998;10606.0;7371.0;784.0;6587.0;6941.0;6587.0;354.0;3665.0;65.4;62.1;5.1;5850.0;5244.0;606.0;737.0;1988.0;4599.0;287.0;132.0;155.0;4.1;457.0;1597.0;2578.0;1330.0;550.0;76.0
3;Mannen en vrouwen;Totaal leeftijd;1;1999;10665.0;7554.0;786.0;6768.0;7069.0;6768.0;301.0;3596.0;66.3;63.5;4.3;6042.0;5464.0;578.0;726.0;2073.0;4695.0;220.0;109.0;111.0;3.1;477.0;1668.0;2614.0;1343.0;563.0;104.0
4;Mannen en vrouwen;Totaal leeftijd;1;2000;10729.0;7733.0;816.0;6917.0;7187.0;6917.0;270.0;3542.0;67.0;64.5;3.8;6116.0;5584.0;532.0;801.0;2223.0;4694.0;188.0;106.0;82.0;2.6;466.0;1658.0;2690.0;1413.0;591.0;98.0
5;Mannen en vrouwen;Totaal leeftijd;1;2001;10801.0;7830.0;808.0;7021.0;7273.0;7021.0;252.0;3528.0;67.3;65.0;3.5;6256.0;5753.0;503.0;765.0;2294.0;4727.0;146.0;94.0;52.0;2.0;476.0;1679.0;2735.0;1439.0;597.0;95.0
6;Mannen en vrouwen;Totaal leeftijd;1;2002;10863.0;7867.0;832.0;7035.0;7337.0;7035.0;302.0;3526.0;67.5;64.8;4.1;6256.0;5774.0;482.0;779.0;2438.0;4597.0;170.0;115.0;55.0;2.3;499.0;1618.0;2726.0;1501.0;601.0;89.0
7;Mannen en vrouwen;Totaal leeftijd;1;2003;10903.0;7830.0;829.0;7001.0;7401.0;7001.0;399.0;3502.0;67.9;64.2;5.4;6213.0;5754.0;459.0;788.0;2494.0;4507.0;255.0;180.0;76.0;3.5;489.0;1584.0;2683.0;1542.0;600.0;102.0
8;Mannen en vrouwen;Totaal leeftijd;1;2004;10925.0;7782.0;863.0;6919.0;7398.0;6919.0;479.0;3527.0;67.7;63.3;6.5;6116.0;5646.0;471.0;802.0;2494.0;4424.0;319.0;205.0;114.0;4.3;487.0;1662.0;2609.0;1604.0;533.0;25.0
9;Mannen en vrouwen;Totaal leeftijd;1;2005;10943.0;7784.0;866.0;6918.0;7401.0;6918.0;483.0;3542.0;67.6;63.2;6.5;6103.0;5590.0;513.0;816.0;2559.0;4359.0;311.0;193.0;118.0;4.2;505.0;1608.0;2651.0;1464.0;624.0;66.0
10;Mannen en vrouwen;Totaal leeftijd;1;2006;10964.0;7937.0;863.0;7074.0;7486.0;7074.0;413.0;3478.0;68.3;64.5;5.5;6195.0;5631.0;564.0;879.0;2624.0;4450.0;260.0;154.0;106.0;3.5;512.0;1647.0;2707.0;1513.0;611.0;84.0
11;Mannen en vrouwen;Totaal leeftijd;2;1996;4245.0;2159.0;379.0;1780.0;1999.0;1780.0;220.0;2246.0;47.1;41.9;11.0;1581.0;1388.0;193.0;198.0;533.0;1247.0;219.0;103.0;117.0;11.0;292.0;925.0;476.0;61.0;8.0;18.0
12;Mannen en vrouwen;Totaal leeftijd;2;1997;4159.0;2194.0;396.0;1798.0;2004.0;1798.0;206.0;2155.0;48.2;43.2;10.3;1598.0;1386.0;212.0;200.0;564.0;1234.0;193.0;87.0;105.0;9.6;299.0;931.0;467.0;62.0;11.0;29.0
13;Mannen en vrouwen;Totaal leeftijd;2;1998;4059.0;2206.0;394.0;1812.0;1978.0;1812.0;165.0;2081.0;48.7;44.7;8.4;1628.0;1407.0;221.0;184.0;589.0;1223.0;153.0;68.0;85.0;7.7;305.0;927.0;485.0;62.0;9.0;25.0
14;Mannen en vrouwen;Totaal leeftijd;2;1999;4069.0;2263.0;392.0;1871.0;2007.0;1871.0;135.0;2062.0;49.3;46.0;6.7;1691.0;1466.0;225.0;180.0;601.0;1271.0;110.0;50.0;60.0;5.5;320.0;960.0;483.0;62.0;10.0;36.0
15;Mannen en vrouwen;Totaal leeftijd;2;2000;4073.0;2338.0;417.0;1921.0;2036.0;1921.0;115.0;2038.0;50.0;47.1;5.7;1724.0;1531.0;193.0;196.0;619.0;1302.0;98.0;52.0;46.0;4.8;313.0;971.0;523.0;74.0;10.0;30.0
16;Mannen en vrouwen;Totaal leeftijd;2;2001;4082.0;2390.0;420.0;1970.0;2084.0;1970.0;114.0;1998.0;51.0;48.3;5.5;1780.0;1581.0;199.0;190.0;675.0;1294.0;53.0;32.0;21.0;2.5;320.0;991.0;535.0;82.0;10.0;30.0
17;Mannen en vrouwen;Totaal leeftijd;2;2002;4018.0;2323.0;430.0;1892.0;2018.0;1892.0;126.0;1999.0;50.2;47.1;6.2;1714.0;1531.0;184.0;178.0;671.0;1222.0;51.0;32.0;19.0;2.5;342.0;939.0;498.0;70.0;13.0;30.0
18;Mannen en vrouwen;Totaal leeftijd;2;2003;3891.0;2206.0;404.0;1802.0;1963.0;1802.0;161.0;1928.0;50.5;46.3;8.2;1623.0;1450.0;174.0;179.0;671.0;1131.0;114.0;74.0;40.0;5.8;309.0;908.0;476.0;73.0;10.0;26.0
19;Mannen en vrouwen;Totaal leeftijd;2;2004;3706.0;2111.0;414.0;1697.0;1870.0;1697.0;173.0;1836.0;50.5;45.8;9.2;1528.0;1368.0;160.0;169.0;628.0;1069.0;133.0;82.0;51.0;7.1;290.0;913.0;427.0;53.0;4.0;10.0
20;Mannen en vrouwen;Totaal leeftijd;2;2005;3647.0;2025.0;408.0;1618.0;1794.0;1618.0;176.0;1853.0;49.2;44.4;9.8;1440.0;1267.0;173.0;177.0;612.0;1005.0;124.0;76.0;48.0;6.9;288.0;858.0;394.0;52.0;8.0;17.0
21;Mannen en vrouwen;Totaal leeftijd;2;2006;3619.0;2070.0;424.0;1646.0;1797.0;1646.0;151.0;1822.0;49.7;45.5;8.4;1461.0;1268.0;193.0;185.0;616.0;1030.0;99.0;57.0;42.0;5.5;302.0;862.0;400.0;54.0;8.0;20.0
22;Mannen en vrouwen;Totaal leeftijd;3;1996;4197.0;3103.0;286.0;2817.0;3004.0;2817.0;187.0;1193.0;71.6;67.1;6.2;2468.0;2232.0;236.0;349.0;771.0;2046.0;147.0;77.0;70.0;4.9;121.0;595.0;1735.0;301.0;49.0;17.0
23;Mannen en vrouwen;Totaal leeftijd;3;1997;4258.0;3211.0;287.0;2923.0;3084.0;2923.0;161.0;1174.0;72.4;68.7;5.2;2560.0;2314.0;246.0;364.0;820.0;2103.0;120.0;60.0;59.0;3.9;132.0;596.0;1799.0;311.0;60.0;24.0
24;Mannen en vrouwen;Totaal leeftijd;3;1998;4245.0;3239.0;283.0;2956.0;3083.0;2956.0;127.0;1162.0;72.6;69.6;4.1;2612.0;2345.0;267.0;344.0;887.0;2070.0;88.0;43.0;45.0;2.9;134.0;597.0;1802.0;341.0;56.0;25.0
25;Mannen en vrouwen;Totaal leeftijd;3;1999;4237.0;3303.0;290.0;3013.0;3122.0;3013.0;109.0;1115.0;73.7;71.1;3.5;2672.0;2439.0;233.0;342.0;925.0;2088.0;73.0;39.0;34.0;2.3;138.0;620.0;1825.0;334.0;61.0;35.0
26;Mannen en vrouwen;Totaal leeftijd;3;2000;4334.0;3405.0;331.0;3074.0;3175.0;3074.0;100.0;1160.0;73.2;70.9;3.2;2711.0;2476.0;235.0;363.0;1012.0;2062.0;58.0;36.0;22.0;1.8;139.0;612.0;1837.0;376.0;74.0;36.0
27;Mannen en vrouwen;Totaal leeftijd;3;2001;4408.0;3464.0;323.0;3141.0;3232.0;3141.0;91.0;1176.0;73.3;71.3;2.8;2797.0;2581.0;216.0;344.0;1046.0;2095.0;31.0;21.0;10.0;1.0;139.0;612.0;1891.0;390.0;75.0;34.0
28;Mannen en vrouwen;Totaal leeftijd;3;2002;4424.0;3460.0;328.0;3132.0;3246.0;3132.0;113.0;1179.0;73.4;70.8;3.5;2762.0;2552.0;210.0;370.0;1112.0;2020.0;34.0;24.0;10.0;1.0;134.0;613.0;1908.0;382.0;65.0;31.0
29;Mannen en vrouwen;Totaal leeftijd;3;2003;4438.0;3435.0;335.0;3100.0;3253.0;3100.0;154.0;1185.0;73.3;69.8;4.7;2741.0;2549.0;193.0;358.0;1116.0;1984.0;89.0;66.0;23.0;2.7;158.0;603.0;1873.0;372.0;57.0;36.0
