ID;Overheidsinstellingen;Toepassingssectoren;Bestrijdingsmiddelen;Perioden;GebruikInKgWerkzameStof_1
0;Totaal overheidsinstellingen;Totaal toepassingssectoren;Totaal;1992;70650
1;Totaal overheidsinstellingen;Totaal toepassingssectoren;Totaal;1995;50372
2;Totaal overheidsinstellingen;Totaal toepassingssectoren;Totaal;2001;42142
3;Totaal overheidsinstellingen;Totaal toepassingssectoren;Totaal;2005;53594
4;Totaal overheidsinstellingen;Totaal toepassingssectoren;Totaal;2009;25379
5;Totaal overheidsinstellingen;Totaal toepassingssectoren;Totaal;2013;25832
6;Totaal overheidsinstellingen;Totaal toepassingssectoren;Totaal;2018;4730
7;Totaal overheidsinstellingen;Totaal toepassingssectoren;Herbiciden;1992;68822
8;Totaal overheidsinstellingen;Totaal toepassingssectoren;Herbiciden;1995;49296
9;Totaal overheidsinstellingen;Totaal toepassingssectoren;Herbiciden;2001;41990
10;Totaal overheidsinstellingen;Totaal toepassingssectoren;Herbiciden;2005;53551
11;Totaal overheidsinstellingen;Totaal toepassingssectoren;Herbiciden;2009;25209
12;Totaal overheidsinstellingen;Totaal toepassingssectoren;Herbiciden;2013;25749
13;Totaal overheidsinstellingen;Totaal toepassingssectoren;Herbiciden;2018;4401
14;Totaal overheidsinstellingen;Totaal toepassingssectoren;Insecticiden;1992;817
15;Totaal overheidsinstellingen;Totaal toepassingssectoren;Insecticiden;1995;116
16;Totaal overheidsinstellingen;Totaal toepassingssectoren;Insecticiden;2001;125
17;Totaal overheidsinstellingen;Totaal toepassingssectoren;Insecticiden;2005;18
18;Totaal overheidsinstellingen;Totaal toepassingssectoren;Insecticiden;2009;142
19;Totaal overheidsinstellingen;Totaal toepassingssectoren;Insecticiden;2013;4
20;Totaal overheidsinstellingen;Totaal toepassingssectoren;Insecticiden;2018;330
21;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fungiciden;1992;142
22;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fungiciden;1995;131
23;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fungiciden;2001;13
24;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fungiciden;2005;24
25;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fungiciden;2009;27
26;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fungiciden;2013;1
27;Totaal overheidsinstellingen;Totaal toepassingssectoren;Fungiciden;2018;0
28;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige stoffen;1992;869
29;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige stoffen;1995;829
30;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige stoffen;2001;14
31;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige stoffen;2005;1
32;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige stoffen;2009;2
33;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige stoffen;2013;75
34;Totaal overheidsinstellingen;Totaal toepassingssectoren;Overige stoffen;2018;0
35;Totaal overheidsinstellingen;Totaal toepassingssectoren;2,4-D;1992;2008
36;Totaal overheidsinstellingen;Totaal toepassingssectoren;2,4-D;1995;1430
37;Totaal overheidsinstellingen;Totaal toepassingssectoren;2,4-D;2001;1882
38;Totaal overheidsinstellingen;Totaal toepassingssectoren;2,4-D;2005;1851
39;Totaal overheidsinstellingen;Totaal toepassingssectoren;2,4-D;2009;669
40;Totaal overheidsinstellingen;Totaal toepassingssectoren;2,4-D;2013;373
41;Totaal overheidsinstellingen;Totaal toepassingssectoren;2,4-D;2018;236
42;Totaal overheidsinstellingen;Totaal toepassingssectoren;Amitrol;1992;8520
43;Totaal overheidsinstellingen;Totaal toepassingssectoren;Amitrol;1995;1994
44;Totaal overheidsinstellingen;Totaal toepassingssectoren;Amitrol;2001;356
45;Totaal overheidsinstellingen;Totaal toepassingssectoren;Amitrol;2005;509
46;Totaal overheidsinstellingen;Totaal toepassingssectoren;Amitrol;2009;144
47;Totaal overheidsinstellingen;Totaal toepassingssectoren;Amitrol;2013;314
