ID;Geslacht;HOOPGebieden;Vooropleiding;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na3Jaar_23;Na4Jaar_24;Na5Jaar_25;Na6Jaar_26;Na7Jaar_27;Na8Jaar_28;Na9Jaar_29;Na1Jaar_30;Na2Jaar_31;Na3Jaar_32;Na4Jaar_33;Na5Jaar_34;Na6Jaar_35;Na7Jaar_36;Na8Jaar_37;Na9Jaar_38;InJaar2_39;InJaar3_40;InJaar4_41;InJaar5_42;InJaar6_43;InJaar7_44;InJaar8_45;InJaar9_46;InJaar10_47;InJaar2_48;InJaar3_49;InJaar4_50;InJaar5_51;InJaar6_52;InJaar7_53;InJaar8_54;InJaar9_55;InJaar10_56;InJaar2_57;InJaar3_58;InJaar4_59;InJaar5_60;InJaar6_61;InJaar7_62;InJaar8_63;InJaar9_64;InJaar10_65
0;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;Totaal alle vooropleidingen;Cohort 1990;33630;5.0;9.0;20.0;49.0;64.0;70.0;73.0;5.0;8.0;17.0;41.0;52.0;56.0;58.0;0.0;0.0;1.0;3.0;4.0;6.0;6.0;0.0;0.0;3.0;6.0;7.0;8.0;8.0;8.0;11.0;14.0;15.0;16.0;19.0;20.0;21.0;21.0;92.0;88.0;81.0;76.0;63.0;33.0;16.0;10.0;6.0;87.0;79.0;72.0;67.0;56.0;29.0;14.0;8.0;5.0;5.0;9.0;9.0;9.0;7.0;4.0;2.0;2.0;1.0
1;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;Totaal alle vooropleidingen;Cohort 1991;34810;7.0;11.0;32.0;53.0;64.0;69.0;71.0;6.0;10.0;27.0;44.0;52.0;56.0;57.0;0.0;0.0;1.0;3.0;4.0;5.0;5.0;0.0;1.0;4.0;6.0;8.0;8.0;9.0;9.0;13.0;15.0;17.0;18.0;20.0;21.0;22.0;23.0;91.0;86.0;78.0;72.0;49.0;26.0;15.0;9.0;6.0;85.0;78.0;69.0;62.0;43.0;23.0;13.0;7.0;5.0;6.0;9.0;9.0;9.0;6.0;4.0;2.0;2.0;1.0
2;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;Totaal alle vooropleidingen;Cohort 1992;33190;8.0;14.0;34.0;54.0;64.0;69.0;72.0;7.0;12.0;29.0;44.0;52.0;56.0;58.0;0.0;1.0;1.0;3.0;4.0;5.0;5.0;0.0;1.0;4.0;6.0;7.0;8.0;9.0;9.0;12.0;15.0;17.0;18.0;20.0;21.0;22.0;22.0;91.0;86.0;77.0;69.0;47.0;27.0;15.0;9.0;6.0;85.0;78.0;67.0;60.0;41.0;23.0;13.0;7.0;5.0;6.0;8.0;9.0;9.0;6.0;4.0;2.0;2.0;1.0
3;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;Totaal alle vooropleidingen;Cohort 1993;32810;9.0;15.0;34.0;52.0;62.0;68.0;71.0;8.0;13.0;29.0;43.0;51.0;55.0;57.0;0.0;0.0;1.0;3.0;4.0;5.0;5.0;0.0;1.0;4.0;6.0;7.0;8.0;8.0;10.0;13.0;15.0;17.0;19.0;20.0;21.0;22.0;23.0;90.0;86.0;76.0;68.0;47.0;28.0;16.0;10.0;7.0;85.0;77.0;67.0;59.0;42.0;24.0;13.0;8.0;6.0;6.0;8.0;9.0;9.0;6.0;4.0;2.0;2.0;1.0
4;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;Totaal alle vooropleidingen;Cohort 1994;32030;8.0;14.0;32.0;50.0;62.0;68.0;71.0;7.0;12.0;28.0;42.0;51.0;55.0;57.0;0.0;0.0;1.0;2.0;4.0;5.0;5.0;0.0;1.0;4.0;6.0;7.0;8.0;8.0;10.0;14.0;16.0;17.0;18.0;20.0;21.0;22.0;22.0;90.0;85.0;77.0;69.0;49.0;30.0;17.0;11.0;7.0;84.0;77.0;68.0;60.0;43.0;26.0;15.0;9.0;6.0;6.0;8.0;9.0;9.0;6.0;4.0;2.0;2.0;1.0
5;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;VWO;Cohort 1990;25560;0.0;2.0;13.0;48.0;66.0;73.0;76.0;0.0;2.0;10.0;39.0;53.0;57.0;59.0;0.0;0.0;0.0;3.0;5.0;6.0;7.0;0.0;0.0;3.0;7.0;9.0;9.0;10.0;5.0;7.0;9.0;10.0;12.0;14.0;15.0;17.0;17.0;95.0;93.0;91.0;88.0;75.0;38.0;18.0;11.0;6.0;89.0;82.0;80.0;77.0;67.0;34.0;16.0;9.0;5.0;6.0;10.0;11.0;11.0;8.0;4.0;3.0;2.0;1.0
6;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;VWO;Cohort 1991;25020;0.0;2.0;27.0;54.0;67.0;73.0;76.0;0.0;2.0;22.0;43.0;53.0;57.0;59.0;0.0;0.0;1.0;3.0;5.0;6.0;6.0;0.0;0.0;4.0;8.0;9.0;10.0;10.0;5.0;8.0;10.0;11.0;13.0;14.0;16.0;17.0;17.0;95.0;92.0;90.0;87.0;60.0;32.0;17.0;10.0;7.0;88.0;82.0;78.0;75.0;53.0;27.0;15.0;8.0;5.0;7.0;11.0;12.0;12.0;8.0;4.0;3.0;2.0;1.0
7;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;VWO;Cohort 1992;22860;0.0;3.0;28.0;54.0;67.0;74.0;77.0;0.0;2.0;23.0;43.0;54.0;58.0;60.0;0.0;0.0;1.0;3.0;5.0;6.0;6.0;0.0;0.0;4.0;7.0;9.0;10.0;10.0;5.0;7.0;9.0;11.0;12.0;13.0;15.0;16.0;16.0;95.0;93.0;91.0;87.0;60.0;33.0;18.0;10.0;7.0;89.0;83.0;79.0;75.0;52.0;29.0;16.0;9.0;6.0;7.0;10.0;11.0;11.0;7.0;4.0;3.0;2.0;1.0
8;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;VWO;Cohort 1993;22470;0.0;3.0;28.0;52.0;65.0;72.0;76.0;0.0;3.0;22.0;41.0;52.0;57.0;59.0;0.0;0.0;1.0;3.0;5.0;6.0;7.0;0.0;1.0;4.0;7.0;9.0;10.0;10.0;5.0;7.0;9.0;10.0;12.0;13.0;15.0;16.0;17.0;95.0;93.0;91.0;86.0;60.0;35.0;19.0;12.0;8.0;88.0;82.0;79.0;75.0;53.0;31.0;17.0;10.0;7.0;7.0;10.0;12.0;12.0;7.0;5.0;3.0;2.0;1.0
9;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;VWO;Cohort 1994;22320;0.0;4.0;27.0;50.0;65.0;73.0;77.0;0.0;3.0;22.0;41.0;52.0;58.0;61.0;0.0;0.0;1.0;3.0;5.0;6.0;7.0;0.0;1.0;4.0;7.0;8.0;9.0;10.0;5.0;7.0;8.0;9.0;10.0;12.0;13.0;14.0;15.0;95.0;93.0;92.0;86.0;62.0;37.0;21.0;13.0;8.0;88.0;83.0;80.0;75.0;55.0;33.0;18.0;11.0;7.0;7.0;10.0;11.0;11.0;8.0;5.0;3.0;2.0;1.0
10;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;HBO-diploma;Cohort 1990;3870;37.0;56.0;64.0;67.0;69.0;70.0;70.0;36.0;53.0;61.0;64.0;65.0;66.0;67.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;14.0;19.0;24.0;26.0;27.0;28.0;28.0;28.0;28.0;85.0;75.0;39.0;18.0;9.0;5.0;4.0;2.0;2.0;84.0;74.0;38.0;18.0;9.0;5.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0
11;Totaal mannen en vrouwen;Totaal alle HOOP-gebieden;HBO-diploma;Cohort 1991;5090;40.0;56.0;63.0;66.0;67.0;68.0;68.0;38.0;53.0;60.0;63.0;64.0;64.0;65.0;1.0;2.0;2.0;2.0;2.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;16.0;22.0;25.0;27.0;28.0;29.0;29.0;29.0;29.0;83.0;73.0;35.0;16.0;8.0;5.0;3.0;3.0;2.0;82.0;72.0;34.0;16.0;8.0;4.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0
