ID;InstitutionalInvestors;Periods;TotalForeignInvestments_1;DirectProperty_2;SharesAndOtherEquity_3;BondsShortTermSecOtherThanShares_4;LongTermLoansIncludingMortgageLoans_5;OtherInvestments_6
0;Total institutional investors;1980;8.7;1.7;4.0;1.5;1.2;0.3
1;Total institutional investors;1981;9.8;1.9;4.4;1.8;1.4;0.4
2;Total institutional investors;1982;12.5;2.1;4.5;3.2;1.9;0.8
3;Total institutional investors;1983;17.4;2.6;7.3;4.0;2.5;1.0
4;Total institutional investors;1984;20.8;3.0;7.9;5.3;3.2;1.3
5;Total institutional investors;1985;24.8;3.2;9.5;6.7;4.1;1.4
6;Total institutional investors;1986;30.8;3.8;12.4;9.4;4.3;1.0
7;Total institutional investors;1987;33.4;4.6;11.9;10.5;4.2;2.1
8;Total institutional investors;1988;41.6;5.9;16.8;11.9;4.1;2.9
9;Total institutional investors;1989;45.4;7.4;22.1;10.9;4.0;1.0
10;Total institutional investors;1990;42.0;7.5;19.0;10.6;3.9;0.9
11;Total institutional investors;1991;51.5;8.9;25.8;12.1;4.1;0.6
12;Total institutional investors;1992;55.4;8.3;27.8;13.5;4.2;1.5
13;Total institutional investors;1993;79.3;8.5;42.3;20.9;4.5;3.2
14;Total institutional investors;1994;80.2;8.8;45.3;20.7;3.8;1.5
15;Total institutional investors;1995;98.6;9.0;55.6;29.0;4.3;0.6
16;Total institutional investors;1996;125.5;10.6;70.1;39.9;4.2;0.7
17;Total institutional investors;1997;175.4;12.1;97.3;59.8;4.7;1.6
18;Total institutional investors;1998;235.0;13.0;130.4;85.4;4.8;1.4
19;Total institutional investors;1999;370.1;15.1;230.4;116.3;5.6;2.6
20;Total institutional investors;2000;411.9;21.4;236.1;146.5;5.1;2.8
21;Total institutional investors;2001;442.7;23.2;234.2;177.6;5.1;2.6
22;Total institutional investors;2002;406.8;15.7;181.8;202.1;4.0;3.3
23;Total institutional investors;2003;473.0;14.9;221.1;230.7;2.8;3.5
24;Total institutional investors;2004;556.2;13.6;251.6;281.9;2.0;7.1
25;Total institutional investors;2005 1st quarter;590.6;14.2;278.2;288.3;2.2;7.6
26;Total institutional investors;2005 2nd quarter;635.7;14.9;303.3;309.9;2.2;5.4
27;Total institutional investors;2005 3rd quarter;667.9;15.4;324.0;318.7;2.2;7.6
28;Total institutional investors;2005 4th quarter;688.8;16.4;336.7;325.8;1.5;8.5
29;Total institutional investors;2005;688.8;16.4;336.7;325.8;1.5;8.5
30;Total institutional investors;2006 1st quarter;712.4;17.2;345.2;326.9;1.9;21.1
31;Total institutional investors;2006 2nd quarter;704.0;17.9;328.1;331.5;1.8;24.7
32;Total institutional investors;2006 3rd quarter;742.8;18.6;348.7;348.1;1.9;25.5
33;Total institutional investors;2006 4th quarter;770.3;19.3;369.5;352.3;1.8;27.4
34;Total institutional investors;2006;770.3;19.3;369.5;352.3;1.8;27.4
35;Total institutional investors;2007 1st quarter;786.8;19.0;378.9;360.0;2.5;26.3
36;Total institutional investors;2007 2nd quarter;790.7;12.1;397.0;357.5;2.4;21.6
37;Total institutional investors;2007 3rd quarter;796.7;12.5;408.3;353.8;2.6;19.5
38;Total institutional investors;2007 4th quarter;805.9;13.8;409.9;359.8;3.4;19.0
39;Total institutional investors;2007;805.9;13.8;409.9;359.8;3.4;19.0
40;Total institutional investors;2008 1st quarter;773.0;13.9;375.8;345.9;6.8;30.7
41;Total institutional investors;2008 2nd quarter;769.2;13.8;383.5;347.0;3.0;22.1
42;Total institutional investors;2008 3rd quarter;764.2;13.9;359.6;370.6;3.1;17.0
43;Total institutional investors;2008 4th quarter;687.0;14.0;289.2;349.4;4.2;30.2
44;Total institutional investors;2008;687.0;14.0;289.2;349.4;4.2;30.2
45;Total institutional investors;2009 1st quarter;684.5;13.9;285.0;358.9;3.9;22.9
46;Total institutional investors;2009 2nd quarter;728.4;13.8;313.8;359.9;4.6;36.4
47;Total institutional investors;2009 3rd quarter;775.7;13.7;354.3;376.1;4.2;27.4
48;Total institutional investors;2009 4th quarter;800.7;13.6;382.8;373.3;4.1;26.9
49;Total institutional investors;2009;800.7;13.6;382.8;373.3;4.1;26.9
50;Total institutional investors;2010 1st quarter;837.0;14.0;411.0;382.0;4.8;25.3
51;Total institutional investors;2010 2nd quarter;820.5;14.0;399.5;378.3;5.4;23.4
52;Total institutional investors;2010 3rd quarter;846.6;14.1;410.2;388.4;5.1;28.9
53;Total institutional investors;2010 4th quarter;851.0;16.1;441.3;367.1;6.2;20.3
54;Total institutional investors;2010;851.0;16.1;441.3;367.1;6.2;20.3
55;Total institutional investors;2011 1st quarter;839.1;16.0;426.7;370.3;5.8;20.2
56;Total institutional investors;2011 2nd quarter;842.4;16.0;428.8;372.1;5.5;20.0
57;Total institutional investors;2011 3rd quarter;820.7;15.9;403.7;376.2;5.3;19.5
58;Total institutional investors;2011 4th quarter;849.0;15.9;431.9;379.8;5.3;16.2
59;Total institutional investors;2011;849.0;15.9;431.9;379.8;5.3;16.2
60;Total institutional investors;2012 1st quarter;892.0;15.7;454.5;398.0;5.6;18.2
61;Total institutional investors;2012 2nd quarter;911.2;15.6;458.7;411.3;5.6;20.0
62;Total institutional investors;2012 3rd quarter;950.4;15.4;477.4;433.2;6.7;17.7
63;Total institutional investors;2012 4th quarter;973.5;15.2;482.9;452.3;6.8;16.3
64;Total institutional investors;2012;973.5;15.2;482.9;452.3;6.8;16.3
65;Total institutional investors;2013 1st quarter;1010.0;15.0;515.9;453.8;7.3;18.0
66;Total institutional investors;2013 2nd quarter;986.7;13.3;496.1;452.4;7.3;17.5
67;Total institutional investors;2013 3rd quarter;999.5;13.5;506.1;456.0;7.7;16.2
68;Total institutional investors;2013 4th quarter;1014.6;15.2;517.4;458.2;7.0;16.8
69;Total institutional investors;2013;1014.6;15.2;517.4;458.2;7.0;16.8
70;Total institutional investors;2014 1st quarter;1052.9;15.2;537.7;475.7;7.9;16.5
71;Pension funds;1980;3.0;0.7;0.9;0.7;0.7;0.0
72;Pension funds;1981;3.6;0.8;0.9;1.0;0.9;0.1
73;Pension funds;1982;4.9;0.9;1.3;1.5;1.2;0.0
74;Pension funds;1983;6.8;1.2;2.1;1.8;1.6;0.1
75;Pension funds;1984;8.6;1.3;2.4;2.7;2.1;0.2
76;Pension funds;1985;10.6;1.4;3.1;3.4;2.5;0.1
77;Pension funds;1986;14.5;1.6;4.7;5.4;2.7;0.1
78;Pension funds;1987;15.9;1.8;4.9;6.3;2.7;0.2
79;Pension funds;1988;20.0;2.2;7.8;7.1;2.7;0.3
80;Pension funds;1989;21.8;2.3;11.0;5.6;2.6;0.3
81;Pension funds;1990;21.3;2.1;10.4;5.5;2.6;0.6
82;Pension funds;1991;29.1;4.2;15.3;6.5;2.6;0.5
83;Pension funds;1992;32.6;4.3;17.5;7.7;2.6;0.5
84;Pension funds;1993;43.3;4.4;25.9;9.6;2.7;0.6
85;Pension funds;1994;47.0;4.2;29.0;10.9;2.3;0.6
