ID;Perioden;TotaalUitgavenMinVanJustitie_1;MinisterieAlgemeen_2;Rechtshandhaving_3;VreemdelingenzakenEnAsielzoekers_4;PreventieJeugdbeschEnReclassering_5;DienstJustitieleInrichtingen_6;WetgevingRechtsplegingEnBijstand_7;CentraalJustitieelIncassoBureau_8;MinisterieVanDefensieKMAR_9;MinVanBinnenlZknPolitieBrandw_10;TotaalOpenbareOrdeEnVeiligheid_11;Politie_12;BrandweerEnRampenbestrijding_13;OverigeBeschermendeMaatregelen_14;PolitieRegioS_15;Rijksgebouwendienst_16
0;1990;1711;83;604;25;174;388;437;;122;1193;1443;1069.0;354;20;;172.0
1;1991;1816;94;624;37;182;403;476;;120;1242;1488;1105.0;362;22;;
2;1992;1987;76;687;47;200;444;533;;133;1383;1593;1190.0;383;20;;67.0
3;1993;2092;69;683;53;210;510;567;;144;1512;1640;1192.0;426;23;;108.0
4;1994;1913;76;321;75;225;581;635;;157;2034;486;29.0;436;19;1864.0;215.0
5;1995;2426;92;312;498;281;574;669;;166;2136;510;20.0;447;42;1973.0;266.0
6;1996;2537;124;299;495;298;638;668;15.0;187;2226;522;23.0;440;59;2056.0;231.0
7;1997;2946;124;326;656;359;703;754;24.0;209;2338;552;27.0;466;58;2156.0;192.0
8;1998;3330;132;296;893;412;758;817;22.0;216;2542;590;36.0;501;54;2299.0;334.0
9;1999;4023;162;305;1099;493;953;980;31.0;233;2980;647;46.0;545;56;2411.0;267.0
10;2000;3982;154;129;1031;576;931;1120;41.0;250;3296;710;42.0;595;73;2607.0;265.0
11;2001;4975;211;147;1409;638;1154;1366;50.0;286;3759;813;59.0;665;90;2881.0;310.0
12;2002;5239;197;676;1411;417;1370;1108;60.0;289;4089;948;70.0;763;115;3166.0;336.0
13;2003;5757;181;651;1753;484;1448;1176;64.0;317;4376;1029;57.0;822;150;3304.0;386.0
14;2004;5543;189;602;1478;455;1552;1199;69.0;367;4607;1117;;846;270;3359.0;428.0
15;2005;5578;236;594;1351;382;1673;1260;82.0;352;4585;1272;;912;360;3468.0;355.0
16;2006;5709;210;636;1346;380;1751;1303;84.0;366;4771;1373;;980;393;3733.0;372.0
17;2007;5925;231;668;1060;402;2144;1328;92.0;373;4968;1347;;977;370;3929.0;432.0
18;2008*;5788;234;633;959;414;2176;1302;69.0;367;4741;1511;;1072;440;3939.0;
