ID;Vervoerwijzen;Motieven;AandeelVerplaatsingen_1;AfgelegdeAfstandPerVerplaatsing_2;AandeelAfgelegdeAfstand_3;GemiddeldeReisduurPerVerplaatsing_4;AandeelReisduur_5
0;Totaal incl. gehandicaptenvervoermiddel;Totaal motieven;100.0;10.3;100.0;19.6;100.0
1;Totaal incl. gehandicaptenvervoermiddel;Diensten/persoonlijke verzorging;4.5;7.0;3.0;14.8;3.4
2;Totaal incl. gehandicaptenvervoermiddel;Winkelen;20.8;4.7;9.4;12.7;13.5
3;Totaal incl. gehandicaptenvervoermiddel;Visite/logeren;15.0;15.0;21.8;21.9;16.7
4;Totaal incl. gehandicaptenvervoermiddel;Sociaal/Recreatief/overig;12.1;8.9;10.6;17.9;11.1
5;Totaal incl. gehandicaptenvervoermiddel;Toeren/wandelen;7.1;8.7;6.0;29.6;10.8
6;Totaal incl. gehandicaptenvervoermiddel;Werk/zakelijk/opleiding/overig;40.3;12.6;49.2;21.6;44.5
7;Gehandicaptenvervoermiddel;Totaal motieven;100.0;2.2;100.0;16.8;100.0
8;Gehandicaptenvervoermiddel;Diensten/persoonlijke verzorging;11.1;1.7;9.2;14.7;9.7
9;Gehandicaptenvervoermiddel;Winkelen;46.5;1.6;33.5;14.2;39.5
10;Gehandicaptenvervoermiddel;Visite/logeren;10.1;1.8;8.4;15.6;9.4
11;Gehandicaptenvervoermiddel;Sociaal/Recreatief/overig;10.0;3.2;14.3;9.8;9.4
12;Gehandicaptenvervoermiddel;Toeren/wandelen;17.2;2.5;19.9;25.5;26.2
13;Gehandicaptenvervoermiddel;Werk/zakelijk/opleiding/overig;5.0;5.9;14.7;19.1;5.8
14;Andere vervoerwijzen;Totaal motieven;100.0;10.3;100.0;19.6;100.0
15;Andere vervoerwijzen;Diensten/persoonlijke verzorging;4.5;7.0;3.0;14.8;3.4
16;Andere vervoerwijzen;Winkelen;20.8;4.7;9.4;12.7;13.5
17;Andere vervoerwijzen;Visite/logeren;15.0;15.0;21.8;21.9;16.7
18;Andere vervoerwijzen;Sociaal/Recreatief/overig;12.1;8.9;10.6;17.9;11.1
19;Andere vervoerwijzen;Toeren/wandelen;7.1;8.7;6.0;29.6;10.8
20;Andere vervoerwijzen;Werk/zakelijk/opleiding/overig;40.3;12.6;49.2;21.6;44.5
