ID;GoodsAndServices;Periods;VolumeChanges_1;VolumeChangesShoppingdayAdjusted_2;Indices2000100_3;ValueChanges_4;ValueIndices_5;ShareInDomesticConsOfHouseholds_6;AbsoluteValueInEuroS_7
0;8000;1995 January;;;80.9;;71.1;;
1;8000;1995 February;;;76.1;;66.9;;
2;8000;1995 March;;;82.8;;73.5;;
3;8000;1995 1st quarter;;;79.9;;70.5;;
4;8000;1995 April;;;78.8;;70.2;;
5;8000;1995 May;;;80.4;;71.6;;
6;8000;1995 June;;;82.3;;73.1;;
7;8000;1995 2nd quarter;;;80.5;;71.6;;
8;8000;1995 July;;;78.8;;69.7;;
9;8000;1995 August;;;79.1;;70.2;;
10;8000;1995 September;;;80.7;;72.1;;
11;8000;1995 3rd quarter;;;79.5;;70.7;;
12;8000;1995 October;;;79.7;;71.1;;
13;8000;1995 November;;;81.7;;72.9;;
14;8000;1995 December;;;84.8;;75.3;;
15;8000;1995 4th quarter;;;82.1;;73.1;;
16;8000;1995;;;80.5;;71.5;100.0;149433.0
17;8000;1996 January;4.5;;84.6;6.3;75.6;;
18;8000;1996 February;6.5;;81.1;8.5;72.6;;
19;8000;1996 March;2.9;;85.2;4.9;77.0;;
20;8000;1996 1st quarter;4.6;;83.6;6.5;75.1;;
21;8000;1996 April;3.8;;81.8;6.0;74.4;;
22;8000;1996 May;6.2;;85.4;8.3;77.5;;
23;8000;1996 June;2.3;;84.1;4.0;76.0;;
24;8000;1996 2nd quarter;4.1;;83.8;6.1;76.0;;
25;8000;1996 July;5.3;;82.9;7.2;74.8;;
26;8000;1996 August;6.4;;84.1;8.0;75.8;;
27;8000;1996 September;1.9;;82.2;3.6;74.7;;
28;8000;1996 3rd quarter;4.5;;83.1;6.2;75.1;;
29;8000;1996 October;7.1;;85.3;9.3;77.7;;
30;8000;1996 November;4.8;;85.7;7.0;77.9;;
31;8000;1996 December;2.5;;86.9;5.0;79.1;;
32;8000;1996 4th quarter;4.8;;86.0;7.0;78.2;;
33;8000;1996;4.5;;84.1;6.5;76.1;100.0;159080.0
34;8000;1997 January;5.5;;89.2;7.8;81.5;;
