ID;Regio;Perioden;TotaalVestigingen_1;ABLandbouwJachtBosbouwVisserij_2;CDENijverheidExclBouw_3;FBouwnijverheid_4;k_50HandelEnRepVanMotorrijtuigen_5;k_51GroothandelEnHandelsbemiddeling_6;k_52DetailhandelInclReparatie_7;HHoreca_8;IVervoerOpslagEnCommunicatie_9;JFinancieleInstellingen_10;KVerhuurEnZakelijkeDienstverlening_11;LMOpenbaarBestuurOnderwijs_12;NGezondheidsEnWelzijnszorg_13;OCultuurRecreatieEnOvDienstverl_14
0;Nederland;1994;661410;126225;49795;42455;21745;53230;111105;40185;27130;17860;82675;21420;31275;36315
1;Nederland;1995;666045;123480;49630;47210;22400;52880;110900;39550;27165;17195;85220;21345;31770;37300
2;Nederland;1996;690700;120445;51245;51930;24400;55385;112375;40190;27900;18055;93965;22635;32225;39945
3;Nederland;1997;714385;118345;52140;54765;24950;57450;114265;41375;29495;18545;102395;25345;33605;41715
4;Nederland;1998;761390;115710;55385;62615;25860;62035;123035;44020;32420;19470;115250;25620;33855;46115
5;Nederland;1999;763330;113135;54195;66280;26885;60410;117555;45640;32650;19705;123895;23395;33620;45955
6;Nederland;2000;773355;110015;53195;67360;28060;62115;115845;45065;33845;20515;131785;22980;34325;48245
7;Nederland;2001;780690;105510;54710;71440;27710;61660;115525;43475;34370;20785;136305;22925;35575;50695
8;Nederland;2002;785000;103255;53735;72720;27175;62040;107785;40820;34415;20845;145760;27810;36825;51825
9;Nederland;2003;777350;99645;52995;74505;25110;61360;105775;41320;33295;19190;147440;27350;36540;52830
10;Nederland;2004;787775;98245;52875;75110;25445;63020;104970;39725;32990;18915;153810;28120;38075;56470
11;Nederland;2005;800705;96770;51625;76680;25795;63030;109075;40215;32765;18880;156655;28470;42940;57815
12;Nederland;2006;826305;94355;52545;84355;25960;64730;109305;40200;33295;19245;167850;28705;45720;60035
13;Noord-Nederland;1994;69025;20045;4715;4040;2295;3745;10915;4105;2615;1540;5630;2465;3505;3410
14;Noord-Nederland;1995;69610;19575;4650;4600;2335;3685;10920;4070;2740;1620;5970;2425;3480;3535
15;Noord-Nederland;1996;71720;19120;4870;5105;2585;3925;11040;4165;2815;1565;6635;2580;3505;3810
16;Noord-Nederland;1997;74260;18765;5075;5560;2705;4130;11345;4315;2950;1625;7350;2915;3505;4010
17;Noord-Nederland;1998;78045;18435;5410;6250;2785;4430;12145;4615;3345;1740;8205;2890;3505;4290
18;Noord-Nederland;1999;78230;18100;5475;6535;2950;4350;11775;4865;3405;1745;8780;2405;3420;4415
19;Noord-Nederland;2000;78835;17665;5345;6620;3100;4525;11720;4785;3505;1790;9295;2340;3515;4625
20;Noord-Nederland;2001;79260;17065;5575;6985;3095;4470;11675;4670;3480;1770;9625;2330;3640;4885
