ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;BrutoLonenEnSalarissen_6;TotaleBedrijfsopbrengsten_7;TotaleNettoOmzet_8;Hoofdactiviteit_9;Nevenactiviteiten_10;Buitenland_11;Binnenland_12;OverigeBedrijfsopbrengsten_13;TotaleBedrijfslasten_14;InkoopwaardeOmzet_15;Arbeidskosten_16;AfschrijvingenOpVasteActiva_17;TotaleOverigeBedrijfslasten_18;Verkoopkosten_19;Communicatiekosten_20;KostenEnergieverbruik_21;KostenVanDienstverleningDoorDerden_22;OverigePersoneelskosten_23;KostenVervoermiddelen_24;Huisvestingskosten_25;KostenInventaris_26;NietEerderGenoemdeBedrijfslasten_27;Bedrijfsresultaat_28;SaldoFinancieleBatenEnLasten_29;FinancieleBaten_30;FinancieleLasten_31;SaldoVoorzieningen_32;OnttrekkingenVrijvalVanVoorzieningen_33;ToevoegingenAanVoorzieningen_34;SaldoBuitengewoneBatenEnLasten_35;BuitengewoneBaten_36;BuitengewoneLasten_37;ResultaatVoorBelastingen_38
0;51 Groothandel en handelsbemiddeling;2000;55195;531.4;476.7;461.8;412.5;12953.0;246328.0;244666.0;238817.0;5849.0;81329.0;163337.0;1662.0;236690.0;195916.0;15693.0;2674.0;22407.0;6746.0;688.0;412.0;2367.0;2204.0;2003.0;2151.0;712.0;5121.0;9638.0;-211.0;1996.0;2207.0;-207.0;183.0;389.0;1301.0;2144.0;843.0;10522.0
1;51 Groothandel en handelsbemiddeling;2001;54970;530.1;476.5;455.6;407.6;13086.0;251565.0;250097.0;243823.0;6274.0;87547.0;162550.0;1468.0;242035.0;201838.0;15842.0;2537.0;21818.0;6709.0;704.0;436.0;2151.0;2242.0;1987.0;2263.0;633.0;4689.0;9529.0;-164.0;1950.0;2114.0;-135.0;288.0;423.0;1.0;734.0;733.0;9231.0
2;51 Groothandel en handelsbemiddeling;2002;55965;533.0;477.9;466.2;415.6;14119.0;265679.0;264228.0;256995.0;7233.0;90984.0;173244.0;1451.0;254583.0;209200.0;17257.0;2952.0;25174.0;7503.0;762.0;435.0;2993.0;2353.0;2172.0;2551.0;727.0;5679.0;11096.0;-316.0;2107.0;2423.0;-228.0;278.0;506.0;-1716.0;598.0;2314.0;8836.0
3;51 Groothandel en handelsbemiddeling;2003;55690;492.0;439.3;434.2;386.8;13736.0;265362.0;263482.0;256155.0;7327.0;97967.0;165515.0;1880.0;255932.0;211347.0;16933.0;3264.0;24388.0;6997.0;730.0;426.0;3344.0;2177.0;1987.0;2568.0;677.0;5479.0;9430.0;-588.0;2019.0;2607.0;-261.0;257.0;518.0;392.0;1028.0;635.0;8974.0
4;51 Groothandel en handelsbemiddeling;2004;57910;477.9;423.9;427.6;378.9;13841.0;282229.0;280569.0;272916.0;7653.0;100864.0;179705.0;1660.0;271563.0;226089.0;17099.0;2864.0;25511.0;7056.0;825.0;435.0;3885.0;2331.0;1982.0;2598.0;692.0;5707.0;10667.0;11.0;2319.0;2308.0;-290.0;231.0;521.0;-4.0;906.0;910.0;10383.0
5;51 Groothandel en handelsbemiddeling;2005;58065;484.1;426.4;431.5;379.0;14318.0;297193.0;295356.0;287666.0;7690.0;117991.0;177365.0;1837.0;285300.0;238120.0;17532.0;2899.0;26749.0;7409.0;811.0;477.0;4145.0;2573.0;2160.0;2740.0;681.0;5752.0;11893.0;532.0;2969.0;2437.0;-312.0;205.0;516.0;560.0;1362.0;802.0;12674.0
6;511 Handelsbemiddeling;2000;4740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;511 Handelsbemiddeling;2001;4480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;511 Handelsbemiddeling;2002;4780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;511 Handelsbemiddeling;2003;4880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;511 Handelsbemiddeling;2004;5290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;511 Handelsbemiddeling;2005;5575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;512 Grooth landbouwprod,levende dieren;2000;4915;40.2;34.8;33.3;28.1;855.0;22522.0;22391.0;22064.0;327.0;9747.0;12644.0;131.0;21950.0;19315.0;1043.0;201.0;1391.0;280.0;43.0;43.0;98.0;139.0;234.0;142.0;106.0;307.0;572.0;-100.0;73.0;173.0;-11.0;10.0;21.0;15.0;37.0;22.0;477.0
13;512 Grooth landbouwprod,levende dieren;2001;4885;39.0;33.9;31.5;26.6;804.0;21582.0;21493.0;21315.0;178.0;9946.0;11547.0;89.0;21040.0;18667.0;982.0;191.0;1200.0;223.0;41.0;42.0;99.0;157.0;188.0;139.0;41.0;271.0;541.0;-78.0;67.0;145.0;-5.0;13.0;18.0;3.0;31.0;28.0;461.0
14;512 Grooth landbouwprod,levende dieren;2002;4905;37.7;32.8;31.4;26.6;854.0;22270.0;22159.0;22049.0;110.0;11292.0;10867.0;111.0;21704.0;19124.0;1052.0;205.0;1323.0;185.0;45.0;38.0;233.0;171.0;199.0;162.0;48.0;242.0;565.0;-73.0;81.0;154.0;-2.0;19.0;21.0;-13.0;40.0;52.0;477.0
15;512 Grooth landbouwprod,levende dieren;2003;4885;37.5;32.6;30.8;26.4;860.0;22151.0;22050.0;21780.0;270.0;10093.0;11957.0;101.0;21577.0;18977.0;1057.0;200.0;1343.0;174.0;42.0;42.0;268.0;166.0;177.0;174.0;56.0;245.0;574.0;-78.0;83.0;161.0;-31.0;15.0;47.0;-4.0;34.0;38.0;461.0
16;512 Grooth landbouwprod,levende dieren;2004;4995;;;;;839.0;22095.0;22011.0;21844.0;167.0;10271.0;11740.0;84.0;21499.0;19080.0;1021.0;173.0;1225.0;152.0;41.0;37.0;237.0;148.0;168.0;168.0;57.0;217.0;596.0;-80.0;65.0;146.0;-12.0;9.0;22.0;-18.0;20.0;37.0;485.0
17;512 Grooth landbouwprod,levende dieren;2005;4920;;;;;803.0;20543.0;20471.0;20298.0;173.0;9079.0;11392.0;72.0;20133.0;17650.0;976.0;170.0;1337.0;175.0;39.0;42.0;324.0;165.0;172.0;170.0;51.0;198.0;410.0;-55.0;54.0;109.0;-14.0;6.0;20.0;43.0;67.0;24.0;385.0
