ID;Geslacht;Perioden;Vergrijzing_1;Alleenstaanden3064Jaar_2;NietWesterseAllochtonen_3;TotaleBevolkingsgroei_4;Levensverwachting65Jaar_5;Eigenaar_6;WoonuitgavenQuoteVoorEigenaren_7;WoonuitgavenQuoteVoorHuurders_8;PrijsindexcijferWoningenTotaal_9;PrijsindexcijferAppartementen_10;GemiddeldeVerkoopprijsWoningenTotaal_11;GemiddeldeVerkoopprijsAppartementen_12;GeluidshinderVanBuren_13;GeluidshinderVanWegverkeer_14;SlachtofferschapGeweldsdelicten_15;SlachtofferschapVernieling_16;SlachtofferschapVanDiefstaldelicten_17;TotaalSlachtofferschapDelicten_18;Onveiligheidsgevoelens_19;Onderwijsuitgaven_20;Onderwijsdeelname_21;DropOutsVSVErs_22;Opleidingsniveau_23;MensenZonderDiploma_24;BetaaldWerk_25;Werkloosheid_26;Arbeidsduur_27;Zelfstandigen_28;FlexibeleArbeidsrelatie_29;Uurloon_30;Beroepsniveau_31;Werkdruk_32;LageAutonomie_33;Kracht_34;Arbeidsongeschiktheid_35;Ziekteverzuim_36;AantalVerplaatsingen_37;AfgelegdeAfstand_38;VervoerwijzeAuto_39;VervoerwijzeOpenbaarVervoer_40;Verkeersdoden_41;BBPPerCapita_42;GemiddeldInkomen_43;DynamischeKoopkrachtontwikkeling_44;Inkomensverdeling_45;VoornaamsteInkomensbron_46;VasteLasten_47;Consumentenvertrouwen_48;MoeilijkRondkomen_49;PCBezitInCombinatieMetInternet_50;KopenViaInternet_51;TevredenheidMetVriendenEnKennissen_52;NietGeisoleerdVoelen_53;ContactMetBuren_54;ContactMetFamilie_55;ContactMetVrienden_56;TVKijken_57;Sportbeoefening_58;Buitenrecreatie_59;TevredenheidMetVrijetijdsbesteding_60;AanVrijeTijdBesteedGeld_61;LevensverwachtingBijGeboorte_62;ErvarenGezondheid_63;LichamelijkeBeperkingen_64;Roken_65;Overgewicht_66;PsychischeGezondheid_67;PolitiekeInteresse_68;ActiviteitenVoorPolitiekePartij_69;KerkelijkeGezindte_70;Kerkgang_71;OnbetaaldeArbeid_72;HuishoudelijkWerk_73;Kinderverzorging_74;GeorganiseerdVrijwilligerswerk_75;InformeleHulp_76
0;Totaal personen/huishoudens;1990;12.8;;;7.9;;;;;;;;;;;;;;;;942.0;23.8;;;;;;;;;;;;;;15.6;;;;;;;16270.0;12.5;3.7;173.3;60.1;32.8;4.0;;;;;;;;;;;;;1920.0;;18.3;13.5;37.0;34.9;;;;;;;;;;
1;Totaal personen/huishoudens;1991;12.9;;;7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Totaal personen/huishoudens;1992;13.0;;;7.3;;;36.5;35.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2105.0;;;;;;;;;;;;;;;
3;Totaal personen/huishoudens;1993;13.0;;;6.7;;;36.5;36.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2178.0;;;;;;;;;;;;;;;
4;Totaal personen/huishoudens;1994;13.1;;;5.4;;;37.5;36.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2212.0;;;;;;;;;;;;;;;
5;Totaal personen/huishoudens;1995;13.2;12.5;;4.5;;;36.5;37.0;39.0;40.0;93750.0;65009.0;;;5.4;9.7;13.9;25.9;;1182.0;18.9;;19.4;14.8;65.1;8.0;72.2;11.6;8.9;13.8;25.4;;;;14.2;4.9;3.17;31.43;46.1;5.0;;19746.0;14.5;1.0;110.0;58.8;36.2;4.0;13.0;;;;;;;;;;;;2201.0;;18.8;15.3;35.9;37.9;;;;;;;;;;
6;Totaal personen/huishoudens;1996;13.3;12.7;7.6;4.7;;;36.9;38.2;44.0;44.0;102607.0;72285.0;;;4.2;8.8;12.5;23.1;;1200.0;18.8;5.7;18.5;12.9;66.0;7.5;71.8;11.8;10.0;14.26;26.8;;;25.0;14.1;4.6;3.15;31.29;47.3;5.1;7.7;20589.0;14.8;1.3;108.8;59.6;37.0;1.0;14.0;;;;;;;;;;;;2183.0;;18.6;13.5;36.0;38.9;;;;;;;;;;
7;Totaal personen/huishoudens;1997;13.4;12.9;7.8;5.6;;;36.3;37.5;49.0;49.0;113163.0;80388.0;21.0;27.0;5.2;10.4;13.3;25.8;;1217.0;21.6;5.2;18.9;12.4;67.9;6.6;71.1;11.8;10.2;14.83;26.9;5.9;33.0;24.0;13.9;4.6;3.17;32.39;46.7;5.0;7.4;21923.0;15.3;1.5;111.1;60.3;36.5;15.0;12.0;;;47.0;89.0;67.0;82.0;77.0;67.0;53.0;50.0;35.0;2297.0;;19.2;11.7;35.8;40.5;;50.0;1.0;61.0;24.0;11.0;34.0;8.0;46.0;31.0
8;Totaal personen/huishoudens;1998;13.5;13.2;8.2;6.8;;49.1;36.4;37.5;54.0;54.0;124540.0;89484.0;20.0;28.0;5.7;11.1;13.0;26.4;;1318.0;21.3;6.1;20.1;12.0;69.5;5.1;69.8;11.2;10.4;15.46;28.5;5.8;33.0;23.0;13.8;5.0;3.14;32.08;48.4;5.1;6.7;23077.0;15.9;2.8;112.3;61.6;36.0;17.0;10.0;16.0;;47.0;89.0;67.0;82.0;78.0;69.0;53.0;50.0;35.0;2497.0;;18.9;11.1;34.7;40.5;;53.0;1.0;60.0;23.0;;;;44.0;31.0
9;Totaal personen/huishoudens;1999;13.5;13.4;8.5;6.6;;50.1;35.2;36.4;63.0;63.0;144778.0;105022.0;20.0;28.0;5.6;11.6;12.6;26.5;21.9;1387.0;21.5;6.2;20.5;12.3;70.8;4.3;69.4;10.7;9.6;15.98;28.2;5.8;35.0;23.0;13.7;5.4;3.15;32.44;48.9;4.8;7.0;24424.0;16.5;1.2;110.6;62.3;35.3;14.0;10.0;26.0;;49.0;89.0;66.0;83.0;78.0;68.0;54.0;48.0;38.0;2687.0;;20.0;12.6;34.0;42.3;;51.0;2.0;59.0;23.0;14.0;42.0;7.0;45.0;32.0
