ID;RegioS;TotaalHuishoudensMetInkomen_1;HuishoudensMetLangdurigLaagInkomen_2;HuishoudensGestandaardiseerdInkomen_3;IndexGestandaardiseerdInkomen_4;AantalHuishoudensNietActief_5;IndexHuishoudensUitkeringNietActief_6;IndexHuishoudensUitkeringTotaal_7;Gemeentenaam_8
0;Nederland;6624;5.0;18.0;;2344;31.0;11.0;     Nederland
1;Amsterdam;373;11.0;17.0;100.0;138;50.0;18.0;     Amsterdam
2;Binnenstad;46;9.0;20.0;114.0;12;59.0;15.0;     Amsterdam
3;Westerpoort;0;;;;0;;;     Amsterdam
4;Westerpark;19;13.0;15.0;89.0;7;67.0;23.0;     Amsterdam
5;Oud-West;19;11.0;17.0;97.0;6;58.0;17.0;     Amsterdam
6;Zeeburg;18;13.0;17.0;96.0;6;70.0;23.0;     Amsterdam
7;Bos en Lommer;14;13.0;15.0;84.0;6;62.0;24.0;     Amsterdam
8;De Baarsjes;18;11.0;16.0;91.0;6;61.0;21.0;     Amsterdam
9;Amsterdam-Noord;40;11.0;16.0;92.0;19;42.0;20.0;     Amsterdam
10;Geuzenveld/Slotermeer;18;12.0;16.0;89.0;9;41.0;21.0;     Amsterdam
11;Osdorp;19;10.0;17.0;98.0;9;35.0;16.0;     Amsterdam
12;Slotervaart/Overtoomse Veld;19;9.0;18.0;105.0;7;35.0;14.0;     Amsterdam
13;Zuidoost;39;11.0;16.0;90.0;14;63.0;23.0;     Amsterdam
14;Oost/Watergraafsmeer;30;13.0;17.0;95.0;11;52.0;20.0;     Amsterdam
15;Amsterdam Oud-Zuid;47;10.0;20.0;112.0;15;50.0;16.0;     Amsterdam
16;Zuideramstel;26;7.0;21.0;121.0;11;28.0;12.0;     Amsterdam
17;Rotterdam;279;12.0;16.0;100.0;123;43.0;19.0;     Rotterdam
18;Stadscentrum;15;12.0;18.0;112.0;5;51.0;18.0;     Rotterdam
19;Delfshaven;33;16.0;14.0;86.0;14;67.0;28.0;     Rotterdam
20;Overschie;8;12.0;16.0;99.0;4;35.0;17.0;     Rotterdam
21;Noord;26;13.0;16.0;99.0;10;54.0;20.0;     Rotterdam
22;Hillegersberg-Schiebroek;19;8.0;20.0;121.0;8;26.0;11.0;     Rotterdam
23;Kralingen-Krooswijk;24;15.0;17.0;106.0;11;50.0;22.0;     Rotterdam
24;Feijenoord;32;16.0;14.0;88.0;15;58.0;27.0;     Rotterdam
25;Ijsselmonde;28;10.0;16.0;98.0;14;32.0;16.0;     Rotterdam
26;Pernis;2;0.0;17.0;105.0;1;20.0;9.0;     Rotterdam
27;Prins Alexander;39;9.0;18.0;111.0;18;25.0;11.0;     Rotterdam
28;Charlois;33;12.0;15.0;90.0;16;46.0;22.0;     Rotterdam
29;Hoogvliet;16;9.0;16.0;101.0;7;35.0;16.0;     Rotterdam
30;Hoek van Holland;4;4.0;19.0;115.0;2;18.0;7.0;     Rotterdam
31;Spaanse Polder;0;;;;0;;;     Rotterdam
32;Nieuw Mathenesse;0;;;;0;;;     Rotterdam
