ID;PrognoseInterval;Perioden;Levendgeborenen_1;Overledenen_2;Immigratie_3;Emigratie_4;Migratiesaldo_5
0;1;2000;206598;140991;131954;79748;52206
1;1;2001;206490;141024;132097;81561;50536
2;1;2002;204963;141391;132700;83001;49699
3;1;2003;202339;141770;132863;84392;48471
4;1;2004;199545;142244;132828;85501;47327
5;1;2005;196651;143615;132430;86530;45900
6;1;2006;193893;145271;131981;87466;44515
7;1;2007;191395;147119;131562;88339;43223
8;1;2008;189375;148989;131214;89167;42047
9;1;2009;187667;151011;131071;89962;41109
10;1;2010;186588;152843;130995;90735;40260
11;1;2011;186049;154856;130993;91466;39527
12;1;2012;185900;156893;130917;92172;38745
13;1;2013;186187;159041;130800;92835;37965
14;1;2014;186755;161121;130669;93458;37211
15;1;2015;187555;163143;130488;94042;36446
16;1;2016;188552;165303;130359;94589;35770
17;1;2017;189719;167474;130206;95103;35103
18;1;2018;190989;169696;130079;95585;34494
19;1;2019;192270;172076;130027;96038;33989
20;1;2020;193499;174440;129986;96473;33513
21;1;2021;194642;176983;129986;96870;33116
22;1;2022;195687;179559;129986;97251;32735
23;1;2023;196632;182237;129986;97608;32378
24;1;2024;197475;185062;129986;97940;32046
25;1;2025;198230;187857;129986;98242;31744
26;1;2026;198876;190848;129986;98508;31478
27;1;2027;199437;193906;129986;98740;31246
28;1;2028;199912;197030;129986;98938;31048
29;1;2029;200299;200185;129986;99104;30882
30;1;2030;200556;203275;129986;99238;30748
31;1;2031;200670;206369;129986;99345;30641
32;1;2032;200620;209398;129986;99429;30557
33;1;2033;200387;212360;129986;99494;30492
34;1;2034;199965;215110;129986;99546;30440
35;1;2035;199399;217862;129986;99588;30398
36;1;2036;198717;220313;129986;99624;30362
37;1;2037;197976;222372;129986;99655;30331
38;1;2038;197215;224392;129986;99684;30302
39;1;2039;196497;225912;129986;99712;30274
40;1;2040;195843;227171;129986;99742;30244
41;1;2041;195304;228368;129986;99774;30212
42;1;2042;194891;229303;129986;99809;30177
43;1;2043;194642;230295;129986;99848;30138
44;1;2044;194559;230851;129986;99892;30094
45;1;2045;194635;231305;129986;99941;30045
46;1;2046;194863;231833;129986;99995;29991
47;1;2047;195212;232037;129986;100054;29932
48;1;2048;195646;232127;129986;100118;29868
49;1;2049;196197;232126;129986;100188;29798
50;2;2000;196911;128940;116135;73423;34895
51;2;2001;193662;124788;102886;72011;19758
52;2;2002;189401;123004;97814;70877;13455
53;2;2003;184272;122168;93585;70872;10231
54;2;2004;179913;119942;89949;69578;6750
55;2;2005;175971;120697;86575;69162;42
56;2;2006;171958;122364;83602;68764;-3185
57;2;2007;167066;122879;81011;68488;-5078
58;2;2008;164740;124119;78799;67884;-7386
59;2;2009;159345;125603;77012;66626;-8378
60;2;2010;157761;125715;75518;66183;-10400
61;2;2011;154719;128073;74255;65603;-12063
62;2;2012;152962;129963;73075;65517;-12056
63;2;2013;151841;130932;71980;62716;-11501
