ID;CompositionOfTheHousehold;OtherHouseholdCharacteristics;Periods;NumberOfHouseholds_1;PersonsPerHousehold_2;PersonsWithAnIncomePerHousehold_3;GrossIncome_4;SpendableIncome_5;StandardisedIncome_6
0;1;0;1990;6128;2.4;1.7;29.8;18.4;12.5
1;1;0;1991;6211;2.4;1.7;31.0;18.9;12.9
2;1;0;1992;6309;2.4;1.7;32.5;19.5;13.4
3;1;0;1993;6401;2.3;1.7;32.5;19.7;13.6
4;1;0;1994;6454;2.3;1.7;32.5;20.3;14.0
5;1;0;1995;6549;2.3;1.7;33.1;20.9;14.5
6;1;0;1996;6617;2.3;1.7;33.6;21.3;14.8
7;1;0;1997;6704;2.3;1.7;34.2;22.0;15.3
8;1;0;1998;6783;2.3;1.7;35.2;22.7;15.9
9;1;0;1999;6855;2.3;1.7;36.9;23.5;16.5
10;1;0;2000;6941;2.3;1.7;38.7;24.8;17.4
11;1;1;1990;323;3.2;1.9;48.0;30.3;18.2
12;1;1;1991;312;3.2;1.9;48.2;30.1;18.2
13;1;1;1992;315;3.1;1.9;48.0;29.2;17.9
14;1;1;1993;310;3.1;1.9;44.9;27.9;17.2
15;1;1;1994;313;3.1;1.9;45.6;28.6;17.6
16;1;1;1995;338;3.0;1.9;47.7;30.4;19.0
17;1;1;1996;322;3.0;1.9;48.3;30.7;19.0
18;1;1;1997;327;3.0;2.0;49.3;31.8;19.8
19;1;1;1998;335;2.9;2.0;50.2;31.4;19.7
20;1;1;1999;331;2.9;1.9;52.8;32.9;20.8
21;1;1;2000;336;2.9;1.9;53.9;33.3;21.2
22;1;2;1990;3358;2.8;1.8;36.1;21.1;13.6
23;1;2;1991;3419;2.7;1.8;37.6;21.8;14.2
24;1;2;1992;3465;2.7;1.8;39.6;22.5;14.7
25;1;2;1993;3485;2.7;1.8;40.0;23.0;15.0
26;1;2;1994;3468;2.7;1.8;40.3;23.8;15.6
27;1;2;1995;3516;2.7;1.8;40.6;24.3;16.0
28;1;2;1996;3623;2.6;1.8;40.7;24.6;16.3
29;1;2;1997;3716;2.6;1.8;40.9;25.1;16.7
30;1;2;1998;3843;2.6;1.8;42.0;25.9;17.3
31;1;2;1999;3943;2.6;1.8;43.8;26.7;17.9
32;1;2;2000;4025;2.5;1.8;45.7;27.9;18.7
33;1;3;1990;1437;1.6;1.4;19.4;14.2;11.6
34;1;3;1991;1465;1.6;1.4;20.3;14.8;12.1
35;1;3;1992;1494;1.6;1.4;21.3;15.4;12.6
36;1;3;1993;1519;1.6;1.4;21.7;15.8;12.9
37;1;3;1994;1553;1.6;1.4;21.6;16.1;13.2
38;1;3;1995;1569;1.5;1.4;21.8;16.3;13.4
39;1;3;1996;1591;1.5;1.4;22.4;16.8;13.8
40;1;3;1997;1618;1.5;1.4;23.0;17.3;14.3
41;1;3;1998;1624;1.5;1.4;23.7;18.1;14.9
42;1;3;1999;1635;1.5;1.4;24.5;18.6;15.3
43;1;3;2000;1666;1.5;1.4;25.8;19.9;16.4
44;1;4;1990;910;2.0;1.4;15.0;9.9;7.3
45;1;4;1991;925;2.0;1.4;15.7;10.2;7.5
46;1;4;1992;943;2.0;1.4;16.8;10.8;8.0
47;1;4;1993;985;2.0;1.4;16.5;10.8;8.0
48;1;4;1994;1017;2.0;1.4;16.7;11.1;8.2
49;1;4;1995;997;2.0;1.4;16.8;11.5;8.5
50;1;4;1996;941;2.0;1.4;17.4;11.8;8.8
51;1;4;1997;891;2.0;1.4;17.7;12.3;9.1
52;1;4;1998;838;1.9;1.4;17.2;12.3;9.3
53;1;4;1999;790;1.9;1.4;17.6;12.5;9.5
54;1;4;2000;761;1.9;1.4;18.9;13.5;10.2
55;1;5;1990;101;2.7;1.7;46.8;25.5;16.2
56;1;5;1991;89;2.8;1.8;52.0;28.1;17.3
57;1;5;1992;92;2.8;1.8;53.5;28.6;17.9
58;1;5;1993;104;2.7;1.8;51.7;27.7;17.4
59;1;5;1994;104;2.7;1.8;53.9;29.9;18.9
60;1;5;1995;129;2.7;1.8;53.8;30.5;19.5
61;1;5;1996;140;2.7;1.8;52.6;30.2;19.3
62;1;5;1997;151;2.7;1.8;52.2;30.3;19.5
63;1;5;1998;142;2.8;1.8;53.5;30.3;19.5
64;1;5;1999;157;2.7;1.8;55.0;31.0;20.0
65;1;5;2000;154;2.7;1.8;59.4;35.1;22.6
66;1;6;1990;408;1.3;1.2;12.5;7.8;6.8
67;1;6;1991;417;1.3;1.2;13.1;8.1;6.9
68;1;6;1992;412;1.3;1.2;13.7;8.5;7.2
