ID;InkomensBestanddelen;Inkomensklassen;Perioden;TotaalParticuliereHuishoudens_1;TotaalAlleenstaanden_2;ManAlleenstaand_3;VrouwAlleenstaand_4;TotaalEchtParen_5;MetEenAOWErEchtPaar_6;BeidenAOWErEchtPaar_7;TotaalOverigeHuishoudens_8;MetEenAOWErOverigHuishouden_9;MetMeerAOWErsOverigHuishouden_10;TotaalInstitutioneleHuishoudens_11;Alleenstaande_12
0;9;0;1990;1239;587;111;476;490;146;344;162;113;50;152;147
1;9;0;1991;1261;604;120;485;499;146;353;158;109;48;150;143
2;9;0;1992;1288;629;127;502;505;141;364;154;107;48;144;138
3;9;0;1993;1306;644;133;512;513;146;368;148;104;44;140;134
4;9;0;1994;1326;659;135;524;525;148;377;141;99;42;139;132
5;9;0;1995;1347;673;138;535;537;146;391;137;96;41;135;130
6;9;0;1996;1371;684;143;542;553;159;394;134;94;39;131;125
7;9;0;1997;1395;702;151;551;567;162;405;126;90;36;127;121
8;9;0;1998;1410;704;148;556;578;160;418;127;90;37;118;113
9;9;0;1999;1429;716;154;563;586;164;422;127;92;35;121;114
10;9;0;2000;1443;725;156;569;601;169;432;116;83;33;115;109
11;9;1;1990;0;0;0;0;0;0;0;0;0;0;0;0
12;9;1;1991;0;0;0;0;0;0;0;0;0;0;0;0
13;9;1;1992;0;0;0;0;0;0;0;0;0;0;0;0
14;9;1;1993;0;0;0;0;0;0;0;0;0;0;0;0
15;9;1;1994;0;0;0;0;0;0;0;0;0;0;0;0
16;9;1;1995;0;0;0;0;0;0;0;0;0;0;0;0
17;9;1;1996;0;0;0;0;0;0;0;0;0;0;0;0
18;9;1;1997;0;0;0;0;0;0;0;0;0;0;0;0
19;9;1;1998;0;0;0;0;0;0;0;0;0;0;0;0
20;9;1;1999;0;0;0;0;0;0;0;0;0;0;0;0
21;9;1;2000;0;0;0;0;0;0;0;0;0;0;0;0
22;9;2;1990;1239;587;111;476;490;146;344;162;113;50;152;147
23;9;2;1991;1261;604;120;485;499;146;353;158;109;48;150;143
