ID;Geslacht;Leeftijd;ArbeidOpleiding;TotaalPersonenMetEenUitkering_1;Autochtonen_2;Allochtonen_3;WesterseAllochtonen_4;NietWesterseAllochtonen_5;PersonenMetABWUitkering_6;PersonenMetWAOWAZWajongUitkering_7;PersonenMetWWUitkering_8
0;Geslacht totaal;Leeftijd totaal;Totaal arbeid/opleiding;1484.0;1084.0;400.0;157.0;243.0;488.0;787.0;255.0
1;Geslacht totaal;Leeftijd totaal;Werkzaam;326.0;271.0;55.0;31.0;25.0;54.0;204.0;75.0
2;Geslacht totaal;Leeftijd totaal;Werkloos;188.0;119.0;69.0;21.0;48.0;101.0;27.0;70.0
3;Geslacht totaal;Leeftijd totaal;Niet beroepsbevolking;970.0;694.0;276.0;105.0;170.0;333.0;555.0;109.0
4;Geslacht totaal;Leeftijd totaal;Basisonderwijs;417.0;255.0;162.0;37.0;125.0;174.0;212.0;44.0
5;Geslacht totaal;Leeftijd totaal;Mavo;129.0;89.0;41.0;15.0;25.0;48.0;65.0;20.0
6;Geslacht totaal;Leeftijd totaal;Vbo;266.0;210.0;56.0;29.0;27.0;81.0;145.0;49.0
7;Geslacht totaal;Leeftijd totaal;Havo/vwo;68.0;39.0;29.0;11.0;18.0;38.0;20.0;11.0
8;Geslacht totaal;Leeftijd totaal;Mbo;412.0;344.0;68.0;37.0;31.0;90.0;245.0;92.0
9;Geslacht totaal;Leeftijd totaal;Hbo;141.0;110.0;31.0;19.0;11.0;33.0;82.0;29.0
10;Geslacht totaal;Leeftijd totaal;Wo;51.0;38.0;13.0;8.0;5.0;23.0;19.0;10.0
11;Geslacht totaal;15 tot 25 jaar;Totaal arbeid/opleiding;76.0;45.0;31.0;6.0;25.0;44.0;19.0;13.0
12;Geslacht totaal;15 tot 25 jaar;Werkzaam;18.0;14.0;4.0;;3.0;6.0;6.0;6.0
13;Geslacht totaal;15 tot 25 jaar;Werkloos;17.0;9.0;8.0;;7.0;12.0;;4.0
14;Geslacht totaal;15 tot 25 jaar;Niet beroepsbevolking;40.0;22.0;19.0;3.0;15.0;26.0;12.0;3.0
15;Geslacht totaal;15 tot 25 jaar;Basisonderwijs;22.0;10.0;12.0;;10.0;15.0;6.0;
16;Geslacht totaal;15 tot 25 jaar;Mavo;13.0;8.0;5.0;;4.0;6.0;6.0;
17;Geslacht totaal;15 tot 25 jaar;Vbo;16.0;10.0;6.0;;5.0;8.0;4.0;5.0
18;Geslacht totaal;15 tot 25 jaar;Havo/vwo;6.0;4.0;3.0;;;6.0;;
19;Geslacht totaal;15 tot 25 jaar;Mbo;14.0;10.0;4.0;;4.0;7.0;3.0;5.0
20;Geslacht totaal;15 tot 25 jaar;Hbo;;;;;;;;
21;Geslacht totaal;15 tot 25 jaar;Wo;;;;;;;;
22;Geslacht totaal;25 tot 35 jaar;Totaal arbeid/opleiding;264.0;165.0;98.0;25.0;73.0;141.0;74.0;54.0
23;Geslacht totaal;25 tot 35 jaar;Werkzaam;64.0;50.0;14.0;6.0;7.0;21.0;22.0;22.0
24;Geslacht totaal;25 tot 35 jaar;Werkloos;60.0;35.0;26.0;6.0;19.0;37.0;6.0;20.0
25;Geslacht totaal;25 tot 35 jaar;Niet beroepsbevolking;139.0;80.0;59.0;12.0;47.0;83.0;46.0;13.0
26;Geslacht totaal;25 tot 35 jaar;Basisonderwijs;62.0;27.0;35.0;4.0;32.0;40.0;16.0;7.0
27;Geslacht totaal;25 tot 35 jaar;Mavo;25.0;15.0;10.0;;8.0;13.0;8.0;4.0
28;Geslacht totaal;25 tot 35 jaar;Vbo;49.0;33.0;15.0;4.0;11.0;24.0;15.0;11.0
29;Geslacht totaal;25 tot 35 jaar;Havo/vwo;19.0;9.0;10.0;3.0;8.0;13.0;3.0;4.0
30;Geslacht totaal;25 tot 35 jaar;Mbo;75.0;57.0;18.0;7.0;11.0;29.0;26.0;22.0
31;Geslacht totaal;25 tot 35 jaar;Hbo;22.0;16.0;6.0;3.0;3.0;11.0;6.0;5.0
32;Geslacht totaal;25 tot 35 jaar;Wo;12.0;9.0;3.0;;;9.0;;
33;Geslacht totaal;35 tot 45 jaar;Totaal arbeid/opleiding;301.0;207.0;94.0;30.0;64.0;130.0;130.0;51.0
34;Geslacht totaal;35 tot 45 jaar;Werkzaam;84.0;70.0;15.0;7.0;8.0;16.0;48.0;22.0
