ID;RegioS;Perioden;AfgslotenHypotheken_1;HypothekenTotaalBedrag_2;HypothekenGemiddeldBedrag_3;AfgeslotenPartWoningHypotheken_4;PartWoningHypothekenTotaalBedrag_5;PartWoningHypothekenGemiddeldBedrag_6;AfgeslotenHypothekenAndereObjecten_7;AndereObjectenHypothekenTotaalBedrag_8;AndereObjectHypothekenGemiddBedrag_9
0;Nederland;1999;717239.0;118304.5;165.0;665205.0;78031.1;117.0;52034.0;40273.3;774.0
1;Nederland;2000;557264.0;106579.5;191.0;510039.0;69596.2;136.0;47225.0;36983.3;783.0
2;Nederland;2001;526519.0;121832.8;231.0;480540.0;72607.4;151.0;42038.0;32963.1;784.0
3;Nederland;2002;543201.0;124348.8;229.0;499394.0;81382.9;163.0;43807.0;42979.9;981.0
4;Nederland;2003;;;;540387.0;95994.5;178.0;;;
5;Noord-Nederland;1999;80093.0;9398.0;117.0;74476.0;6849.1;92.0;5617.0;2548.9;454.0
6;Noord-Nederland;2000;62839.0;8435.6;134.0;57303.0;5958.1;104.0;5536.0;2477.5;448.0
7;Noord-Nederland;2001;59742.0;9227.6;154.0;53955.0;6173.9;114.0;5787.0;3053.8;528.0
8;Noord-Nederland;2002;61715.0;10252.0;166.0;56708.0;7042.0;124.0;5007.0;3212.0;642.0
9;Noord-Nederland;2003;;;;59800.0;8402.5;141.0;;;
10;Oost-Nederland;1999;159946.0;22441.9;140.0;147332.0;16430.5;112.0;12614.0;6011.4;477.0
11;Oost-Nederland;2000;120184.0;19761.9;164.0;109352.0;13877.7;127.0;10832.0;5884.2;543.0
12;Oost-Nederland;2001;112843.0;21003.9;186.0;102329.0;14259.5;139.0;10514.0;6744.4;641.0
13;Oost-Nederland;2002;115390.0;23472.0;203.0;105361.0;16000.0;152.0;10029.0;7474.0;745.0
14;Oost-Nederland;2003;;;;116471.0;19657.5;169.0;;;
15;West-Nederland;1999;305389.0;49630.4;163.0;288681.0;36187.2;125.0;16708.0;13443.2;805.0
16;West-Nederland;2000;242610.0;46793.0;193.0;226266.0;32820.9;145.0;16344.0;13972.1;855.0
17;West-Nederland;2001;227437.0;47772.1;210.0;211909.0;33792.4;159.0;15528.0;13979.6;900.0
18;West-Nederland;2002;234366.0;50876.0;217.0;219809.0;37279.0;170.0;14557.0;13605.0;935.0
19;West-Nederland;2003;;;;235493.0;43128.2;183.0;;;
