ID;LeeftijdOp31December;RegioS;Perioden;MannenEnVrouwen_1;Mannen_2;Vrouwen_3;MannenEnVrouwen_4;Mannen_5;Vrouwen_6;MannenEnVrouwen_7;Mannen_8;Vrouwen_9;MannenEnVrouwen_10;Mannen_11;Vrouwen_12;MannenEnVrouwen_13;Mannen_14;Vrouwen_15
0;Totaal;Nederland;1995;15459005.5;7644885.5;7814120.0;6764018.5;3621767.5;3142251.0;7071615.5;3539561.0;3532054.5;876864.0;156742.5;720121.5;746507.5;326814.5;419693.0
1;Totaal;Nederland;1996;15530498.0;7679546.0;7850952.0;6820698.5;3652108.0;3168590.5;7053538.5;3529554.0;3523984.5;879832.0;158330.0;721502.0;776427.0;339553.5;436873.5
2;Totaal;Nederland;1997;15610649.5;7718438.5;7892211.0;6879955.5;3682976.5;3196979.0;7044961.5;3524974.0;3519987.5;882063.5;159971.0;722092.5;803669.0;350517.0;453152.0
3;Totaal;Nederland;1998;15707208.5;7766672.5;7940536.0;6945662.0;3717032.0;3228630.0;7051460.0;3529004.5;3522455.5;872549.5;159449.0;713100.5;837537.0;361187.0;476350.0
4;Totaal;Nederland;1999;15812087.5;7819794.0;7992293.5;7014537.0;3753034.5;3261502.5;7064795.5;3536078.5;3528717.0;872304.0;160070.0;712234.0;860451.0;370611.0;489840.0
5;Totaal;Nederland;2000;15925512.5;7878086.0;8047426.5;7093891.5;3794712.5;3299179.0;7075330.0;3541452.5;3533877.5;882094.0;162526.5;719567.5;874215.0;379412.5;494802.5
6;Totaal;Nederland;2001;16046180.0;7940911.0;8105269.0;7190030.5;3845076.5;3344954.0;7071743.5;3540098.0;3531645.5;882013.5;164164.0;717849.5;902392.5;391572.5;510820.0
7;Totaal;Nederland;2002;16148928.5;7993719.0;8155209.5;7281371.0;3891850.0;3389521.0;7058079.0;3533584.5;3524494.5;880809.0;165734.0;715075.0;928669.5;402550.5;526119.0
8;Totaal;Nederland;2003;16225302.0;8030692.5;8194609.5;7355536.5;3927884.0;3427652.5;7043340.0;3526003.0;3517337.0;878660.5;167096.5;711564.0;947765.0;409709.0;538056.0
9;Totaal;Nederland;2004;16281779.0;8055946.5;8225832.5;7419821.5;3957449.5;3462372.0;7018504.0;3513140.0;3505364.0;877092.5;168616.5;708476.0;966361.0;416740.5;549620.5
10;Totaal;Nederland;2005;16319868.0;8071693.0;8248175.0;7474752.0;3981852.5;3492899.5;6983328.5;3495170.5;3488158.0;875750.5;170140.5;705610.0;986037.0;424529.5;561507.5
11;Totaal;Nederland;2006;16346101.0;8082960.5;8263140.5;7521274.0;4002939.5;3518334.5;6945918.0;3476281.5;3469636.5;873230.5;171319.0;701911.5;1005678.5;432420.5;573258.0
12;Totaal;Nederland;2007;16381695.5;8100293.5;8281402.0;7572570.0;4027518.5;3545051.5;6912941.5;3459699.0;3453242.5;870588.0;172464.0;698124.0;1025596.0;440612.0;584984.0
13;Totaal;Nederland;2008;16445593.0;8134234.5;8311358.5;7641165.0;4062643.0;3578522.0;6890391.0;3448571.5;3441819.5;868208.0;174011.5;694196.5;1045829.0;449008.5;596820.5
14;Totaal;Nederland;2009;16530388.0;8179936.0;8350452.0;7691119.0;4089720.0;3601399.0;6878863.5;3443175.5;3435688.0;866876.5;176045.5;690831.0;1093529.0;470995.0;622534.0
15;Totaal;Nederland;2010;16615394.0;8223479.0;8391915.0;7737559.0;4113362.0;3624197.0;6870027.0;3438932.5;3431094.5;866721.0;178388.0;688333.0;1141087.0;492796.5;648290.5
16;Totaal;Nederland;2011;16693073.5;8263176.5;8429897.0;7807320.0;4147902.5;3659417.5;6857991.0;3432991.5;3424999.5;866143.5;181027.5;685116.0;1161619.0;501255.0;660364.0
17;Totaal;Nederland;2012;16754961.5;8295105.0;8459856.5;7868616.5;4178166.0;3690450.5;6837424.0;3422639.0;3414785.0;864985.0;183605.0;681380.0;1183936.0;510695.0;673241.0
18;Totaal;Nederland;2013;16804432.0;8320862.0;8483570.0;7926199.0;4206923.5;3719275.5;6805430.5;3406370.0;3399060.5;863736.0;186049.0;677687.0;1209066.5;521519.5;687547.0
19;Totaal;Nederland;2014;16865007.5;8353621.5;8511386.0;7994232.5;4242098.0;3752134.5;6770144.0;3388595.0;3381549.0;862998.5;188765.5;674233.0;1237632.5;534163.0;703469.5
20;Totaal;Nederland;2015;16939923.0;8394996.5;8544926.5;8072059.5;4283085.5;3788974.0;6740406.5;3373804.5;3366602.0;861794.0;191499.0;670295.0;1265663.0;546607.5;719055.5
21;Totaal;Nederland;2016;17030313.5;8446118.5;8584195.0;8156607.0;4329180.0;3827427.0;6723011.0;3365447.5;3357563.5;860301.5;194171.5;666130.0;1290394.0;557319.5;733074.5
22;Totaal;Noord-Nederland (LD);1995;1624947.5;807206.5;817741.0;704939.0;382257.5;322681.5;754094.5;377129.0;376965.5;101764.5;18869.0;82895.5;64149.5;28951.0;35198.5
23;Totaal;Noord-Nederland (LD);1996;1630716.5;810187.5;820529.0;708717.0;384401.0;324316.0;752928.5;376536.5;376392.0;101964.0;18963.0;83001.0;67107.0;30287.0;36820.0
24;Totaal;Noord-Nederland (LD);1997;1637395.0;813542.0;823853.0;712904.5;386564.5;326340.0;752345.0;376282.5;376062.5;102110.0;19107.5;83002.5;70035.5;31587.5;38448.0
25;Totaal;Noord-Nederland (LD);1998;1644553.5;817208.0;827345.5;717072.5;388731.0;328341.5;752603.5;376519.5;376084.0;101316.5;19098.0;82218.5;73561.0;32859.5;40701.5
26;Totaal;Noord-Nederland (LD);1999;1652627.5;821105.5;831522.0;721923.5;391123.0;330800.5;753387.5;376943.5;376444.0;101298.5;19121.5;82177.0;76018.0;33917.5;42100.5
27;Totaal;Noord-Nederland (LD);2000;1664243.0;826718.0;837525.0;729954.0;395100.5;334853.5;754357.0;377393.5;376963.5;102189.0;19291.5;82897.5;77743.0;34932.5;42810.5
28;Totaal;Noord-Nederland (LD);2001;1678498.5;834087.5;844411.0;741176.5;400975.0;340201.5;754305.0;377374.0;376931.0;102152.0;19417.0;82735.0;80865.0;36321.5;44543.5
29;Totaal;Noord-Nederland (LD);2002;1689750.5;839996.0;849754.5;751553.0;406345.5;345207.5;752465.0;376472.0;375993.0;101943.5;19564.5;82379.0;83789.0;37614.0;46175.0
30;Totaal;Noord-Nederland (LD);2003;1696451.5;843405.5;853046.0;759452.5;410268.0;349184.5;749590.0;375020.5;374569.5;101570.0;19661.5;81908.5;85839.0;38455.5;47383.5
31;Totaal;Noord-Nederland (LD);2004;1700141.5;845278.0;854863.5;765512.5;413223.0;352289.5;745808.5;373087.0;372721.5;101141.0;19784.5;81356.5;87679.5;39183.5;48496.0
32;Totaal;Noord-Nederland (LD);2005;1701085.5;845585.5;855500.0;769615.0;414946.5;354668.5;741113.5;370702.0;370411.5;100827.0;19966.0;80861.0;89530.0;39971.0;49559.0
33;Totaal;Noord-Nederland (LD);2006;1701386.5;845415.0;855971.5;773331.0;416362.0;356969.0;736345.0;368234.5;368110.5;100295.0;20015.5;80279.5;91415.5;40803.0;50612.5
34;Totaal;Noord-Nederland (LD);2007;1703401.5;846289.5;857112.0;778038.0;418429.5;359608.5;732082.5;366037.0;366045.5;99820.5;20111.0;79709.5;93460.5;41712.0;51748.5
35;Totaal;Noord-Nederland (LD);2008;1706802.0;848028.0;858774.0;783088.5;420803.5;362285.0;728479.5;364234.5;364245.0;99595.0;20355.0;79240.0;95639.0;42635.0;53004.0
36;Totaal;Noord-Nederland (LD);2009;1711387.5;850625.5;860762.0;783869.0;421332.0;362537.0;725769.5;362925.0;362844.5;99437.5;20605.0;78832.5;102311.5;45763.5;56548.0
37;Totaal;Noord-Nederland (LD);2010;1715841.5;853315.5;862526.0;784706.5;422027.0;362679.5;722533.0;361348.5;361184.5;99334.0;20864.0;78470.0;109268.0;49076.0;60192.0
38;Totaal;Noord-Nederland (LD);2011;1718312.5;854915.0;863397.5;789195.0;424399.5;364795.5;718222.5;359173.5;359049.0;99147.5;21166.5;77981.0;111747.5;50175.5;61572.0
39;Totaal;Noord-Nederland (LD);2012;1718690.5;855428.5;863262.0;792373.5;426086.0;366287.5;713229.0;356637.5;356591.5;98891.0;21464.0;77427.0;114197.0;51241.0;62956.0
40;Totaal;Noord-Nederland (LD);2013;1718259.0;855383.0;862876.0;795692.5;427712.5;367980.0;706955.0;353467.0;353488.0;98609.5;21735.0;76874.5;117002.0;52468.5;64533.5
41;Totaal;Noord-Nederland (LD);2014;1718404.0;855896.0;862508.0;799647.5;429823.0;369824.5;700355.5;350165.5;350190.0;98375.5;22026.0;76349.5;120025.5;53881.5;66144.0
42;Totaal;Noord-Nederland (LD);2015;1718582.5;856708.5;861874.0;802979.0;431857.0;371122.0;694472.5;347205.5;347267.0;98092.5;22325.5;75767.0;123038.5;55320.5;67718.0
43;Totaal;Noord-Nederland (LD);2016;1720318.5;858127.0;862191.5;807221.0;434235.5;372985.5;689561.0;344662.0;344899.0;97682.0;22611.0;75071.0;125854.5;56618.5;69236.0
44;Totaal;Oost-Nederland (LD);1995;3190277.0;1582035.5;1608241.5;1396794.0;749149.5;647644.5;1496737.0;748383.5;748353.5;177285.5;32233.0;145052.5;119460.5;52269.5;67191.0
45;Totaal;Oost-Nederland (LD);1996;3214321.5;1594058.5;1620263.0;1409723.5;756286.0;653437.5;1500862.5;750354.0;750508.5;178608.0;32669.5;145938.5;125127.5;54749.0;70378.5
46;Totaal;Oost-Nederland (LD);1997;3239224.0;1606325.0;1632899.0;1422813.0;763184.5;659628.5;1506103.0;752922.5;753180.5;179789.5;33161.0;146628.5;130518.5;57057.0;73461.5
47;Totaal;Oost-Nederland (LD);1998;3268079.5;1620726.0;1647353.5;1437795.0;771063.0;666732.0;1513973.5;756955.0;757018.5;179002.5;33223.0;145779.5;137308.5;59485.0;77823.5
48;Totaal;Oost-Nederland (LD);1999;3298839.5;1636441.5;1662398.0;1453528.0;779545.5;673982.5;1523367.0;761804.5;761562.5;179446.0;33352.0;146094.0;142498.5;61739.5;80759.0
