ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;NettoOmzetUitHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;TotaleInkoopwaardeOmzet_12;InkoopwaardeBouwmaterialen_13;InkoopwaardeHandelsgoederen_14;BetalingAanOnderaannemers_15;OverigeInkoopwaarde_16;TotaleArbeidskosten_17;BrutoLonenEnSalarissen_18;SocialeLasten_19;AfschrijvingenOpVasteActiva_20;TotaleOverigeBedrijfslasten_21;KostenEnergieverbruik_22;KostenVervoermiddelen_23;Huisvestingskosten_24;KostenMachinesEnInstallaties_25;OverigePersoneelskosten_26;Verkoopkosten_27;Communicatiekosten_28;KostenVanDienstverleningDoorDerden_29;NietEerderGenoemdeBedrijfslasten_30;Bedrijfsresultaat_31;SaldoFinancieleBatenEnLasten_32;FinancieleBaten_33;FinancieleLasten_34;SaldoVoorzieningen_35;OnttrekkingenVrijvalVanVoorzieningen_36;ToevoegingenAanVoorzieningen_37;SaldoBuitengewoneBatenEnLasten_38;BuitengewoneBaten_39;BuitengewoneLasten_40;ResultaatVoorBelastingen_41
0;45 Bouwnijverheid;2000;63380.0;474.0;449.0;428.0;409.0;64915.0;63847.0;62124.0;1724.0;1068.0;60444.0;36386.0;;;;;15249.0;11145.0;4103.0;1320.0;7488.0;167.0;1377.0;622.0;820.0;1655.0;486.0;194.0;694.0;1474.0;4471.0;-20.0;444.0;464.0;-47.0;170.0;216.0;181.0;416.0;234.0;4586.0
1;45 Bouwnijverheid;2001;67595.0;485.0;455.0;424.0;407.0;67538.0;65920.0;64249.0;1671.0;1618.0;63010.0;37842.0;;;;;15864.0;11504.0;4360.0;1453.0;7850.0;182.0;1418.0;672.0;822.0;1664.0;505.0;222.0;781.0;1584.0;4528.0;103.0;603.0;499.0;-73.0;158.0;231.0;386.0;631.0;245.0;4944.0
2;45 Bouwnijverheid;2002;69440.0;481.0;456.0;424.0;405.0;67634.0;66234.0;64794.0;1440.0;1400.0;63022.0;36701.0;18841.0;736.0;15992.0;1132.0;16543.0;11976.0;4566.0;1499.0;8280.0;182.0;1472.0;749.0;852.0;1765.0;512.0;246.0;807.0;1695.0;4612.0;83.0;631.0;548.0;-90.0;174.0;263.0;986.0;1214.0;228.0;5591.0
3;45 Bouwnijverheid;2003;71295.0;471.0;444.0;409.0;390.0;66709.0;65756.0;64444.0;1312.0;953.0;62438.0;36167.0;19019.0;667.0;15876.0;605.0;16570.0;12358.0;4211.0;1486.0;7725.0;187.0;1484.0;797.0;798.0;1765.0;497.0;250.0;826.0;1612.0;4270.0;98.0;602.0;503.0;-100.0;214.0;314.0;185.0;375.0;189.0;4454.0
4;45 Bouwnijverheid;2004;72365.0;459.0;430.0;390.0;371.0;66818.0;65554.0;63747.0;1807.0;1264.0;62692.0;36561.0;19453.0;707.0;15961.0;422.0;16609.0;12400.0;4218.0;1397.0;8155.0;167.0;1523.0;866.0;838.0;1714.0;489.0;244.0;747.0;1538.0;4126.0;-40.0;412.0;452.0;-67.0;180.0;246.0;597.0;736.0;139.0;4616.0
5;45 Bouwnijverheid;2005;74025.0;461.0;434.0;386.0;367.0;70370.0;68713.0;67631.0;1082.0;1658.0;65705.0;38890.0;20293.0;322.0;17930.0;345.0;16714.0;12585.0;4129.0;1394.0;8707.0;193.0;1632.0;905.0;934.0;1954.0;532.0;251.0;778.0;1527.0;4665.0;-32.0;467.0;499.0;-71.0;157.0;228.0;-9.0;122.0;131.0;4554.0
6;451 Bouwrijp maken van terreinen;2000;2025.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;451 Bouwrijp maken van terreinen;2001;2255.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;451 Bouwrijp maken van terreinen;2002;2235.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;451 Bouwrijp maken van terreinen;2003;2230.0;13.0;12.0;11.0;10.0;1781.0;1728.0;1641.0;87.0;52.0;1652.0;668.0;205.0;13.0;407.0;43.0;433.0;320.0;113.0;116.0;413.0;16.0;88.0;28.0;96.0;72.0;17.0;8.0;48.0;62.0;129.0;-13.0;13.0;25.0;-1.0;2.0;3.0;30.0;46.0;16.0;146.0
