ID;SoortVacature;Regio;Perioden;TotaalAantalVacatures_1;Bedrijfsgrootte10Werknemers_2;Bedrijfsgrootte1099Werknemers_3;Bedrijfsgrootte100Werknemers_4;k_1ElementaireBeroepen_5;k_2LagereBeroepen_6;k_4MiddelbareBeroepen_7;k_6HogereBeroepen_8;k_8WetenschappelijkeBeroepen_9;k_9Onbekend_10;k_2LagerOnderwijs_11;k_3VoortgezetOnderwijsLagereTrap_12;k_4VoortgezetOnderwijsHogereTrap_13;k_5HogerOnderwijs1eTrap_14;k_67HogerOnderwijs2e3eTrap_15;k_9Onbekend_16
0;Totaal aantal vacatures;Nederland;2000;14.1;0.2;1.8;12.1;0.2;1.6;4.7;5.3;2.3;0.0;0.0;1.6;4.6;5.5;2.2;0.0
1;Totaal aantal vacatures;Nederland;2001;14.7;0.2;1.7;12.8;0.2;1.2;5.2;6.6;1.5;0.0;0.1;1.5;4.9;7.1;1.1;0.0
2;Totaal aantal vacatures;Nederland;2002;11.8;0.1;1.3;10.4;0.2;1.4;3.4;5.0;1.9;;0.0;1.7;3.4;5.1;1.6;
3;Totaal aantal vacatures;Nederland;2003;8.8;0.0;0.8;8.0;0.1;0.9;2.8;3.7;1.3;;0.0;0.0;0.9;3.0;3.9;1.0
4;Totaal aantal vacatures;Nederland;2004;8.5;0.0;0.6;7.9;;;;;;;;;;;;
5;Totaal aantal vacatures;Nederland;2006;12.3;0.0;1.0;11.2;0.2;0.7;4.3;5.8;1.2;;0.0;0.8;3.5;5.5;2.5;
6;Totaal aantal vacatures;Nederland;2008;22.1;0.1;0.9;21.0;0.4;0.6;4.8;7.3;1.5;7.5;0.0;0.7;3.4;8.0;2.4;7.5
7;Totaal aantal vacatures;Groningen (PV);2000;0.5;0.0;0.1;0.4;0.0;0.1;0.2;0.2;0.0;0.0;0.0;0.1;0.2;0.2;0.0;0.0
8;Totaal aantal vacatures;Groningen (PV);2001;0.5;0.0;0.1;0.4;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0
9;Totaal aantal vacatures;Groningen (PV);2002;0.4;0.0;0.0;0.3;0.0;0.0;0.1;0.2;0.1;;0.0;0.0;0.1;0.2;0.0;
10;Totaal aantal vacatures;Groningen (PV);2003;0.6;0.0;0.0;0.6;0.0;0.0;0.3;0.2;0.1;;0.0;0.0;0.0;0.3;0.2;0.1
11;Totaal aantal vacatures;Groningen (PV);2004;0.4;0.0;0.0;0.4;;;;;;;;;;;;
12;Totaal aantal vacatures;Groningen (PV);2006;0.4;;0.0;0.3;0.0;0.0;0.1;0.2;0.0;;;0.0;0.1;0.2;0.1;
13;Totaal aantal vacatures;Groningen (PV);2008;0.4;;0.0;0.4;0.0;0.0;0.2;0.2;0.1;;;0.0;0.1;0.2;0.1;
14;Totaal aantal vacatures;Friesland (PV);2000;0.3;0.0;0.1;0.2;0.0;0.0;0.1;0.1;0.1;0.0;0.0;0.0;0.1;0.1;0.1;0.0
15;Totaal aantal vacatures;Friesland (PV);2001;0.4;0.0;0.1;0.3;0.0;0.0;0.1;0.2;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0
16;Totaal aantal vacatures;Friesland (PV);2002;0.4;0.0;0.1;0.3;0.0;0.0;0.1;0.2;0.0;;0.0;0.0;0.2;0.2;0.0;
17;Totaal aantal vacatures;Friesland (PV);2003;0.2;0.0;0.0;0.2;0.0;0.0;0.1;0.1;0.0;;0.0;0.0;0.0;0.1;0.1;0.0
18;Totaal aantal vacatures;Friesland (PV);2004;0.3;0.0;0.0;0.3;;;;;;;;;;;;
19;Totaal aantal vacatures;Friesland (PV);2006;0.4;;0.0;0.4;0.0;0.0;0.1;0.3;0.0;;;0.0;0.1;0.3;0.0;
20;Totaal aantal vacatures;Friesland (PV);2008;0.4;0.0;0.0;0.4;0.0;0.0;0.1;0.2;0.1;;;0.0;0.1;0.3;0.0;
21;Totaal aantal vacatures;Drenthe (PV);2000;0.2;0.0;0.0;0.2;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0
22;Totaal aantal vacatures;Drenthe (PV);2001;0.7;0.0;0.0;0.6;0.0;0.0;0.2;0.4;0.0;0.0;0.0;0.0;0.2;0.4;0.0;0.0
23;Totaal aantal vacatures;Drenthe (PV);2002;0.3;0.0;0.0;0.3;0.0;0.0;0.1;0.2;0.0;;0.0;0.0;0.1;0.2;0.0;
24;Totaal aantal vacatures;Drenthe (PV);2003;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.0;;0.0;0.0;0.0;0.0;0.1;0.0
25;Totaal aantal vacatures;Drenthe (PV);2004;0.3;0.0;0.0;0.3;;;;;;;;;;;;
26;Totaal aantal vacatures;Drenthe (PV);2006;0.3;;0.0;0.3;0.0;0.0;0.1;0.2;0.0;;;0.0;0.1;0.2;0.0;
27;Totaal aantal vacatures;Drenthe (PV);2008;0.4;;0.1;0.4;0.0;0.0;0.2;0.2;0.0;;;0.0;0.1;0.3;0.0;
28;Totaal aantal vacatures;Overijssel (PV);2000;0.4;0.0;0.1;0.3;0.0;0.0;0.1;0.2;0.0;0.0;0.0;0.0;0.1;0.2;0.0;0.0
29;Totaal aantal vacatures;Overijssel (PV);2001;0.7;0.0;0.1;0.6;0.0;0.1;0.3;0.3;0.1;0.0;0.0;0.1;0.2;0.3;0.0;0.0
30;Totaal aantal vacatures;Overijssel (PV);2002;0.7;0.0;0.1;0.7;0.0;0.1;0.2;0.4;0.1;;0.0;0.1;0.2;0.4;0.1;
31;Totaal aantal vacatures;Overijssel (PV);2003;0.7;0.0;0.0;0.7;0.0;0.1;0.1;0.4;0.1;;0.0;0.0;0.1;0.1;0.4;0.0
32;Totaal aantal vacatures;Overijssel (PV);2004;0.6;0.0;0.0;0.5;;;;;;;;;;;;
33;Totaal aantal vacatures;Overijssel (PV);2006;0.6;;0.0;0.6;0.0;0.1;0.2;0.3;0.0;;;0.1;0.2;0.3;0.0;
34;Totaal aantal vacatures;Overijssel (PV);2008;1.1;0.0;0.1;1.0;0.0;0.0;0.3;0.6;0.1;;0.0;0.0;0.3;0.7;0.1;
35;Totaal aantal vacatures;Flevoland (PV);2000;0.4;0.0;0.0;0.4;0.0;0.0;0.1;0.2;0.1;0.0;0.0;0.0;0.1;0.2;0.1;0.0
36;Totaal aantal vacatures;Flevoland (PV);2001;0.3;0.0;0.0;0.2;0.0;0.0;0.1;0.2;0.0;0.0;0.0;0.0;0.1;0.2;0.0;0.0
37;Totaal aantal vacatures;Flevoland (PV);2002;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.1;0.0;;0.0;0.0;0.0;0.1;0.0;
38;Totaal aantal vacatures;Flevoland (PV);2003;0.2;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.0;;0.0;0.0;0.0;0.0;0.1;0.0
39;Totaal aantal vacatures;Flevoland (PV);2004;0.1;0.0;0.0;0.1;;;;;;;;;;;;
40;Totaal aantal vacatures;Flevoland (PV);2006;0.2;0.0;;0.2;0.0;0.0;0.1;0.1;0.0;;0.0;0.0;0.0;0.1;0.0;
41;Totaal aantal vacatures;Flevoland (PV);2008;0.2;;0.0;0.1;0.0;0.0;0.0;0.1;0.0;;;0.0;0.0;0.1;0.0;
42;Totaal aantal vacatures;Gelderland (PV);2000;1.0;0.0;0.2;0.8;0.0;0.1;0.3;0.5;0.1;0.0;0.0;0.1;0.3;0.5;0.1;0.0
43;Totaal aantal vacatures;Gelderland (PV);2001;1.5;0.1;0.2;1.2;0.0;0.1;0.6;0.6;0.1;0.0;0.0;0.2;0.5;0.7;0.1;0.0
44;Totaal aantal vacatures;Gelderland (PV);2002;1.9;0.0;0.2;1.8;0.1;0.6;0.5;0.5;0.3;;0.0;0.7;0.5;0.6;0.2;
