ID;Grootteklasse;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaalNettoOmzet_7;NettoOmzetUitHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;InkoopwaardeOmzet_12;TotaleArbeidskosten_13;BrutoLonenEnSalarissen_14;SocialeVerzekeringspremiesWerkgever_15;PremiesPensioenVUTInkoopsommen_16;OverigeSocialeLasten_17;TotaleOverigeBedrijfslasten_18;OverigePersoneelskosten_19;KostenVervoermiddelen_20;KostenEnergieverbruik_21;Huisvestingskosten_22;KostenMachinesEnInstallaties_23;Verkoopkosten_24;Communicatiekosten_25;KostenVanDienstverleningDoorDerden_26;NietEerderGenoemdeBedrijfslasten_27;AfschrijvingenOpVasteActiva_28;Bedrijfsresultaat_29;SaldoFinancieelResultaat_30;FinancieleBaten_31;FinancieleLasten_32;SaldoVoorzieningen_33;OnttrekkingenVrijvalVanVoorzieningen_34;ToevoegingenAanVoorzieningen_35;SaldoBuitengewoonResultaat_36;BuitengewoneBaten_37;BuitengewoneLasten_38;ResultaatVoorBelastingen_39
0;Alle bedrijven;2001;6115;34.1;28.2;25.5;20.9;2639;2596;2428;168;44;2352;741;673;516;108;36;13;655;69;110;65;45;175;25;16;51;99;281;287;-39;22;61;-2;7;8;13;23;10;260
1;Alle bedrijven;2002;6725;35.5;30.6;26.4;22.2;2873;2835;2622;213;38;2524;799;751;574;116;45;16;708;82;107;80;48;182;35;16;58;100;266;349;-37;27;64;1;4;3;10;20;11;323
2;Alle bedrijven;2003;6925;33.7;28.7;24.1;20.2;2638;2597;2410;187;41;2320;670;697;536;100;46;15;683;101;106;64;53;167;33;15;59;85;270;318;-35;20;55;2;5;4;6;16;10;289
3;Alle bedrijven;2004;7060;31.5;27.9;21.4;18.9;2717;2683;2462;222;34;2386;744;677;525;96;44;12;701;96;101;73;59;175;25;18;58;96;262;331;-38;19;57;0;6;6;12;20;7;305
4;Alle bedrijven;2005;7355;34.4;30.7;23.2;20.3;2873;2836;2586;250;37;2547;753;705;552;99;44;11;820;124;134;98;54;191;32;24;66;97;267;327;-37;22;58;-1;1;3;22;27;5;311
5;0 tot 10 werkzame personen;2001;5660;17.4;14.3;9.1;7.5;1301;1288;1219;69;14;1068;322;209;159;34;11;5;352;20;39;44;21;120;10;11;28;59;185;233;-30;13;44;1;3;1;14;16;2;219
6;0 tot 10 werkzame personen;2002;6260;18.0;15.7;9.4;8.0;1395;1384;1299;86;11;1141;337;249;190;40;14;5;383;40;45;51;27;102;15;8;33;62;173;254;-33;7;40;-1;1;1;12;16;4;232
7;0 tot 10 werkzame personen;2003;6475;17.2;15.0;9.0;7.6;1290;1278;1191;87;13;1056;281;245;188;36;15;6;358;42;40;48;29;102;15;8;29;45;172;234;-27;10;37;1;2;1;3;5;1;212
8;0 tot 10 werkzame personen;2004;6620;16.2;14.7;8.0;7.0;1357;1347;1249;98;10;1114;335;235;181;35;13;5;375;35;45;48;30;100;13;13;33;58;170;243;-26;12;38;-1;2;2;10;13;3;226
9;0 tot 10 werkzame personen;2005;6915;18.3;16.4;8.5;7.5;1442;1431;1294;136;12;1191;372;225;173;34;13;4;431;60;50;65;31;103;10;18;38;56;163;252;-28;9;37;0;1;1;18;21;4;241
10;10 of meer werkzame personen;2001;455;16.8;13.9;16.4;13.4;1338;1308;1209;100;30;1284;419;464;357;74;25;8;305;49;71;21;24;55;15;6;23;41;96;54;-8;9;17;-3;4;7;-1;7;8;41
11;10 of meer werkzame personen;2002;465;17.5;14.9;17.0;14.2;1478;1451;1324;127;27;1383;462;502;384;76;32;11;327;42;63;29;21;80;21;8;25;38;93;95;-4;20;24;2;4;2;-2;5;7;91
12;10 of meer werkzame personen;2003;445;16.5;13.7;15.1;12.6;1347;1319;1220;99;28;1264;389;451;347;64;32;8;326;60;66;17;24;65;18;7;30;39;98;82;-8;9;18;1;3;3;1;11;9;77
13;10 of meer werkzame personen;2004;440;15.2;13.3;13.4;11.9;1360;1336;1213;124;23;1272;410;442;343;61;31;7;329;61;57;26;30;74;13;5;25;38;92;88;-11;7;19;1;4;3;3;7;4;80
14;10 of meer werkzame personen;2005;440;16.1;14.3;14.7;12.8;1431;1406;1292;114;25;1356;381;481;378;65;31;6;388;64;83;33;23;88;22;6;28;41;104;75;-9;13;22;-1;1;2;5;6;1;70
