ID;Leeftijd;Migratieachtergrond;VerblijfsduurInNederland;Perioden;k_1eGeneratieMigratieachtergrondTotaal_1;k_1eGeneratieMigratieachtergrondMan_2;k_1eGeneratieMigratieachtergrondVrouw_3
0;Totaal;Totaal;Totaal;2003;1585927;780880;805047
1;Totaal;Totaal;Totaal;2004;1602730;785050;817680
2;Totaal;Totaal;Totaal;2005;1606664;781740;824924
3;Totaal;Totaal;Totaal;2006;1604259;775859;828400
4;Totaal;Totaal;Totaal;2007;1601194;770945;830249
5;Totaal;Totaal;Totaal;2008;1619314;778721;840593
6;Totaal;Totaal;Totaal;2009;1661505;800363;861142
7;Totaal;Totaal;Totaal;2010;1699750;818390;881360
8;Totaal;Totaal;Totaal;2011;1735217;832688;902529
9;Totaal;Totaal;Totaal;2012;1772204;849200;923004
10;Totaal;Totaal;Totaal;2013;1793189;856153;937036
11;Totaal;Totaal;Totaal;2014;1818497;866848;951649
12;Totaal;Totaal;Totaal;2015;1860977;887552;973425
13;Totaal;Totaal;Totaal;2016;1920877;918539;1002338
14;Totaal;Totaal;Totaal;2017;2001175;961366;1039809
15;Totaal;Totaal;Totaal;2018;2079329;998369;1080960
16;Totaal;Totaal;Minder dan 1 jaar;2003;103416;54588;48828
17;Totaal;Totaal;Minder dan 1 jaar;2004;89782;46663;43119
18;Totaal;Totaal;Minder dan 1 jaar;2005;81850;42151;39699
19;Totaal;Totaal;Minder dan 1 jaar;2006;79764;41849;37915
20;Totaal;Totaal;Minder dan 1 jaar;2007;85737;46147;39590
21;Totaal;Totaal;Minder dan 1 jaar;2008;100304;55067;45237
22;Totaal;Totaal;Minder dan 1 jaar;2009;123206;68114;55092
23;Totaal;Totaal;Minder dan 1 jaar;2010;123503;66882;56621
24;Totaal;Totaal;Minder dan 1 jaar;2011;126964;67199;59765
25;Totaal;Totaal;Minder dan 1 jaar;2012;133607;70746;62861
26;Totaal;Totaal;Minder dan 1 jaar;2013;127784;67114;60670
27;Totaal;Totaal;Minder dan 1 jaar;2014;133014;69825;63189
28;Totaal;Totaal;Minder dan 1 jaar;2015;148568;79203;69365
29;Totaal;Totaal;Minder dan 1 jaar;2016;167680;89830;77850
30;Totaal;Totaal;Minder dan 1 jaar;2017;189602;102362;87240
31;Totaal;Totaal;Minder dan 1 jaar;2018;191139;98618;92521
32;Totaal;Totaal;1 jaar;2003;99831;52832;46999
33;Totaal;Totaal;1 jaar;2004;90506;46891;43615
34;Totaal;Totaal;1 jaar;2005;77058;38926;38132
35;Totaal;Totaal;1 jaar;2006;68644;34635;34009
36;Totaal;Totaal;1 jaar;2007;65115;33399;31716
37;Totaal;Totaal;1 jaar;2008;69625;36639;32986
38;Totaal;Totaal;1 jaar;2009;81225;43906;37319
39;Totaal;Totaal;1 jaar;2010;98716;53849;44867
40;Totaal;Totaal;1 jaar;2011;98614;52316;46298
41;Totaal;Totaal;1 jaar;2012;99682;52010;47672
42;Totaal;Totaal;1 jaar;2013;102170;53259;48911
43;Totaal;Totaal;1 jaar;2014;96828;50392;46436
44;Totaal;Totaal;1 jaar;2015;102511;53254;49257
45;Totaal;Totaal;1 jaar;2016;115966;61545;54421
46;Totaal;Totaal;1 jaar;2017;134991;72326;62665
47;Totaal;Totaal;1 jaar;2018;153395;83025;70370
48;Totaal;Totaal;2 jaar;2003;89982;46637;43345
49;Totaal;Totaal;2 jaar;2004;87504;45531;41973
50;Totaal;Totaal;2 jaar;2005;78535;39753;38782
51;Totaal;Totaal;2 jaar;2006;66546;32776;33770
52;Totaal;Totaal;2 jaar;2007;58222;28504;29718
53;Totaal;Totaal;2 jaar;2008;55443;27585;27858
54;Totaal;Totaal;2 jaar;2009;59075;30294;28781
55;Totaal;Totaal;2 jaar;2010;68738;36455;32283
56;Totaal;Totaal;2 jaar;2011;83181;44504;38677
57;Totaal;Totaal;2 jaar;2012;82905;43082;39823
58;Totaal;Totaal;2 jaar;2013;82572;41998;40574
59;Totaal;Totaal;2 jaar;2014;84875;43438;41437
60;Totaal;Totaal;2 jaar;2015;80307;41073;39234
61;Totaal;Totaal;2 jaar;2016;86428;44132;42296
62;Totaal;Totaal;2 jaar;2017;98508;51887;46621
63;Totaal;Totaal;2 jaar;2018;116112;61741;54371
64;Totaal;Totaal;3 jaar;2003;70122;35552;34570
65;Totaal;Totaal;3 jaar;2004;81327;41456;39871
66;Totaal;Totaal;3 jaar;2005;78240;39935;38305
67;Totaal;Totaal;3 jaar;2006;69397;34147;35250
68;Totaal;Totaal;3 jaar;2007;58460;28079;30381
69;Totaal;Totaal;3 jaar;2008;51363;24602;26761
70;Totaal;Totaal;3 jaar;2009;48989;23818;25171
71;Totaal;Totaal;3 jaar;2010;51842;26132;25710
72;Totaal;Totaal;3 jaar;2011;60284;31464;28820
73;Totaal;Totaal;3 jaar;2012;72773;38372;34401
74;Totaal;Totaal;3 jaar;2013;72290;36967;35323
75;Totaal;Totaal;3 jaar;2014;72050;36220;35830
76;Totaal;Totaal;3 jaar;2015;74389;37542;36847
77;Totaal;Totaal;3 jaar;2016;69880;35389;34491
78;Totaal;Totaal;3 jaar;2017;76162;38555;37607
79;Totaal;Totaal;3 jaar;2018;87298;45744;41554
80;Totaal;Totaal;4 jaar;2003;67073;33686;33387
81;Totaal;Totaal;4 jaar;2004;64765;32381;32384
82;Totaal;Totaal;4 jaar;2005;74401;37374;37027
83;Totaal;Totaal;4 jaar;2006;71059;35540;35519
84;Totaal;Totaal;4 jaar;2007;61744;29720;32024
85;Totaal;Totaal;4 jaar;2008;52992;24931;28061
86;Totaal;Totaal;4 jaar;2009;46720;21942;24778
87;Totaal;Totaal;4 jaar;2010;44359;21225;23134
88;Totaal;Totaal;4 jaar;2011;46546;23056;23490
89;Totaal;Totaal;4 jaar;2012;54399;28042;26357
90;Totaal;Totaal;4 jaar;2013;65138;33949;31189
91;Totaal;Totaal;4 jaar;2014;64900;32902;31998
92;Totaal;Totaal;4 jaar;2015;64935;32309;32626
93;Totaal;Totaal;4 jaar;2016;67184;33621;33563
94;Totaal;Totaal;4 jaar;2017;62751;31486;31265
95;Totaal;Totaal;4 jaar;2018;69009;34631;34378
96;Totaal;Totaal;5 jaar;2003;58186;29221;28965
97;Totaal;Totaal;5 jaar;2004;62661;31024;31637
98;Totaal;Totaal;5 jaar;2005;60191;29723;30468
99;Totaal;Totaal;5 jaar;2006;68735;34040;34695
100;Totaal;Totaal;5 jaar;2007;64556;31694;32862
101;Totaal;Totaal;5 jaar;2008;56489;26741;29748
102;Totaal;Totaal;5 jaar;2009;49184;22773;26411
103;Totaal;Totaal;5 jaar;2010;43476;20106;23370
104;Totaal;Totaal;5 jaar;2011;40839;19256;21583
105;Totaal;Totaal;5 jaar;2012;42721;20939;21782
106;Totaal;Totaal;5 jaar;2013;49648;25313;24335
107;Totaal;Totaal;5 jaar;2014;59759;30951;28808
108;Totaal;Totaal;5 jaar;2015;59834;30101;29733
109;Totaal;Totaal;5 jaar;2016;59970;29572;30398
110;Totaal;Totaal;5 jaar;2017;61959;30694;31265
111;Totaal;Totaal;5 jaar;2018;57989;28878;29111
112;Totaal;Totaal;6 jaar;2003;55103;27217;27886
113;Totaal;Totaal;6 jaar;2004;55017;27341;27676
114;Totaal;Totaal;6 jaar;2005;58950;28862;30088
115;Totaal;Totaal;6 jaar;2006;56236;27490;28746
116;Totaal;Totaal;6 jaar;2007;63404;30936;32468
