ID;Periods;NumberOfLibraries_1;TotalVolumeCollections_2;TotalNumberOfBooks_3;TotalBooksForAdults18Yrs_4;Fiction_5;NonFiction_6;ReferenceBooks_7;TotalBooksForYoungPeople17Yrs_8;Fiction_9;NonFiction_10;ReferenceBooks_11;SheetMusic_12;TotalAudiovisualMaterial_13;MusicCDs_14;DVDs_15;CDROMsCDIs_16;OtherAudiovisualMaterial_17;MagazineSingleIssues_18;OtherCollections_19;TotalVolumesLentOutToThePublic_20;TotalVolumesOfBooks_21;TotalBooksForAdults18Yrs_22;Fiction_23;NonFiction_24;ReferenceBooks_25;TotalBooksForYoungPeople17Yrs_26;Fiction_27;NonFiction_28;ReferenceBooks_29;SheetMusic_30;TotalAudiovisualMaterial_31;MusicCDs_32;DVDs_33;CDROMsCDIs_34;OtherAudiovisualMaterial_35;MagazineSingleIssues_36;OtherMaterial_37;TotalRegisteredUsers_38;YoungPeople17Yrs_39;Adults18Yrs_40;TotalNumberOfLibraries_41;MembershipFee15Euros_42;MembershipFee1520Euros_43;MembershipFee2025Euros_44;MembershipFee25EurosAndMore_45;OtherFormOfMembershipFee_46;TotalNumberOfPersons_47;NumberOfFullTimers_48;NumberOfPartTimers_49;NumberOfFullTimeEquivalents_50;TotalNumberOfPersons_51;NumberOfFullTimers_52;NumberOfPartTimers_53;NumberOfFullTimeEquivalents_54;TotalNumberOfPersons_55;NumberOfFullTimers_56;NumberOfPartTimers_57;NumberOfFullTimeEquivalents_58;TotalNumberOfPersons_59;NumberOfFullTimeEquivalents_60;TotalRevenues_61;RevenuesFromUsers_62;RevenuesFromMobileServices_63;TotalGrantsAndContributions_64;GrantsContributionsFromMunicipalities_65;GrantsContributionsFromProvinces_66;OtherGrantsAndContributions_67;TotalRevenuesFromOnChargedCosts_68;OnChargedCostsOfStaff_69;OnChargedCostsOfMobileServices_70;OnChargedCostsOfMedia_71;OtherOnChargedCosts_72;InterestReceived_73;OtherRevenues_74;TotalCosts_75;HousingCosts_76;EmployedStaff_77;NonEmployedStaff_78;AdministrationAndICT_79;MediaCosts_80;InterestPaid_81;Depreciations_82;OtherCosts_83
0;1999 incl.;544;43277;38661;24487;12112;11972;404.0;14174;9785;4361;28.0;618;2335;1502;349;212.0;272;625.0;1037.0;158167;144697;84817;58490;26321;6.0;59880;48660;11219;1.0;626;6820;3610;1272;1338.0;600;4503.0;1521.0;4328;2054;2274;544;38.0;204.0;196.0;45.0;61.0;10230.0;1610.0;8620.0;6090.0;6790.0;1360.0;5430.0;4430.0;3430.0;250.0;3190.0;1650.0;6760.0;580.0;475.0;62.1;0.4;333.5;295.2;35.1;3.2;63.1;42.4;4.3;1.5;14.9;2.1;13.7;472.7;66.9;191.8;59.2;34.2;60.7;10.8;14.5;34.5
1;2000 incl.;542;42859;38096;23961;11881;11700;380.0;14135;9849;4261;25.0;616;2376;1529;365;241.0;240;687.0;1083.0;155146;141444;82663;57225;25432;6.0;58780;47925;10854;1.0;597;7067;3810;1334;1327.0;596;4581.0;1458.0;4312;2052;2260;542;22.0;152.0;214.0;67.0;87.0;10820.0;1620.0;9200.0;6370.0;7190.0;1390.0;5800.0;4660.0;3630.0;230.0;3400.0;1710.0;7240.0;600.0;498.4;65.3;0.5;346.4;306.1;37.2;3.1;68.2;45.6;4.9;1.7;16.1;2.8;15.2;497.4;71.0;205.1;57.9;36.1;62.5;10.5;15.0;39.4
2;2001 incl.;536;43053;38262;24185;11738;12089;357.0;14077;9906;4149;22.0;618;2428;1517;397;286.0;228;746.0;1000.0;152798;138611;80002;55837;24159;6.0;58609;47908;10700;1.0;568;7214;3852;1450;1335.0;577;4940.0;1464.0;4349;2092;2257;536;23.0;132.0;202.0;91.0;88.0;10890.0;1670.0;9220.0;6560.0;7420.0;1450.0;5970.0;4900.0;3470.0;220.0;3250.0;1660.0;7530.0;600.0;526.9;66.6;0.6;365.1;323.1;39.1;2.9;74.3;49.4;5.8;1.9;17.3;3.2;17.1;527.5;77.1;223.2;59.5;37.6;64.7;9.6;15.1;40.7
3;2001;508;42760;37992;24035;11650;12031;355.0;13956;9823;4112;21.0;617;2422;1513;397;285.0;227;742.0;987.0;152022;137871;79619;55539;24074;6.0;58252;47612;10639;1.0;567;7205;3848;1449;1331.0;576;4919.0;1461.0;4328;2081;2247;508;21.0;108.0;201.0;91.0;87.0;10890.0;1670.0;9220.0;6560.0;7420.0;1450.0;5970.0;4900.0;3470.0;220.0;3250.0;1660.0;7190.0;560.0;525.8;66.4;0.6;364.2;322.2;39.1;2.9;74.3;49.4;5.8;1.9;17.3;3.2;17.1;526.4;76.9;223.2;59.5;37.5;64.4;9.6;15.1;40.2
4;2002;483;41472;36671;23182;11531;11312;339.0;13489;9611;3860;19.0;615;2438;1487;432;308.0;212;830.0;918.0;146509;132753;75908;53389;22514;5.0;56845;46506;10338;1.0;541;6976;3600;1642;1177.0;559;5040.0;1200.0;4290;2078;2212;483;6.0;69.0;177.0;145.0;86.0;11020.0;1670.0;9350.0;6660.0;7850.0;1480.0;6360.0;5140.0;3170.0;190.0;2990.0;1490.0;6620.0;490.0;558.0;69.1;0.6;387.0;342.9;41.1;3.0;81.1;53.4;6.0;2.2;19.6;2.7;17.5;556.7;80.1;239.5;60.4;39.3;66.1;9.5;15.6;46.3
5;2003;473;40109;35371;22077;11181;10577;319.0;13295;9494;3783;17.0;617;2475;1470;511;316.0;179;904.0;741.0;142983;129012;73854;52754;21094;6.0;55158;45342;9815;1.0;509;6941;3263;2201;1071.0;405;5412.0;1109.0;4206;2053;2154;473;3.0;44.0;160.0;194.0;72.0;11270.0;1680.0;9590.0;6860.0;8350.0;1520.0;6830.0;5460.0;2920.0;160.0;2760.0;1400.0;6310.0;450.0;587.8;69.9;0.5;411.2;363.6;42.7;5.0;84.0;55.3;6.5;2.5;19.7;2.5;19.7;584.0;82.8;257.4;61.2;42.5;71.4;9.2;15.9;43.6
6;2004;467;38701;34111;21009;10888;9826;295.0;13102;9387;3700;16.0;618;2456;1430;569;298.0;158;931.0;585.0;138663;124748;70645;50837;19801;7.0;54103;44658;9443;2.0;505;6683;2808;2554;960.0;361;5701.0;1026.0;4150;2033;2116;467;2.0;28.0;141.0;236.0;60.0;;;;;;;;;;;;;;;549.2;70.9;1.8;423.6;373.9;43.3;6.5;30.3;;;;;2.6;19.9;542.0;102.4;260.2;5.9;46.8;79.4;;;47.3
7;2005;351;37464;33068;20278;10397;9616;264.0;12791;9119;3656;15.0;619;2383;1341;615;274.0;153;891.0;502.0;134624;121786;67535;49117;18409;9.0;54251;45055;9192;4.0;460;6059;2329;2631;743.0;357;5426.0;895.0;4069;2000;2070;351;;;;;;;;;;;;;;;;;;;;561.5;71.2;2.5;433.8;381.7;44.8;7.2;31.3;;;;;3.1;19.7;554.3;106.4;266.8;5.8;50.5;79.5;;;45.4
8;2005 excl.;341;35440;31269;19078;9452;9366;260.0;12191;8678;3498;15.0;591;2274;1292;594;263.0;125;841.0;465.0;132579;120101;66806;48452;18345;9.0;53295;44265;9025;4.0;444;6020;2312;2622;733.0;353;5135.0;880.0;4039;1976;2063;341;;;;;;;;;;;;;;;;;;;;492.8;71.0;1.7;395.7;380.1;9.9;5.7;4.9;;;;;2.1;17.4;485.2;101.1;226.3;5.8;41.5;75.5;;;35.1
9;2006 excl.;238;33883;31158;18791;9404;9145;243.0;12367;8762;3590;15.0;553;2172;1173;608;239.0;152;;;126591;120520;65768;47212;18547;9.0;54752;45366;9383;3.0;428;5644;1947;2788;570.0;339;;;4001;2003;1998;238;;;;;;9010.0;970.0;8030.0;5180.0;;;;;;;;;;;503.9;69.9;1.4;409.0;388.5;14.1;6.4;8.9;;;;;1.9;12.9;500.7;101.5;228.4;11.6;44.5;75.9;;;38.8
