ID;Generatie;HerkomstgroeperingVrouw;Huwelijksjaar;TotaalMannen_1;Autochtoon_2;TotaalNietWesters_3;Marokko_4;NederlandseAntillenAruba_5;Suriname_6;Turkije_7;OverigeNietWesters_8;Westers_9
0;Totaal echtparen;Totaal vrouwen;2000 (Twee jaar getrouwd);84312.0;65435.0;11511.0;3122.0;487.0;1611.0;3170.0;3121.0;7366.0
1;Totaal echtparen;Totaal vrouwen;2001 (Eén jaar getrouwd);77396.0;60860.0;10002.0;2431.0;471.0;1371.0;2987.0;2742.0;6534.0
2;Totaal echtparen;Totaal vrouwen;2002 (Nog geen jaar getrouwd);73860.0;61999.0;5534.0;901.0;436.0;1099.0;1204.0;1894.0;6327.0
3;Totaal echtparen;Autochtoon;2000 (Twee jaar getrouwd);62884.0;56678.0;1616.0;238.0;193.0;314.0;198.0;673.0;4590.0
4;Totaal echtparen;Autochtoon;2001 (Eén jaar getrouwd);58199.0;52610.0;1530.0;197.0;202.0;300.0;231.0;600.0;4059.0
5;Totaal echtparen;Autochtoon;2002 (Nog geen jaar getrouwd);59697.0;53971.0;1442.0;166.0;196.0;288.0;203.0;589.0;4284.0
6;Totaal echtparen;Totaal niet-westers;2000 (Twee jaar getrouwd);12529.0;2647.0;9412.0;2815.0;261.0;1231.0;2853.0;2252.0;470.0
7;Totaal echtparen;Totaal niet-westers;2001 (Eén jaar getrouwd);10801.0;2402.0;7945.0;2154.0;227.0;1007.0;2633.0;1924.0;454.0
8;Totaal echtparen;Totaal niet-westers;2002 (Nog geen jaar getrouwd);6335.0;2237.0;3686.0;695.0;196.0;751.0;930.0;1114.0;412.0
9;Totaal echtparen;Marokko;2000 (Twee jaar getrouwd);3084.0;149.0;2905.0;2763.0;11.0;14.0;17.0;100.0;30.0
10;Totaal echtparen;Marokko;2001 (Eén jaar getrouwd);2425.0;167.0;2226.0;2105.0;5.0;16.0;14.0;86.0;32.0
11;Totaal echtparen;Marokko;2002 (Nog geen jaar getrouwd);896.0;107.0;758.0;657.0;6.0;8.0;17.0;70.0;31.0
12;Totaal echtparen;Nederlandse Antillen + Aruba;2000 (Twee jaar getrouwd);504.0;233.0;244.0;13.0;187.0;18.0;7.0;19.0;27.0
13;Totaal echtparen;Nederlandse Antillen + Aruba;2001 (Eén jaar getrouwd);462.0;209.0;223.0;5.0;169.0;18.0;5.0;26.0;30.0
14;Totaal echtparen;Nederlandse Antillen + Aruba;2002 (Nog geen jaar getrouwd);454.0;235.0;190.0;6.0;153.0;18.0;0.0;13.0;29.0
15;Totaal echtparen;Suriname;2000 (Twee jaar getrouwd);1896.0;582.0;1232.0;15.0;18.0;1120.0;8.0;71.0;82.0
