ID;Grootteklasse;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;NettoOmzetUitHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;TotaleInkoopwaardeOmzet_12;InkoopwaardeGrondEnHulpstoffen_13;InkoopwaardeHandelsgoederen_14;OverigeInkoopwaarde_15;TotaleArbeidskosten_16;BrutoLonenEnSalarissen_17;SocialeVerzekeringspremiesWerkgever_18;PremiesPensioenVUTInkoopsommen_19;OverigeSocialeLasten_20;TotaleOverigeBedrijfslasten_21;OverigePersoneelskosten_22;KostenVervoermiddelen_23;KostenEnergieverbruik_24;Huisvestingskosten_25;KostenMachinesEnInstallaties_26;Verkoopkosten_27;Communicatiekosten_28;KostenVanDienstverleningDoorDerden_29;NietEerderGenoemdeBedrijfslasten_30;AfschrijvingenOpVasteActiva_31;Bedrijfsresultaat_32;SaldoFinancieelResultaat_33;FinancieleBaten_34;FinancieleLasten_35;SaldoVoorzieningen_36;OnttrekkingenVrijvalVanVoorzieningen_37;ToevoegingenAanVoorzieningen_38;SaldoBuitengewoonResultaat_39;BuitengewoneBaten_40;BuitengewoneLasten_41;ResultaatVoorBelastingen_42
0;Alle bedrijven;2002;4730;21.8;19.4;14.9;13.5;1371;1353;1323;30;18;1171;441;308;10;123;411;310;63;28;11;258;54;52;8;24;33;17;9;21;40;59;200;-11;4;15;-1;1;2;-1;1;2;187
1;Alle bedrijven;2003;5020;21.5;19.6;14.9;13.6;1406;1390;1355;35;16;1217;430;314;11;105;436;330;69;27;9;282;59;59;8;23;42;19;8;24;40;69;189;-9;6;15;-1;1;2;-2;1;3;177
2;Alle bedrijven;2004;5130;22.4;20.6;15.8;14.4;1511;1484;1442;42;27;1318;473;322;13;138;472;361;76;27;8;298;60;66;9;24;42;19;10;27;41;75;193;-11;10;21;-2;0;2;1;3;2;181
3;Alle bedrijven;2005;5440;24.7;23.2;16.1;14.9;1537;1510;1449;61;27;1346;501;328;29;144;460;354;69;28;9;319;68;69;11;31;40;21;10;24;45;67;191;-9;4;13;0;2;2;0;1;2;181
4;0 tot 10 werkzame personen;2002;4490;12.5;11.0;6.7;5.9;687;682;664;18;5;532;219;182;6;31;156;117;25;9;5;121;19;24;5;11;15;9;6;11;21;35;156;-7;3;10;0;1;1;-1;1;1;148
5;0 tot 10 werkzame personen;2003;4765;12.4;11.2;6.7;5.8;717;711;687;23;6;564;226;197;8;21;168;126;29;9;4;131;21;26;4;11;19;11;5;13;21;39;152;-6;5;10;-1;0;1;-1;1;1;146
6;0 tot 10 werkzame personen;2004;4840;12.5;11.4;6.7;5.8;726;719;693;26;7;572;225;183;8;33;172;131;28;10;3;134;19;30;4;11;19;11;5;13;22;41;154;-8;8;16;-1;0;1;0;1;1;145
7;0 tot 10 werkzame personen;2005;5155;14.5;13.5;7.1;6.3;746;740;713;27;5;586;242;198;15;29;165;126;26;9;3;147;22;31;6;13;20;12;6;13;24;35;159;-6;3;9;-1;0;1;0;1;1;152
8;10 of meer werkzame personen;2002;240;9.3;8.4;8.2;7.7;684;671;658;12;13;640;222;126;4;92;255;193;38;18;6;139;35;28;4;13;18;8;3;11;19;24;44;-4;1;5;-1;0;1;0;1;1;39
9;10 of meer werkzame personen;2003;255;9.1;8.5;8.2;7.7;690;680;668;11;10;653;204;118;3;84;268;205;40;18;5;151;38;33;4;12;23;8;3;11;19;30;37;-3;2;5;-1;1;1;-1;1;2;32
10;10 of meer werkzame personen;2004;295;9.9;9.2;9.1;8.5;786;765;748;17;21;746;248;139;5;105;300;230;47;17;5;164;41;36;4;13;23;9;4;15;19;34;39;-3;2;5;-1;0;1;1;2;1;36
11;10 of meer werkzame personen;2005;285;10.2;9.7;9.0;8.5;791;770;735;35;21;759;259;131;14;115;295;228;43;19;6;172;46;38;5;18;20;9;4;11;21;32;32;-3;2;4;0;2;1;0;0;1;29
