ID;Perioden;TotaalAantalKredietinstellingen_1;AantalVennootschappen_2;AantalCooperatieveBanken_3;AantalBijkantorenKredietinstellingen_4;TotaalAantalKredietinstellingen_5;Balanstotaal100000MlnEuro_6;Balanstotaal10000Tot100000MlnEuro_7;Balanstotaal1000Tot10000MlnEuro_8;Balanstotaal100Tot1000MlnEuro_9;Balanstotaal100MlnEuro_10;Kredieten_11;ToevertrouwdeMiddelen_12;TotaalVanKapitaalEnReserves_13;AantalKredietinstellingen_14;Balanstotaal_15;AantalKredietinstellingen_16;Balanstotaal_17;TotaalEULanden_18;Belgie_19;Denemarken_20;Duitsland_21;Griekenland_22;Frankrijk_23;Ierland_24;Italie_25;Luxemburg_26;Zweden_27;VerenigdKoninkrijk_28
0;1997;90;78;1;11;90;3;6;24;39;18;414231;337468;51681;27;;63;;9;1;0;0;1;3;0;1;0;0;3
1;1998;85;73;1;11;85;3;7;20;34;21;462656;358707;55204;36;;49;;10;1;0;1;1;3;0;1;0;0;3
2;1999;85;74;1;10;85;3;6;19;40;17;522988;386356;69924;33;;52;;16;1;0;7;1;3;0;1;0;0;3
3;2000;87;76;1;10;87;3;7;23;31;23;587622;418912;81000;31;;56;;18;1;0;8;1;3;0;1;0;0;4
4;2001;86;76;1;9;86;3;7;24;33;19;648189;484395;88242;27;1010095.0;59;143750.0;19;2;0;7;1;3;0;1;0;0;5
5;2002;88;79;1;8;88;3;8;24;31;22;716922;494593;87823;29;1086763.0;59;138655.0;19;2;0;5;1;3;0;1;0;1;6
6;2003;86;77;1;8;86;4;6;23;33;20;756597;526709;97107;28;1126969.0;58;172473.0;20;3;0;5;1;3;0;1;0;1;6
7;2004;89;81;1;7;89;4;8;21;32;24;839056;562157;105709;31;1252746.0;58;216040.0;22;3;0;6;1;3;1;1;0;1;6
8;2005;91;84;1;6;91;4;7;24;34;22;945775;614921;126504;34;1517067.0;57;235274.0;22;4;0;6;0;3;1;1;0;1;6
9;2006;89;83;1;5;89;4;7;29;32;17;1046155;696088;138241;34;1690296.0;55;277884.0;22;4;0;8;0;2;1;1;0;1;5
10;2007;93;87;1;5;93;4;12;25;33;19;1139556;813499;176763;30;1890840.0;63;313379.0;26;4;0;9;0;2;1;1;1;1;7
11;2008;93;87;1;5;93;5;9;32;22;25;1289115;1241668;85200;31;2271089.0;62;74652.0;30;3;0;10;0;4;4;1;1;2;5
12;2009;93;87;1;5;93;5;11;28;24;25;1162918;1126811;95686;31;2051077.0;62;115622.0;34;3;1;10;0;5;3;1;1;3;7
13;2010;93;87;1;5;93;5;13;29;21;25;1195857;1204071;103989;30;1901171.0;63;334204.0;36;3;0;10;0;6;2;1;3;3;8
14;2011;93;87;1;5;93;5;15;29;20;24;1252171;1381516;113564;29;2057440.0;64;290286.0;33;4;1;8;0;6;2;1;2;2;7
15;2012;89;83;1;5;89;4;14;28;23;20;1269442;1377376;119789;27;2082478.0;62;250964.0;34;4;1;7;0;6;2;1;3;2;8
16;2013;91;85;1;5;91;4;14;29;27;17;1231075;1322620;114884;29;2252016.0;62;181242.0;37;5;1;7;0;6;1;1;5;3;8
17;2014;88;83;1;4;88;4;11;31;18;24;1252341;1388767;136955;26;2359299.0;62;169376.0;38;5;1;8;0;5;1;1;5;3;9
18;2015;88;83;1;4;88;4;14;29;17;24;1233810;1397049;141054;26;2348676.0;62;181891.0;36;5;1;7;0;3;1;1;6;2;10
