ID;Persoonskenmerken;Perioden;TotaalWerkzameBeroepsbevolking_1;JaTotaal_2;JaRegelmatig_3;JaSoms_4;Nee_5;JaTotaal_6;JaRegelmatig_7;JaSoms_8;Nee_9;JaTotaal_10;JaRegelmatig_11;JaSoms_12;Nee_13;JaTotaal_14;JaRegelmatig_15;JaSoms_16;Nee_17;JaTotaal_18;JaRegelmatig_19;JaSoms_20;Nee_21;JaTotaal_22;JaRegelmatig_23;JaSoms_24;Nee_25;JaTotaal_26;JaRegelmatig_27;JaSoms_28;Nee_29;TotaalWerkzameBeroepsbevolking100_30;JaTotaal_31;JaRegelmatig_32;JaSoms_33;Nee_34;JaTotaal_35;JaRegelmatig_36;JaSoms_37;Nee_38;JaTotaal_39;JaRegelmatig_40;JaSoms_41;Nee_42;JaTotaal_43;JaRegelmatig_44;JaSoms_45;Nee_46;JaTotaal_47;JaRegelmatig_48;JaSoms_49;Nee_50;JaTotaal_51;JaRegelmatig_52;JaSoms_53;Nee_54;JaTotaal_55;JaRegelmatig_56;JaSoms_57;Nee_58
0;Totaal persoonskenmerken;1997;6384.0;2294.0;1529.0;765.0;4035.0;3924.0;2033.0;1891.0;2383.0;831.0;593.0;238.0;5500.0;884.0;532.0;352.0;5407.0;1363.0;950.0;414.0;4972.0;1357.0;596.0;761.0;4949.0;3526.0;2639.0;886.0;2806.0;6384.0;36.0;24.0;12.0;63.0;61.0;32.0;30.0;37.0;13.0;9.0;4.0;86.0;14.0;8.0;6.0;85.0;21.0;15.0;6.0;78.0;21.0;9.0;12.0;78.0;55.0;41.0;14.0;44.0
1;Totaal persoonskenmerken;1998;6587.0;2296.0;1508.0;788.0;4231.0;4089.0;2150.0;1939.0;2410.0;818.0;585.0;233.0;5711.0;868.0;520.0;349.0;5619.0;1346.0;937.0;410.0;5186.0;1355.0;593.0;762.0;5151.0;3789.0;2846.0;943.0;2740.0;6587.0;35.0;23.0;12.0;64.0;62.0;33.0;29.0;37.0;12.0;9.0;4.0;87.0;13.0;8.0;5.0;85.0;20.0;14.0;6.0;79.0;21.0;9.0;12.0;78.0;58.0;43.0;14.0;42.0
2;Totaal persoonskenmerken;1999;6768.0;2435.0;1558.0;878.0;4334.0;4205.0;2217.0;1988.0;2478.0;861.0;621.0;240.0;5917.0;890.0;542.0;348.0;5844.0;1394.0;983.0;412.0;5386.0;1420.0;618.0;802.0;5328.0;4027.0;3018.0;1009.0;2747.0;6768.0;36.0;23.0;13.0;64.0;62.0;33.0;29.0;36.0;13.0;9.0;4.0;87.0;13.0;8.0;5.0;86.0;20.0;14.0;6.0;79.0;21.0;9.0;12.0;78.0;59.0;44.0;15.0;40.0
3;Totaal persoonskenmerken;2000;6917.0;2496.0;1575.0;921.0;4389.0;4091.0;2140.0;1951.0;2748.0;841.0;592.0;249.0;6042.0;955.0;594.0;361.0;5896.0;1425.0;1006.0;419.0;5465.0;1468.0;639.0;829.0;5395.0;4079.0;2964.0;1115.0;2811.0;6917.0;36.0;23.0;13.0;64.0;59.0;31.0;28.0;40.0;12.0;9.0;4.0;88.0;14.0;9.0;5.0;85.0;21.0;15.0;6.0;79.0;21.0;9.0;12.0;78.0;59.0;43.0;16.0;41.0
4;Totaal persoonskenmerken;2001 voor revisie;7021.0;2586.0;1626.0;960.0;4450.0;4092.0;2085.0;2007.0;2853.0;877.0;614.0;262.0;6168.0;982.0;583.0;400.0;6016.0;1469.0;1008.0;462.0;5576.0;1541.0;648.0;893.0;5469.0;4289.0;3144.0;1145.0;2755.0;7021.0;37.0;23.0;14.0;63.0;58.0;30.0;28.0;40.0;12.0;9.0;4.0;87.0;14.0;8.0;6.0;85.0;21.0;14.0;7.0;79.0;22.0;9.0;13.0;78.0;61.0;45.0;16.0;39.0
5;Totaal persoonskenmerken;2001 na revisie;7020.0;2586.0;1626.0;960.0;4450.0;4041.0;2047.0;1994.0;2900.0;877.0;614.0;262.0;6168.0;982.0;583.0;400.0;6016.0;1469.0;1008.0;462.0;5576.0;1541.0;648.0;893.0;5469.0;4289.0;3144.0;1145.0;2755.0;7020.0;37.0;23.0;14.0;63.0;57.0;29.0;28.0;41.0;12.0;9.0;4.0;87.0;14.0;8.0;6.0;85.0;21.0;14.0;7.0;79.0;22.0;9.0;13.0;78.0;61.0;45.0;16.0;39.0
6;Totaal persoonskenmerken;2002;7035.0;2553.0;1620.0;933.0;4420.0;4079.0;1983.0;2096.0;2874.0;894.0;642.0;252.0;6080.0;971.0;608.0;363.0;5965.0;1471.0;1055.0;416.0;5506.0;1557.0;690.0;867.0;5390.0;4332.0;3203.0;1129.0;2642.0;7035.0;37.0;23.0;13.0;63.0;58.0;28.0;30.0;41.0;13.0;9.0;4.0;87.0;14.0;9.0;5.0;85.0;21.0;15.0;6.0;79.0;22.0;10.0;12.0;77.0;62.0;46.0;16.0;38.0
7;Totaal persoonskenmerken;2003;7001.0;2547.0;1560.0;987.0;4356.0;3989.0;1903.0;2085.0;2936.0;;;;;;;;;;;;;1546.0;642.0;904.0;5330.0;4350.0;3255.0;1095.0;2554.0;7001.0;37.0;23.0;14.0;63.0;58.0;28.0;30.0;42.0;;;;;;;;;;;;;22.0;9.0;13.0;77.0;63.0;47.0;16.0;37.0
8;Totaal persoonskenmerken;2004;6919.0;2587.0;1642.0;946.0;4264.0;4064.0;1835.0;2229.0;2781.0;;;;;;;;;;;;;1552.0;691.0;861.0;5268.0;4363.0;3247.0;1116.0;2489.0;6919.0;38.0;24.0;14.0;62.0;59.0;27.0;32.0;41.0;;;;;;;;;;;;;23.0;10.0;13.0;77.0;64.0;47.0;16.0;36.0
9;Totaal persoonskenmerken;2005;6918.0;2552.0;1728.0;824.0;4312.0;;;;;;;;;;;;;;;;;1481.0;683.0;799.0;5357.0;;;;;6918.0;37.0;25.0;12.0;62.0;;;;;;;;;;;;;;;;;21.0;10.0;12.0;77.0;;;;
10;Mannen;1997;3940.0;1559.0;1056.0;503.0;2359.0;2516.0;1317.0;1200.0;1386.0;798.0;575.0;224.0;3121.0;799.0;486.0;313.0;3082.0;1254.0;889.0;365.0;2670.0;1032.0;482.0;550.0;2866.0;2185.0;1593.0;593.0;1736.0;3940.0;40.0;27.0;13.0;60.0;64.0;33.0;30.0;35.0;20.0;15.0;6.0;79.0;20.0;12.0;8.0;78.0;32.0;23.0;9.0;68.0;26.0;12.0;14.0;73.0;55.0;40.0;15.0;44.0
11;Mannen;1998;4036.0;1553.0;1034.0;519.0;2458.0;2607.0;1381.0;1226.0;1383.0;783.0;566.0;217.0;3229.0;792.0;477.0;315.0;3180.0;1243.0;879.0;364.0;2772.0;1026.0;480.0;545.0;2968.0;2336.0;1721.0;615.0;1677.0;4036.0;38.0;26.0;13.0;61.0;65.0;34.0;30.0;34.0;19.0;14.0;5.0;80.0;20.0;12.0;8.0;79.0;31.0;22.0;9.0;69.0;25.0;12.0;14.0;74.0;58.0;43.0;15.0;42.0
12;Mannen;1999;4105.0;1635.0;1065.0;570.0;2466.0;2637.0;1412.0;1224.0;1424.0;823.0;600.0;223.0;3287.0;805.0;494.0;311.0;3263.0;1280.0;917.0;363.0;2833.0;1068.0;492.0;575.0;3017.0;2426.0;1810.0;616.0;1682.0;4105.0;40.0;26.0;14.0;60.0;64.0;34.0;30.0;35.0;20.0;15.0;5.0;80.0;20.0;12.0;8.0;79.0;31.0;22.0;9.0;69.0;26.0;12.0;14.0;73.0;59.0;44.0;15.0;41.0
13;Mannen;2000;4162.0;1659.0;1073.0;586.0;2524.0;2565.0;1344.0;1221.0;1557.0;808.0;575.0;233.0;3372.0;865.0;540.0;325.0;3284.0;1310.0;938.0;372.0;2877.0;1079.0;505.0;574.0;3083.0;2490.0;1768.0;722.0;1696.0;4162.0;40.0;26.0;14.0;60.0;61.0;32.0;29.0;37.0;19.0;14.0;6.0;80.0;21.0;13.0;8.0;78.0;31.0;22.0;9.0;69.0;26.0;12.0;14.0;74.0;59.0;42.0;17.0;40.0
14;Mannen;2001 voor revisie;4185.0;1679.0;1094.0;585.0;2526.0;2529.0;1294.0;1235.0;1619.0;838.0;595.0;243.0;3374.0;876.0;533.0;343.0;3290.0;1334.0;941.0;393.0;2879.0;1138.0;520.0;618.0;3043.0;2548.0;1845.0;703.0;1664.0;4185.0;40.0;26.0;14.0;60.0;60.0;31.0;29.0;38.0;20.0;14.0;6.0;80.0;21.0;13.0;8.0;78.0;32.0;22.0;9.0;68.0;27.0;12.0;15.0;72.0;60.0;44.0;17.0;39.0
15;Mannen;2001 na revisie;4211.0;1679.0;1094.0;585.0;2526.0;2522.0;1282.0;1240.0;1650.0;838.0;595.0;243.0;3374.0;876.0;533.0;343.0;3290.0;1334.0;941.0;393.0;2879.0;1138.0;520.0;618.0;3043.0;2548.0;1845.0;703.0;1664.0;4211.0;40.0;26.0;14.0;60.0;60.0;30.0;29.0;39.0;20.0;14.0;6.0;80.0;21.0;13.0;8.0;78.0;32.0;22.0;9.0;68.0;27.0;12.0;15.0;72.0;60.0;44.0;17.0;39.0
16;Mannen;2002;4172.0;1682.0;1102.0;580.0;2434.0;2500.0;1223.0;1277.0;1632.0;849.0;619.0;230.0;3268.0;878.0;555.0;323.0;3200.0;1345.0;984.0;361.0;2774.0;1142.0;554.0;588.0;2948.0;2525.0;1852.0;672.0;1593.0;4172.0;41.0;27.0;14.0;59.0;61.0;30.0;31.0;40.0;21.0;15.0;6.0;79.0;21.0;13.0;8.0;78.0;33.0;24.0;9.0;67.0;28.0;13.0;14.0;71.0;61.0;45.0;16.0;39.0
17;Mannen;2003;4127.0;1664.0;1059.0;605.0;2398.0;2459.0;1178.0;1281.0;1632.0;;;;;;;;;;;;;1107.0;492.0;615.0;2931.0;2532.0;1874.0;658.0;1530.0;4127.0;41.0;26.0;15.0;59.0;60.0;29.0;31.0;40.0;;;;;;;;;;;;;27.0;12.0;15.0;72.0;62.0;46.0;16.0;38.0
18;Mannen;2004;4062.0;1654.0;1088.0;567.0;2341.0;2504.0;1147.0;1357.0;1522.0;;;;;;;;;;;;;1117.0;537.0;581.0;2849.0;2500.0;1856.0;645.0;1495.0;4062.0;41.0;27.0;14.0;58.0;63.0;29.0;34.0;38.0;;;;;;;;;;;;;28.0;13.0;15.0;71.0;62.0;46.0;16.0;37.0
19;Mannen;2005;4046.0;1620.0;1131.0;489.0;2349.0;;;;;;;;;;;;;;;;;1086.0;547.0;539.0;2862.0;;;;;4046.0;41.0;28.0;12.0;59.0;;;;;;;;;;;;;;;;;27.0;14.0;13.0;72.0;;;;
20;Vrouwen;1997;2444.0;736.0;474.0;262.0;1675.0;1408.0;717.0;691.0;997.0;33.0;19.0;14.0;2379.0;85.0;46.0;39.0;2325.0;110.0;61.0;49.0;2302.0;325.0;114.0;211.0;2084.0;1340.0;1046.0;294.0;1071.0;2444.0;30.0;19.0;11.0;69.0;58.0;29.0;28.0;41.0;1.0;1.0;1.0;97.0;3.0;2.0;2.0;95.0;4.0;2.0;2.0;94.0;13.0;5.0;9.0;85.0;55.0;43.0;12.0;44.0
21;Vrouwen;1998;2551.0;743.0;474.0;268.0;1774.0;1483.0;769.0;714.0;1027.0;35.0;19.0;16.0;2482.0;77.0;43.0;34.0;2439.0;104.0;58.0;45.0;2414.0;329.0;112.0;217.0;2183.0;1452.0;1125.0;328.0;1064.0;2551.0;29.0;19.0;11.0;70.0;58.0;30.0;28.0;40.0;1.0;1.0;1.0;97.0;3.0;2.0;1.0;96.0;4.0;2.0;2.0;95.0;13.0;4.0;9.0;86.0;57.0;44.0;13.0;42.0
