ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
0;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 0 (3 dagen);1100
1;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 1;2458
2;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 2;2374
3;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 3;2294
4;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 4;2163
5;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 5;2154
6;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 6;2107
7;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 7;2103
8;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 8;2105
9;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 9;2154
10;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 10;2231
11;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 11;2234
12;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 12;2089
13;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 13;2147
14;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 14;2167
15;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 15;2190
16;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 16;2131
17;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 17;2072
18;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 18;2155
19;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 19;2143
20;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 20;1999
21;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 21;1915
22;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 22;2134
23;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 23;1982
24;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 24;1987
25;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 25;2054
26;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 26;1963
27;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 27;2267
28;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 28;2028
29;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 29;1988
30;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 30;1998
31;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 31;1973
32;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 32;1905
33;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 33;2029
34;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 34;1801
35;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 35;1979
36;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 36;1907
37;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 37;1993
38;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 38;2046
39;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 39;1981
40;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 40;2032
41;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 41;2010
42;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 42;2263
43;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 43;2159
44;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 44;2126
45;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 45;2185
46;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 46;2052
47;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 47;2242
48;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 48;2266
49;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 49;2142
50;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 50;2209
51;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 51;2363
52;Totaal mannen en vrouwen;Totaal leeftijd;1971 week 52 (5 dagen);1694
53;Totaal mannen en vrouwen;Totaal leeftijd;1971;110243
54;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 0 (2 dagen);730
55;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 1;2447
56;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 2;2433
57;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 3;2575
58;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 4;2442
59;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 5;2545
60;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 6;2424
61;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 7;2313
62;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 8;2272
63;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 9;2269
64;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 10;2177
65;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 11;2229
66;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 12;2153
67;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 13;2108
68;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 14;2169
69;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 15;2117
70;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 16;1961
71;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 17;2044
72;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 18;2084
73;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 19;2064
74;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 20;2065
75;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 21;2083
76;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 22;2134
77;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 23;2086
78;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 24;2045
79;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 25;2019
80;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 26;2100
81;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 27;1996
82;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 28;2043
83;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 29;2567
84;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 30;2015
85;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 31;1937
86;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 32;2059
87;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 33;1987
88;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 34;1923
89;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 35;2070
90;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 36;2055
91;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 37;2054
92;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 38;2073
93;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 39;1996
94;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 40;2201
95;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 41;2119
96;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 42;2110
97;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 43;2159
98;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 44;2069
99;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 45;2022
100;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 46;2188
101;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 47;2112
102;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 48;2313
103;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 49;2269
104;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 50;2290
105;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 51;2317
106;Totaal mannen en vrouwen;Totaal leeftijd;1972 week 52;2544
107;Totaal mannen en vrouwen;Totaal leeftijd;1972;113576
108;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 1;3156
109;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 2;2899
110;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 3;2611
111;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 4;2320
112;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 5;2301
113;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 6;2199
114;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 7;2115
115;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 8;2117
116;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 9;2139
117;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 10;2075
118;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 11;2062
119;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 12;2188
120;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 13;2050
121;Totaal mannen en vrouwen;Totaal leeftijd;1973 week 14;2042
