ID;Loonklasse;Geslacht;Leeftijd;BurgerlijkeStaat;Herkomstgroepering;Arbeidsperiode;Perioden;AantalWerknemersTotaal_1
0;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Totaal arbeidsperiode;1999, vrijdag 24 september;6762.0
1;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Totaal arbeidsperiode;2000, vrijdag 29 september;6915.1
2;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Totaal arbeidsperiode;2001, vrijdag 28 september;7057.0
3;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Totaal arbeidsperiode;2002, vrijdag 27 september;7107.0
4;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Totaal arbeidsperiode;2003, vrijdag 26 september;7065.4
5;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Totaal arbeidsperiode;2004, vrijdag 24 september;6980.7
6;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Totaal arbeidsperiode;2005, vrijdag 30 september;7000.4
7;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Totaal arbeidsperiode;2006, vrijdag 29 september;7093.8
8;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Totaal arbeidsperiode;2007, vrijdag 28 september;7331.1
9;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Totaal arbeidsperiode;2008, vrijdag 26 september;7412.6
10;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Volledig jaar werknemer;1999, vrijdag 24 september;5681.3
11;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Volledig jaar werknemer;2000, vrijdag 29 september;5866.2
12;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Volledig jaar werknemer;2001, vrijdag 28 september;6022.1
13;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Volledig jaar werknemer;2002, vrijdag 27 september;6140.9
14;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Volledig jaar werknemer;2003, vrijdag 26 september;6202.0
15;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Volledig jaar werknemer;2004, vrijdag 24 september;6127.5
16;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Volledig jaar werknemer;2005, vrijdag 30 september;6110.2
17;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Volledig jaar werknemer;2006, vrijdag 29 september;6050.2
18;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Volledig jaar werknemer;2007, vrijdag 28 september;6253.6
19;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Volledig jaar werknemer;2008, vrijdag 26 september;6371.7
20;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Deel van het jaar werknemer;1999, vrijdag 24 september;1080.7
21;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Deel van het jaar werknemer;2000, vrijdag 29 september;1048.9
22;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Deel van het jaar werknemer;2001, vrijdag 28 september;1034.9
23;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Deel van het jaar werknemer;2002, vrijdag 27 september;966.1
24;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Deel van het jaar werknemer;2003, vrijdag 26 september;863.4
25;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Deel van het jaar werknemer;2004, vrijdag 24 september;853.2
26;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Deel van het jaar werknemer;2005, vrijdag 30 september;890.2
27;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Deel van het jaar werknemer;2006, vrijdag 29 september;1043.6
28;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Deel van het jaar werknemer;2007, vrijdag 28 september;1077.4
29;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;0;Deel van het jaar werknemer;2008, vrijdag 26 september;1040.9
30;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Totaal arbeidsperiode;1999, vrijdag 24 september;5730.8
31;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Totaal arbeidsperiode;2000, vrijdag 29 september;5827.1
32;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Totaal arbeidsperiode;2001, vrijdag 28 september;5926.1
33;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Totaal arbeidsperiode;2002, vrijdag 27 september;5960.0
34;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Totaal arbeidsperiode;2003, vrijdag 26 september;5928.2
35;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Totaal arbeidsperiode;2004, vrijdag 24 september;5861.9
36;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Totaal arbeidsperiode;2005, vrijdag 30 september;5864.8
37;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Totaal arbeidsperiode;2006, vrijdag 29 september;5906.9
38;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Totaal arbeidsperiode;2007, vrijdag 28 september;6066.4
39;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Totaal arbeidsperiode;2008, vrijdag 26 september;6098.7
40;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Volledig jaar werknemer;1999, vrijdag 24 september;4898.7
41;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Volledig jaar werknemer;2000, vrijdag 29 september;5029.7
42;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Volledig jaar werknemer;2001, vrijdag 28 september;5140.9
43;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Volledig jaar werknemer;2002, vrijdag 27 september;5229.6
44;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Volledig jaar werknemer;2003, vrijdag 26 september;5275.9
45;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Volledig jaar werknemer;2004, vrijdag 24 september;5214.6
46;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Volledig jaar werknemer;2005, vrijdag 30 september;5192.7
47;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Volledig jaar werknemer;2006, vrijdag 29 september;5119.0
48;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Volledig jaar werknemer;2007, vrijdag 28 september;5264.7
49;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Volledig jaar werknemer;2008, vrijdag 26 september;5339.9
50;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Deel van het jaar werknemer;1999, vrijdag 24 september;832.2
51;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Deel van het jaar werknemer;2000, vrijdag 29 september;797.3
52;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Deel van het jaar werknemer;2001, vrijdag 28 september;785.2
53;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Deel van het jaar werknemer;2002, vrijdag 27 september;730.4
54;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Deel van het jaar werknemer;2003, vrijdag 26 september;652.3
55;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Deel van het jaar werknemer;2004, vrijdag 24 september;647.3
56;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Deel van het jaar werknemer;2005, vrijdag 30 september;672.1
57;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Deel van het jaar werknemer;2006, vrijdag 29 september;787.8
58;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Deel van het jaar werknemer;2007, vrijdag 28 september;801.6
59;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;1;Deel van het jaar werknemer;2008, vrijdag 26 september;758.8
60;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Totaal arbeidsperiode;1999, vrijdag 24 september;1031.1
61;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Totaal arbeidsperiode;2000, vrijdag 29 september;1088.0
62;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Totaal arbeidsperiode;2001, vrijdag 28 september;1130.9
63;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Totaal arbeidsperiode;2002, vrijdag 27 september;1147.0
64;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Totaal arbeidsperiode;2003, vrijdag 26 september;1137.2
65;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Totaal arbeidsperiode;2004, vrijdag 24 september;1118.8
66;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Totaal arbeidsperiode;2005, vrijdag 30 september;1135.6
67;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Totaal arbeidsperiode;2006, vrijdag 29 september;1186.9
68;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Totaal arbeidsperiode;2007, vrijdag 28 september;1264.6
69;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Totaal arbeidsperiode;2008, vrijdag 26 september;1314.0
70;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Volledig jaar werknemer;1999, vrijdag 24 september;782.7
71;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Volledig jaar werknemer;2000, vrijdag 29 september;836.5
72;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Volledig jaar werknemer;2001, vrijdag 28 september;881.1
73;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Volledig jaar werknemer;2002, vrijdag 27 september;911.3
74;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Volledig jaar werknemer;2003, vrijdag 26 september;926.1
75;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Volledig jaar werknemer;2004, vrijdag 24 september;912.9
76;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Volledig jaar werknemer;2005, vrijdag 30 september;917.5
77;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Volledig jaar werknemer;2006, vrijdag 29 september;931.1
78;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Volledig jaar werknemer;2007, vrijdag 28 september;988.9
79;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Volledig jaar werknemer;2008, vrijdag 26 september;1031.8
80;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Deel van het jaar werknemer;1999, vrijdag 24 september;248.5
81;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Deel van het jaar werknemer;2000, vrijdag 29 september;251.5
82;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Deel van het jaar werknemer;2001, vrijdag 28 september;249.8
83;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Deel van het jaar werknemer;2002, vrijdag 27 september;235.7
84;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Deel van het jaar werknemer;2003, vrijdag 26 september;211.1
85;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Deel van het jaar werknemer;2004, vrijdag 24 september;205.9
86;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Deel van het jaar werknemer;2005, vrijdag 30 september;218.1
87;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Deel van het jaar werknemer;2006, vrijdag 29 september;255.8
88;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Deel van het jaar werknemer;2007, vrijdag 28 september;275.7
89;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;2;Deel van het jaar werknemer;2008, vrijdag 26 september;282.1
90;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Totaal arbeidsperiode;1999, vrijdag 24 september;575.9
91;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Totaal arbeidsperiode;2000, vrijdag 29 september;613.3
92;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Totaal arbeidsperiode;2001, vrijdag 28 september;639.7
93;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Totaal arbeidsperiode;2002, vrijdag 27 september;649.7
94;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Totaal arbeidsperiode;2003, vrijdag 26 september;641.0
95;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Totaal arbeidsperiode;2004, vrijdag 24 september;625.0
96;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Totaal arbeidsperiode;2005, vrijdag 30 september;630.4
97;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Totaal arbeidsperiode;2006, vrijdag 29 september;658.6
98;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Totaal arbeidsperiode;2007, vrijdag 28 september;703.2
99;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Totaal arbeidsperiode;2008, vrijdag 26 september;735.1
100;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Volledig jaar werknemer;1999, vrijdag 24 september;427.2
101;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Volledig jaar werknemer;2000, vrijdag 29 september;462.5
102;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Volledig jaar werknemer;2001, vrijdag 28 september;492.1
103;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Volledig jaar werknemer;2002, vrijdag 27 september;511.5
104;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Volledig jaar werknemer;2003, vrijdag 26 september;518.4
105;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Volledig jaar werknemer;2004, vrijdag 24 september;508.0
106;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Volledig jaar werknemer;2005, vrijdag 30 september;508.4
107;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Volledig jaar werknemer;2006, vrijdag 29 september;513.9
108;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Volledig jaar werknemer;2007, vrijdag 28 september;548.5
109;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Volledig jaar werknemer;2008, vrijdag 26 september;574.5
110;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Deel van het jaar werknemer;1999, vrijdag 24 september;148.7
111;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Deel van het jaar werknemer;2000, vrijdag 29 september;150.7
112;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Deel van het jaar werknemer;2001, vrijdag 28 september;147.6
113;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Deel van het jaar werknemer;2002, vrijdag 27 september;138.2
114;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Deel van het jaar werknemer;2003, vrijdag 26 september;122.6
115;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Deel van het jaar werknemer;2004, vrijdag 24 september;117.0
116;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Deel van het jaar werknemer;2005, vrijdag 30 september;122.1
117;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Deel van het jaar werknemer;2006, vrijdag 29 september;144.7
118;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Deel van het jaar werknemer;2007, vrijdag 28 september;154.7
119;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;3;Deel van het jaar werknemer;2008, vrijdag 26 september;160.6
120;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Totaal arbeidsperiode;1999, vrijdag 24 september;455.2
121;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Totaal arbeidsperiode;2000, vrijdag 29 september;474.7
122;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Totaal arbeidsperiode;2001, vrijdag 28 september;491.2
123;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Totaal arbeidsperiode;2002, vrijdag 27 september;497.3
124;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Totaal arbeidsperiode;2003, vrijdag 26 september;496.2
125;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Totaal arbeidsperiode;2004, vrijdag 24 september;493.8
126;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Totaal arbeidsperiode;2005, vrijdag 30 september;505.1
127;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Totaal arbeidsperiode;2006, vrijdag 29 september;528.3
128;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Totaal arbeidsperiode;2007, vrijdag 28 september;561.4
129;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Totaal arbeidsperiode;2008, vrijdag 26 september;578.9
130;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Volledig jaar werknemer;1999, vrijdag 24 september;355.5
131;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Volledig jaar werknemer;2000, vrijdag 29 september;373.9
132;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Volledig jaar werknemer;2001, vrijdag 28 september;389.1
133;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Volledig jaar werknemer;2002, vrijdag 27 september;399.7
134;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Volledig jaar werknemer;2003, vrijdag 26 september;407.7
135;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Volledig jaar werknemer;2004, vrijdag 24 september;405.0
136;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Volledig jaar werknemer;2005, vrijdag 30 september;409.2
137;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Volledig jaar werknemer;2006, vrijdag 29 september;417.2
138;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Volledig jaar werknemer;2007, vrijdag 28 september;440.4
139;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Volledig jaar werknemer;2008, vrijdag 26 september;457.4
140;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Deel van het jaar werknemer;1999, vrijdag 24 september;99.7
141;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Deel van het jaar werknemer;2000, vrijdag 29 september;100.8
142;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Deel van het jaar werknemer;2001, vrijdag 28 september;102.2
143;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Deel van het jaar werknemer;2002, vrijdag 27 september;97.6
144;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Deel van het jaar werknemer;2003, vrijdag 26 september;88.5
145;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Deel van het jaar werknemer;2004, vrijdag 24 september;88.9
146;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Deel van het jaar werknemer;2005, vrijdag 30 september;96.0
147;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Deel van het jaar werknemer;2006, vrijdag 29 september;111.1
148;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Deel van het jaar werknemer;2007, vrijdag 28 september;121.0
149;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;4;Deel van het jaar werknemer;2008, vrijdag 26 september;121.5
150;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Totaal arbeidsperiode;1999, vrijdag 24 september;330.9
151;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Totaal arbeidsperiode;2000, vrijdag 29 september;338.6
152;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Totaal arbeidsperiode;2001, vrijdag 28 september;345.6
153;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Totaal arbeidsperiode;2002, vrijdag 27 september;346.6
154;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Totaal arbeidsperiode;2003, vrijdag 26 september;343.9
155;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Totaal arbeidsperiode;2004, vrijdag 24 september;339.0
156;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Totaal arbeidsperiode;2005, vrijdag 30 september;341.0
157;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Totaal arbeidsperiode;2006, vrijdag 29 september;347.5
158;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Totaal arbeidsperiode;2007, vrijdag 28 september;361.6
159;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Totaal arbeidsperiode;2008, vrijdag 26 september;365.8
160;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Volledig jaar werknemer;1999, vrijdag 24 september;270.4
161;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Volledig jaar werknemer;2000, vrijdag 29 september;279.2
162;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Volledig jaar werknemer;2001, vrijdag 28 september;286.5
163;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Volledig jaar werknemer;2002, vrijdag 27 september;291.0
164;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Volledig jaar werknemer;2003, vrijdag 26 september;294.1
165;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Volledig jaar werknemer;2004, vrijdag 24 september;289.3
166;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Volledig jaar werknemer;2005, vrijdag 30 september;288.8
167;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Volledig jaar werknemer;2006, vrijdag 29 september;288.1
168;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Volledig jaar werknemer;2007, vrijdag 28 september;298.5
169;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Volledig jaar werknemer;2008, vrijdag 26 september;304.3
170;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Deel van het jaar werknemer;1999, vrijdag 24 september;60.5
171;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Deel van het jaar werknemer;2000, vrijdag 29 september;59.4
172;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Deel van het jaar werknemer;2001, vrijdag 28 september;59.1
173;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Deel van het jaar werknemer;2002, vrijdag 27 september;55.6
174;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Deel van het jaar werknemer;2003, vrijdag 26 september;49.8
175;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Deel van het jaar werknemer;2004, vrijdag 24 september;49.7
176;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Deel van het jaar werknemer;2005, vrijdag 30 september;52.2
177;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Deel van het jaar werknemer;2006, vrijdag 29 september;59.4
178;0;Totaal mannen en vrouwen;0;Totaal burgerlijke staat;5;Deel van het jaar werknemer;2007, vrijdag 28 september;63.1
