ID;TypeDienst;Perioden;AantalInstellingen_1;WerkzamePersonen_2;TotaalFTES_3;WerkzamePersonen_4;TotaalFTES_5;TotaalBedrijfsopbrengsten_6;TotaalOpbrWettBudgAmbDienst_7;WettelijkBudget_8;FinancieringsverschilBoekjaar_9;TotaalOpbrengstWettelijkBudgetCPA_10;WettelijkBudget_11;NogInTarievenTeVerrekenen_12;TotaalOverigeOpbrengsten_13;OverigeVervoersopbrengsten_14;OpbrengstenNEG_15;TotaalBedrijfslaten_16;TotaalArbeidskosten_17;LonenEnSalarissen_18;Pensioenpremies_19;SocialeLasten_20;PersoneelDerden_21;AnderePersoneelskosten_22;Afschrijvingen_23;TotaalOverigeKosten_24;Huisvestingskosten_25;KostenAmbulances_26;Communicatiekosten_27;KostenNEG_28;Exploitatiesaldo_29;FinancieleBaten_30;FinancieleLasten_31;TotaalFinancieelResultaat_32;BuitengewoneBaten_33;BuitengewoneLasten_34;SaldoBuitengewoonResultaat_35;AantalRitten_36;AantalKilometers_37
0;10;1997;114.0;;;;;187.0;167.3;;;12.6;;;7.2;;;186.8;105.5;94.1;4.1;7.3;9.6;6.9;10.6;54.2;;;;;0.2;;;;;;;;
1;10;1998;101.0;;;;;199.0;179.1;;;13.5;;;6.6;;;200.9;113.4;96.2;4.9;12.3;10.4;7.9;11.0;58.2;;;;;-1.7;;;;;;;725.0;24.2
2;10;1999;98.0;;;;;214.0;191.8;;;14.4;;;8.0;;;216.5;123.3;103.6;5.8;13.9;14.1;7.7;12.1;59.3;;;;;-2.4;;;;;;;770.0;24.8
3;10;2000;;;;;;;210.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;10;2001;76.0;;;;;;236.0;;;17.1;;;;;;;;;;;;;;;;;;;;;;;;;;794.0;29.2
5;10;2002;69.0;;;;;;271.4;;;20.8;;;;;;;;;;;;;;;;;;;;;;;;;;821.0;30.1
6;10;2003;67.0;;;;;;267.7;;;26.2;;;;;;;;;;;;;;;;;;;;;;;;;;821.0;27.9
7;10;2004;63.0;;;;;;280.5;;;26.1;;;;;;;;;;;;;;;;;;;;;;;;;;829.0;28.4
8;20;1997;84.0;;;;;106.0;94.6;;;7.1;;;3.8;;;105.4;59.0;52.5;1.6;4.9;6.5;2.5;6.6;30.8;;;;;0.1;;2.5;;;;;;
9;20;1998;72.0;;;;;113.0;102.1;;;7.7;;;3.0;;;113.9;63.8;53.7;1.9;8.2;7.5;3.2;6.7;32.7;;;;;-1.1;;2.5;;;;;;
10;20;1999;71.0;;;;;126.0;114.7;;;8.6;;;2.7;;;127.2;73.0;60.7;2.5;9.8;10.5;3.1;8.0;32.6;;;;;-1.2;;3.1;;;;;;
11;20;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;2001;54.0;2287.0;2031.0;129.0;94.0;169.0;149.8;145.8;4.1;10.2;10.4;-0.2;9.0;3.0;6.0;164.2;97.8;80.8;4.9;12.1;11.8;8.9;9.7;36.0;4.3;14.3;1.8;15.6;4.8;0.4;3.7;-3.3;0.6;1.1;-0.4;529.0;20.2
13;20;2002;47.0;2666.0;2349.0;130.0;96.0;197.0;175.0;173.9;1.1;12.5;13.8;-1.2;9.3;3.1;6.2;190.6;115.5;95.2;6.0;14.3;12.3;9.7;10.9;42.2;4.7;15.9;2.1;19.3;6.3;0.3;3.9;-3.6;0.1;1.3;-1.3;530.0;20.3
14;20;2003;53.0;2987.0;2683.0;;;216.0;186.0;189.4;-3.4;15.2;16.4;-1.2;14.8;;;210.8;142.8;113.2;9.5;20.1;9.9;8.2;12.0;37.9;;;;;5.2;0.2;3.2;-3.0;1.4;1.1;0.3;601.0;20.2
15;20;2004;50.0;3182.0;2834.0;;;227.0;198.8;199.4;-0.6;13.5;13.9;-0.4;14.5;;;222.4;148.1;119.9;9.2;19.0;4.7;10.0;12.0;47.6;;;;;4.3;0.0;3.0;-2.9;0.4;0.2;0.2;618.0;20.7
16;30;1997;30.0;;;;;82.0;72.6;;;5.5;;;3.4;;;81.4;46.5;41.6;2.5;2.4;3.1;4.4;4.0;23.4;;;;;0.1;;;;;;;;
17;30;1998;29.0;;;;;86.0;77.0;;;5.8;;;3.6;;;87.0;49.6;42.5;3.0;4.1;2.9;4.7;4.3;25.5;;;;;-0.6;;;;;;;;
18;30;1999;27.0;;;;;88.0;77.0;;;5.8;;;5.3;;;89.3;50.3;42.9;3.3;4.1;3.6;4.6;4.1;26.7;;;;;-1.2;;;;;;;;
19;30;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;30;2001;22.0;;;;;;86.2;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;265.0;9.0
21;30;2002;22.0;;;;;;96.4;;;8.3;;;;;;;;;;;;;;;;;;;;;;;;;;291.0;9.8
22;30;2003;14.0;;;;;;81.7;;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;220.0;7.7
23;30;2004;13.0;;;;;;81.7;;;12.6;;;;;;;;;;;;;;;;;;;;;;;;;;211.0;7.7
