ID;SBI1993;Perioden;ArbeidskostenPerGewerktUur_1;ArbeidskostenPerVoltijdeenheid_2;TotaleStructuur_3;Lonen_4;DirectLoonEnBijzondereBeloningen_5;SocialePremies_6;OverigeKosten_7
0;1;1997;19.19;33.0;100;78.7;68.6;20.0;1.3
1;1;1998;20.32;34.7;100;78.4;68.1;20.2;1.4
2;1;1999;21.14;35.9;100;78.2;67.9;20.3;1.5
3;1;2000;22.31;37.9;100;78.0;67.5;20.4;1.6
4;1;2001;23.88;40.7;100;79.2;68.6;19.1;1.7
5;1;2002;25.19;43.2;100;78.1;67.6;20.1;1.8
6;1;2003;26.45;45.7;100;77.4;67.1;20.6;2.0
7;1;2004;27.23;47.3;100;76.5;66.3;21.4;2.1
8;1;2005;27.41;47.7;100;76.9;66.6;21.0;2.1
9;2;1997;32.95;57.7;100;80.4;69.7;16.6;3.0
10;2;1998;34.35;60.5;100;80.4;69.9;16.7;2.9
11;2;1999;35.04;61.0;100;80.8;70.4;16.4;2.8
12;2;2000;36.98;64.1;100;80.2;70.2;17.1;2.7
13;2;2001;38.95;68.4;100;82.9;72.7;14.5;2.7
14;2;2002;42.4;74.5;100;78.4;69.0;19.2;2.4
15;2;2003;43.8;76.8;100;78.2;69.0;19.4;2.3
16;2;2004;46.97;83.3;100;74.2;65.6;23.6;2.1
17;2;2005;48.84;86.0;100;74.5;65.9;23.3;2.1
18;3;1997;20.49;34.6;100;78.3;68.2;20.4;1.3
19;3;1998;21.54;36.1;100;77.8;67.8;20.8;1.4
20;3;1999;22.46;37.4;100;77.7;67.7;20.9;1.5
21;3;2000;23.41;38.9;100;77.3;67.4;21.1;1.6
22;3;2001;24.64;41.1;100;78.5;68.5;20.0;1.5
23;3;2002;25.91;43.6;100;77.4;67.6;21.1;1.5
24;3;2003;27.15;45.9;100;77.0;67.3;21.6;1.4
25;3;2004;28.08;47.6;100;76.0;66.4;22.7;1.4
26;3;2005;28.5;48.4;100;76.3;66.7;22.3;1.4
27;4;1997;28.08;46.9;100;73.2;62.6;24.6;2.2
28;4;1998;29.24;48.5;100;74.3;63.5;23.7;2.0
29;4;1999;31.08;51.6;100;74.3;63.4;23.9;1.8
30;4;2000;32.5;53.6;100;74.1;63.1;24.4;1.6
31;4;2001;33.55;55.5;100;75.5;64.4;22.8;1.7
32;4;2002;35.32;58.5;100;75.7;64.7;22.4;1.9
33;4;2003;37.19;61.8;100;76.0;65.1;21.9;2.1
34;4;2004;39.07;64.9;100;75.6;64.8;22.1;2.3
35;4;2005;37.88;63.0;100;76.0;65.2;21.7;2.3
